onset_word,word,ID,img_trigger,duration_measured_word,session,delay_frames_after,offset_img,scan day,correct_resp,gender,word_score_pc,pause_trigger_t,word_trigger,duration_measured_img,pause_trigger,duration_frames,no,key_t,onset_img,age,word_label,word_score_warriner,delay_frames_before,offset_word,img,rt,condition,response
1.043189900003199,fallacy,12345,22,0.8332291999977315,4,60,4.7244934999980615,Monday,1,female,2.7422742606943906,2.8785514999981388,12,0.6928765999982716,32,42,1,4.426117399998475,4.03161689999979,22,neg,4.0,120,1.8764191000009305,image_stim_n.png,0.394500499998685,faceWord_exp,y
5.732784699997865,lust,12345,21,0.6898960000035004,4,120,8.221250700000382,Monday,1,female,-1.426145970237633,2.8785514999981388,11,0.689109400002053,31,42,2,7.990794199999073,7.5321412999983295,22,pos,6.26,60,6.422680700001365,image_stim_p.png,0.4586529000007431,faceWord_exp,b
10.225708099998883,put,12345,22,0.6938740000041435,4,60,13.750348900000972,Monday,1,female,0.3545861367636661,11.918106400000397,13,0.6834156999975676,42,42,3,13.52057380000042,13.066933200003405,22,neu,5.09,120,10.919582100003026,image_stim_n.png,0.45364059999701567,faceWord_exp,y
14.766528799998923,saw,12345,22,0.6813996999990195,4,60,18.211935400002403,Monday,1,female,-0.10198134801944247,16.44796040000074,12,0.6829323999991175,32,42,4,18.049567299996852,17.529003000003286,22,neg,4.16,120,15.447928499997943,image_stim_n.png,0.5205642999935662,faceWord_exp,y
19.23383769999782,truce,12345,21,0.6974657000027946,4,60,22.675435600001947,Monday,1,female,-1.6859102219357711,20.92967520000093,11,0.6810355000052368,31,42,5,22.433232299998053,21.99440009999671,22,pos,6.42,120,19.931303400000616,image_stim_p.png,0.43883220000134315,faceWord_exp,b
23.696656599997368,zone,12345,22,0.6771876999991946,4,120,26.122667000003275,Monday,1,female,0.42679466080263373,20.92967520000093,12,0.6932373000017833,32,42,6,25.959128000002238,25.429429700001492,22,neg,4.75,60,24.373844299996563,image_stim_n.png,0.5296983000007458,faceWord_exp,y
28.162295399997674,pig,12345,22,0.6921756000010646,4,60,31.619377499999246,Monday,1,female,0.060511318752979076,29.856409599997278,12,0.6865248999965843,32,42,7,31.23551210000005,30.93285260000266,22,neg,4.83,120,28.85447099999874,image_stim_n.png,0.3026594999973895,faceWord_exp,y
32.63544620000175,denial,12345,22,0.6996007999987341,4,120,35.082627999996475,Monday,1,female,2.8314410724962364,29.856409599997278,12,0.6847866999960388,32,42,8,34.888564799999585,34.39784130000044,22,neg,3.57,60,33.335047000000486,image_stim_n.png,0.49072349999914877,faceWord_exp,y
37.086073899998155,door,12345,21,0.6939284000036423,4,60,40.544634199999564,Monday,1,female,0.37753019343780747,38.77976789999957,13,0.686366599999019,41,42,9,40.2662937999994,39.858267600000545,22,neu,5.43,120,37.7800023000018,image_stim_p.png,0.4080261999988579,faceWord_exp,b
41.571398000000045,bread,12345,21,0.6885599000015645,4,120,44.00957899999776,Monday,1,female,-1.5215329943370883,38.77976789999957,11,0.6960907999964547,31,42,10,43.895201300001645,43.3134882000013,22,pos,6.52,60,42.25995790000161,image_stim_p.png,0.5817131000003428,faceWord_exp,b
46.02945819999877,heroism,12345,21,0.694073999999091,4,120,48.47028529999807,Monday,0,female,-2.30162279277581,38.77976789999957,11,0.6857891999970889,31,42,11,48.223540899998625,47.78449610000098,22,pos,7.05,60,46.72353219999786,image_stim_p.png,0.4390447999976459,faceWord_exp,y
50.48786670000118,bay,12345,21,0.6807215000008,4,120,52.91740540000319,Monday,1,female,-1.17416436554964,38.77976789999957,11,0.6930837000036263,31,42,12,52.73681450000004,52.224321699999564,22,pos,7.23,60,51.16858820000198,image_stim_p.png,0.5124928000004729,faceWord_exp,b
54.93830280000111,bicycle,12345,21,0.6946364999967045,4,60,58.3833838999999,Monday,1,female,-1.301667818567906,56.63276330000372,11,0.684941899999103,31,42,13,57.98322310000367,57.698442000000796,22,pos,6.71,120,55.632939299997815,image_stim_p.png,0.28478110000287415,faceWord_exp,b
59.39582749999681,snake,12345,22,0.6812369000035687,4,120,61.826242700000876,Monday,1,female,1.95458394600482,56.63276330000372,12,0.6829530000031809,32,42,14,61.71429750000243,61.143289699997695,22,neg,4.03,60,60.07706440000038,image_stim_n.png,0.571007800004736,faceWord_exp,y
63.83305709999695,flower,12345,21,0.6916650000057416,4,60,67.25657420000061,Monday,1,female,-2.411716547027706,65.52735589999793,11,0.6862535000036587,31,42,15,66.92668499999854,66.57032069999696,22,pos,7.3,120,64.52472210000269,image_stim_p.png,0.35636430000158725,faceWord_exp,b
68.26557580000372,stampede,12345,22,0.6900044999929378,4,60,71.7216202999989,Monday,1,female,2.7437052692255306,69.95445240000117,12,0.6942961999957333,32,42,16,71.65211650000128,71.02732410000317,22,neg,4.48,120,68.95558029999665,image_stim_n.png,0.624792399998114,faceWord_exp,y
72.74353210000118,scream,12345,22,0.7065051999961725,4,120,75.1989093000011,Monday,1,female,2.6978270877422883,69.95445240000117,12,0.6807612999982666,32,42,17,75.20123949999834,74.51814800000284,22,neg,3.02,60,73.45003729999735,image_stim_n.png,0.6830914999954985,faceWord_exp,y
77.2163522999981,circus,12345,21,0.6964262000037706,4,60,80.6944646999982,Monday,1,female,-2.547043884761341,78.91451619999862,13,0.692294899999979,41,42,18,80.31413700000121,80.00216979999823,22,neu,5.85,120,77.91277850000188,image_stim_p.png,0.3119672000029823,faceWord_exp,b
