rt,onset_word,word,no,delay_frames_after,pause_trigger,img_trigger,duration_measured_word,gender,word_score_warriner,offset_img,response,ID,onset_img,duration_measured_img,delay_frames_before,scan day,key_t,duration_frames,condition,word_label,word_score_pc,correct_resp,pause_trigger_t,age,word_trigger,session,img,offset_word
2.069933763006702,1.0234523940016516,mouse,1,180,32,22,0.69770520797465,female,4.8,8.154932529025245,y,ELAS,7.4561976449913345,0.6987348840339109,336,Monday,9.526131407998037,42,faceWord_exp,neg,1.5906822936049958,1,2.722159473982174,22,12,1,image_stim_n.png,1.7211576019763015
0.38568118104012683,11.168055891990662,diplomat,2,336,32,22,0.7039721990004182,female,4.65,15.605471674993169,b,ELAS,14.906896026979666,0.6985756480135024,180,Monday,15.292577208019793,42,faceWord_exp,neg,0.13451130194660302,0,12.87262198101962,22,12,1,image_stim_n.png,11.87202809099108
0.5174952030065469,21.215005699021276,kiss,3,336,31,21,0.6908994149998762,female,7.78,25.63946209702408,b,ELAS,24.942950750992168,0.6965113460319117,180,Monday,25.460445953998715,42,faceWord_exp,pos,-2.8785481086132907,1,22.906712352007162,22,11,1,image_stim_p.png,21.905905114021152
0.7224771830369718,31.250865101988893,hurricane,4,180,32,22,0.6890264290268533,female,3.16,38.273790935985744,y,ELAS,37.57259791297838,0.7011930230073631,336,Monday,38.29507509601535,42,faceWord_exp,neg,3.648586845460279,1,32.940694404998794,22,12,1,image_stim_n.png,31.939891531015746
0.6722608450218104,41.2840026949998,avalanche,5,336,32,22,0.6899570520035923,female,4.0,45.70782146602869,y,ELAS,45.0057734749862,0.702047991042491,180,Monday,45.67803432000801,42,faceWord_exp,neg,3.2148840110758776,1,42.97465527802706,22,12,1,image_stim_n.png,41.97395974700339
0.5621008590096608,51.31473874300718,oak,6,336,31,21,0.69319193798583,female,6.47,55.72507250501076,b,ELAS,55.03340749797644,0.6916650070343167,180,Monday,55.5955083569861,42,faceWord_exp,pos,-1.0543324261381863,1,53.00879039999563,22,11,1,image_stim_p.png,52.00793068099301
0.6390648439992219,61.33245390601223,truck,7,336,41,21,0.6928201909759082,female,5.16,65.75908243301092,b,ELAS,65.0569765670225,0.7021058659884147,180,Monday,65.69604141102172,42,faceWord_exp,neu,-0.5907285556577869,1,63.026032117020804,22,13,1,image_stim_p.png,62.02527409698814
0.6210644830134697,71.37115555501077,fiddle,8,336,41,21,0.7048494920018129,female,5.05,75.80973381898366,b,ELAS,75.10941856401041,0.7003152549732476,180,Monday,75.73048304702388,42,faceWord_exp,neu,-1.0601571884744718,1,73.07674650900299,22,13,1,image_stim_p.png,72.07600504701259
0.6551225470029749,81.41659848799463,noun,9,336,42,22,0.6934730320353992,female,5.22,85.84355766198132,y,ELAS,85.14245054702042,0.7011071149609052,180,Monday,85.79757309402339,42,faceWord_exp,neu,0.11872473318936595,1,83.110736327013,22,13,1,image_stim_n.png,82.11007152003003
0.7066481509828009,91.45234172197524,meeting,10,180,32,22,0.6916577160009183,female,4.55,98.47834532201523,y,ELAS,97.77594889100874,0.7023964310064912,336,Monday,98.48259704199154,42,faceWord_exp,neg,0.7573178762670367,1,93.14499706903007,22,12,1,image_stim_n.png,92.14399943797616
