duration_frames,key_t,delay_frames_before,response,onset_img,ID,word_score_warriner,word_score_pc,gender,condition,correct_resp,offset_word,duration_measured_img,word_trigger,duration_measured_word,scan day,rt,offset_img,pause_trigger_t,img_trigger,delay_frames_after,age,word,no,pause_trigger,img,word_label,onset_word,session
42,108.3844221860054,336,b,107.79936540400377,PK,6.92,-1.2017878999114775,female,faceWord_exp,1,102.16319869400468,0.6969636139983777,11,0.6935182790039107,Monday,0.5850567820016295,108.49632901800214,103.16414944198914,21,180,22,sun,11,31,image_stim_p.png,pos,101.46968041500077,6
42,118.23515882299398,336,b,117.83041596898693,PK,5.24,0.06851316647377265,female,faceWord_exp,1,112.19728105800459,0.7007261899998412,13,0.6887152960116509,Monday,0.4047428540070541,118.53114215898677,113.19814656698145,21,180,22,analogy,12,41,image_stim_p.png,neu,111.50856576199294,6
42,125.80236320698168,180,y,125.26609716299572,PK,5.95,-0.1293625696653618,female,faceWord_exp,1,122.23125759899267,0.6982461409934331,13,0.691585329012014,Monday,0.536266043985961,125.96434330398915,123.23201680299826,22,336,22,escalator,13,42,image_stim_n.png,neu,121.53967226998066,6
42,135.66914627098595,180,y,135.3062886929838,PK,1.94,3.587794463102913,female,faceWord_exp,1,132.2653351429908,0.6927463720203377,12,0.6925412029959261,Monday,0.36285757800214924,135.99903506500414,133.26605583299533,22,336,22,prison,14,32,image_stim_n.png,neg,131.57279393999488,6
42,148.33671732898802,336,y,147.9339955849864,PK,4.42,1.346131993343653,female,faceWord_exp,1,142.2993041180016,0.6990556399978232,12,0.692912154016085,Monday,0.4027217440016102,148.63305122498423,143.2999584369827,22,180,22,protest,15,32,image_stim_n.png,neg,141.60639196398552,6
42,155.88767497899244,180,b,155.36631634199875,PK,6.81,-1.5755240884938977,female,faceWord_exp,1,152.33331414900022,0.7007646519923583,11,0.6923662460176274,Monday,0.521358636993682,156.0670809939911,153.33414967998397,21,336,22,cheese,16,31,image_stim_p.png,pos,151.6409479029826,6
42,165.9217491830059,180,b,165.4002116789925,PK,5.05,-0.441124933220443,female,faceWord_exp,1,162.36741638500826,0.7007931499974802,13,0.6914528010238428,Monday,0.5215375040133949,166.10100482898997,163.36838561299373,21,336,22,bugle,17,41,image_stim_p.png,neu,161.6759635839844,6
42,178.55589891699492,336,b,178.03741128300317,PK,5.64,0.6345811289687322,female,faceWord_exp,1,172.40133257798152,0.6972206379869021,13,0.6936347099835984,Monday,0.5184876339917537,178.73463192099007,173.40209448500536,21,180,22,big,18,41,image_stim_p.png,neu,171.70769786799792,6
42,188.62362892300007,336,y,188.06848290900234,PK,3.25,1.7380634654586231,female,faceWord_exp,1,182.43540557200322,0.7009070740023162,12,0.6886888100125361,Monday,0.555146013997728,188.76938998300466,183.43618928600335,22,180,22,politician,19,32,image_stim_n.png,neg,181.74671676199068,6
42,195.9404186019965,180,b,195.50515359500423,PK,3.38,4.673386290788297,female,faceWord_exp,0,192.46945160298492,0.6979269759904128,12,0.6935310349799693,Monday,0.43526500699226744,196.20308057099464,193.47024962698924,22,336,22,woe,20,32,image_stim_n.png,neg,191.77592056800495,6
