offset_img,word_trigger,duration_frames,offset_word,duration_measured_word,img_trigger,img,scan day,pause_trigger_t,word_score_warriner,word_score_pc,onset_word,gender,response,age,condition,pause_trigger,key_t,session,word_label,onset_img,word,delay_frames_after,no,rt,duration_measured_img,correct_resp,ID,delay_frames_before
8.056700100016315,12,42,1.7266938000102527,0.7039286000072025,22,image_stim_n.png,Monday,2.72694079997018,2.62,4.2176174504439885,1.0227652000030503,male,b,22,faceWord_exp,32,2.927405699971132,4,neg,7.3559323999797925,insult,180,1,-4.4285267000086606,0.700767700036522,0,AHJ,336
15.485637800011318,13,42,11.75453049998032,0.6909638000070117,22,image_stim_n.png,Monday,12.754923500004224,5.84,-0.9031069202434168,11.063566699973308,male,y,22,faceWord_exp,42,15.370303399977274,4,neu,14.782903600018471,boy,336,2,0.5873997999588028,0.7027341999928467,1,AHJ,180
25.513621199992485,11,42,21.78234799997881,0.6939371000044048,21,image_stim_p.png,Monday,22.782514599966817,7.24,-2.1205664047688315,21.088410899974406,male,b,22,faceWord_exp,31,25.264820399985183,4,pos,24.809312500001397,trust,336,3,0.45550789998378605,0.7043086999910884,1,AHJ,180
35.54123420000542,13,42,31.80992819997482,0.6886834999895655,22,image_stim_n.png,Monday,32.81035450001946,5.3,0.18094025084207666,31.121244699985255,male,b,22,faceWord_exp,42,35.209213999973144,4,neu,34.83963329996914,journalist,336,4,0.36958070000400767,0.7016009000362828,0,AHJ,180
45.56900590000441,13,42,41.83764629997313,0.6892169999773614,22,image_stim_n.png,Monday,42.83812999998918,5.95,0.0196438746392397,41.14842929999577,male,y,22,faceWord_exp,42,45.47019319998799,4,neu,44.86645949998638,worker,336,5,0.6037337000016123,0.7025464000180364,1,AHJ,180
58.19526309997309,12,42,51.865466199989896,0.6905501000001095,22,image_stim_n.png,Monday,52.86582050001016,2.76,3.803034067475641,51.17491609998979,male,y,22,faceWord_exp,32,58.01299959997414,4,neg,57.49211200000718,flood,180,6,0.5208875999669544,0.7031510999659076,1,AHJ,336
65.62448170001153,13,42,61.89317840000149,0.6920096999965608,22,image_stim_n.png,Monday,62.893490299989935,5.9,-0.29144085929118746,61.20116870000493,male,y,22,faceWord_exp,42,65.49239600001602,4,neu,64.9213427999639,hand,336,7,0.5710532000521198,0.7031389000476338,1,AHJ,180
75.65219230001094,11,42,71.92095090000657,0.6913266000337899,21,image_stim_p.png,Monday,72.92115760000888,6.71,-1.301667818567906,71.22962429997278,male,b,22,faceWord_exp,31,75.43671539996285,4,pos,74.94938750000438,bicycle,336,8,0.4873278999584727,0.702804800006561,1,AHJ,180
85.67990089999512,13,42,81.94863270001952,0.6942587000085041,21,image_stim_p.png,Monday,82.94887809996726,5.67,-0.6996261236875504,81.25437400001101,male,b,22,faceWord_exp,41,85.29827149998164,4,neu,84.97665399999823,bell,336,9,0.32161749998340383,0.7032468999968842,1,AHJ,180
95.70776999997906,12,42,91.97638509998797,0.6932420000084676,22,image_stim_n.png,Monday,92.97686090000207,2.55,3.9974740190684885,91.2831430999795,male,y,22,faceWord_exp,32,95.54213879996678,4,neg,95.0051343999803,accident,336,10,0.537004399986472,0.7026355999987572,1,AHJ,180
105.7353843000019,13,42,102.00419199996395,0.6909271999611519,22,image_stim_n.png,Monday,103.00448989996221,5.79,-0.4066038871991289,101.3132648000028,male,y,22,faceWord_exp,42,105.47004539996851,4,neu,105.03199250000762,baseball,336,11,0.43805289996089414,0.7033917999942787,1,AHJ,180
118.36172099999385,12,42,112.03194159996929,0.6901657999842428,22,image_stim_n.png,Monday,113.032495499996,3.17,3.1835494020570807,111.34177579998504,male,y,22,faceWord_exp,32,118.06283770001028,4,neg,117.65890699997544,explosion,180,12,0.40393070003483444,0.7028140000184067,1,AHJ,336
125.79103169997688,11,42,122.05976789997658,0.694084299961105,21,image_stim_p.png,Monday,123.0598156999913,6.52,-1.5215329943370883,121.36568360001547,male,b,22,faceWord_exp,31,125.74214069999289,4,pos,125.08810320001794,bread,336,13,0.6540374999749474,0.7029284999589436,1,AHJ,180
135.81861249997746,11,42,132.0873940999736,0.6889321999624372,21,image_stim_p.png,Monday,133.08814850001363,6.67,-2.8305869761860607,131.39846190001117,male,b,22,faceWord_exp,31,135.4866672999924,4,pos,135.11608579999302,gratitude,336,14,0.37058149999938905,0.7025266999844462,1,AHJ,180
145.84642040001927,11,42,142.11513779999223,0.6945259000058286,21,image_stim_p.png,Monday,143.1153489999706,7.0,-1.7294291477603156,141.4206118999864,male,b,22,faceWord_exp,31,145.59751350001898,4,pos,145.14214389998233,dog,336,15,0.45536960003664717,0.70427650003694,1,AHJ,180
155.87411560001783,12,42,152.1428683999693,0.6913933999603614,22,image_stim_n.png,Monday,153.1431617999915,4.48,2.7437052692255306,151.45147500000894,male,y,22,faceWord_exp,32,155.7253689999925,4,neg,155.16948829998728,stampede,336,16,0.5558807000052184,0.7046273000305519,1,AHJ,180
