offset_img,response,session,no,word,gender,correct_resp,img,word_score_warriner,condition,duration_frames,duration_measured_word,offset_word,age,word_label,ID,delay_frames_before,onset_word,rt,duration_measured_img,onset_img,scan day,delay_frames_after,key_t,word_score_pc
4.982206878950819,j,2,1,sick,female,,image_stim_n.png,2.29,faceWord_exp,42,0.6996216720435768,1.7155957520008087,22,neg,JV,147,1.0159740799572319,0.9563293280079961,0.7031742610270157,4.279032617923804,Tuesday,81,5.2353619459318,3.4738609063027237
10.515499449917115,b,2,2,carnival,female,1,image_stim_p.png,6.48,faceWord_exp,42,0.691259752959013,7.032216389896348,22,pos,JV,165,6.340956636937335,0.5063250180101022,0.7031678640050814,9.812331585912034,Tuesday,192,10.318656603922136,-2.4114282062334524
16.232107172952965,j,2,3,angry,female,,image_stim_n.png,2.53,faceWord_exp,42,0.6916863010264933,14.415400609956123,22,neg,JV,66,13.72371430892963,0.37496241205371916,0.6883173920214176,15.543789780931547,Tuesday,194,15.918752192985266,3.4296451702105397
23.48197599395644,j,2,4,perjury,female,,image_stim_n.png,2.95,faceWord_exp,42,0.6920675460714847,20.16532471496612,22,neg,JV,156,19.473257168894634,0.45919816300738603,0.6889860020019114,22.792989991954528,Tuesday,129,23.252188154961914,3.222893544100452
29.615273829898797,b,2,5,tree,female,1,image_stim_p.png,7.59,faceWord_exp,42,0.6907375149894506,26.331931223976426,22,pos,JV,153,25.641193708986975,0.4724846070166677,0.7024079989641905,28.912865830934606,Tuesday,116,29.385350437951274,-1.3695211950901562
36.565149054978974,j,2,6,highway,female,,image_stim_p.png,5.19,faceWord_exp,42,0.6914849600289017,32.248518239939585,22,neu,JV,215,31.557033279910684,0.4244731720536947,0.7042974680662155,35.86085158691276,Tuesday,73,36.28532475896645,0.650019808676411
42.33171334292274,j,2,7,problem,female,,image_stim_n.png,3.52,faceWord_exp,42,0.6917075240053236,38.48177755100187,22,neg,JV,188,37.790070026996545,0.3425656360341236,0.6892557069659233,41.642457635956816,Tuesday,160,41.98502327199094,4.02985566434138
47.764988103997894,b,2,8,pan,female,0,image_stim_n.png,5.15,faceWord_exp,42,0.6942499550059438,45.6983865739312,22,neu,JV,81,45.00413661892526,0.4432826500851661,0.6891635070787743,47.07582459691912,Tuesday,116,47.519107247004285,0.3296196251321362
53.298262653988786,b,2,9,whole,female,1,image_stim_p.png,5.86,faceWord_exp,42,0.6940172900212929,50.398272686987184,22,neu,JV,131,49.70425539696589,0.40930499404203147,0.6898495310451835,52.6084131229436,Tuesday,149,53.017718116985634,0.10630403813009667
59.83154757798184,j,2,10,business,female,,image_stim_n.png,5.48,faceWord_exp,42,0.6936760260723531,56.48158342798706,22,neu,JV,157,55.78790740191471,0.45816654001828283,0.7052339380607009,59.126313639921136,Tuesday,172,59.58448017993942,-0.06058349899147484
66.94808948191348,b,2,11,piano,female,1,image_stim_p.png,6.4,faceWord_exp,42,0.6919856329914182,63.39825674390886,22,pos,JV,169,62.70627111091744,0.48776636994443834,0.7009172699181363,66.24717221199535,Tuesday,188,66.73493858193979,-1.7947555393350414
71.64914468897041,j,2,12,scissors,female,,image_stim_n.png,5.03,faceWord_exp,42,0.6936217120382935,70.78135487798136,22,neu,JV,9,70.08773316594306,0.6257671259809285,0.6900965709937736,70.95904811797664,Tuesday,62,71.58481524395756,0.4272037094573085
76.84793789498508,b,2,13,summer,female,1,image_stim_p.png,7.5,faceWord_exp,42,0.6938780740601942,73.3813135829987,22,pos,JV,165,72.6874355089385,0.5089175240136683,0.688716444070451,76.15922145091463,Tuesday,80,76.6681389749283,-1.7608811602119443
