scan day,gender,word_trigger,img_trigger,img,session,age,word,onset_word,offset_img,response,pause_trigger_t,offset_word,key_t,ID,onset_img,delay_frames_before,correct_resp,no,condition,rt,duration_frames,delay_frames_after,duration_measured_word,duration_measured_img,pause_trigger,word_label,word_score_pc,word_score_warriner
Monday,male,11,21,image_stim_p.png,1,24,oak,0.9821220000158064,5.403174899984151,b,2.6709184999926947,1.670761900022626,5.103712500014808,clem,4.730375999992248,180,1,1,faceWord_exp,0.37333650002256036,42,336,0.6886399000068195,0.6727988999919035,31,pos,-1.0543324261381863,6.47
Monday,male,11,21,image_stim_p.png,1,24,pie,11.00475889997324,18.050121499982197,b,12.701737699972,11.701674800016917,17.650762100005522,clem,17.376705700007733,336,1,2,faceWord_exp,0.2740563999977894,42,180,0.6969159000436775,0.6734157999744639,31,pos,-2.2727319315779937,6.45
Monday,male,11,21,image_stim_p.png,1,24,kiss,21.061616800026968,28.047624500002712,b,22.74934450001456,21.749210599984508,27.598342599987518,clem,27.364604600006714,336,1,3,faceWord_exp,0.23373799998080358,42,180,0.6875937999575399,0.6830198999959975,31,pos,-2.8785481086132907,7.78
Monday,male,13,21,image_stim_p.png,1,24,famous,31.05102389998501,38.06181340001058,b,32.7468143000151,31.74672140000621,37.74577209999552,clem,37.38241289998405,336,1,4,faceWord_exp,0.36335920001147315,42,180,0.6956975000211969,0.6794005000265315,41,neu,-0.8050043475134195,5.89
Monday,male,12,22,image_stim_n.png,1,24,lonely,41.06462630000897,48.059401599981356,y,42.76104770001257,41.76098610000918,47.67678669997258,clem,47.383756100025494,336,1,5,faceWord_exp,0.29303059994708747,42,180,0.6963598000002094,0.6756454999558628,32,neg,4.010420717126172,2.67
Monday,male,12,22,image_stim_n.png,1,24,avalanche,51.06380399997579,58.057044000015594,y,52.75864890002413,51.7585698000039,57.6575857999851,clem,57.37762099999236,336,1,6,faceWord_exp,0.27996479999274015,42,180,0.6947658000281081,0.6794230000232346,32,neg,3.2148840110758776,4.0
Monday,male,13,22,image_stim_n.png,1,24,treaty,61.060365699988324,65.45520249998663,b,62.75615219998872,61.75610569998389,65.10583189997124,clem,64.76753110002028,180,0,7,faceWord_exp,0.3383007999509573,42,336,0.6957399999955669,0.687671399966348,42,neu,-0.7213913907893977,5.42
Monday,male,13,22,image_stim_n.png,1,24,field,71.05572220002068,75.46941850002622,y,72.75373709999258,71.7536425999715,75.1866650999873,clem,74.79912039998453,180,1,8,faceWord_exp,0.3875447000027634,42,336,0.6979203999508172,0.6702981000416912,42,neu,-0.9990759838186469,5.73
Monday,male,11,21,image_stim_p.png,1,24,garden,81.07120970002143,85.46699990000343,b,82.76793420000467,81.76788900000975,85.08429979998618,clem,84.78031439997721,180,1,9,faceWord_exp,0.303985400008969,42,336,0.6966792999883182,0.6866855000262149,31,pos,-2.3673221107876317,7.25
Monday,male,12,22,image_stim_n.png,1,24,plot,91.06748209998477,98.08050380001077,y,92.7655505000148,91.76544889999786,98.04780310002388,clem,97.40862880001077,336,1,10,faceWord_exp,0.63917430001311,42,180,0.6979668000130914,0.671875,32,neg,0.2016963621838916,4.9
Monday,male,13,21,image_stim_p.png,1,24,man,101.08118999999715,105.47878559998935,b,102.77972029999364,101.7796269999817,105.24602560000494,clem,104.7915837999899,180,1,11,faceWord_exp,0.4544418000150472,42,336,0.6984369999845512,0.6872017999994569,41,neu,-0.277657621999038,5.42
Monday,male,11,21,image_stim_p.png,1,24,moral,111.07932100002654,115.49300590000348,b,112.7773576999898,111.77719739999156,115.19355560000986,clem,114.80765680002514,180,1,12,faceWord_exp,0.3858987999847159,42,336,0.6978763999650255,0.6853490999783389,31,pos,-1.1443669013398097,6.85
Monday,male,11,21,image_stim_p.png,1,24,fun,121.09327399998438,125.50718969997251,b,122.79168070002925,121.79150950000621,125.32444080000278,clem,124.82533379999222,180,1,13,faceWord_exp,0.49910700001055375,42,336,0.6982355000218377,0.6818558999802917,31,pos,-3.2613064969771037,8.37
Monday,male,13,21,image_stim_p.png,1,24,fence,131.1083470999729,138.13740499998676,b,132.80592090002028,131.80567189998692,137.92143579997355,clem,137.46595139999408,336,1,14,faceWord_exp,0.45548439997946844,42,180,0.6973248000140302,0.6714535999926738,41,neu,0.3759356543037889,5.05
Monday,male,13,22,image_stim_n.png,1,24,school,141.13895839999896,145.53568089997862,b,142.83667390001938,141.83651689998806,145.2194958999753,clem,144.85377470002277,180,0,15,faceWord_exp,0.3657211999525316,42,336,0.6975584999890998,0.6819061999558471,42,neu,0.26215401176465297,5.41
Monday,male,12,22,image_stim_n.png,1,24,policeman,151.13670149998507,158.18257820000872,y,152.83424160000868,151.83412620000308,157.78324979997706,clem,157.5052930000238,336,1,16,faceWord_exp,0.2779567999532446,42,180,0.6974247000180185,0.6772851999849081,32,neg,0.397042668763988,4.21
Monday,male,11,21,image_stim_p.png,1,24,boat,161.18445240001893,165.58084329997655,b,162.88175499998033,161.8816797999898,165.3646705999854,clem,164.90247640002053,180,1,17,faceWord_exp,0.46219419996486977,42,336,0.6972273999708705,0.6783668999560177,31,pos,-1.0613549170130714,6.36
Monday,male,13,21,image_stim_p.png,1,24,rocket,171.1815837000031,175.5783536999952,b,172.87934749998385,171.87925160001032,175.31217200000538,clem,174.89588909997838,180,1,18,faceWord_exp,0.4162829000269994,42,336,0.6976679000072181,0.6824646000168286,41,neu,-0.17528733847197087,5.8
Monday,male,13,22,image_stim_n.png,1,24,truck,181.17905909998808,188.22530709998682,b,182.87681839999277,181.87674109998625,187.94255839998368,clem,187.54199019999942,336,0,19,faceWord_exp,0.40056819998426363,42,180,0.6976819999981672,0.6833168999874033,42,neu,-0.5907285556577869,5.16
Monday,male,13,21,image_stim_p.png,1,24,bridge,191.22639389999676,195.64006930001779,b,192.9244320000289,191.9243166000233,195.85738090000814,clem,194.96134899999015,180,1,20,faceWord_exp,0.8960319000179879,42,336,0.6979227000265382,0.678720300027635,41,neu,0.1935892361901769,5.44
Monday,male,11,21,image_stim_p.png,1,24,wealthy,201.24191989999963,208.30366430000868,b,202.93867240002146,201.9384746000287,208.0376174999983,clem,207.62440159998368,336,1,21,faceWord_exp,0.4132159000146203,42,180,0.6965547000290826,0.6792627000249922,31,pos,-1.8465637543339983,6.37
Monday,male,12,22,image_stim_n.png,1,24,commander,211.3061929999967,215.7184910000069,y,213.0030117999995,212.00277979997918,215.55246809998062,clem,215.04220590001205,180,1,22,faceWord_exp,0.5102621999685653,42,336,0.6965867999824695,0.6762850999948569,32,neg,0.98843671158419,4.73
Monday,male,11,21,image_stim_p.png,1,24,sled,221.31904949998716,228.31542429997353,b,223.01741119998042,222.0170713000116,228.2826928999857,clem,227.63763990002917,336,1,23,faceWord_exp,0.6450529999565333,42,180,0.6980218000244349,0.6777843999443576,31,pos,-1.9273821271493088,6.35
Monday,male,12,22,image_stim_n.png,1,24,meeting,231.31673469999805,235.7136724999873,y,233.01473070000065,232.01456179999514,235.51415379997343,clem,235.02582560002338,180,1,24,faceWord_exp,0.48832819995004684,42,336,0.6978270999970846,0.6878468999639153,32,neg,0.7573178762670367,4.55
Monday,male,13,21,image_stim_p.png,1,24,corkscrew,241.3146635000012,248.31061149999732,b,243.01229859999148,242.01219139999012,248.09451849997276,clem,247.6348399000126,336,1,25,faceWord_exp,0.4596785999601707,42,180,0.697527899988927,0.6757715999847278,41,neu,-0.3369766028281135,5.26
Monday,male,12,22,image_stim_n.png,1,24,deceit,251.31191440002294,258.3414710999932,y,253.00978850002866,252.0097047999734,257.8754121999955,clem,257.65914679999696,336,1,26,faceWord_exp,0.21626539999851957,42,180,0.6977903999504633,0.6823242999962531,32,neg,4.314775126713813,2.89
Monday,male,11,21,image_stim_p.png,1,24,woman,261.34275890002027,268.3390690999804,b,263.04071630002,262.04048720002174,268.17294130002847,clem,267.6627763999859,336,1,27,faceWord_exp,0.5101649000425823,42,180,0.6977283000014722,0.6762926999945194,31,pos,-1.7483058493195842,7.09
Monday,male,13,22,image_stim_n.png,1,24,whale,271.34098249999806,278.33662219997495,y,273.03830580000067,272.0382098000264,278.1705327000236,clem,277.65944000001764,336,1,28,faceWord_exp,0.5110927000059746,42,180,0.6972273000283167,0.6771821999573149,42,neu,-0.8455595735963974,5.81
Monday,male,11,21,image_stim_p.png,1,24,lake,281.33771900000283,285.7348193000071,b,283.0358853000216,282.0357132999925,285.5187150000129,clem,285.0619400999858,180,1,29,faceWord_exp,0.4567749000270851,42,336,0.6979942999896593,0.6728792000212707,31,pos,-1.5151286486205269,7.13
Monday,male,12,22,image_stim_n.png,1,24,mouse,291.33558239997365,295.7324369000271,y,293.0334365000017,292.03330670000287,295.583115299989,clem,295.0526030000183,180,1,30,faceWord_exp,0.5305122999707237,42,336,0.6977243000292219,0.6798339000088163,32,neg,1.5906822936049958,4.8
Monday,male,13,22,image_stim_n.png,1,24,embassy,301.3332448999863,305.729953299975,y,303.0310333999805,302.0308869999717,305.58046560001094,clem,305.0429248000146,180,1,31,faceWord_exp,0.53754079999635,42,336,0.6976420999853872,0.6870284999604337,42,neu,-0.05916451699915906,5.3
Monday,male,11,21,image_stim_p.png,1,24,limousine,311.33087639999576,315.7274475999875,b,313.0284802999813,312.0283557000221,315.56130150001263,clem,315.0516992000048,180,1,32,faceWord_exp,0.5096023000078276,42,336,0.6974793000263162,0.6757483999826945,31,pos,-1.4783411251765788,6.14
Monday,male,12,22,image_stim_n.png,1,24,aggressive,321.3286868999712,325.7750345999957,y,323.02609370002756,322.0259378000046,325.5588719000225,clem,325.0948645999888,180,1,33,faceWord_exp,0.4640073000336997,42,336,0.6972509000333957,0.6801700000069104,32,neg,2.166851165767892,3.08
Monday,male,13,22,image_stim_n.png,1,24,beer,331.3753472000244,335.77265160001116,y,333.0736871000263,332.07346520002466,335.50657129997853,clem,335.0849123999942,180,1,34,faceWord_exp,0.4216588999843225,42,336,0.6981180000002496,0.6877392000169493,42,neu,-0.9222259722889368,5.67
Monday,male,12,22,image_stim_n.png,1,24,gasp,341.3728247000254,348.36949730000924,y,343.07107399997767,342.0710759999929,347.9368937999825,clem,347.68252069997834,336,1,35,faceWord_exp,0.2543731000041589,42,180,0.6982512999675237,0.6869766000309028,32,neg,1.3014161644429498,4.5
Monday,male,11,21,image_stim_p.png,1,24,love,351.37028999999166,355.76770419999957,b,353.0687154000043,352.0686005000025,355.46823649998987,clem,355.0874381000176,180,1,36,faceWord_exp,0.3807983999722637,42,336,0.698310500010848,0.6802660999819636,31,pos,-2.40140153221556,8.0
Monday,male,12,22,image_stim_n.png,1,24,hurricane,361.3686959000188,365.76528210000833,y,363.06639709998854,362.0662016000133,365.3157942999969,clem,365.08434160001343,180,1,37,faceWord_exp,0.2314526999834925,42,336,0.6975056999945082,0.6809404999949038,32,neg,3.648586845460279,3.16
Monday,male,12,22,image_stim_n.png,1,24,diplomat,371.36675609997474,375.762861300027,y,373.0637909999932,372.0637666999828,375.44663469999796,clem,375.08017869998,180,1,38,faceWord_exp,0.36645600001793355,42,336,0.6970106000080705,0.6826826000469737,32,neg,0.13451130194660302,4.65
Monday,male,11,21,image_stim_p.png,1,24,lemonade,381.36368090001633,388.3764519999968,b,383.0614128999878,382.06131409999216,388.3102663999889,clem,387.7001838000142,336,1,39,faceWord_exp,0.610082599974703,42,180,0.6976331999758258,0.6762681999825872,31,pos,-2.146343780688921,7.05
