correct_resp,session,word_trigger,word_score_warriner,offset_img,age,duration_frames,onset_word,delay_frames_before,word_score_pc,rt,img_trigger,scan day,response,ID,condition,duration_measured_word,key_t,word,pause_trigger,no,word_label,offset_word,img,gender,delay_frames_after,onset_img,pause_trigger_t,duration_measured_img
1,2,13,5.65,5.519300077998196,22,42,1.0170914089976577,180,0.1106807997481866,-0.9407924670085777,22,Monday,y,C,faceWord_exp,0.702335863999906,3.871975689995452,theory,42,1,neu,1.7194272729975637,image_stim_n.png,female,336,4.8127681570040295,2.7197126020037103,0.7065319209941663
1,2,12,3.48,18.152636312996037,22,42,11.12521338800434,336,0.7321109855355353,-5.32477521301189,22,Monday,y,C,faceWord_exp,0.6939404150034534,12.121442450996256,axe,32,2,neg,11.819153803007794,image_stim_n.png,female,180,17.446217664008145,12.819799325996428,0.7064186489878921
1,2,12,4.76,25.568734915999812,22,42,21.159164516997407,180,3.561717315569441,-2.5233549469994614,22,Monday,y,C,faceWord_exp,0.69340632201056,22.354797084000893,landslide,32,3,neg,21.852570839007967,image_stim_n.png,female,336,24.878152031000354,22.852983955002856,0.6905828849994577
1,2,13,5.48,38.202330718006124,22,42,31.176057133008726,336,-0.06058349899147484,-5.2404344090027735,21,Monday,b,C,faceWord_exp,0.6929680119937984,32.254838095002924,business,41,4,neu,31.869025145002524,image_stim_p.png,female,180,37.4952725040057,32.86942525699851,0.7070582140004262
1,2,11,7.5,45.61885729699861,22,42,41.20749514400086,180,-1.7608811602119443,-2.9568507529911585,21,Monday,b,C,faceWord_exp,0.6947902109968709,41.9710020400089,summer,31,5,pos,41.90228535499773,image_stim_p.png,female,336,44.927852793000056,42.90260249799758,0.6910045039985562
0,2,12,4.35,58.251715147009236,22,42,51.22406314100954,336,2.166481281776448,-4.589723684999626,22,Monday,b,C,faceWord_exp,0.6945457039983012,52.95473165099975,plea,32,6,neg,51.91860884500784,image_stim_n.png,female,180,57.54445533599937,52.91929408600845,0.7072598110098625
0,2,13,5.97,68.28522226600035,22,42,61.25753515900578,336,-0.02119054453060663,-5.489133643990499,22,Monday,b,C,faceWord_exp,0.6944169439957477,62.08840321500611,power,42,7,neu,61.95195210300153,image_stim_n.png,female,180,67.57753685899661,62.95251695800107,0.707685407003737
1,2,11,6.76,78.30173802100762,22,42,71.2892893649987,336,-1.2978987804410356,-5.45495705299254,21,Monday,b,C,faceWord_exp,0.69585577500402,72.15535989700584,artist,31,8,pos,71.98514514000271,image_stim_p.png,female,180,77.61031694999838,72.98543687100755,0.6914210710092448
0,2,12,4.54,88.3349912220001,22,42,81.30965360399568,336,0.6502198887451732,-3.6565709830028936,22,Monday,b,C,faceWord_exp,0.6918789270130219,83.9719420610054,office,32,9,neg,82.0015325310087,image_stim_n.png,female,180,87.62851304400829,83.002201522002,0.7064781779918121
1,2,12,2.95,98.35151298900018,22,42,91.34109350299696,336,3.222893544100452,-4.222488665996934,22,Monday,y,C,faceWord_exp,0.6936505199992098,93.4378591380082,perjury,32,10,neg,92.03474402299616,image_stim_n.png,female,180,97.66034780400514,93.03515502299706,0.6911651849950431
1,2,12,2.35,105.76808556300239,22,42,101.35605412800214,180,4.537930167489568,-2.722115245007444,22,Monday,y,C,faceWord_exp,0.6953768630046397,102.35430053199525,terrorist,32,11,neg,102.05143099100678,image_stim_n.png,female,336,105.0764157770027,103.05167146000895,0.691669785999693
1,2,13,5.72,118.40115235600388,22,42,111.37243509500695,336,-0.5485436049411244,-5.289251873997273,21,Monday,b,C,faceWord_exp,0.695547388997511,112.40432507700461,apartment,41,12,neu,112.06798248400446,image_stim_p.png,female,180,117.69357695100189,113.0682616700069,0.7075754050019896
1,2,12,4.29,125.81775968300644,22,42,121.40524461500172,180,2.351878020671037,-2.405651865003165,22,Monday,y,C,faceWord_exp,0.6956896210031118,122.72079448400473,tired,32,13,neg,122.10093423600483,image_stim_n.png,female,336,125.12644634900789,123.1016649910016,0.6913133339985507
1,2,13,5.29,135.83422177100147,22,42,131.42184718200588,180,0.0657349158769076,-2.7561437850090442,21,Monday,b,C,faceWord_exp,0.6956912409950746,132.38726527799736,camel,41,14,neu,132.11753842300095,image_stim_p.png,female,336,135.1434090630064,133.1182474380039,0.6908127079950646
0,2,13,5.03,145.85089286899893,22,42,141.43977954900765,180,0.4272037094573085,-2.656642419009586,22,Monday,b,C,faceWord_exp,0.6937069019913906,142.5033253599977,scissors,42,15,neu,142.13348645099904,image_stim_n.png,female,336,145.15996777900727,143.13470439100638,0.6909250899916515
1,2,11,6.95,155.86737860299763,22,42,151.45743439800572,180,-2.0702836690965865,-2.907946692997939,21,Monday,b,C,faceWord_exp,0.6933540949976305,152.26981181500014,restaurant,31,16,pos,152.15078849300335,image_stim_p.png,female,336,155.17775850799808,153.1512153049989,0.6896200949995546
1,2,12,4.81,165.883595901003,22,42,161.47165722800128,180,0.5494484707734639,-2.3565520080010174,22,Monday,y,C,faceWord_exp,0.6954549539950676,162.83666692899715,stone,32,17,neg,162.16711218199634,image_stim_n.png,female,336,165.19321893699816,163.16761815399514,0.6903769640048267
1,2,13,5.67,175.9005160490051,22,42,171.4886026410095,180,-0.32263149533554664,-2.4386287840025034,21,Monday,b,C,faceWord_exp,0.6951896659884369,172.77059699500387,attribute,41,18,neu,172.18379230699793,image_stim_p.png,female,336,175.20922577900637,173.18416962600895,0.6912902699987171
1,2,13,5.19,185.91697456900147,22,42,181.50619178100897,180,0.650019808676411,-2.7713996159873204,21,Monday,b,C,faceWord_exp,0.6940787849889603,182.4546391370095,highway,41,19,neu,182.20027056599793,image_stim_p.png,female,336,185.22603875299683,183.20042527699843,0.6909358160046395
1,2,11,6.4,195.93336497100245,22,42,191.52080817699607,180,-1.0752281295040744,-2.5227695670037065,21,Monday,b,C,faceWord_exp,0.6949620930099627,192.71971036700415,mercy,31,20,pos,192.21577027000603,image_stim_p.png,female,336,195.24247993400786,193.21714598500694,0.6908850369945867
1,2,13,5.62,208.56663552000828,22,42,201.5373517209955,336,-0.18776275500974607,-5.272194051009137,21,Monday,b,C,faceWord_exp,0.6959659990097862,202.5869341869984,speech,41,21,neu,202.2333177200053,image_stim_p.png,female,180,207.85912823800754,203.23371011999552,0.7075072820007335
1,2,13,5.43,215.9832277890091,22,42,211.5712864350062,180,-0.34443889393116306,-2.6886502859997563,21,Monday,b,C,faceWord_exp,0.6951085379987489,212.60313403100008,asparagus,41,22,neu,212.26639497300494,image_stim_p.png,female,336,215.29178431699984,213.26685027799977,0.6914434720092686
0,2,13,5.5,225.99982466299844,22,42,221.5898487180093,180,0.3495373155897487,-2.3741369570052484,22,Monday,b,C,faceWord_exp,0.6933484059991315,222.93595014000311,winter,42,23,neu,222.28319712400844,image_stim_n.png,female,336,225.31008709700836,223.28374486100802,0.6897375659900717
1,2,12,2.53,238.61569893200067,22,42,231.60411944999942,336,3.4296451702105397,-4.973369318002369,22,Monday,y,C,faceWord_exp,0.6955388200003654,232.9516067460063,angry,32,24,neg,232.29965826999978,image_stim_n.png,female,180,237.92497606400866,233.3001959520043,0.6907228679920081
1,2,11,6.8,248.63284695599577,22,42,241.62195646599866,336,-1.926056195769395,-5.089039833997958,21,Monday,b,C,faceWord_exp,0.694107110000914,242.85247928900935,fireworks,31,25,pos,242.31606357599958,image_stim_p.png,female,180,247.9415191230073,243.31683714300743,0.6913278329884633
1,2,11,6.48,256.0493834719964,22,42,251.63844383200922,180,-2.4114282062334524,-2.822279611005797,21,Monday,b,C,faceWord_exp,0.6941041949903592,252.53606818399567,carnival,31,26,pos,252.33254802699958,image_stim_p.png,female,336,255.35834779500146,253.3329857630015,0.6910356769949431
1,2,11,6.36,266.0659991919965,22,42,261.6530436030007,180,-1.2502658664257256,-2.9905155209999066,21,Monday,b,C,faceWord_exp,0.6964388080086792,262.38431157000014,day,31,27,pos,262.3494824110094,image_stim_p.png,female,336,265.37482709100004,263.3497704879992,0.6911721009964822
0,2,12,4.43,276.08216964399617,22,42,271.66945470099745,180,-0.14866519221167074,-2.322676815005252,22,Monday,b,C,faceWord_exp,0.695104568003444,273.06855744399945,van,32,28,neg,272.3645592690009,image_stim_n.png,female,336,275.3912342590047,273.36527593700157,0.6909353849914623
1,2,13,5.15,286.0990036430012,22,42,281.6863102060015,180,0.3296196251321362,-2.705140038000536,21,Monday,b,C,faceWord_exp,0.6958307339955354,282.7028240189975,pan,41,29,neu,282.38214093999704,image_stim_p.png,female,336,285.407964056998,283.38256240800547,0.6910395860031713
1,2,11,7.28,296.132319256998,22,42,291.7054229560017,180,-1.6425048482978826,-2.6745137320103822,21,Monday,b,C,faceWord_exp,0.6932416780036874,292.7517459609953,knowledge,31,30,pos,292.3986646340054,image_stim_p.png,female,336,295.4262596930057,293.39935932100343,0.7060595639923122
1,2,13,5.07,306.1486305090075,22,42,301.7363258050027,180,0.3228926581020319,-2.9222238110087346,21,Monday,b,C,faceWord_exp,0.6955832450039452,302.5350163389958,street,41,31,neu,302.43190905000665,image_stim_p.png,female,336,305.4572401500045,303.4326503330085,0.6913903590029804
1,2,12,4.52,318.76500842999667,22,42,311.75210621900624,336,2.373388118792564,-5.123514299004455,22,Monday,y,C,faceWord_exp,0.6966110939974897,312.9504041570035,excuse,32,32,neg,312.4487173130037,image_stim_n.png,female,180,318.07391845600796,313.4491130460083,0.69108997398871
0,2,12,4.57,328.78177643999516,22,42,321.76879047299735,336,0.2032181950076048,-5.038495635992149,22,Monday,b,C,faceWord_exp,0.6962744780030334,323.0517208520032,lab,32,33,neg,322.4650649510004,image_stim_n.png,female,180,328.09021648799535,323.4657715649955,0.6915599519998068
0,2,13,5.94,336.19802234899544,22,42,331.78611923599965,180,-0.8400509032218062,-2.5886352469970006,22,Monday,b,C,faceWord_exp,0.6953462149976986,332.91838000999996,store,42,34,neu,332.48146545099735,image_stim_n.png,female,336,335.50701525699697,333.48189893900417,0.6910070919984719
1,2,11,7.0,348.83145786699606,22,42,341.8027846299956,336,-2.461915733068042,-5.406945939001162,21,Monday,b,C,faceWord_exp,0.6949364410102135,342.71696228100336,embrace,31,35,pos,342.4977210710058,image_stim_p.png,female,180,348.1239082200045,343.49867341500067,0.7075496469915379
1,2,12,2.29,358.8646103100036,22,42,351.83526026700565,336,3.4738609063027237,-5.373172770006931,22,Monday,y,C,faceWord_exp,0.6955051019904204,352.7841101009981,sick,32,36,neg,352.5307653689961,image_stim_n.png,female,180,358.157282871005,353.53184651800257,0.7073274389986182
1,2,12,4.8,368.8978846030077,22,42,361.868452648996,336,0.2623575316864496,-4.990024963990436,22,Monday,y,C,faceWord_exp,0.6959131150069879,363.20008877900545,hoe,32,37,neg,362.564365764003,image_stim_n.png,female,180,368.1901137429959,363.56491683800414,0.7077708600118058
1,2,12,3.57,376.3310798970051,22,42,371.9040244920034,180,2.483224745184551,-2.4738165739981923,22,Monday,y,C,faceWord_exp,0.693561107997084,373.1514698740066,cough,32,38,neg,372.59758560000046,image_stim_n.png,female,336,375.6252864480048,373.5982682979957,0.705793449000339
1,2,13,5.5,386.3470030180033,22,42,381.9350463849987,180,-0.049892793833906636,-2.7562281130085466,21,Monday,b,C,faceWord_exp,0.6959363210044103,382.9003145349998,nose,41,39,neu,382.6309827060031,image_stim_p.png,female,336,385.6565426480083,383.63109267099935,0.6904603699949803
0,2,12,4.75,398.96402325799863,22,42,391.9521110640053,336,1.0482300490198866,-4.286368604996824,22,Monday,b,C,faceWord_exp,0.6954065629979596,393.9842508700094,ricochet,32,40,neg,392.64751762700325,image_stim_n.png,female,180,398.27061947500624,393.6483112450078,0.6934037829923909
