scan day,offset_img,rt,correct_resp,word_label,response,ID,onset_img,img,pause_trigger_t,word_score_warriner,age,session,gender,duration_frames,img_trigger,duration_measured_img,no,delay_frames_before,word_score_pc,condition,pause_trigger,onset_word,delay_frames_after,word_trigger,word,key_t,offset_word,duration_measured_word
Monday,5.552266899991082,0.4832453999842983,1,neu,y,clem,4.871003200009,image_stim_n.png,2.720540299982531,5.11,24,5,male,42,22,0.6812636999820825,1,180,0.3309936143559913,faceWord_exp,42,1.0327957999834325,336,13,newspaper,5.354248599993298,1.719783999986248,0.6869882000028156
Monday,15.733145100006368,0.4054599000082817,1,pos,b,clem,15.046239499992225,image_stim_p.png,12.901575700001558,6.56,24,5,male,42,21,0.6869056000141427,2,180,-1.410303556989907,faceWord_exp,31,11.211191699985648,336,11,tea,15.451699400000507,11.90072780000628,0.6895361000206321
Monday,25.78061680000974,0.2912668000208214,1,pos,b,clem,25.108065899985377,image_stim_p.png,23.032754399988335,7.25,24,5,male,42,21,0.6725509000243619,3,180,-2.547338598571031,faceWord_exp,31,21.34501319998526,336,11,tulip,25.399332700006198,22.03170140000293,0.6866882000176702
Monday,35.84468670000206,0.5694577000103891,1,neg,y,clem,35.16054989999975,image_stim_n.png,33.08017070000642,4.5,24,5,male,42,22,0.6841368000023067,4,180,0.5712560851538326,faceWord_exp,32,31.390544699999737,336,12,election,35.73000760001014,32.07906610000646,0.6885214000067208
Monday,48.54108460000134,0.43069979999563657,1,pos,b,clem,47.861858599993866,image_stim_p.png,43.14317120000487,6.65,24,5,male,42,21,0.6792260000074748,5,336,-1.2194148821621404,faceWord_exp,31,41.45503340000869,180,11,penguin,48.2925583999895,42.1432489999861,0.6882155999774113
Monday,55.97273099998711,0.24949760001618415,1,pos,b,clem,55.29176279998501,image_stim_p.png,53.24068439999246,7.84,24,5,male,42,21,0.6809682000020985,6,180,-2.9544920916265727,faceWord_exp,31,51.54728349999641,336,11,friendly,55.54126040000119,52.240274099982344,0.6929905999859329
Monday,68.60343869999633,0.48196209999150597,1,pos,b,clem,67.92338359999121,image_stim_p.png,63.27339879999636,6.05,24,5,male,42,21,0.68005510000512,7,336,-1.4373817092238501,faceWord_exp,31,61.58415119998972,180,11,drum,68.40534569998272,62.271969499997795,0.6878183000080753
Monday,76.03507209999952,0.2876183999760542,1,neg,y,clem,75.34929700000794,image_stim_n.png,73.30342250000103,4.65,24,5,male,42,22,0.6857750999915879,8,180,1.399169263323496,faceWord_exp,32,71.60924689998501,336,12,army,75.63691539998399,72.30271679998259,0.6934698999975808
Monday,86.06594480000786,0.4897550000168849,1,pos,b,clem,85.39462919998914,image_stim_p.png,83.33475429998362,7.05,24,5,male,42,21,0.6713156000187155,9,180,-1.7441234463665167,faceWord_exp,31,81.64468870000564,336,11,cherry,85.88438420000602,82.3335553999932,0.6888666999875568
Monday,96.09691580000799,0.5341896000027191,1,neu,y,clem,95.41440429998329,image_stim_n.png,93.36548579999362,5.28,24,5,male,42,22,0.6825115000247024,10,180,-0.7502239645266248,faceWord_exp,42,91.67603929998586,336,13,ticket,95.94859389998601,92.36451680000755,0.6884775000216905
Monday,108.82710530000622,0.46437470000819303,1,neu,b,clem,108.14782980000018,image_stim_p.png,103.39599220000673,5.44,24,5,male,42,21,0.6792755000060424,11,336,-0.2527650722021685,faceWord_exp,41,101.70295440001064,180,13,arm,108.61220450000837,102.39517800000613,0.6922235999954864
Monday,116.29162370000267,0.48268519999692217,1,neu,b,clem,115.61091280000983,image_stim_p.png,113.52723410000908,5.12,24,5,male,42,21,0.680710899992846,12,180,0.5156614996478043,faceWord_exp,41,111.83587390001048,336,13,bus,116.09359800000675,112.52613350001047,0.6902595999999903
Monday,128.98876439998276,0.466985700011719,1,neg,y,clem,128.30754129998968,image_stim_n.png,123.59135519998381,4.81,24,5,male,42,22,0.6812230999930762,13,336,0.1828236131989572,faceWord_exp,32,121.89692559998366,180,12,cab,128.7745270000014,122.59037560000434,0.6934500000206754
Monday,136.43693629998597,0.48500590000185184,1,neu,b,clem,135.7538910000003,image_stim_p.png,133.68872879998526,5.57,24,5,male,42,21,0.6830452999856789,14,180,-1.1343736111597311,faceWord_exp,41,131.99475389998406,336,13,rum,136.23889690000215,132.68775549999555,0.6930016000114847
Monday,146.46794390000287,0.2295422999886796,1,neg,y,clem,145.7900195000111,image_stim_n.png,143.73616860000766,3.5,24,5,male,42,22,0.6779243999917526,15,180,2.424733943851676,faceWord_exp,32,142.04370680000284,336,12,screech,146.0195617999998,142.7355653999839,0.6918585999810603
Monday,159.13138609999442,0.44034370000008494,1,neg,y,clem,158.4596531999996,image_stim_n.png,153.7672753999941,2.02,24,5,male,42,22,0.6717328999948222,16,336,4.0294120701769724,faceWord_exp,32,152.0740906999854,180,12,dead,158.89999689999968,152.76633399998536,0.6922432999999728
Monday,166.61286819999805,0.3017165999917779,0,neg,b,clem,165.9298293000029,image_stim_n.png,163.83152109998628,4.89,24,5,male,42,22,0.6830388999951538,17,180,0.8708146708303101,faceWord_exp,32,162.13861150000594,336,12,banker,166.23154589999467,162.83063089998905,0.6920193999831099
Monday,176.6270949000027,0.3907435000000987,1,pos,b,clem,175.95481279998785,image_stim_p.png,173.91225860000122,7.16,24,5,male,42,21,0.6722821000148542,18,180,-1.962809513975644,faceWord_exp,31,172.2180733999994,336,11,bed,176.34555629998795,172.9112720999983,0.6931986999989022
Monday,186.65747390000615,0.23160980001557618,1,neg,y,clem,185.97695559999556,image_stim_n.png,183.9264637999877,2.58,24,5,male,42,22,0.6805183000105899,19,180,3.693241029119933,faceWord_exp,32,182.2402260999952,336,12,jealousy,186.20856540001114,182.92550819998723,0.6852820999920368
Monday,199.92646309998236,0.4343968000030145,1,neg,y,clem,199.24333840000327,image_stim_n.png,194.49633950000862,2.33,24,5,male,42,22,0.6831246999790892,20,336,4.735833249102137,faceWord_exp,32,192.8035574000096,180,12,grief,199.67773520000628,193.49444640000002,0.6908889999904204
Monday,209.93874250000226,0.4714174999971874,1,neu,y,clem,209.25183419999667,image_stim_n.png,204.62615329999244,5.56,24,5,male,42,22,0.686908300005598,21,336,0.16108323717668446,faceWord_exp,42,202.93287359998794,180,13,desk,209.72325169999385,203.62386409999453,0.6909905000065919
Monday,217.49986449998687,0.2554240000026766,1,pos,b,clem,216.8288964999956,image_stim_p.png,214.80222069998854,6.62,24,5,male,42,21,0.6709679999912623,22,180,-2.249771083793789,faceWord_exp,31,213.1084748999856,336,11,intellect,217.08432049999828,213.80109359999187,0.6926187000062782
Monday,230.18013409999548,0.3172084999969229,1,neg,y,clem,229.49720119999256,image_stim_n.png,224.79987719998462,3.0,24,5,male,42,22,0.6829329000029247,23,336,4.006417686109669,faceWord_exp,32,223.1101437000034,180,12,dread,229.81440969998948,223.79899229999864,0.6888485999952536
Monday,240.17773029999807,0.4895407999865711,1,neu,b,clem,239.50616889999947,image_stim_p.png,234.8795889999892,5.59,24,5,male,42,21,0.671561399998609,24,336,0.2374341841762725,faceWord_exp,41,233.18345750001026,180,13,number,239.99570969998604,233.87929089998943,0.6958333999791648
Monday,247.59255609998945,0.513638100004755,1,neu,b,clem,246.91311049999786,image_stim_p.png,244.8772167999996,5.43,24,5,male,42,21,0.6794455999915954,25,180,0.14106522732466809,faceWord_exp,41,243.1815029999998,336,13,editor,247.4267486000026,243.87669040000765,0.6951874000078533
Monday,257.62404470000183,0.46776699999463744,1,neu,b,clem,256.94140690000495,image_stim_p.png,254.8926366000087,5.95,24,5,male,42,21,0.6826377999968827,26,180,-1.2450836009557775,faceWord_exp,41,253.19954440000583,336,13,apricot,257.4091738999996,253.8914545000007,0.6919100999948569
Monday,267.6549871999887,0.31338140001753345,1,neg,y,clem,266.97648839998874,image_stim_n.png,264.92356120000477,3.71,24,5,male,42,22,0.678498799999943,27,180,2.2468136409924253,faceWord_exp,32,263.23085699998774,336,12,ambulance,267.2898698000063,263.92239749999135,0.6915405000036117
Monday,277.6859248999972,0.40388480000547133,1,neg,y,clem,277.0002711999987,image_stim_n.png,274.95417499999166,4.26,24,5,male,42,22,0.685653699998511,28,180,0.7498341013103271,faceWord_exp,32,273.26174660000834,336,12,dictation,277.40415600000415,273.9533567999897,0.6916101999813691
Monday,290.3160621999996,0.4857598999806214,1,pos,b,clem,289.63231640000595,image_stim_p.png,284.985420699988,7.05,24,5,male,42,21,0.6837457999936305,29,336,-1.1429809241505904,faceWord_exp,31,283.29178860000684,180,11,book,290.11807629998657,283.98436370000127,0.6925750999944285
Monday,297.73076489998493,0.43304250002256595,1,neu,y,clem,297.04987739998614,image_stim_n.png,295.01609910000116,5.95,24,5,male,42,22,0.6808874999987893,30,180,-1.235914274808286,faceWord_exp,42,293.3219323999947,336,13,corn,297.4829199000087,294.0152442000108,0.6933118000160903
Monday,307.76154529998894,0.5015051999944262,1,neg,y,clem,307.07710940000834,image_stim_n.png,305.0302457000071,3.7,24,5,male,42,22,0.6844358999805991,31,180,2.490397821352158,faceWord_exp,32,303.33610270000645,336,12,mob,307.57861460000277,304.0291755000071,0.6930728000006638
Monday,320.3918497999839,0.4080695000011474,1,neu,b,clem,319.7191004999913,image_stim_p.png,315.0608014999889,5.7,24,5,male,42,21,0.6727492999925744,32,336,-1.4097678477610591,faceWord_exp,41,313.36867399999755,180,13,mandolin,320.1271699999925,314.06006960000377,0.6913956000062171
Monday,330.38940439998987,0.5414186000125483,1,pos,b,clem,329.71692119998625,image_stim_p.png,325.0923131000018,7.0,24,5,male,42,21,0.6724832000036258,33,336,-1.2320142343270626,faceWord_exp,31,323.3992556000012,180,11,water,330.2583397999988,324.0912219999882,0.6919663999869954
Monday,337.8209216000105,0.43486920002033,1,pos,b,clem,337.1380426999822,image_stim_p.png,335.08948269998655,6.85,24,5,male,42,21,0.6828789000282995,34,180,-2.1428059827362134,faceWord_exp,31,333.39510629998404,336,11,awe,337.5729119000025,334.08873240000685,0.6936261000228114
Monday,350.45097360000364,0.4003493000054732,1,pos,b,clem,349.7694846999948,image_stim_p.png,345.1192688999872,7.51,24,5,male,42,21,0.6814889000088442,35,336,-1.6872526925643307,faceWord_exp,31,343.42728020000504,180,11,cash,350.16983400000026,344.1194857000082,0.6922055000031833
Monday,357.88276810001116,0.43355779998819344,1,pos,b,clem,357.2012876000081,image_stim_p.png,355.1513858999824,6.14,24,5,male,42,21,0.6814805000030901,36,180,-1.8816288507581482,faceWord_exp,31,353.45858400000725,336,11,theater,357.63484539999627,354.1503679000016,0.6917838999943342
Monday,370.54643680001027,0.5701413000060711,1,neg,y,clem,369.86131609999575,image_stim_n.png,365.1988627999963,3.12,24,5,male,42,22,0.6851207000145223,37,336,2.9843905620469613,faceWord_exp,32,363.50895829999354,180,12,mosquito,370.4314574000018,364.19788329998846,0.6889249999949243
Monday,378.01120429998264,0.4895826000138186,1,neu,y,clem,377.34006429999135,image_stim_n.png,375.24544860000606,5.61,24,5,male,42,22,0.6711399999912828,38,180,0.08756588783899029,faceWord_exp,42,373.5540883000067,336,13,mushroom,377.8296469000052,374.2455871999846,0.691498899977887
Monday,388.04210089999833,0.453314100013813,1,neg,y,clem,387.3572249999852,image_stim_n.png,385.31067279999843,3.9,24,5,male,42,22,0.6848759000131395,39,180,1.5300907112092572,faceWord_exp,32,383.61631809998653,336,12,ant,387.810539099999,384.30957859999035,0.6932605000038166
Monday,400.67227929999353,0.49996449999161996,1,neu,b,clem,399.99114470000495,image_stim_p.png,395.3416525000066,5.84,24,5,male,42,21,0.6811345999885816,40,336,0.002541127499528235,faceWord_exp,41,393.64902209999855,180,13,umbrella,400.4911091999966,394.3404945000075,0.6914724000089336
Monday,408.1037115000072,0.5275991999951657,1,pos,b,clem,407.4280179000052,image_stim_p.png,405.3721700999886,6.81,24,5,male,42,21,0.6756936000019778,41,180,-1.178487968131687,faceWord_exp,31,403.6802669999888,336,11,tangerine,407.9556171000004,404.3713721999957,0.6911052000068594
Monday,418.13440740000806,0.46015759999863803,1,neg,y,clem,417.46126849998836,image_stim_n.png,415.4034354999894,2.9,24,5,male,42,22,0.6731389000196941,42,180,3.659937177091274,faceWord_exp,32,413.7104723000084,336,12,curse,417.921426099987,414.4024366000085,0.6919643000001088
Monday,428.1653760999907,0.46861989999888465,1,neg,y,clem,427.4821654999978,image_stim_n.png,425.43402389998664,4.95,24,5,male,42,22,0.6832105999928899,43,180,1.0236166268558873,faceWord_exp,32,423.7418880999903,336,12,hierarchy,427.9507853999967,424.43301819998305,0.6911300999927334
Monday,440.84576170000946,0.2569120999833103,1,pos,b,clem,440.1742302000057,image_stim_p.png,435.46507979999296,8.0,24,5,male,42,21,0.6715315000037663,44,336,-2.641671297166366,faceWord_exp,31,433.77361380000366,180,11,peaceful,440.431142299989,434.4640550999902,0.6904412999865599
Monday,448.2768350999977,0.41693750000558794,1,neg,y,clem,447.59574520000024,image_stim_n.png,445.5457821000018,3.81,24,5,male,42,22,0.6810898999974597,45,180,2.1399531488678094,faceWord_exp,32,443.8600121999916,336,12,vice,448.0126827000058,444.54497630000697,0.6849641000153497
Monday,458.308140499983,0.23326989999623038,1,neg,y,clem,457.62719279999146,image_stim_n.png,455.57670909998706,2.82,24,5,male,42,22,0.6809476999915205,46,180,3.0668244091236065,faceWord_exp,32,453.8831954000052,336,12,whine,457.8604626999877,454.5759123000025,0.6927168999973219
Monday,468.3390370999987,0.49887219999800436,1,neu,b,clem,467.65877219999675,image_stim_p.png,465.6077549000038,5.79,24,5,male,42,21,0.6802649000019301,47,180,-0.41434578466507305,faceWord_exp,41,463.91503129998455,336,13,engineer,468.15764439999475,464.6067800000019,0.6917487000173423
Monday,478.36936509999214,0.5155053999915253,1,neu,y,clem,477.68821530000423,image_stim_n.png,475.63861639998504,5.38,24,5,male,42,22,0.6811497999879066,48,180,0.07992973296861662,faceWord_exp,42,473.9448866999883,336,13,clue,478.20372069999576,474.6374308000086,0.6925441000203136
Monday,490.99992790000397,0.28331829997478053,1,pos,b,clem,490.31860920001054,image_stim_p.png,485.669464000006,7.25,24,5,male,42,21,0.681318699993426,49,336,-1.2397352233188434,faceWord_exp,31,483.9749562999932,180,11,wit,490.6019274999853,484.66849979999824,0.6935435000050347
Monday,498.43119209998986,0.5031646999996156,0,neu,y,clem,497.74564969999483,image_stim_p.png,495.7003648999962,5.25,24,5,male,42,21,0.685542399995029,50,180,0.19443075193465506,faceWord_exp,41,494.00766669999575,336,13,stapler,498.24881439999444,494.6991680999927,0.6915013999969233
Monday,508.47876229998656,0.520575699978508,1,neg,y,clem,507.79246880000574,image_stim_n.png,505.73136999999406,3.15,24,5,male,42,22,0.6862934999808203,51,180,3.227422121163128,faceWord_exp,32,504.0370075000101,336,12,riot,508.31304449998424,504.73010539999814,0.6930978999880608
Monday,521.1090124000038,0.22402220001094975,1,pos,b,clem,520.4358983999991,image_stim_p.png,515.777394100005,7.12,24,5,male,42,21,0.6731140000047162,52,336,-2.3591802685249372,faceWord_exp,31,514.0813839999901,180,11,applause,520.6599206000101,514.7774293999828,0.6960453999927267
Monday,531.1404435999866,0.511187099997187,1,pos,b,clem,530.4653204999922,image_stim_p.png,525.8083168999874,7.18,24,5,male,42,21,0.67512309999438,53,336,-1.295378487470534,faceWord_exp,31,524.1131013999984,180,11,television,530.9765075999894,524.8080887999968,0.6949873999983538
Monday,538.5880895000009,0.31129059998784214,1,neg,y,clem,537.9111340999953,image_stim_n.png,535.8403872000054,2.33,24,5,male,42,22,0.6769554000056814,54,180,3.17672342877373,faceWord_exp,32,534.1479866000009,336,12,dangerous,538.2224246999831,534.839401300007,0.6914147000061348
Monday,551.2856290999916,0.47828710000612773,1,pos,b,clem,550.6089643999876,image_stim_p.png,545.8881382999825,7.64,24,5,male,42,21,0.6766647000040393,55,336,-2.625984580876632,faceWord_exp,31,544.195073299983,180,11,spring,551.0872514999937,544.8869944000035,0.6919211000204086
Monday,558.7503705999989,0.44326950001413934,1,neu,b,clem,558.0754090999835,image_stim_p.png,555.9852436000074,5.64,24,5,male,42,21,0.6749615000153426,56,180,0.4587040848007746,faceWord_exp,41,554.2928323000087,336,13,company,558.5186785999977,554.9844796000107,0.6916473000019323
Monday,568.7805781000061,0.333754500024952,1,neu,b,clem,568.097929599986,image_stim_p.png,566.0496475000109,5.79,24,5,male,42,21,0.6826485000201501,57,180,-0.32385553549685003,faceWord_exp,41,564.3572574999998,336,13,carrot,568.4316841000109,565.0488936000038,0.6916361000039615
Monday,581.4113702999894,0.24799490001169033,0,neu,b,clem,580.7319350999896,image_stim_n.png,576.080542199983,5.58,24,5,male,42,22,0.6794351999997161,58,336,-0.8220066925000616,faceWord_exp,42,574.3866904999886,180,13,dime,580.9799300000013,575.0797547999828,0.6930642999941483
Monday,591.4418181999936,0.4572541000088677,1,neu,b,clem,590.7702601999918,image_stim_p.png,586.1115187999967,5.95,24,5,male,42,21,0.6715580000018235,59,336,-0.4963231956276321,faceWord_exp,41,584.4194689999858,180,13,hairbrush,591.2275143000006,585.1105896999943,0.6911207000084687
Monday,598.8568136999966,0.5374634000181686,1,pos,b,clem,598.1700954999833,image_stim_p.png,596.1422580000071,6.41,24,5,male,42,21,0.6867182000132743,60,180,-1.211925852261804,faceWord_exp,31,594.4495976000035,336,11,morning,598.7075589000015,595.1414445999835,0.6918469999800436
