key_t,offset_word,word_score_pc,duration_measured_word,gender,delay_frames_before,session,onset_word,duration_measured_img,offset_img,word_label,rt,pause_trigger_t,onset_img,no,delay_frames_after,ID,scan day,word,word_score_warriner,duration_frames,img,condition,random_timepoint,response,correct_resp,age
5.033346676995279,1.811628491996089,-0.9453395472380092,0.7979005269880872,male,146,4,1.0137279650080018,0.8076580199995078,5.231054809992202,neu,0.6099498870025855,2.8120894780149683,4.423396789992694,1,166,1,Monday,team,5.91,48,image_stim_p.png,faceWord_exp,48.17064009499154,right,1,22
10.449652476003394,8.797597399010556,-0.10198134801944247,0.7949766240199097,male,62,4,8.002620774990646,0.7929985410009976,10.69734348799102,neg,0.5453075290133711,9.798015779990237,9.904344946990022,2,108,1,Monday,saw,4.16,48,image_stim_n.png,faceWord_exp,53.65158746900852,left,1,22
15.216532933991402,13.297544294997351,-1.5215329943370883,0.795077410992235,male,85,4,12.502466884005116,0.7957873159903102,15.564154774008784,pos,0.4481654759729281,14.297969987004763,14.768367458018474,3,181,1,Monday,bread,6.52,48,image_stim_p.png,faceWord_exp,58.51561116200173,right,1,22
21.698816124990117,19.38075212200056,-2.1205664047688315,0.7926424719917122,male,107,4,18.588109650008846,0.7890124869882129,22.01318502999493,pos,0.4746435819834005,20.381210220017238,21.224172543006716,4,131,1,Monday,trust,7.24,48,image_stim_p.png,faceWord_exp,64.97141489898786,right,1,22
26.132969908008818,24.997599666996393,-0.5273916336755435,0.7933592449990101,male,35,4,24.204240421997383,0.7958993560168892,26.43066500700661,neu,0.498204257019097,20.381210220017238,25.63476565098972,5,207,1,Monday,scientist,5.83,48,image_stim_n.png,faceWord_exp,69.38200989901088,left,1,22
34.48251754001831,30.680333896016236,3.4698173961771306,0.7944089890224859,male,194,4,29.88592490699375,0.7937946069869213,34.76357529399684,neg,0.5127368530083913,31.68114650499774,33.969780687009916,6,122,1,Monday,animosity,3.4,48,image_stim_n.png,faceWord_exp,77.71702465601265,right,0,22
41.41592381999362,37.59730070500518,0.4395766978022416,0.7961508480075281,male,190,4,36.801149856997654,0.794590256002266,41.613928056001896,neu,0.5965860199939925,38.597887998999795,40.81933779999963,7,95,1,Monday,red,5.67,48,image_stim_n.png,faceWord_exp,84.5665817540139,left,1,22
46.615977931011,43.99670288900961,3.1835494020570807,0.7938855650136247,male,124,4,43.20281732399599,0.7938665219990071,46.91380949300947,neg,0.4960349600005429,44.997636935993796,46.11994297101046,8,111,1,Monday,explosion,3.17,48,image_stim_n.png,faceWord_exp,89.86718561899033,left,1,22
54.98301111799083,49.56368452400784,-1.301667818567906,0.7915532960032579,male,246,4,48.77213122800458,0.7914407630159985,54.51361816001008,pos,1.260833720996743,50.564140185015276,53.722177396994084,9,118,1,Monday,bicycle,6.71,48,image_stim_p.png,faceWord_exp,97.46942087699426,right,1,22
58.881640120001975,57.28029647801304,0.4398740830446768,0.7954235130164307,male,61,4,56.48487296499661,0.8012218319927342,59.14688819099683,neu,0.5359737609978765,58.28099609000492,58.3456663590041,10,82,1,Monday,hall,5.89,48,image_stim_n.png,faceWord_exp,102.09291044299607,left,1,22
65.31555993901566,61.3132957740163,-0.7774272008663468,0.7955944270070177,male,208,4,60.51770134700928,0.8015661080135033,65.63020848101587,neu,0.4869175660132896,62.31394406000618,64.82864237300237,11,0,1,Monday,theme,5.43,48,image_stim_n.png,faceWord_exp,108.57588637899607,left,1,22
