word_trigger,duration_frames,onset_img,duration_measured_word,condition,gender,rt,no,response,duration_measured_img,word_score_pc,delay_frames_before,key_t,delay_frames_after,offset_img,offset_word,pause_trigger_t,pause_trigger,img_trigger,img,word_score_warriner,ID,age,scan day,word,onset_word,word_label,correct_resp,session
13,42,4.817601989983814,0.7113077480171341,faceWord_exp,female,0.816987414000323,1,b,0.6978887029981706,0.4395766978022416,180,5.634589403984137,336,5.5154906929819845,1.7325644310039934,2.7331111029780004,41,21,image_stim_p.png,5.67,PK,22,Monday,red,1.0212566829868592,neu,1,4
13,42,17.44985946197994,0.6945825440052431,faceWord_exp,female,0.5352883890154772,2,y,0.6998201590031385,0.12602488928311428,336,17.985147850995418,180,18.14967962098308,11.816087210987462,12.816336399991997,42,22,image_stim_n.png,5.1,PK,22,Monday,shoulder,11.121504666982219,neu,1,4
13,42,27.502224523981567,0.7048389909905382,faceWord_exp,female,0.45228154500364326,3,b,0.6988228410191368,0.1872293205875,336,27.95450606898521,180,28.201047365000704,21.867194914986612,22.868264980003005,41,21,image_stim_p.png,5.95,PK,22,Monday,elevator,21.162355923996074,neu,1,4
13,42,34.9352019369835,0.6902500390133355,faceWord_exp,female,0.4036690090142656,4,b,0.6996374200098217,-2.547043884761341,180,35.33887094599777,336,35.634839356993325,31.901356371003203,32.90211628799443,41,21,image_stim_p.png,5.85,PK,22,Monday,circus,31.211106331989868,neu,1,4
11,42,44.969491135998396,0.6899143679765984,faceWord_exp,female,0.4037135539983865,5,b,0.6993542189884465,-2.066768843681998,180,45.37320468999678,336,45.66884535498684,41.93473670198,42.93614069800242,31,21,image_stim_p.png,7.27,PK,22,Monday,honey,41.2448223340034,pos,1,4
11,42,55.00999686997966,0.6883956509991549,faceWord_exp,female,0.33008201001212,6,b,0.6932201680028811,-1.2316584124512135,180,55.34007887999178,336,55.70321703798254,51.96930576997693,52.96984875499038,31,21,image_stim_p.png,6.35,PK,22,Monday,banjo,51.28091011897777,pos,1,4
11,42,67.63629845698597,0.6910124990099575,faceWord_exp,female,0.4384475059923716,7,b,0.7008441849902738,-2.93465986085152,336,68.07474596297834,180,68.33714264197624,62.00329329399392,63.00423807397601,31,21,image_stim_p.png,6.84,PK,22,Monday,festival,61.31228079498396,pos,1,4
13,42,75.07114427399938,0.6927802799909841,faceWord_exp,female,0.4368995259865187,8,y,0.7000421909906436,-0.6996261236875504,180,75.5080437999859,336,75.77118646499002,72.0374965039955,73.03807461698307,42,22,image_stim_n.png,5.67,PK,22,Monday,bell,71.34471622400451,neu,1,4
11,42,87.7056281339901,0.6924915340205189,faceWord_exp,female,0.4702783079992514,9,b,0.6996000290091615,-2.1205664047688315,336,88.17590644198935,180,88.40522816299926,82.0713861999975,83.07214775300235,31,21,image_stim_p.png,7.24,PK,22,Monday,trust,81.37889466597699,pos,1,4
11,42,97.73883431399008,0.6913347610097844,faceWord_exp,female,0.4048948219860904,10,b,0.700584648991935,-2.303583541830637,336,98.14372913597617,180,98.43941896298202,92.10543659099494,93.1063351619814,31,21,image_stim_p.png,6.68,PK,22,Monday,wonder,91.41410182998516,pos,1,4
12,42,107.77289673499763,0.6917748840060085,faceWord_exp,female,0.35502554298727773,11,y,0.7004184249963146,0.060511318752979076,336,108.12792227798491,180,108.47331515999394,102.13935502798995,103.1402253319975,32,22,image_stim_n.png,4.83,PK,22,Monday,pig,101.44758014398394,neg,1,4
11,42,115.20701210698462,0.6889491470064968,faceWord_exp,female,0.5538051890034694,12,b,0.6994555889978074,-1.883093263099396,180,115.76081729598809,336,115.90646769598243,112.17343863699352,113.17435486600152,31,21,image_stim_p.png,6.15,PK,22,Monday,choir,111.48448948998703,pos,1,4
12,42,125.24117018998368,0.6902772439934779,faceWord_exp,female,0.37061434000497684,13,y,0.699864708003588,3.4698173961771306,180,125.61178452998865,336,125.94103489798727,122.20745668298332,123.20838161298889,32,22,image_stim_n.png,3.4,PK,22,Monday,animosity,121.51717943898984,neg,1,4
11,42,135.27603434099,0.6924542149936315,faceWord_exp,female,0.3370156559976749,14,b,0.6991002110007685,-2.30162279277581,180,135.61304999698768,336,135.97513455199078,132.24144639098085,133.24234513400006,31,21,image_stim_p.png,7.05,PK,22,Monday,heroism,131.54899217598722,pos,1,4
11,42,145.30860344899702,0.6926943769794889,faceWord_exp,female,0.42117025499464944,15,b,0.7004328710027039,-3.0311112754680245,180,145.72977370399167,336,146.00903631999972,142.2755209969764,143.27623158399365,31,21,image_stim_p.png,7.75,PK,22,Monday,peace,141.58282661999692,pos,1,4
13,42,157.94292420899728,0.6914131570083555,faceWord_exp,female,0.5048307160031982,16,y,0.7003223829960916,-0.5273916336755435,336,158.44775492500048,180,158.64324659199337,152.309594913997,153.3105429529969,42,22,image_stim_n.png,5.83,PK,22,Monday,scientist,151.61818175698863,neu,1,4
12,42,167.9777419999882,0.6930353320203722,faceWord_exp,female,0.337046686996473,17,y,0.6996987570018973,0.7532200949518182,336,168.31478868698468,180,168.6774407569901,162.34357181200176,163.3444194170006,32,22,image_stim_n.png,4.19,PK,22,Monday,loan,161.65053647998138,neg,1,4
12,42,178.01113360299496,0.690410613984568,faceWord_exp,female,0.3213800959929358,18,y,0.7003679609915707,3.1835494020570807,336,178.3325136989879,180,178.71150156398653,172.37758818798466,173.37843600299675,32,22,image_stim_n.png,3.17,PK,22,Monday,explosion,171.6871775740001,neg,1,4
13,42,188.04512181298924,0.6897785519831814,faceWord_exp,female,0.3539291959896218,19,b,0.7003766589914449,-0.7774272008663468,336,188.39905100897886,180,188.74549847198068,182.4117338199867,183.41252987697953,41,21,image_stim_p.png,5.43,PK,22,Monday,theme,181.7219552680035,neu,1,4
12,42,195.47854799899505,0.6934232809871901,faceWord_exp,female,0.38773322498309426,20,y,0.7006757629860658,-0.10198134801944247,180,195.86628122397815,336,196.17922376198112,192.4457382169785,193.44662344400422,32,22,image_stim_n.png,4.16,PK,22,Monday,saw,191.7523149359913,neg,1,4
11,42,205.5157237899839,0.6920201830216683,faceWord_exp,female,0.2683797780191526,21,b,0.6975475329963956,-1.301667818567906,180,205.78410356800305,336,206.2132713229803,202.47965231200214,203.4805102919927,31,21,image_stim_p.png,6.71,PK,22,Monday,bicycle,201.78763212898048,pos,1,4
13,42,218.14706992800348,0.6919805599900428,faceWord_exp,female,0.3881850019970443,22,b,0.7005539489910007,-0.4066038871991289,336,218.53525493000052,180,218.84762387699448,212.5137026939774,213.51440374998492,41,21,image_stim_p.png,5.79,PK,22,Monday,baseball,211.82172213398735,neu,1,4
13,42,228.17985901900101,0.6905608089873567,faceWord_exp,female,0.35610289897886105,23,y,0.7016815249808133,0.6669259665908855,336,228.53596191797988,180,228.88154054398183,222.54778593598166,223.54883383898414,42,22,image_stim_n.png,5.38,PK,22,Monday,businessman,221.8572251269943,neu,1,4
12,42,238.2158034289896,0.6911495639942586,faceWord_exp,female,0.5368441010068636,24,y,0.6996827069961,0.42679466080263373,336,238.75264752999647,180,238.9154861359857,232.5818188499834,233.5827247989946,32,22,image_stim_n.png,4.75,PK,22,Monday,zone,231.89066928598913,neg,1,4
