word_score_warriner,img,onset_word,duration_measured_word,duration_frames,delay_frames_before,scan day,condition,offset_img,offset_word,rt,age,gender,word_score_pc,onset_img,correct_resp,word,duration_measured_img,no,ID,delay_frames_after,session,word_label,response,key_t
5.44,image_stim_p.png,0.6608721999218687,0.4484376000473276,28,148,Monday,faceWord_exp,4.041690099984407,1.1093097999691963,0.5147026999620721,22,male,-0.2527650722021685,3.5778968000086024,,arm,0.463793299975805,1,1,148,5,neu,p,4.0925994999706745
7.05,image_stim_p.png,6.5184191999724135,0.45580160000827163,28,148,Monday,faceWord_exp,9.906447599991225,6.974220799980685,0.497693800018169,22,male,-1.1429809241505904,9.443700099946,,book,0.462747500045225,2,1,148,5,pos,p,9.941393899964169
7.25,image_stim_p.png,12.379571400000714,0.4601705999812111,28,148,Monday,faceWord_exp,15.77192979992833,12.839741999981925,0.5308050999883562,22,male,-2.547338598571031,15.308816300006583,,tulip,0.46311349992174655,3,1,148,5,pos,p,15.83962139999494
4.5,image_stim_n.png,18.24445320002269,0.4603859999915585,28,148,Monday,faceWord_exp,21.63757599995006,18.70483920001425,0.46620040002744645,22,male,0.5712560851538326,21.172648799954914,,election,0.4649271999951452,4,1,148,5,neg,n,21.63884919998236
5.43,image_stim_p.png,24.10630460001994,0.4631796999601647,28,148,Monday,faceWord_exp,27.50263649993576,24.569484299980104,0.44833149993792176,22,male,0.14106522732466809,27.03868430003058,,editor,0.46395219990517944,5,1,148,5,neu,p,27.487015799968503
4.26,image_stim_n.png,29.971950099919923,0.46323970006778836,28,148,Monday,faceWord_exp,33.368135800003074,30.43518979998771,0.4822025999892503,22,male,0.7498341013103271,32.903424600022845,,dictation,0.46471119998022914,6,1,148,5,neg,n,33.385627200012095
5.28,image_stim_n.png,35.83581780001987,0.46468809992074966,28,148,Monday,faceWord_exp,39.23333630000707,36.30050589994062,0.2827871999470517,22,male,-0.7502239645266248,38.7684370999923,,ticket,0.46489920001477003,7,1,148,5,neu,p,39.05122429993935
5.64,image_stim_n.png,41.703465900034644,0.4623896999983117,28,148,Monday,faceWord_exp,45.098801099928096,42.165855600032955,0.5149426999269053,22,male,0.4587040848007746,44.6344060000265,,company,0.4643950999015942,8,1,148,5,neu,n,45.14934869995341
2.82,image_stim_n.png,47.569469499983825,0.461642500013113,28,148,Monday,faceWord_exp,50.964159499970265,48.03111199999694,0.33237560000270605,22,male,3.0668244091236065,50.49921219993848,,whine,0.4649473000317812,9,1,148,5,neg,n,50.83158779994119
3.15,image_stim_n.png,53.43218659993727,0.4641152999829501,28,148,Monday,faceWord_exp,56.829232699936256,53.89630189992022,0.38259169994853437,22,male,3.227422121163128,56.36420409998391,,riot,0.4650285999523476,10,1,148,5,neg,n,56.74679579993244
5.57,image_stim_n.png,59.298140099970624,0.4638659000629559,28,148,Monday,faceWord_exp,62.69418669992592,59.76200600003358,0.5645408000564203,22,male,-1.1343736111597311,62.23054489993956,,rum,0.46364179998636246,11,1,148,5,neu,n,62.79508569999598
5.58,image_stim_p.png,65.16335529997014,0.46347590000368655,28,148,Monday,faceWord_exp,68.55936269997619,65.62683119997382,0.3974660000531003,22,male,-0.8220066925000616,68.0960497999331,,dime,0.46331290004309267,12,1,148,5,neu,n,68.4935157999862
5.84,image_stim_n.png,71.02894649992231,0.463453600066714,28,148,Monday,faceWord_exp,74.42455689993221,71.49240009998903,0.582217299961485,22,male,0.002541127499528235,73.96064309997018,,umbrella,0.46391379996202886,13,1,148,5,neu,n,74.54286039993167
