condition,word,duration_measured_img,key_t,age,pause_trigger_t,scan day,duration_frames,pause_trigger,word_score_warriner,onset_word,img,correct_resp,word_trigger,duration_measured_word,word_label,delay_frames_after,delay_frames_before,gender,img_trigger,offset_word,word_score_pc,no,ID,offset_img,session,response,onset_img,rt
faceWord_exp,rake,0.6591530999867246,13.72735499998089,22,3.697063600004185,Monday,24,32,4.75,1.452092099993024,image_stim_n.png,0,12,0.6253373000072315,neg,180,336,female,22,2.0774294000002556,0.5993691927879942,1,B12,12.14867999998387,6,b,11.489526899997145,2.2378280999837443
faceWord_exp,party,0.6227558000246063,28.106274499965366,22,18.963698900013696,Monday,24,31,7.18,16.80664099997375,image_stim_p.png,1,11,0.5680818000109866,pos,180,336,female,21,17.37472279998474,-2.3202480308548075,2,B12,27.437239699997008,6,b,26.8144838999724,1.2917905999929644
faceWord_exp,table,0.5798177000251599,39.51696149999043,22,34.31844409997575,Monday,24,42,5.49,32.158108500007074,image_stim_n.png,1,13,0.5886469999677502,neu,336,180,female,22,32.746755499974824,0.1576901893660491,3,B12,38.167312400008086,6,y,37.587494699982926,1.9294668000075035
faceWord_exp,mayor,0.5673440999817103,54.56602640001802,22,49.30834699998377,Monday,24,32,4.59,46.95529820001684,image_stim_n.png,1,12,0.6716499999747612,neg,336,180,female,22,47.6269481999916,0.3271241198863318,4,B12,53.36258590000216,6,y,52.79524180002045,1.7707845999975689
faceWord_exp,crow,0.5569890000042506,76.21065449999878,22,64.3725108000217,Monday,24,32,4.32,62.21649169997545,image_stim_n.png,1,12,0.6263627000153065,neg,180,336,female,22,62.842854399990756,0.8985553834191027,5,B12,72.13687649997883,6,y,71.57988749997457,4.630767000024207
faceWord_exp,dolphin,0.5878036000067368,87.4276560000144,22,78.97709120000945,Monday,24,31,6.67,76.83590659999754,image_stim_p.png,1,11,0.595754100009799,pos,180,336,female,21,77.43166070000734,-2.035068499528653,6,B12,86.77932809997583,6,b,86.19152449996909,1.2361315000453033
faceWord_exp,satire,0.6163692999980412,97.76596659998177,22,93.67010539997136,Monday,24,42,5.81,91.47285740001826,image_stim_n.png,1,13,0.6257802000036463,neu,336,180,female,22,92.0986376000219,-0.9476055713690849,7,B12,97.4801856999984,6,y,96.86381640000036,0.9021501999814063
faceWord_exp,politician,0.5572182000032626,116.88240409997525,22,108.2293622000143,Monday,24,32,3.25,106.03396779997274,image_stim_n.png,1,12,0.6128971000434831,neg,180,336,female,22,106.64686490001623,1.7380634654586231,8,B12,116.3904482999933,6,y,115.83323009999003,1.0491739999852143
faceWord_exp,prison,0.5573795000091195,130.97774210001808,22,123.22446589998435,Monday,24,32,1.94,121.03742979996605,image_stim_n.png,0,12,0.6327638000366278,neg,180,336,female,22,121.67019360000268,3.587794463102913,9,B12,131.01313149998896,6,b,130.45575199997984,0.5219901000382379
faceWord_exp,finger,0.5797394000110216,146.42534680000972,22,137.93077239999548,Monday,24,41,5.8,135.78453820000868,image_stim_p.png,1,13,0.5713941999711096,neu,180,336,female,21,136.3559323999798,-0.3659926056186196,10,B12,145.79931490001036,6,b,145.21957549999934,1.2057713000103831
faceWord_exp,role,0.5740402999799699,156.39778220001608,22,152.60713099996792,Monday,24,41,5.1,150.46283089998178,image_stim_p.png,1,13,0.6102739000343718,neu,336,180,female,21,151.07310480001615,0.07641955756997082,11,B12,156.35920469998382,6,b,155.78516440000385,0.6126178000122309
faceWord_exp,judge,0.584712199983187,175.32036309997784,22,167.37335150002036,Monday,24,32,3.89,165.27684539998882,image_stim_n.png,1,12,0.5400839999783784,neg,180,336,female,22,165.8169293999672,1.421533554407035,12,B12,175.14543979999144,6,y,174.56072760000825,0.7596354999695905
faceWord_exp,river,0.5780866999994032,186.22374539996963,22,182.07123339996906,Monday,24,31,6.72,179.9337802999653,image_stim_p.png,1,11,0.6136647000093944,pos,336,180,female,21,180.5474449999747,-1.8284590275958619,13,B12,185.8744149999693,6,b,185.2963282999699,0.9274170999997295
faceWord_exp,chipmunk,0.5861928999656811,200.64138159999857,22,196.78706860000966,Monday,24,31,7.33,194.69700079999166,image_stim_p.png,1,11,0.5873610000126064,pos,336,180,female,21,195.28436180000426,-1.071197614358652,14,B12,200.55798009998398,6,b,199.9717872000183,0.6695943999802694
faceWord_exp,funeral,0.6096778000355698,216.9045251000207,22,211.50583259999985,Monday,24,32,2.07,209.2376421999652,image_stim_n.png,1,12,0.6239456000039354,neg,336,180,female,22,209.86158779996913,4.494524106175375,15,B12,215.48823680001078,6,y,214.8785589999752,2.02596610004548
faceWord_exp,protest,0.5885231999563985,231.9732727999799,22,226.62520369997947,Monday,24,32,4.42,224.4264582999749,image_stim_n.png,0,12,0.6457070000469685,neg,336,180,female,22,225.07216530002188,1.346131993343653,16,B12,230.30373649997637,6,b,229.71521330001997,2.258059499959927
faceWord_exp,elm,0.6087659999611787,249.3214117999887,22,241.3685312999878,Monday,24,31,6.32,239.2295518000028,image_stim_p.png,1,11,0.5960893000010401,pos,180,336,female,21,239.82564110000385,-1.1812540207039297,17,B12,249.31994179997128,6,b,248.7111758000101,0.6102359999786131
faceWord_exp,forest,0.5381105000269599,264.9029398999992,22,256.4556157999905,Monday,24,31,6.68,254.11872829997446,image_stim_p.png,1,11,0.6782876999932341,pos,180,336,female,21,254.7970159999677,-1.6320665929887423,18,B12,264.10039530001814,6,b,263.5622847999912,1.3406551000080071
faceWord_exp,dinner,0.5933600999996997,279.1074618999846,22,270.8264944999828,Monday,24,31,6.4,268.7493088999763,image_stim_p.png,1,11,0.5911186000448652,pos,180,336,female,21,269.3404275000212,-2.2453726125286497,19,B12,278.8818768999772,6,b,278.2885167999775,0.8189451000071131
faceWord_exp,read,0.5917181999539025,293.82302299997536,22,285.91669340000954,Monday,24,31,6.73,283.7566594000091,image_stim_p.png,1,11,0.5900342999957502,pos,180,336,female,21,284.34669370000483,-1.87678309604286,20,B12,293.7823388999677,6,b,293.1906207000138,0.6324022999615408
faceWord_exp,era,0.6031400999636389,305.8756460999721,22,300.9842636999674,Monday,24,41,5.29,298.85208189999685,image_stim_p.png,1,13,0.5992368999868631,neu,336,180,female,21,299.4513187999837,0.38949539348709145,21,B12,304.7675705999718,6,b,304.16443050000817,1.7112155999639072
