pause_trigger_t,ID,word_score_warriner,no,rt,gender,img_trigger,scan day,correct_resp,response,session,img,onset_word,word_label,delay_frames_after,offset_word,onset_img,word,pause_trigger,age,key_t,word_score_pc,duration_measured_word,duration_measured_img,duration_frames,offset_img,word_trigger,delay_frames_before,condition
3.441816319944337,5,5.62,1,0.7168070300249383,female,21,Monday,1,b,2,image_stim_p.png,1.2615939469542354,neu,336,2.3090363069204614,5.880085638957098,speech,41,22,6.596892668982036,-0.18776275500974607,1.047442359966226,1.029550620005466,42,6.909636258962564,13,180,faceWord_exp
14.792132491944358,5,2.35,2,0.6353354130405933,female,22,Monday,1,y,2,image_stim_n.png,13.098599239951,neg,336,13.791212889947928,17.459341881913133,terrorist,32,22,18.094677294953726,4.537930167489568,0.6926136499969289,0.8474247150588781,42,18.30676659697201,12,180,faceWord_exp
25.65825151093304,5,3.57,3,0.758192314999178,female,22,Monday,1,y,2,image_stim_n.png,23.96513943793252,neg,336,24.657653740956448,27.688066547969356,cough,32,22,28.446258862968534,2.483224745184551,0.6925143030239269,0.7028611060231924,42,28.39092765399255,12,180,faceWord_exp
36.474944188958034,5,6.4,4,0.822371066082269,female,21,Monday,1,b,2,image_stim_p.png,34.03342361794785,pos,336,35.09222514193971,38.705662456923164,piano,31,22,39.52803352300543,-1.7947555393350414,1.0588015239918604,0.7015997560229152,42,39.40726221294608,11,180,faceWord_exp
46.84147210000083,5,7.28,5,0.7254602849716321,female,21,Monday,1,b,2,image_stim_p.png,45.09549019893166,pos,180,45.80726118898019,51.47029931994621,knowledge,31,22,52.19575960491784,-1.6425048482978826,0.7117709900485352,0.7036477960646152,42,52.17394711601082,11,336,faceWord_exp
57.90776798198931,5,4.54,6,0.8730125069851056,female,22,Monday,1,y,2,image_stim_n.png,55.994816354010254,neg,336,56.839700052980334,59.93718678900041,office,32,22,60.81019929598551,0.6502198887451732,0.8448836989700794,0.702551006921567,42,60.639737795921974,12,180,faceWord_exp
67.94108424591832,5,2.53,7,,female,22,Monday,,,2,image_stim_n.png,66.24504853994586,neg,336,66.93973810400348,69.96547681593802,angry,32,22,,3.4296451702105397,0.6946895640576258,0.6910983190173283,42,70.65657513495535,12,180,faceWord_exp
78.89080944401212,5,5.55,8,0.9305770969949663,female,22,Monday,1,y,2,image_stim_n.png,77.13084796792828,neu,336,77.87417540000752,80.91349420300685,eggplant,42,22,81.84407130000181,-0.09980687036967174,0.7433274320792407,0.6932194059481844,42,81.60671360895503,13,180,faceWord_exp
88.9071608389495,5,6.48,9,0.6891348770586774,female,21,Monday,1,b,2,image_stim_p.png,87.2150059469277,pos,180,87.90682813595049,93.53840641793795,carnival,31,22,94.22754129499663,-2.4114282062334524,0.6918221890227869,0.7017903410596773,42,94.24019675899763,11,336,faceWord_exp
100.4418645639671,5,5.5,10,0.8722706160042435,female,22,Monday,1,y,2,image_stim_n.png,97.93349816894624,neu,180,98.97511022700928,105.18973305891268,winter,42,22,106.06200367491692,0.3495373155897487,1.0416120580630377,0.6998043820494786,42,105.88953744096216,13,336,faceWord_exp
