age,delay_frames_before,correct_resp,offset_img,onset_img,rt,word_score_warriner,word_score_pc,word_label,word_trigger,img_trigger,onset_word,scan day,gender,condition,img,duration_measured_img,key_t,session,word,delay_frames_after,response,duration_measured_word,pause_trigger,pause_trigger_t,ID,no,offset_word,duration_frames
22,180,0,5.563020134010003,4.852973840010236,5.761329863991705,5.49,0.1576901893660491,neu,13,22,1.0114875919971382,Monday,male,faceWord_exp,image_stim_n.png,0.7100462939997669,10.61430370400194,6,table,336,b,0.7675190370064229,42,2.78038523500436,14,1,1.779006629003561,42
22,180,1,15.579440699002589,14.889016793007613,1.042546679993393,5.33,-0.1985745460766808,neu,13,21,11.170874150004238,Monday,male,faceWord_exp,image_stim_p.png,0.6904239059949759,15.931563473001006,6,quantity,336,b,0.6919998950033914,41,12.863596972005325,14,2,11.86287404500763,42
22,180,0,25.595710520996363,24.905051100009587,1.4932577399886213,3.94,1.4290259416609457,neg,12,22,21.18500242099981,Monday,male,faceWord_exp,image_stim_n.png,0.6906594209867762,26.398308839998208,6,lawyer,336,b,0.6942669970012503,32,22.879752107008244,14,3,21.87926941800106,42
22,180,1,35.61200049200852,34.92104516600375,0.577068604005035,7.63,-2.539279812815429,pos,11,21,31.202564242004883,Monday,male,faceWord_exp,image_stim_p.png,0.6909553260047687,35.498113770008786,6,chocolate,336,b,0.6931340759911109,31,32.89636788700591,14,4,31.895698317995993,42
22,180,1,45.645312273001764,44.93898985200212,0.8097748919972219,7.48,-2.2232275900644445,pos,11,21,41.21816692799621,Monday,male,faceWord_exp,image_stim_p.png,0.7063224209996406,45.748764743999345,6,home,336,b,0.6939107640064321,31,42.91279531600594,14,5,41.91207769200264,42
22,336,0,58.26155067900254,57.57063778300653,1.3430856269987999,1.94,3.587794463102913,neg,12,22,51.250908542002435,Monday,male,faceWord_exp,image_stim_n.png,0.6909128959960071,58.91372341000533,6,prison,180,b,0.6942126119975001,32,52.94582186899788,14,6,51.945121153999935,42
22,180,1,65.72793118099798,65.03726618200017,0.6266758940037107,6.72,-1.8284590275958619,pos,11,21,61.26751851300651,Monday,male,faceWord_exp,image_stim_p.png,0.6906649989978177,65.66394207600388,6,river,336,b,0.7438834269996732,31,63.012214696005685,14,7,62.01140194000618,42
22,180,1,75.74411007099843,75.05344449200493,0.5768818109936547,5.95,-0.1293625696653618,neu,13,22,71.33326687000226,Monday,male,faceWord_exp,image_stim_n.png,0.690665578993503,75.63032630299858,6,escalator,336,y,0.694625043994165,42,73.02858178199676,14,8,72.02789191399643,42
22,180,1,85.7607562750054,85.06951319600921,0.39307706999534275,7.11,-1.4048581699918157,pos,11,21,81.34991807500774,Monday,male,faceWord_exp,image_stim_p.png,0.6912430789961945,85.46259026600455,6,blueberry,336,b,0.6943739330017706,31,83.04479229199933,14,9,82.0442920080095,42
22,336,0,98.37712201300019,97.68602417499642,1.7599881880014436,5.89,-0.7656585604551551,neu,13,22,91.36606884200592,Monday,male,faceWord_exp,image_stim_n.png,0.6910978380037704,99.44601236299786,6,audience,180,b,0.6946006100042723,42,93.06139363799593,14,10,92.06066945201019,42
22,180,1,105.81027872800769,105.1048419130093,1.7741847379948013,2.86,2.6698720582687456,neg,12,22,101.3835849360039,Monday,male,faceWord_exp,image_stim_n.png,0.705436814998393,106.8790266510041,6,fee,336,y,0.6934098350029672,32,103.07781229401007,14,11,102.07699477100687,42
22,336,1,118.4264901389979,117.73595119200763,0.5931810999900335,6.81,-1.5755240884938977,pos,11,21,111.41522676000022,Monday,male,faceWord_exp,image_stim_p.png,0.690538946990273,118.32913229199767,6,cheese,180,b,0.6948909799975809,31,113.11084289199789,14,12,112.1101177399978,42
22,336,0,128.4429350480059,127.75201034900965,-3.1407085210084915,4.32,0.8985553834191027,neg,12,22,121.43122001900338,Monday,male,faceWord_exp,image_stim_n.png,0.6909246989962412,124.61130182800116,6,crow,180,b,0.6952843390026828,32,123.12719201300933,14,13,122.12650435800606,42
22,180,1,135.8759463269962,135.1854157130001,0.4427049740043003,6.67,-2.035068499528653,pos,11,21,131.44818230000965,Monday,male,faceWord_exp,image_stim_p.png,0.6905306139960885,135.6281206870044,6,dolphin,336,b,0.6947032949974528,31,133.14362068600894,14,14,132.1428855950071,42
22,336,1,148.49231201600924,147.80153881599836,0.5596994420047849,7.0,-1.1380831950062478,pos,11,21,141.4817429840041,Monday,male,faceWord_exp,image_stim_p.png,0.6907732000108808,148.36123825800314,6,pumpkin,180,b,0.6941800250060624,31,143.17661734500143,14,15,142.17592300901015,42
22,336,1,158.50859827900422,157.81789064100303,0.5434269560064422,6.32,-1.1812540207039297,pos,11,21,151.49682460000622,Monday,male,faceWord_exp,image_stim_p.png,0.6907076380011858,158.36131759700947,6,elm,180,b,0.6954871799971443,31,153.1930227420089,14,16,152.19231178000337,42
22,180,0,165.92523907699797,165.23426687000028,0.47603543500008527,3.38,4.673386290788297,neg,12,22,161.51313968100294,Monday,male,faceWord_exp,image_stim_n.png,0.6909722069976851,165.71030230500037,6,woe,336,b,0.6954785220004851,32,163.20929584500846,14,17,162.20861820300343,42
22,336,1,178.55812712899933,177.85254744099802,0.5912490180053283,4.55,0.7240429444440241,neg,12,22,171.53110906900838,Monday,male,faceWord_exp,image_stim_n.png,0.7055796880013077,178.44379645900335,6,law,180,y,0.693976627997472,32,173.2257736600004,14,18,172.22508569700585,42
22,180,1,185.9746712680062,185.28355285100406,0.62720833599451,5.24,0.06851316647377265,neu,13,22,181.56404739299614,Monday,male,faceWord_exp,image_stim_n.png,0.6911184170021443,185.91076118699857,6,analogy,336,y,0.6940828780061565,42,183.25882175000152,14,19,182.2581302710023,42
22,180,1,195.990976126006,195.29985571799625,0.5607342490111478,5.33,-1.1818642926883074,neu,13,22,191.57976605001022,Monday,male,faceWord_exp,image_stim_n.png,0.6911204080097377,195.8605899670074,6,prairie,336,y,0.6947449309955118,42,193.27519782900345,14,20,192.27451098100573,42
22,180,1,206.00738109000667,205.31642784099677,0.5257587970118038,5.21,0.4070035035588155,neu,13,22,201.59602272100165,Monday,male,faceWord_exp,image_stim_n.png,0.6909532490099082,205.84218663800857,6,church,336,y,0.6948675629973877,42,203.2915888770076,14,21,202.29089028399903,42
22,336,1,218.6237392720068,217.9324495710025,0.759629580003093,3.68,1.5036737146000605,neg,12,22,211.6118401940039,Monday,male,faceWord_exp,image_stim_n.png,0.6912897010042798,218.6920791510056,6,bee,180,y,0.6954665789962746,32,213.3079859050049,14,22,212.30730677300016,42
22,336,1,228.64000180800213,227.94888365500083,0.5775121540063992,3.08,3.1738538072533196,neg,12,22,221.62810360299773,Monday,male,faceWord_exp,image_stim_n.png,0.6911181530012982,228.52639580900723,6,sin,180,y,0.6955596240004525,32,223.32435763000103,14,23,222.32366322699818,42
22,336,0,238.65647121499933,237.96551954800088,0.24390658500487916,5.78,-0.30581232848456497,neu,13,22,231.64513311600604,Monday,male,faceWord_exp,image_stim_n.png,0.6909516669984441,238.20942613300576,6,advice,180,b,0.6949141950026387,42,233.3407294110075,14,24,232.34004731100868,42
22,336,1,248.68947455700254,247.98411510000005,0.4244444799987832,6.92,-1.2017878999114775,pos,11,21,241.66227223900205,Monday,male,faceWord_exp,image_stim_p.png,0.705359457002487,248.40855957999884,6,sun,180,b,0.6941513740021037,31,243.35710869300237,14,25,242.35642361300415,42
22,336,1,258.7059543820069,258.01478090000455,0.6093520849972265,2.53,3.7741942061665816,neg,12,22,251.6941593149968,Monday,male,faceWord_exp,image_stim_n.png,0.6911734820023412,258.6241329850018,6,lost,180,y,0.6953091989998939,32,253.39016803300183,14,26,252.3894685139967,42
22,336,1,268.7221494569967,268.03115652600536,0.6105117519909982,4.59,0.3271241198863318,neg,12,22,261.71031210699584,Monday,male,faceWord_exp,image_stim_n.png,0.6909929309913423,268.64166827799636,6,mayor,180,y,0.6955427280045114,32,263.4065478929988,14,27,262.40585483500035,42
22,180,1,276.1386227900075,275.4483078159974,0.6095348500093678,5.81,-0.9476055713690849,neu,13,21,271.727238218009,Monday,male,faceWord_exp,image_stim_p.png,0.6903149740101071,276.05784266600676,6,satire,336,b,0.6950078119989485,41,273.4228590709972,14,28,272.42224603000795,42
22,336,1,288.7549600019993,288.0638549090072,0.5266965229966445,5.64,0.6345811289687322,neu,13,21,281.74320077200537,Monday,male,faceWord_exp,image_stim_p.png,0.6911050929920748,288.59055143200385,6,big,180,b,0.6954078819981078,41,283.43930679099867,14,29,282.4386086540035,42
22,336,1,298.77149465800903,298.08033400600834,0.31004001999099273,6.4,-2.2453726125286497,pos,11,21,291.7600857750076,Monday,male,faceWord_exp,image_stim_p.png,0.6911606520006899,298.39037402599934,6,dinner,180,b,0.694834791996982,31,293.45560522101005,14,30,292.4549205670046,42
22,336,1,308.78786338400096,308.0968315790087,0.34335166998789646,6.73,-1.87678309604286,pos,11,21,301.77605535500334,Monday,male,faceWord_exp,image_stim_p.png,0.6910318049922353,308.4401832489966,6,read,180,b,0.6953287679934874,31,303.47207399799663,14,31,302.4713841229968,42
22,180,1,316.2209355149971,315.51560895600414,0.5243732579983771,6.61,-1.0219663684796234,pos,11,21,311.79428867700335,Monday,male,faceWord_exp,image_stim_p.png,0.7053265589929651,316.0399822140025,6,camera,336,b,0.6934602489927784,31,313.4884512090066,14,32,312.48774892599613,42
22,180,1,326.237141058009,325.5464803259965,0.5265239260043018,4.75,0.5993691927879942,neg,12,22,321.8254429540102,Monday,male,faceWord_exp,image_stim_n.png,0.6906607320124749,326.0730042520008,6,rake,336,y,0.6953528629965149,32,323.5215177600039,14,33,322.52079581700673,42
22,180,1,336.25371093899594,335.5623324600019,0.39400834900152404,5.84,-0.6912617476649511,neu,13,21,331.8422944710037,Monday,male,faceWord_exp,image_stim_p.png,0.691378478994011,335.95634080900345,6,soccer,336,b,0.6948877279937733,41,333.5378946569981,14,34,332.53718219899747,42
22,336,1,348.869935196999,348.178200786002,0.41126152299693786,7.33,-1.071197614358652,pos,11,21,341.85834772400267,Monday,male,faceWord_exp,image_stim_p.png,0.6917344109970145,348.5894623089989,6,chipmunk,180,b,0.6951921050058445,31,343.5542553999985,14,35,342.5535398290085,42
22,180,1,356.4029120060004,355.71205363600166,0.3936095539975213,2.79,3.2726955917764444,neg,12,22,351.9417737710028,Monday,male,faceWord_exp,image_stim_n.png,0.6908583699987503,356.1056631899992,6,gunshot,336,y,0.6946994909958448,32,353.6869493510021,14,36,352.6364732619986,42
22,336,1,369.01946438499726,368.32857109500037,0.3605492610076908,5.29,0.38949539348709145,neu,13,21,362.00615812500473,Monday,male,faceWord_exp,image_stim_p.png,0.6908932899968931,368.68912035600806,6,era,180,b,0.6968234550004127,41,363.7035579170042,14,37,362.70298158000514,42
22,336,1,379.0358412689966,378.3447108440014,0.32668472299701534,3.25,1.7380634654586231,neg,12,22,372.0249929450074,Monday,male,faceWord_exp,image_stim_n.png,0.6911304249952082,378.6713955669984,6,politician,180,y,0.6943481689959299,32,373.72005423800147,14,38,372.7193411140033,42
22,180,1,386.50207751299604,385.7967690410005,0.6581732540071243,5.65,-0.15774590184623308,neu,13,22,382.0418196820101,Monday,male,faceWord_exp,image_stim_n.png,0.7053084719955223,386.45494229500764,6,comb,336,y,0.7271096789918374,42,383.76974491200235,14,39,382.76892936100194,42
22,180,1,396.70196026499616,396.01100106400554,0.2937830769951688,7.53,-3.0889019952949432,pos,11,21,392.2908963850059,Monday,male,faceWord_exp,image_stim_p.png,0.6909592009906191,396.3047841410007,6,honeymoon,336,b,0.6945383129932452,31,393.98612062200846,14,40,392.98543469799915,42
22,180,1,406.7183707420045,406.02714614100114,0.36065735200827476,6.38,-1.613773182399739,pos,11,21,402.3066829370073,Monday,male,faceWord_exp,image_stim_p.png,0.6912246010033414,406.3878034930094,6,hygiene,336,b,0.6951544409967028,31,404.0025255750079,14,41,403.001837378004,42
