word_trigger,no,duration_measured_word,word,word_label,duration_frames,delay_frames_before,pause_trigger_t,age,session,gender,word_score_warriner,offset_word,condition,ID,rt,onset_img,word_score_pc,delay_frames_after,img,offset_img,img_trigger,key_t,onset_word,correct_resp,pause_trigger,response,duration_measured_img,scan day
11,1,0.7142754039996362,coffee,pos,42,180,2.891349617999367,22,3,female,7.0,1.8714708400002564,faceWord_exp,01,0.5605329539976083,5.056899302002421,-1.8894778219780863,336,image_stim_p.png,5.765065686999151,21,5.617432256000029,1.1571954360006202,1,31,b,0.7081663849967299,Monday
11,2,0.6967850600012753,saxophone,pos,42,180,13.10176069299996,22,3,female,6.32,12.09832262800046,faceWord_exp,01,0.45004182800039416,15.162578274001135,-1.100912149643323,336,image_stim_p.png,15.858443619999889,21,15.612620102001529,11.401537567999185,1,31,b,0.6958653459987545,Monday
11,3,0.7058269139997719,joy,pos,42,336,23.19554612399952,22,3,female,8.21,22.19113998800094,faceWord_exp,01,0.4126012160013488,27.84949325300113,-3.230607919269787,180,image_stim_p.png,28.54235773899927,21,28.262094469002477,21.48531307400117,1,31,b,0.6928644859981432,Monday
13,4,0.6927196930009814,faucet,neu,42,180,33.25577028400221,22,3,female,5.55,32.252210938000644,faceWord_exp,01,0.6640839950014197,35.30094803999964,-0.123291752025302,336,image_stim_p.png,35.99588066499928,21,35.96503203500106,31.559491244999663,1,41,b,0.6949326249996375,Monday
11,5,0.6946865530007926,couple,pos,42,180,43.3159304030014,22,3,female,7.11,42.312654607001605,faceWord_exp,01,0.5141383410009439,45.360530414000095,-1.9002611819546853,336,image_stim_p.png,46.05585417399925,21,45.87466875500104,41.61796805400081,1,31,b,0.6953237599991553,Monday
13,6,0.6947327759990003,harp,neu,42,180,53.37626264199935,22,3,female,5.4,52.37284998500036,faceWord_exp,01,0.4789595879992703,55.44043858900113,-1.7878104403788575,336,image_stim_n.png,56.1327449700002,22,55.9193981770004,51.67811720900136,1,42,y,0.6923063809990708,Monday
13,7,0.694233294998412,sum,neu,42,336,63.453087412999594,22,3,female,5.71,62.449634922999394,faceWord_exp,01,0.8009123129995714,68.10330195200004,0.1511721542964875,180,image_stim_p.png,68.79993857299996,21,68.90421426499961,61.75540162800098,1,41,b,0.6966366209999251,Monday
11,8,0.6932720180011529,island,pos,42,180,73.51314722800089,22,3,female,7.18,72.50985667400164,faceWord_exp,01,0.63304950300153,75.55700236600023,-1.7760144816699572,336,image_stim_p.png,76.25316705899968,21,76.19005186900176,71.81658465600049,1,31,b,0.6961646929994458,Monday
12,9,0.6943582169988076,radish,neg,42,180,83.5733845499999,22,3,female,4.7,82.57002137200107,faceWord_exp,01,0.47868291800114093,85.63727923899933,0.33736940436804663,336,image_stim_n.png,86.330116344001,22,86.11596215700047,81.87566315500226,1,32,y,0.6928371050016722,Monday
12,10,0.6907757240005594,belch,neg,42,180,93.65030169099919,22,3,female,4.18,92.64695987700179,faceWord_exp,01,0.6599611969977559,95.70046441000159,1.9197700017151131,336,image_stim_n.png,96.4070486260025,22,96.36042560699934,91.95618415300123,1,32,y,0.7065842160009197,Monday
