gender,pause_trigger_t,delay_frames_before,duration_frames,img,no,offset_word,condition,rt,img_trigger,response,onset_img,ID,word_score_warriner,delay_frames_after,word,session,duration_measured_img,correct_resp,offset_img,onset_word,scan day,key_t,duration_measured_word,pause_trigger,age,word_score_pc,word_label,word_trigger
female,2.713079100009054,180,42,image_stim_n.png,1,1.7116215999703854,faceWord_exp,0.3823189999675378,22,y,4.799761899979785,Dolly,2.07,336,funeral,6,0.6980758999707177,1,5.497837799950503,1.0153225999092683,Monday,5.182080899947323,0.6962990000611171,32,23,4.494524106175375,neg,12
female,12.803222599904984,180,42,image_stim_p.png,2,11.802084199967794,faceWord_exp,0.4953337999759242,21,b,14.909457999980077,Dolly,6.68,336,forest,6,0.6952687000157312,1,15.604726699995808,11.110042199958116,Monday,15.404791799956001,0.6920420000096783,31,23,-1.6320665929887423,pos,11
female,22.9114257999463,336,42,image_stim_p.png,3,21.90905809996184,faceWord_exp,0.3789647000376135,21,b,27.6023758999072,Dolly,5.78,180,advice,6,0.6943965000100434,1,28.296772399917245,21.224607699899934,Monday,27.981340599944815,0.6844504000619054,41,23,-0.30581232848456497,neu,13
female,33.00048529997002,336,42,image_stim_p.png,4,31.9990550999064,faceWord_exp,0.4174244999885559,21,b,37.67105469992384,Dolly,7.18,180,party,6,0.6829288000008091,1,38.35398349992465,31.31441259989515,Monday,38.0884791999124,0.6846425000112504,31,23,-2.3202480308548075,pos,11
female,43.05725959991105,336,42,image_stim_n.png,5,42.05618949991185,faceWord_exp,0.3473008000291884,22,y,47.747341199894436,Dolly,2.29,180,guilt,6,0.6962086000712588,1,48.443549799965695,41.3629127999302,Monday,48.094641999923624,0.6932766999816522,32,23,4.2219398121868315,neg,12
female,53.14755499991588,180,42,image_stim_p.png,6,52.146086199907586,faceWord_exp,0.49855649995151907,21,b,55.18827559996862,Dolly,5.81,336,satire,6,0.6938563999719918,1,55.88213199994061,51.453424599952996,Monday,55.68683209992014,0.6926615999545902,41,23,-0.9476055713690849,neu,13
female,63.18811519991141,336,42,image_stim_p.png,7,62.18650579999667,faceWord_exp,0.5626138999359682,21,b,67.89638879999984,Dolly,7.48,180,home,6,0.6948917999397963,1,68.59128059993964,61.49417600000743,Monday,68.45900269993581,0.6923297999892384,31,23,-2.2232275900644445,pos,11
female,73.2949924999848,180,42,image_stim_n.png,8,72.2936527999118,faceWord_exp,0.4505466000409797,22,y,75.33048089989461,Dolly,5.33,336,quantity,6,0.6994352000765502,1,76.02991609997116,71.60807409998961,Monday,75.78102749993559,0.6855786999221891,42,23,-0.1985745460766808,neu,13
female,83.33412159990985,336,42,image_stim_p.png,9,82.33383529994171,faceWord_exp,0.5042359000071883,21,b,88.01781649992336,Dolly,6.4,180,dinner,6,0.6871780999936163,1,88.70499459991697,81.6395628999453,Monday,88.52205239993054,0.6942723999964073,31,23,-2.2453726125286497,pos,11
female,93.40900559991132,336,42,image_stim_n.png,10,92.40712709992658,faceWord_exp,0.4811972000170499,22,b,98.06464899994899,Dolly,3.08,180,sin,6,0.6969381000380963,0,98.76158709998708,91.71334949997254,Monday,98.54584619996604,0.6937775999540463,32,23,3.1738538072533196,neg,12
female,103.46557239990216,180,42,image_stim_p.png,11,102.46467389992904,faceWord_exp,0.3754522999515757,21,b,105.5080957999453,Dolly,6.81,336,cheese,6,0.6922144000418484,1,106.20031019998714,101.77026639995165,Monday,105.88354809989687,0.6944074999773875,31,23,-1.5755240884938977,pos,11
female,113.50585869990755,336,42,image_stim_n.png,12,112.5044818999013,faceWord_exp,0.5862300000153482,22,y,118.2081659999676,Dolly,5.29,180,era,6,0.6843649999937043,1,118.89253099996131,111.80927089997567,Monday,118.79439599998295,0.6952109999256209,42,23,0.38949539348709145,neu,13
female,123.59603619994596,180,42,image_stim_p.png,13,122.5946875999216,faceWord_exp,0.748630200047046,21,b,125.6327917999588,Dolly,5.89,336,audience,6,0.6977866999804974,1,126.33057849993929,121.89801129989792,Monday,126.38142200000584,0.6966763000236824,41,23,-0.7656585604551551,neu,13
female,133.6361176999053,336,42,image_stim_p.png,14,132.63475819991436,faceWord_exp,0.4052421000087634,21,b,138.3356714999536,Dolly,5.42,180,scooter,6,0.6865649999817833,1,139.0222364999354,131.9379299998982,Monday,138.74091359996237,0.6968282000161707,41,23,-0.9209473384247756,neu,13
female,143.7271494999295,336,42,image_stim_n.png,15,142.72491809993517,faceWord_exp,0.646545400028117,22,y,148.3670818998944,Dolly,5.84,180,soccer,6,0.6961259000236169,1,149.06320779991802,142.03608469991013,Monday,149.01362729992252,0.6888334000250325,42,23,-0.6912617476649511,neu,13
female,153.78374139999505,336,42,image_stim_n.png,16,152.7815655999584,faceWord_exp,0.46231460000853986,22,y,158.41091289999895,Dolly,3.68,180,bee,6,0.6921674999175593,1,159.1030803999165,152.0827041999437,Monday,158.8732275000075,0.6988614000147209,32,23,1.5036737146000605,neg,12
female,163.80773599992972,180,42,image_stim_p.png,17,162.8048131999094,faceWord_exp,0.5359393999679014,21,b,165.83927769993898,Dolly,5.24,336,analogy,6,0.6853668000549078,1,166.52464449999388,162.10877849999815,Monday,166.37521709990688,0.6960346999112517,41,23,0.06851316647377265,neu,13
female,173.83095769991633,336,42,image_stim_p.png,18,172.8291150999721,faceWord_exp,0.5601987999398261,21,b,178.4904896999942,Dolly,7.63,180,chocolate,6,0.6931925999233499,1,179.18368229991756,172.1350980999414,Monday,179.05068849993404,0.6940170000307262,31,23,-2.539279812815429,pos,11
female,183.88758059998509,336,42,image_stim_p.png,19,182.88624729996081,faceWord_exp,0.5700008999556303,21,b,188.52178439998534,Dolly,6.73,180,read,6,0.6856339999940246,1,189.20741839997936,182.1898949999595,Monday,189.09178529994097,0.6963523000013083,31,23,-1.87678309604286,pos,11
