pause_trigger,condition,offset_img,delay_frames_after,scan day,gender,word_score_pc,delay_frames_before,word_label,word,no,pause_trigger_t,word_trigger,duration_measured_img,img_trigger,session,word_score_warriner,offset_word,duration_frames,correct_resp,response,ID,img,onset_img,onset_word,duration_measured_word,age,rt,key_t
31,faceWord_exp,3.582037600019248,200,Monday,female,-3.1565376907491283,120,pos,vacation,1,2.2831156000029296,11,0.2857444000255782,21,2,8.53,1.2829022000078112,18,1,b,JSN,image_stim_p.png,3.29629319999367,0.9941837000078522,0.288718499999959,23,0.6866138000041246,3.9829069999977946
41,faceWord_exp,9.514527899998939,200,Monday,female,-0.6680004122251881,120,neu,monkey,2,8.215441900014412,13,0.28611600000294857,21,2,5.82,7.215239100012695,18,1,b,JSN,image_stim_p.png,9.22841189999599,6.919781500007957,0.2954576000047382,23,0.5865648000035435,9.814976699999534
32,faceWord_exp,16.781159300007857,120,Monday,female,3.4296451702105397,200,neg,angry,3,14.148107999993954,12,0.28759290001471527,22,2,2.53,13.14782899999409,18,1,y,JSN,image_stim_n.png,16.493566399993142,12.851223900011973,0.29660509998211637,23,0.8043099000060465,17.29787629999919
31,faceWord_exp,21.379871000011917,200,Monday,female,-2.461915733068042,120,pos,embrace,4,20.080176100018434,11,0.2882471000193618,21,2,7.0,19.080552300001727,18,1,b,JSN,image_stim_p.png,21.091623899992555,18.783479000005173,0.29707329999655485,23,0.6721470000047702,21.763770899997326
31,faceWord_exp,28.645952499995474,120,Monday,female,-2.4114282062334524,200,pos,carnival,5,26.013156800006982,11,0.28812769998330623,21,2,6.48,25.013107300008414,18,1,b,JSN,image_stim_p.png,28.357824800012168,24.71604220001609,0.29706509999232367,23,0.505299999989802,28.86312480000197
31,faceWord_exp,34.57840570001281,120,Monday,female,-1.3205598447631597,200,pos,chicken,6,31.945922000013525,11,0.2866546000004746,21,2,6.17,30.94559180000215,18,1,b,JSN,image_stim_p.png,34.291751100012334,30.649139600020135,0.29645219998201355,23,0.4868672000011429,34.77861830001348
32,faceWord_exp,39.177628600009484,200,Monday,female,0.7321109855355353,120,neg,axe,7,37.87843310000608,12,0.28774960001464933,22,2,3.48,36.878050500003155,18,1,y,JSN,image_stim_n.png,38.889878999994835,36.581777200015495,0.2962732999876607,23,0.288202600000659,39.178081599995494
41,faceWord_exp,46.443452900013654,120,Monday,female,0.17918122123944408,200,neu,verb,8,43.810850900015794,13,0.2867876999953296,21,2,5.27,42.81080649999785,18,1,b,JSN,image_stim_p.png,46.156665200018324,42.51283950000652,0.29796699999133125,23,0.670814099983545,46.82747930000187
32,faceWord_exp,52.375950400019065,120,Monday,female,4.02985566434138,200,neg,problem,9,49.74344859999837,12,0.28821940001216717,22,2,3.52,48.742872600007104,18,1,y,JSN,image_stim_n.png,52.0877310000069,48.447059800004354,0.29581280000275,23,0.9554998000094201,53.04323080001632
32,faceWord_exp,56.97540409999783,200,Monday,female,0.2032181950076048,120,neg,lab,10,55.67622059999849,12,0.28814190000412054,22,2,4.57,54.67576889999327,18,1,y,JSN,image_stim_n.png,56.68726219999371,54.37771570001496,0.2980531999783125,23,1.0887201000005007,57.77598229999421
