correct_resp,condition,duration_measured_img,session,img,img_trigger,duration_measured_word,delay_frames_before,onset_img,pause_trigger_t,rt,key_t,duration_frames,age,word,word_score_warriner,delay_frames_after,gender,word_score_pc,word_label,onset_word,response,offset_word,offset_img,ID,word_trigger,scan day,pause_trigger,no
1,faceWord_exp,0.7542151800007559,2,image_stim_p.png,21,0.6969098080007825,180,5.037297311999282,2.7175758049997967,0.4903714720021526,5.527668784001435,42,22,joke,7.88,336,female,-1.8879163634684628,pos,1.016805197999929,b,1.7137150060007116,5.791512492000038,01,11,Monday,31,1
1,faceWord_exp,0.7069388480013004,2,image_stim_p.png,21,0.6933265180014132,336,17.76860164699974,13.112153572998068,0.4756461670003773,18.24424781400012,42,22,summer,7.5,180,female,-1.7608811602119443,pos,11.414955571999599,b,12.108282090001012,18.47554049500104,01,11,Monday,31,2
1,faceWord_exp,0.7022100039976067,2,image_stim_p.png,21,0.7057082659994194,180,25.26033396300045,23.206046081999375,0.40582260999872233,25.66615657299917,42,22,carnival,6.48,336,female,-2.4114282062334524,pos,21.496163943000283,b,22.201872208999703,25.962543966998055,01,11,Monday,31,3
1,faceWord_exp,0.6965027709993592,2,image_stim_n.png,22,0.893992414999957,336,39.35364733800088,34.686473619000026,2.372266545997263,41.725913883998146,42,22,store,5.94,180,female,-0.8400509032218062,neu,32.78932253400126,y,33.683314949001215,40.05015010900024,01,13,Monday,42,4
1,faceWord_exp,0.6971023740006785,2,image_stim_p.png,21,0.6936106749999453,180,46.80629410799884,44.763550255000155,0.6005991050005832,47.40689321299942,42,22,power,5.97,336,female,-0.02119054453060663,neu,43.06668878799974,b,43.76029946299968,47.503396481999516,01,13,Monday,41,5
1,faceWord_exp,0.6971763680012373,2,image_stim_n.png,22,0.6930753920023562,336,59.47363463199872,54.82358669799942,0.5839513179998903,60.05758594999861,42,22,eggplant,5.55,180,female,-0.09980687036967174,neu,53.1271088479989,y,53.820184240001254,60.17081099999996,01,13,Monday,42,6
1,faceWord_exp,0.696492921000754,2,image_stim_n.png,22,0.6935719870016328,336,69.53411397300079,64.88391740699808,0.6839132839995727,70.21802725700036,42,22,camel,5.29,180,female,0.0657349158769076,neu,63.1870695639991,y,63.880641551000735,70.23060689400154,01,13,Monday,42,7
1,faceWord_exp,0.7514509769971482,2,image_stim_n.png,22,1.048663139998098,180,79.53962382800091,76.33214510700054,0.45558370999788167,79.9952075379988,42,22,problem,3.52,336,female,4.02985566434138,neg,73.87793762000001,y,74.92660075999811,80.29107480499806,01,12,Monday,32,8
1,faceWord_exp,0.7043971349994536,2,image_stim_p.png,21,0.7786320420018455,336,94.91084371000034,90.25160980800138,1.1767707809995045,96.08761449099984,42,22,winter,5.5,180,female,0.3495373155897487,neu,88.46965503799947,b,89.24828708000132,95.61524084499979,01,13,Monday,41,9
1,faceWord_exp,1.170788455998263,2,image_stim_p.png,21,1.1301472279992595,336,107.58118889300022,101.53236710700003,1.42439756100066,109.00558645400088,42,22,optimism,7.21,180,female,-2.7563434535584275,pos,99.14974950100077,b,100.27989672900003,108.75197734899848,01,11,Monday,31,10
1,faceWord_exp,0.8460484960014583,2,image_stim_n.png,22,1.1122140990009939,180,118.16578944899811,116.10395887599952,0.7324304950016085,118.89821994399972,42,22,ricochet,4.75,336,female,1.0482300490198866,neg,113.65572223599884,y,114.76793633499983,119.01183794499957,01,12,Monday,32,11
1,faceWord_exp,0.697343504998571,2,image_stim_p.png,21,1.0308866669984127,336,133.82173840399992,128.18735592200028,1.08486012800131,134.90659853200123,42,22,musical,7.68,180,female,-1.3503642789447028,pos,125.66739469499953,b,126.69828136199794,134.5190819089985,01,11,Monday,31,12
1,faceWord_exp,0.6981971630011685,2,image_stim_n.png,22,0.6945116940005391,336,144.33235048200004,139.23242666199803,0.6682123409991618,145.0005628229992,42,22,clang,4.1,180,female,1.472290472628449,neg,137.53449421799814,y,138.22900591199868,145.0305476450012,01,12,Monday,32,13
1,faceWord_exp,0.6970457479983452,2,image_stim_n.png,22,0.6947383579972666,336,154.3937534100005,149.74385860599796,0.6839980959994136,155.0777515059999,42,22,tired,4.29,180,female,2.351878020671037,neg,148.04583134700079,y,148.74056970499805,155.09079915799884,01,12,Monday,32,14
1,faceWord_exp,0.8142460690032749,2,image_stim_n.png,22,0.6949410240013094,336,164.45431035399815,159.8039886000006,0.5852612810012943,165.03957163499945,42,22,hoe,4.8,180,female,0.2623575316864496,neg,158.10564936199808,y,158.80059038599939,165.26855642300143,01,12,Monday,32,15
1,faceWord_exp,1.0205924630026857,2,image_stim_p.png,21,0.6946199289996002,180,172.5016463389984,170.3320884140012,0.7278557080026076,173.229502047001,42,22,chicken,6.17,336,female,-1.3205598447631597,pos,168.6341688979992,b,169.3287888269988,173.52223880200108,01,11,Monday,31,16
1,faceWord_exp,0.9629358239981229,2,image_stim_n.png,22,0.6912899620001554,180,183.2906399200001,181.2445686989995,0.7151654959998268,184.00580541599993,42,22,toaster,5.8,336,female,-0.5451009915059291,neu,179.55004138200093,y,180.24133134400108,184.25357574399823,01,13,Monday,42,17
1,faceWord_exp,0.6967589990017586,2,image_stim_n.png,22,0.6953780570001982,180,196.1220437209995,193.62783827599924,1.7195858240011148,197.84162954500061,42,22,plea,4.35,336,female,2.166481281776448,neg,191.9292505839985,y,192.6246286409987,196.81880272000126,01,12,Monday,32,18
1,faceWord_exp,0.6969787380003254,2,image_stim_p.png,21,0.6943577409983845,180,206.18232219299898,204.13907154999833,0.6820739110007707,206.86439610399975,42,22,vacation,8.53,336,female,-3.1565376907491283,pos,202.44154170299953,b,203.1358994439979,206.8793009309993,01,11,Monday,31,19
1,faceWord_exp,0.6970615390018793,2,image_stim_p.png,21,1.0965362599999935,180,219.3672276319994,216.4238547290006,0.9184349679999286,220.28566259999934,42,22,scissors,5.03,336,female,0.4272037094573085,neu,213.85500911800045,b,214.95154537800045,220.0642891710013,01,13,Monday,41,20
1,faceWord_exp,0.696925962001842,2,image_stim_p.png,21,0.6945826189985382,336,232.48538874699807,227.835722101001,0.7175735260025249,233.2029622730006,42,22,speech,5.62,180,female,-0.18776275500974607,neu,226.13776846700057,b,226.8323510859991,233.1823147089999,01,13,Monday,41,21
1,faceWord_exp,0.6965653369989013,2,image_stim_n.png,22,0.693736875000468,180,239.93903538000086,237.8959111740005,1.4025139669975033,241.34154934699836,42,22,excuse,4.52,336,female,2.373388118792564,neg,236.19902446999913,y,236.8927613449996,240.63560071699976,01,12,Monday,32,22
1,faceWord_exp,0.6971237379984814,2,image_stim_p.png,21,0.6943817849969491,180,249.9988832630006,247.95616696499928,0.868818063998333,250.86770132699894,42,22,barbecue,7.1,336,female,-2.5746228757417584,pos,246.2585224450013,b,246.95290422999824,250.6960070009991,01,11,Monday,31,23
1,faceWord_exp,0.6933696449996205,2,image_stim_p.png,21,0.6911775679982384,180,260.06286376999924,258.01632385500125,2.2180369980014802,262.2809007680007,42,22,embrace,7.0,336,female,-2.461915733068042,pos,256.32174425300036,b,257.0129218209986,260.75623341499886,01,11,Monday,31,24
1,faceWord_exp,0.8180631459981669,2,image_stim_n.png,22,0.9612731099987286,180,271.9376039710005,269.02961964800124,1.2725742029979301,273.21017817399843,42,22,office,4.54,336,female,0.6502198887451732,neg,266.4959897580011,y,267.4572628679998,272.75566711699867,01,12,Monday,32,25
1,faceWord_exp,0.6972977289988194,2,image_stim_n.png,22,0.6936602679998032,180,282.11791519300095,280.0752164559999,0.7181386509982985,282.83605384399925,42,22,terrorist,2.35,336,female,4.537930167489568,neg,278.3782238780004,y,279.07188414600023,282.8152129219998,01,12,Monday,32,26
1,faceWord_exp,0.6975395480003499,2,image_stim_n.png,22,0.6948348100013391,180,292.17797627899927,290.13544195400027,0.6673961050000798,292.84537238399935,42,22,stone,4.81,336,female,0.5494484707734639,neg,288.43738986099925,y,289.1322246710006,292.8755158269996,01,12,Monday,32,27
