condition,word,word_trigger,response,delay_frames_after,scan day,gender,duration_measured_img,img,offset_img,pause_trigger,word_score_warriner,age,ID,no,img_trigger,duration_measured_word,word_label,duration_frames,onset_img,delay_frames_before,correct_resp,key_t,offset_word,onset_word,session,rt,word_score_pc,pause_trigger_t
faceWord_exp,flute,11,b,180,Monday,female,0.700310805999834,image_stim_p.png,8.119692203999875,31,6.29,21,KKF,1,21,0.7015971849996276,pos,42,7.419381398000041,336,1,8.02287227800116,1.7191864859996713,1.0175893010000436,3,0.6034908800011181,-1.6804307003665144,2.7201344439999957
faceWord_exp,sum,13,b,336,Monday,female,0.7055642430004809,image_stim_p.png,15.553124754000237,41,5.71,21,KKF,2,21,0.6949198719994456,neu,42,14.847560510999756,180,1,15.40615585500018,11.819245982000211,11.124326110000766,3,0.5585953440004232,0.1511721542964875,12.819984130999728
faceWord_exp,raspberry,11,b,336,Monday,female,0.7057770270002948,image_stim_p.png,25.586269674000505,31,7.3,21,KKF,3,21,0.692722521000178,pos,42,24.88049264700021,180,1,25.42149926300044,21.852438489000633,21.159715968000455,3,0.5410066160002316,-1.4443598905895143,22.853385446000175
faceWord_exp,belch,12,y,180,Monday,female,0.6975149129993952,image_stim_n.png,38.21894056400015,32,4.18,21,KKF,4,22,0.6936939360002725,neg,42,37.521425651000754,336,1,37.904728784000326,31.88621954500013,31.19252560899986,3,0.38330313299957197,1.9197700017151131,32.886408759000915
faceWord_exp,tobacco,12,y,180,Monday,female,0.6902662230004353,image_stim_n.png,48.236119684001096,32,3.37,21,KKF,5,22,0.6960090040010982,neg,42,47.54585346100066,336,1,48.1884467710006,41.91945857800056,41.22344957399946,3,0.6425933099999384,2.411295736651624,42.91950737499974
faceWord_exp,cyclone,12,y,180,Monday,female,0.6904667230010091,image_stim_n.png,58.251556598001116,32,3.47,21,KKF,6,22,0.6950411969992274,neg,42,57.56108987500011,336,1,58.138638972999615,51.93593836800028,51.24089717100105,3,0.5775490979995084,3.583082910341294,52.93639143300061
faceWord_exp,cabinet,13,b,336,Monday,female,0.690618953000012,image_stim_p.png,65.66916614399997,41,5.1,21,KKF,7,21,0.6956484519996593,neu,42,64.97854719099996,180,1,65.57345702299972,61.9524985650005,61.25685011300084,3,0.5949098319997574,0.05858023181365075,62.952720172001136
faceWord_exp,spiritual,13,b,336,Monday,female,0.689272104000338,image_stim_n.png,75.6846369190007,42,5.82,21,KKF,8,22,0.6951099899997644,neu,42,74.99536481500036,180,0,75.4030306149998,71.9688253280001,71.27371533800033,3,0.4076657999994495,-1.5026706526379858,72.96943170099985
faceWord_exp,patent,13,b,180,Monday,female,0.701091033000921,image_stim_p.png,88.31891510800051,41,5.34,21,KKF,9,21,0.6939182259993686,neu,42,87.61782407499959,336,1,88.28869582900006,81.9853618899997,81.29144366400033,3,0.6708717540004727,-0.1793860699809707,82.9861457269999
faceWord_exp,cabbage,12,y,180,Monday,female,0.6991706899989367,image_stim_n.png,98.35127901899978,32,4.6,21,KKF,10,22,0.6941125020002801,neg,42,97.65210832900084,336,1,98.18725128299957,92.01814805300091,91.32403555100063,3,0.5351429539987294,0.041184453360586966,93.01925574100096
faceWord_exp,rose,11,b,180,Monday,female,0.6903865210006188,image_stim_p.png,108.36819779600046,31,7.11,21,KKF,11,21,0.6958020340007351,pos,42,107.67781127499984,336,1,108.08775686599984,102.05190157700054,101.3560995429998,3,0.40994559099999606,-2.098490136277324,103.05215031999978
