word_trigger,duration_measured_img,correct_resp,word,img,onset_img,ID,scan day,pause_trigger,condition,age,delay_frames_before,word_score_warriner,offset_img,offset_word,duration_frames,delay_frames_after,word_label,img_trigger,key_t,session,pause_trigger_t,gender,onset_word,duration_measured_word,word_score_pc,no,response,rt
13,0.6975042999838479,1,prairie,image_stim_n.png,7.356643399980385,AHJ,Monday,42,faceWord_exp,22,336,5.33,8.054147699964233,1.7237361999577843,42,180,neu,22,7.872212499962188,6,2.724620299995877,male,1.0242024999461137,0.6995337000116706,-1.1818642926883074,1,y,0.5155690999818034
12,0.7023246000171639,1,folly,image_stim_n.png,14.797502799949143,AHJ,Monday,32,faceWord_exp,22,180,4.11,15.499827399966307,11.768186599947512,42,336,neg,22,15.367473799968138,6,12.768998299958184,male,11.065870999998879,0.7023155999486335,2.52891321026023,2,y,0.5699710000189953
12,0.7007379999849945,1,lawyer,image_stim_n.png,27.442100399988703,AHJ,Monday,32,faceWord_exp,22,336,3.94,28.142838399973698,21.812973199994303,42,180,neg,22,27.727110199979506,6,22.81349389994284,male,21.109051499981433,0.7039217000128701,1.4290259416609457,3,y,0.285009799990803
11,0.7005867000552826,1,read,image_stim_p.png,34.871407399943564,AHJ,Monday,31,faceWord_exp,22,180,6.73,35.57199409999885,31.8407246999559,42,336,pos,21,35.34001819998957,6,32.84126079996349,male,31.146280199987814,0.6944444999680854,-1.87678309604286,4,b,0.4686108000460081
13,0.7014105999842286,1,comb,image_stim_n.png,44.898343799985014,AHJ,Monday,42,faceWord_exp,22,180,5.65,45.59975439996924,41.868483799975365,42,336,neu,22,45.41772939998191,6,42.86924699996598,male,41.17834349995246,0.6901403000229038,-0.15774590184623308,5,y,0.5193855999968946
11,0.7013542999629863,1,blueberry,image_stim_p.png,57.52466789999744,AHJ,Monday,31,faceWord_exp,22,336,7.11,58.226022199960425,51.896205899945926,42,180,pos,21,57.91028949996689,6,52.897260099998675,male,51.20741969998926,0.6887861999566667,-1.4048581699918157,6,b,0.3856215999694541
12,0.701065200031735,1,law,image_stim_n.png,67.55231879994972,AHJ,Monday,32,faceWord_exp,22,336,4.55,68.25338399998145,61.92399269994348,42,180,neg,22,68.02129619999323,6,62.92390529997647,male,61.231981299992185,0.6920113999512978,0.7240429444440241,7,y,0.4689774000435136
11,0.7010458000004292,1,dinner,image_stim_p.png,77.57998819998465,AHJ,Monday,31,faceWord_exp,22,336,6.4,78.28103399998508,71.95168030000059,42,180,pos,21,78.03300919994945,6,72.95197149994783,male,71.26017559994943,0.6915047000511549,-2.2453726125286497,8,b,0.4530209999647923
13,0.7013206999981776,0,analogy,image_stim_n.png,85.00940019998234,AHJ,Monday,42,faceWord_exp,22,180,5.24,85.71072089998052,81.97908199997619,42,336,neu,22,85.46208809997188,6,82.97970249998616,male,81.28811699996004,0.6909650000161491,0.06851316647377265,9,b,0.4526878999895416
11,0.7012165000196546,1,home,image_stim_p.png,97.63578649994452,AHJ,Monday,31,faceWord_exp,22,336,7.48,98.33700299996417,92.0071736999671,42,180,pos,21,98.07143489998998,6,93.00739719998091,male,91.31465849996312,0.6925152000039816,-2.2232275900644445,10,b,0.4356484000454657
