duration_measured_word,delay_frames_after,word_score_pc,condition,scan day,word_trigger,word_score_warriner,offset_img,onset_img,word,pause_trigger,ID,onset_word,session,gender,duration_measured_img,key_t,delay_frames_before,img,correct_resp,rt,pause_trigger_t,offset_word,word_label,img_trigger,response,duration_frames,no,age
0.702888346000691,180,4.010420717126172,faceWord_exp,Tuesday,12,2.67,8.123180007998599,7.421882953996828,lonely,32,jules,1.0172297579993028,1,female,0.7012970540017704,,336,image_stim_n.png,,,2.720670844995766,1.7201181039999938,neg,22,,42,1,20
0.6944127590031712,180,-1.8465637543339983,faceWord_exp,Tuesday,11,6.37,18.161274648999097,17.46063865999895,wealthy,31,jules,11.130531587994483,1,female,0.7006359890001477,17.8637010129969,336,image_stim_p.png,0,0.40306235299794935,12.825979526998708,11.824944346997654,pos,21,k,42,2,20
0.6955419410005561,336,0.26215401176465297,faceWord_exp,Tuesday,13,5.41,25.598105482000392,24.895869605999906,school,42,jules,21.16750963300001,1,female,0.7022358760004863,25.634773127996596,180,image_stim_n.png,1,0.73890352199669,22.864274086001387,21.863051574000565,neu,22,k,42,3,20
0.6955182480014628,180,2.3815246085651838,faceWord_exp,Tuesday,12,3.32,38.237448874999245,37.53286604299501,bribe,32,jules,31.205613836995326,1,female,0.7045828320042347,37.92258483800106,336,image_stim_n.png,0,0.389718795006047,32.904829997998604,31.90113208499679,neg,22,l,42,4,20
0.6960618349985452,336,-0.05916451699915906,faceWord_exp,Tuesday,13,5.3,45.674281561994576,44.97049407599843,embassy,41,jules,41.24313856699882,1,female,0.7037874859961448,45.510817946000316,180,image_stim_p.png,0,0.5403238700018846,42.940344821996405,41.93920040199737,neu,21,k,42,5,20
0.6945355749994633,180,-0.31568469709749714,faceWord_exp,Tuesday,13,5.71,58.31284908299858,57.6111432339967,tourist,42,jules,51.28280193899991,1,female,0.7017058490018826,58.19815734800068,336,image_stim_n.png,0,0.5870141140039777,52.97836737599573,51.97733751399937,neu,22,l,42,6,20
0.6954728079945198,336,0.5814463879932942,faceWord_exp,Tuesday,12,4.95,65.75052815800154,65.04500246899988,sandpaper,32,jules,61.31947654800024,1,female,0.7055256890016608,65.55203957999765,180,image_stim_n.png,0,0.5070371109977714,63.016451827999845,62.01494935599476,neg,22,l,42,7,20
0.696133198995085,180,-0.9990759838186469,faceWord_exp,Tuesday,13,5.73,78.38983106299565,77.68626115100051,field,41,jules,71.3574496250003,1,female,0.703569911995146,78.15772774400102,336,image_stim_p.png,0,0.47146659300051397,73.05447841400019,72.05358282399538,neu,21,k,42,8,20
0.696043023999664,336,-0.3369766028281135,faceWord_exp,Tuesday,13,5.26,85.82671272599691,85.12162320700008,corkscrew,41,jules,81.39543637199677,1,female,0.7050895189968287,85.62990606099629,180,image_stim_p.png,0,0.5082828539962065,83.09257116299705,82.09147939599643,neu,21,k,42,9,20
0.6959371199991438,336,1.3014161644429498,faceWord_exp,Tuesday,12,4.5,95.86485652199917,95.15987089600094,gasp,32,jules,91.43384413499734,1,female,0.7049856259982334,95.68398556600005,180,image_stim_n.png,0,0.5241146699991077,93.130785551999,92.12978125499649,neg,22,l,42,10,20
0.6992803629982518,336,-1.7483058493195842,faceWord_exp,Tuesday,11,7.09,105.90305360400089,105.19780898399767,woman,31,jules,101.46851823599718,1,female,0.7052446200032136,105.65519911899901,180,image_stim_p.png,0,0.45739013500133296,103.16892266899958,102.16779859899543,pos,21,k,42,11,20
0.6958075789953,336,1.7036686386059527,faceWord_exp,Tuesday,12,4.23,115.94096941300086,115.23643200499646,jury,32,jules,111.50997433700104,1,female,0.7045374080043985,115.6105884360004,180,image_stim_n.png,1,0.37415643100393936,113.20687471799465,112.20578191599634,neg,22,k,42,12,20
