pause_trigger_t,word_score_warriner,session,offset_img,img_trigger,duration_frames,age,rt,word_score_pc,pause_trigger,gender,delay_frames_before,delay_frames_after,correct_resp,no,condition,offset_word,duration_measured_word,ID,duration_measured_img,key_t,img,onset_img,word_trigger,word,scan day,word_label,onset_word,response
2.7127506770048058,5.56,5,5.512069326010533,21,42,22,-2.6421621890040115,0.16108323717668446,41,female,180,336,1,1,faceWord_exp,1.7086462560109794,0.7033977430110099,C,0.7048554840002907,2.1650516530062305,image_stim_p.png,4.807213842010242,13,desk,Monday,neu,1.0052485129999695,b
12.812874940005713,6.41,5,15.528689596001641,21,42,22,-2.591524389004917,-1.211925852261804,31,female,180,336,1,2,faceWord_exp,11.812378613001783,0.6934768119972432,C,0.6892163159936899,12.247948891003034,image_stim_p.png,14.839473280007951,11,morning,Monday,pos,11.11890180100454,b
22.82912457099883,3.9,5,25.54542686000059,22,42,22,-2.539708177006105,1.5300907112092572,32,female,180,336,1,3,faceWord_exp,21.82885907900345,0.6948552419926273,C,0.6898777259921189,22.315840957002365,image_stim_n.png,24.85554913400847,12,ant,Monday,neg,21.134003837010823,y
32.84579612700327,4.89,5,38.1620669010008,22,42,22,-5.157020889993873,0.8708146708303101,32,female,336,180,0,4,faceWord_exp,31.844593062007334,0.6933465370093472,C,0.6892497789958725,32.31579623201105,image_stim_n.png,37.472817122004926,12,banker,Monday,neg,31.151246524997987,b
42.862313593010185,7.51,5,45.5786457159993,21,42,22,-2.940660663007293,-1.6872526925643307,31,female,180,336,1,5,faceWord_exp,41.86183854700357,0.6950282659963705,C,0.6903854599950137,41.947599592996994,image_stim_p.png,44.88826025600429,11,cash,Monday,pos,41.1668102810072,b
52.91201110300608,4.26,5,55.62725141301053,22,42,22,-2.474078643004759,0.7498341013103271,32,female,180,336,1,6,faceWord_exp,51.911566003007465,0.7282690230058506,C,0.689559714999632,52.463613055006135,image_stim_n.png,54.937691698010894,12,dictation,Monday,neg,51.183296980001614,y
62.92874783300795,5.79,5,68.24498854900594,22,42,22,-5.224095629004296,-0.32385553549685003,42,female,336,180,0,7,faceWord_exp,61.928112253997824,0.6957073909870815,C,0.6901960160030285,62.330696903998614,image_stim_n.png,67.55479253300291,13,carrot,Monday,neu,61.23240486301074,b
72.94487083599961,5.95,5,75.66072967200307,21,42,22,-2.8739628870098386,-1.235914274808286,41,female,180,336,1,8,faceWord_exp,71.94465479000064,0.6984951889899094,C,0.6899037569965003,72.09686302799673,image_stim_p.png,74.97082591500657,13,corn,Monday,neu,71.24615960101073,b
82.96183488299721,5.58,5,88.2780229110067,22,42,22,-5.3384029809967615,-0.8220066925000616,42,female,336,180,0,9,faceWord_exp,81.96131807100028,0.696132035998744,C,0.6913957729993854,82.24822415701055,image_stim_n.png,87.58662713800732,13,dime,Monday,neu,81.26518603500153,b
92.97833837600774,7.12,5,95.71155421900039,21,42,22,-2.658480972997495,-2.3591802685249372,31,female,180,336,1,10,faceWord_exp,91.97789254300005,0.6913743990007788,C,0.705956862992025,92.34711638301087,image_stim_p.png,95.00559735600837,11,applause,Monday,pos,91.28651814399927,b
103.01153141100076,5.84,5,105.72775051200006,22,42,22,-2.6726892459992087,0.002541127499528235,42,female,180,336,0,11,faceWord_exp,102.01120791000722,0.6955321860004915,C,0.6908031990024028,102.36425806699845,image_stim_n.png,105.03694731299765,13,umbrella,Monday,neu,101.31567572400672,b
113.02792763900652,5.61,5,115.744264923007,22,42,22,-2.49027454899624,0.08756588783899029,42,female,180,336,0,12,faceWord_exp,112.02750624700275,0.6964047590008704,C,0.6904124090069672,112.56357796500379,image_stim_n.png,115.05385251400003,13,mushroom,Monday,neu,111.33110148800188,b
123.04481839800428,2.02,5,125.76061419300095,22,42,22,-2.5231838839972625,4.0294120701769724,32,female,180,336,1,13,faceWord_exp,122.04394173499895,0.6960800169908907,C,0.6903416309942259,122.54708867800946,image_stim_n.png,125.07027256200672,12,dead,Monday,neg,121.34786171800806,y
133.06092786800582,4.65,5,138.37702933199762,22,42,22,-4.707393967997632,1.399169263323496,32,female,336,180,1,14,faceWord_exp,132.06023921300948,0.6948665939999046,C,0.6901565629959805,132.979478801004,image_stim_n.png,137.68687276900164,12,army,Monday,neg,131.36537261900958,y
143.07766555000853,7.18,5,148.39389845600817,21,42,22,-4.923310993006453,-1.295378487470534,31,female,336,180,1,15,faceWord_exp,142.07732754200697,0.6938347090035677,C,0.6910045870026806,142.77958287599904,image_stim_p.png,147.7028938690055,11,television,Monday,pos,141.3834928330034,b
153.09416827499808,5.64,5,158.41023527100333,22,42,22,-5.373149355000351,0.4587040848007746,42,female,336,180,0,16,faceWord_exp,152.0937574319978,0.6957358739891788,C,0.6905403699929593,152.34654554601002,image_stim_n.png,157.71969490101037,13,company,Monday,neu,151.39802155800862,b
163.2271756370028,7.25,5,166.21032925600593,21,42,22,-2.713090364006348,-1.2397352233188434,31,female,180,336,1,17,faceWord_exp,162.16037429599965,0.743574328997056,C,0.7176214189967141,162.77961747300287,image_stim_p.png,165.49270783700922,11,wit,Monday,pos,161.4167999670026,b
173.510576339002,7.84,5,178.82598129400867,21,42,22,-5.539401657995768,-2.9544920916265727,31,female,336,180,1,18,faceWord_exp,172.50920606,0.6937442920025205,C,0.6904556150111603,172.59612402100174,image_stim_p.png,178.1355256789975,11,friendly,Monday,pos,171.81546176799748,b
183.52715535000607,7.05,5,186.24330559000373,21,42,22,-3.023483134005801,-1.7441234463665167,31,female,180,336,1,19,faceWord_exp,182.5266755430057,0.6960077219991945,C,0.6904784729995299,182.5293439829984,image_stim_p.png,185.5528271170042,11,cherry,Monday,pos,181.8306678210065,b
193.54356926999753,2.58,5,198.85976308499812,22,42,22,-5.305904765991727,3.693241029119933,32,female,336,180,1,20,faceWord_exp,192.54325596400304,0.6940760839934228,C,0.6909884839988081,192.8628698350076,image_stim_n.png,198.1687746009993,12,jealousy,Monday,neg,191.84917988000961,y
203.56021945099928,4.5,5,206.27638113001012,22,42,22,-2.3568237080035033,0.5712560851538326,32,female,180,336,0,21,faceWord_exp,202.55976836600166,0.6959100529929856,C,0.6906230530003086,203.2289343690063,image_stim_n.png,205.5857580770098,12,election,Monday,neg,201.86385831300868,b
213.57656737000798,6.65,5,216.2928696529998,21,42,22,-2.790361204999499,-1.2194148821621404,31,female,180,336,1,22,faceWord_exp,212.57591295000748,0.695093161004479,C,0.6899910270003602,212.81251742099994,image_stim_p.png,215.60287862599944,11,penguin,Monday,pos,211.880819789003,b
223.59330521000084,5.12,5,226.308353172004,21,42,22,-2.6563686139998026,0.5156614996478043,41,female,180,336,1,23,faceWord_exp,222.59289172499848,0.6962709039944457,C,0.6897195070050657,222.96226505099912,image_stim_p.png,225.61863366499892,13,bus,Monday,neu,221.89662082100403,b
233.61001206500805,6.05,5,236.3425942670001,21,42,22,-2.958835140991141,-1.4373817092238501,31,female,180,336,1,24,faceWord_exp,232.60913722201076,0.6936951620009495,C,0.7052686329989228,232.67849049301003,image_stim_p.png,235.63732563400117,11,drum,Monday,pos,231.9154420600098,b
243.6432432779984,3.12,5,248.95916953599954,22,42,22,-5.039345777986455,2.9843905620469613,32,female,336,180,1,25,faceWord_exp,242.64170390600339,0.693322936000186,C,0.6912245010025799,243.2285992570105,image_stim_n.png,248.26794503499696,12,mosquito,Monday,neg,241.9483809700032,y
253.6596164710063,6.81,5,258.9757013500057,21,42,22,-4.890883521002252,-1.178487968131687,31,female,336,180,1,26,faceWord_exp,252.659058026009,0.6954347499995492,C,0.6906110620038817,253.39420676699956,image_stim_p.png,258.2850902880018,11,tangerine,Monday,pos,251.96362327600946,b
263.67586760999984,2.33,5,266.39226139600214,22,42,22,-2.573264343998744,3.17672342877373,32,female,180,336,1,27,faceWord_exp,262.675651698999,0.6951950569928158,C,0.6905576050048694,263.1284394469985,image_stim_n.png,265.70170379099727,12,dangerous,Monday,neg,261.9804566420062,y
273.692019383001,5.79,5,279.0087395320006,21,42,22,-5.206323921011062,-0.41434578466507305,41,female,336,180,1,28,faceWord_exp,272.6917615860002,0.6947402669902658,C,0.6911021199921379,273.1113134909974,image_stim_p.png,278.3176374120085,13,engineer,Monday,neu,271.99702131900995,b
283.70916907599894,5.43,5,289.02529465600674,21,42,22,-5.423676735008485,0.14106522732466809,41,female,336,180,1,29,faceWord_exp,282.7086127049988,0.6955469019885641,C,0.69054664199939,282.91107127899886,image_stim_p.png,288.33474801400735,13,editor,Monday,neu,282.01306580301025,b
293.7257806210109,6.14,5,299.0416505489993,21,42,22,-5.538115921008284,-1.8816288507581482,31,female,336,180,1,30,faceWord_exp,292.72519426900544,0.6958123420045013,C,0.6913375909934985,292.81219703699753,image_stim_p.png,298.3503129580058,11,theater,Monday,pos,292.02938192700094,b
303.7422444200056,5.11,5,309.07502101200225,22,42,22,-5.442343617993174,0.3309936143559913,42,female,336,180,0,31,faceWord_exp,302.74150845700933,0.6928559070074698,C,0.7053724470024463,302.92730494700663,image_stim_n.png,308.3696485649998,13,newspaper,Monday,neu,302.04865255000186,b
313.7750972590002,5.95,5,316.4913258440065,22,42,22,-2.9891421050124336,-0.4963231956276321,42,female,180,336,0,32,faceWord_exp,312.7747159970022,0.6950165739981458,C,0.6905673099972773,312.8116164289968,image_stim_n.png,315.8007585340092,13,hairbrush,Monday,neu,312.07969942300406,b
323.7920168109995,3.0,5,326.50798138701066,22,42,22,-2.688977515004808,4.006417686109669,32,female,180,336,1,33,faceWord_exp,322.7912521399994,0.6959988219896331,C,0.6912484750064323,323.1277553969994,image_stim_n.png,325.8167329120042,12,dread,Monday,neg,322.0952533180098,y
333.80829536799865,4.81,5,339.1247076770087,22,42,22,-5.13907103400561,0.1828236131989572,32,female,336,180,0,34,faceWord_exp,332.8076714850031,0.6957120159931947,C,0.6911842340050498,333.29445240899804,image_stim_n.png,338.43352344300365,12,cab,Monday,neg,332.1119594690099,b
