word_score_pc,age,response,key_t,delay_frames_before,onset_img,duration_frames,word,onset_word,gender,pause_trigger,pause_trigger_t,delay_frames_after,word_trigger,word_label,session,word_score_warriner,offset_img,img,no,offset_word,scan day,ID,img_trigger,correct_resp,condition,duration_measured_word,duration_measured_img,rt
-2.9544920916265727,22,b,1.744790699915029,180,4.700907599995844,42,friendly,0.9869520999491215,female,31,2.6771566999377683,336,11,pos,5,7.84,5.376289299922064,image_stim_p.png,1,1.6768310000188649,Monday,5,21,1,faceWord_exp,0.6898789000697434,0.6753816999262199,-2.956116900080815
-1.295378487470534,22,b,11.79288630001247,180,14.694243100006133,42,television,10.982450200011954,female,31,12.675809599924833,336,11,pos,5,7.18,15.375101099954918,image_stim_p.png,2,11.675823499914259,Monday,5,21,1,faceWord_exp,0.693373299902305,0.6808579999487847,-2.901356799993664
0.5156614996478043,22,b,21.824989399989136,180,24.693744499934837,42,bus,20.97744429996237,female,42,22.674614000017755,336,13,neu,5,5.12,25.373808600008488,image_stim_n.png,3,21.674439499969594,Monday,5,22,0,faceWord_exp,0.6969952000072226,0.6800641000736505,-2.8687550999457017
2.424733943851676,22,y,31.939972099964507,180,34.691737700020894,42,screech,30.977686399943195,female,32,32.67276759992819,336,12,neg,5,3.5,35.37195599998813,image_stim_n.png,4,31.672466699965298,Monday,5,22,1,faceWord_exp,0.6947803000221029,0.6802182999672368,-2.7517656000563875
-0.8220066925000616,22,b,41.955507899983786,336,47.28933409997262,42,dime,40.97499609994702,female,42,42.671909100026824,180,13,neu,5,5.58,47.97177249996457,image_stim_n.png,5,41.67110309994314,Monday,5,22,0,faceWord_exp,0.6961069999961182,0.6824383999919519,-5.333826199988835
0.19443075193465506,22,y,52.638096699956805,336,57.288304599933326,42,stapler,50.990542999934405,female,42,52.67150789999869,180,13,neu,5,5.25,57.97072430001572,image_stim_n.png,6,51.6712286999682,Monday,5,22,1,faceWord_exp,0.6806857000337914,0.6824197000823915,-4.650207899976522
0.002541127499528235,22,b,61.95414299995173,336,67.29132999991998,42,umbrella,60.97372639994137,female,42,62.67080919991713,180,13,neu,5,5.84,67.96921869996004,image_stim_n.png,7,61.6702977999812,Monday,5,22,0,faceWord_exp,0.6965714000398293,0.6778887000400573,-5.337186999968253
4.006417686109669,22,y,72.03436910000164,180,74.69880619994365,42,dread,70.97124520002399,female,32,72.6695537000196,336,12,neg,5,3.0,75.38501379999798,image_stim_n.png,8,71.66847989999224,Monday,5,22,1,faceWord_exp,0.6972346999682486,0.6862076000543311,-2.664437099942006
-0.2527650722021685,22,b,81.76640069996938,336,87.30288739991374,42,arm,80.98605209996458,female,41,82.68397959996946,180,13,neu,5,5.44,87.98256999999285,image_stim_p.png,9,81.68349349999335,Monday,5,21,1,faceWord_exp,0.6974414000287652,0.6796826000791043,-5.536486699944362
1.5300907112092572,22,b,91.99918909999542,336,97.30177879997063,42,ant,90.98464549996424,female,32,92.68311340000946,180,12,neg,5,3.9,97.98150849994272,image_stim_n.png,10,91.68120729993097,Monday,5,22,0,faceWord_exp,0.6965617999667302,0.6797296999720857,-5.302589699975215
