correct_resp,onset_word,word_score_warriner,session,condition,scan day,rt,pause_trigger,word_trigger,age,offset_img,duration_measured_word,word_label,delay_frames_before,gender,pause_trigger_t,img,word_score_pc,duration_measured_img,key_t,word,onset_img,response,ID,delay_frames_after,offset_word,img_trigger,no,duration_frames
1,1.0175758529949235,2.53,6,faceWord_exp,Monday,-5.109957957000006,32,12,22,8.122623584989924,0.7045185260067228,neg,336,female,2.7224837799876695,image_stim_n.png,3.7741942061665816,0.705010047997348,2.30765557999257,lost,7.417613536992576,y,C,180,1.7220943790016463,22,1,42
1,11.12998086999869,5.89,6,faceWord_exp,Monday,-2.3146192049898673,41,13,22,15.55578727700049,0.6926590649964055,neu,180,female,12.823215728989453,image_stim_p.png,-0.4928774877246448,0.6983993380126776,12.542768733997946,chair,14.857387938987813,b,C,336,11.822639934995095,21,2,42
1,21.161023163993377,4.55,6,faceWord_exp,Monday,-3.9908224289974896,32,12,22,28.18910838199372,0.6946652830083622,neg,336,female,22.856559116000426,image_stim_n.png,0.7240429444440241,0.706943027995294,23.491342925000936,law,27.482165353998425,y,C,180,21.85568844700174,22,3,42
1,31.19586814599461,6.72,6,faceWord_exp,Monday,-2.8061470959946746,31,11,22,35.60563656898739,0.6932530729973223,pos,180,female,32.8896362559899,image_stim_p.png,-1.8284590275958619,0.6898665859916946,32.109622887001024,river,34.9157699829957,b,C,336,31.88912121899193,21,4,42
1,41.21238982200157,7.11,6,faceWord_exp,Monday,-2.8070216289925156,31,11,22,45.62204209600168,0.6932658839941723,pos,180,female,42.906160136990366,image_stim_p.png,-1.4048581699918157,0.6905723210074939,42.12444814600167,blueberry,44.931469774994184,b,C,336,41.90565570599574,21,5,42
1,51.228091622993816,2.07,6,faceWord_exp,Monday,-5.241011089994572,32,12,22,58.25539540099271,0.6939283319952665,neg,336,female,52.92258157199831,image_stim_n.png,4.494524106175375,0.7075134810002055,52.30687082999793,funeral,57.547881919992506,y,C,180,51.92201995498908,22,6,42
1,61.26058426199597,7.18,6,faceWord_exp,Monday,-5.202390734993969,31,11,22,68.2719492269971,0.6946891090046847,pos,336,female,62.95591922198946,image_stim_p.png,-2.3202480308548075,0.6937179210071918,62.37584057099593,party,67.5782313059899,b,C,180,61.95527337100066,21,7,42
1,71.27738631099055,2.79,6,faceWord_exp,Monday,-5.372218435994,32,12,22,78.30519944899424,0.6943357470008777,neg,336,female,72.97240875900025,image_stim_n.png,3.2726955917764444,0.7075877820025198,72.22539323099772,gunshot,77.59761166699172,y,C,180,71.97172205799143,22,8,42
1,81.31365612399532,5.33,6,faceWord_exp,Monday,-2.391447355999844,41,13,22,85.73825362999924,0.6914068049954949,neu,180,female,83.00556421099463,image_stim_p.png,-0.1985745460766808,0.7055862620036351,82.64122001199576,quantity,85.0326673679956,b,C,336,82.00506292899081,21,9,42
1,91.34267975299736,6.81,6,faceWord_exp,Monday,-2.7900116150121903,31,11,22,95.75496232300065,0.6955686470028013,pos,180,female,93.03868266000063,image_stim_p.png,-1.5755240884938977,0.6905714989989065,92.27437920898956,cheese,95.06439082400175,b,C,336,92.03824840000016,21,10,42
0,101.35876027400082,5.64,6,faceWord_exp,Monday,-5.406627399992431,42,13,22,108.38790239299124,0.6959283789910842,neu,336,female,103.05511350599409,image_stim_n.png,0.6345811289687322,0.7073598889983259,102.27391510400048,big,107.68054250399291,b,C,180,102.0546886529919,22,11,42
0,111.3918898539996,3.68,6,faceWord_exp,Monday,-2.420990354003152,32,12,22,115.80454269199981,0.6966632869880414,neg,180,female,113.08850952600187,image_stim_n.png,1.5036737146000605,0.6920073460059939,112.69154499199067,bee,115.11253534599382,b,C,336,112.08855314098764,22,12,42
1,121.40867101598997,5.65,6,faceWord_exp,Monday,-2.0411169989965856,41,13,22,125.82113269298861,0.6958279140089871,neu,180,female,123.10480859399831,image_stim_p.png,-0.15774590184623308,0.690641990993754,123.08937370299827,comb,125.13049070199486,b,C,336,122.10449892999895,21,13,42
0,131.42538245099422,5.05,6,faceWord_exp,Monday,-2.4065630589902867,42,13,22,135.8376216639881,0.6956290420057485,neu,180,female,133.12135747999127,image_stim_n.png,-0.441124933220443,0.6905828960007057,132.7404757089971,bugle,135.1470387679874,b,C,336,132.12101149299997,22,14,42
1,141.443450398001,3.89,6,faceWord_exp,Monday,-2.3227291819930542,32,12,22,145.8541531029914,0.6942332519975025,neg,180,female,143.13787773999502,image_stim_n.png,1.421533554407035,0.6912926939985482,142.8401312269998,judge,145.16286040899286,y,C,336,142.1376836499985,22,15,42
1,151.46036444099445,6.92,6,faceWord_exp,Monday,-5.4252173459972255,31,11,22,158.4874065329932,0.6938445910054725,pos,336,female,153.15464422899822,image_stim_p.png,-1.2017878999114775,0.7051528909942135,152.35703629600175,sun,157.78225364199898,b,C,180,152.15420903199993,21,16,42
1,161.49103407499206,3.08,6,faceWord_exp,Monday,-2.5892087959946366,32,12,22,165.90401069399377,0.6959916220075684,neg,180,female,163.1874983979942,image_stim_n.png,3.1738538072533196,0.6918084780045319,162.6229934199946,sin,165.21220221598924,y,C,336,162.18702569699963,22,17,42
0,171.50783581899304,5.1,6,faceWord_exp,Monday,-4.972865919000469,42,13,22,178.53625724298763,0.6961081939953147,neu,336,female,173.20424682999146,image_stim_n.png,0.07641955756997082,0.7066786999930628,172.8567126239941,role,177.82957854299457,b,C,180,172.20394401298836,22,18,42
1,181.54157040899736,6.38,6,faceWord_exp,Monday,-5.189035057992442,31,11,22,188.57034555298742,0.6953285069903359,pos,336,female,183.23760653899808,image_stim_p.png,-1.613773182399739,0.7078944109962322,182.67341608399875,hygiene,187.8624511419912,b,C,180,182.2368989159877,21,19,42
1,191.57443055899057,1.94,6,faceWord_exp,Monday,-5.223784059999161,32,12,22,198.60345236799913,0.6957890550111188,neg,336,female,193.27074354900105,image_stim_n.png,3.587794463102913,0.705954801000189,192.67371350699977,prison,197.89749756699894,y,C,180,192.2702196140017,22,20,42
1,201.60748633398907,7.48,6,faceWord_exp,Monday,-2.872941551002441,31,11,22,206.01909111699206,0.696011014006217,pos,180,female,203.30395568499807,image_stim_p.png,-2.2232275900644445,0.690425843000412,202.4557237229892,home,205.32866527399165,b,C,336,202.3034973479953,21,21,42
0,211.62488456298888,5.95,6,faceWord_exp,Monday,-2.7206097309972392,42,13,22,216.03654898199602,0.6949542540096445,neu,180,female,213.31967309799802,image_stim_n.png,-0.1293625696653618,0.6938343770016218,212.62210487399716,escalator,215.3427146049944,b,C,336,212.31983881699853,22,22,42
1,221.6408650980011,6.4,6,faceWord_exp,Monday,-2.889563830001862,31,11,22,226.06987075100187,0.695499272987945,pos,180,female,223.33702155698847,image_stim_p.png,-2.2453726125286497,0.6911124440084677,222.48919447699154,dinner,225.3787583069934,b,C,336,222.33636437098903,21,23,42
1,231.67667383499793,5.21,6,faceWord_exp,Monday,-2.9081481430039275,41,13,22,236.10301320000144,0.6931573280016892,neu,180,female,233.37024851999013,image_stim_p.png,0.4070035035588155,0.7051659429998836,232.48969911399763,church,235.39784725700156,b,C,336,232.36983116299962,21,24,42
0,241.7078654569923,3.25,6,faceWord_exp,Monday,-2.57368295599008,32,12,22,246.11951265699463,0.6950453010067577,neg,180,female,243.40349154299474,image_stim_n.png,1.7380634654586231,0.6911843800044153,242.85464532100013,politician,245.42832827699021,b,C,336,242.40291075799905,22,25,42
1,251.723888722001,6.61,6,faceWord_exp,Monday,-2.255708301003324,31,11,22,256.1361053379951,0.6954198269959306,pos,180,female,253.41999727599614,image_stim_p.png,-1.0219663684796234,0.6914946909964783,253.1889023459953,camera,255.44461064699863,b,C,336,252.41930854899692,21,26,42
0,261.7404726679961,5.42,6,faceWord_exp,Monday,-5.3891733230120735,42,13,22,268.76929300399206,0.6955703260027803,neu,336,female,263.43644855699677,image_stim_n.png,-0.9209473384247756,0.7073861879907781,262.6727334929892,scooter,268.0619068160013,b,C,180,262.43604299399885,22,27,42
0,271.7736147589894,5.24,6,faceWord_exp,Monday,-5.089882757994928,42,13,22,278.8025000829948,0.6955951200070558,neu,336,female,273.46967126699747,image_stim_n.png,0.06851316647377265,0.7074837520049186,273.00513357299496,analogy,278.0950163309899,b,C,180,272.4692098789965,22,28,42
1,281.8069643859926,5.26,6,faceWord_exp,Monday,-4.472788883009343,41,13,22,288.8189150889957,0.6952143960079411,neu,336,female,283.5029001449875,image_stim_p.png,-0.8574934623041074,0.6911592209944502,283.6549669849919,accordion,288.12775586800126,b,C,180,282.50217878200056,21,29,42
0,291.822705899991,3.19,6,faceWord_exp,Monday,-4.323401646994171,32,12,22,298.8522536439996,0.6960945080063539,neg,336,female,293.5192052529892,image_stim_n.png,1.5556418242275696,0.7075522530067246,293.8212997439987,old,298.14470139099285,b,C,180,292.51880040799733,22,30,42
0,301.85872619099973,5.78,6,faceWord_exp,Monday,-2.6912227680004435,42,13,22,306.28548933999264,0.6931976929918164,neu,180,female,303.55240379199677,image_stim_n.png,-0.30581232848456497,0.7056296639930224,302.88863690799917,advice,305.5798596759996,b,C,336,302.55192388399155,22,31,42
1,311.89015568800096,4.75,6,faceWord_exp,Monday,-2.0062266010063468,32,12,22,316.3020180249878,0.6944812879955862,neg,180,female,313.5857857189985,image_stim_n.png,0.5993691927879942,0.691457006993005,313.6043344169884,rake,315.61056101799477,y,C,336,312.58463697599655,22,32,42
