gender,onset_img,delay_frames_after,offset_img,correct_resp,delay_frames_before,pause_trigger_t,age,offset_word,word_label,rt,random_timepoint,img,word_score_warriner,scan day,duration_measured_word,word_score_pc,key_t,condition,duration_frames,duration_measured_img,session,no,word,response,ID,onset_word
male,3.1513969099905808,104,3.957954849000089,1,72,2.8088800759869628,22,1.8200383030052762,pos,0.6131288800097536,119.59029411099618,image_stim_p.png,6.62,Monday,0.8010777220188174,-1.0930411682114536,3.7645257900003344,faceWord_exp,48,0.8065579390095081,3,1,goldfish,right,1,1.0189605809864588
male,8.837716120993719,95,9.641105155984405,1,137,7.491373781987932,22,6.4904350389842875,neu,0.5384566859866027,125.27661451001768,image_stim_p.png,5.61,Monday,0.7918135729851201,0.5990623206044929,9.376172806980321,faceWord_exp,48,0.8033890349906869,3,2,witness,right,1,5.698621465999167
male,12.459397996979533,143,13.25754004297778,1,22,7.491373781987932,22,12.024307212996064,neu,1.166567729000235,128.89829629499582,image_stim_n.png,5.34,Monday,0.7946775850141421,-0.1793860699809707,13.625965725979768,faceWord_exp,48,0.7981420459982473,3,3,patent,left,1,11.229629627981922
male,17.81130589300301,30,18.60672385498765,1,79,17.440784178994363,22,16.4408480800048,neg,0.7316414179804269,134.25020410001162,image_stim_n.png,4.59,Monday,0.7932338720129337,2.1987551193617842,18.542947310983436,faceWord_exp,48,0.79541796198464,3,4,volcano,left,1,15.647614207991865
male,21.001550560002215,207,21.790723368001636,1,62,20.906810360989766,22,19.907019706995925,neu,0.5737202339805663,137.44044890700025,image_stim_p.png,5.48,Monday,0.7945302670123056,0.2046331385026182,21.57527079398278,faceWord_exp,48,0.7891728079994209,3,5,glass,right,1,19.11248943998362
male,28.12846122600604,179,28.923962600994855,0,122,27.04116319899913,22,26.04180892498698,neu,0.5139381339831743,144.56735954000033,image_stim_n.png,5.89,Monday,0.7961899380024988,-1.0048841857254538,28.642399359989213,faceWord_exp,48,0.7955013749888167,3,6,gum,right,1,25.245618986984482
male,36.208790673990734,133,37.00698552498943,1,207,33.707769186992664,22,32.70672992197797,neu,0.4338844279991463,152.64768921601353,image_stim_n.png,5.73,Monday,0.7941811029741075,0.30770997164376424,36.64267510198988,faceWord_exp,48,0.7981948509986978,3,7,reality,left,1,31.91254881900386
male,41.744292950985255,140,42.5404826279846,1,100,41.024432855978375,22,40.023576437000884,neg,0.6315822979959194,158.18319117400097,image_stim_n.png,3.4,Monday,0.7949961620033719,3.4172209593162717,42.375875248981174,faceWord_exp,48,0.7961896769993473,3,8,delirium,left,1,39.22858027499751
male,49.39468906499678,194,50.190372426994145,1,220,46.674247752001975,22,45.67371192999417,pos,0.8971631210006308,165.8335876080091,image_stim_p.png,7.18,Monday,0.7946076900116168,-1.7760144816699572,50.29185218599741,faceWord_exp,48,0.7956833619973622,3,9,island,right,1,44.87910423998255
male,56.22254629500094,34,57.02383064100286,1,117,55.22399983898504,22,54.22339065198321,neu,0.6198504919884726,172.661444338999,image_stim_p.png,5.4,Monday,0.7904371460026596,-1.7878104403788575,56.84239678698941,faceWord_exp,48,0.8012843460019212,3,10,harp,right,1,53.43295350598055
male,59.59356997397845,70,60.39041024498874,1,69,59.39081243600231,22,58.39024082099786,neg,0.615418846020475,176.03246806701645,image_stim_n.png,4.32,Monday,0.7966530559933744,1.7592404876513306,60.20898881999892,faceWord_exp,48,0.7968402710102964,3,11,cold,left,1,57.593587765004486
male,64.44593276298838,81,65.2391533869959,1,122,63.357467717985855,22,62.356828004005365,neg,0.37950934199034236,180.88483076999546,image_stim_n.png,3.37,Monday,0.7947953320108354,2.411295736651624,64.82544210497872,faceWord_exp,48,0.7932206240075175,3,12,tobacco,left,1,61.56203267199453
male,70.327629470994,134,71.12339811999118,1,173,68.39032503700582,22,67.39033154398203,neg,0.41449311800533906,186.76652786901104,image_stim_n.png,3.23,Monday,0.7964469319849741,3.9847946241932393,70.74212258899934,faceWord_exp,48,0.795768648997182,3,13,snub,left,1,66.59388461199705
male,75.67576247098623,109,76.4734835549898,1,88,75.15727849499672,22,74.15671863398165,neg,0.7324377410113811,192.11466068102163,image_stim_n.png,3.47,Monday,0.7956587059888989,3.583082910341294,76.40820021199761,faceWord_exp,48,0.7977210840035696,3,14,cyclone,left,1,73.36105992799276
male,81.95447586599039,144,82.75638588599395,1,169,80.09024006300024,22,79.09003354498418,pos,0.5877865230140742,198.39337408801657,image_stim_p.png,6.32,Monday,0.7944718429935165,-1.100912149643323,82.54226238900446,faceWord_exp,48,0.8019100200035609,3,15,saxophone,right,1,78.29556170199066
male,86.94001088899677,41,87.73957748900284,1,56,80.09024006300024,22,85.95649317698553,neu,0.46818931700545363,203.37890904399683,image_stim_p.png,5.24,Monday,0.7961320129979867,0.6016604903777263,87.40820020600222,faceWord_exp,48,0.7995666000060737,3,16,toe,right,1,85.16036116398755
male,92.87882939798874,134,93.67311720197904,1,216,90.22355080899433,22,89.22313835698878,neg,0.5788415200076997,209.31772733401158,image_stim_n.png,3.28,Monday,0.7907495149993338,2.3068979902815,93.45767091799644,faceWord_exp,48,0.7942878039903007,3,17,trial,left,1,88.43238884198945
male,97.90626854999573,132,98.70637426499161,1,69,97.7068808460026,22,96.70636540398118,neu,0.5191389500105288,214.34516711102333,image_stim_p.png,5.68,Monday,0.795131845981814,-0.4971407339658378,98.42540750000626,faceWord_exp,48,0.8001057149958797,3,18,cafeteria,right,1,95.91123355799937
male,104.99489917099709,93,105.78947539097862,1,194,102.70677693298785,22,101.70638017400051,pos,0.5289424780057743,221.4337976060051,image_stim_p.png,7.11,Monday,0.7960816380218603,-2.098490136277324,105.52384164900286,faceWord_exp,48,0.7945762199815363,3,19,rose,right,1,100.91029853597865
male,109.42174374498427,236,110.22308914500172,1,74,109.14009298098972,22,108.13959982400411,neu,0.45221127101103775,225.86064228601754,image_stim_p.png,5.75,Monday,0.7960954810259864,0.5062695562835388,109.8739550159953,faceWord_exp,48,0.8013454000174534,3,20,year,right,1,107.34350434297812
male,116.78796836300171,89,117.5896871269797,1,107,115.95604416399146,22,114.95615436698426,pos,0.470158704003552,233.2268664080184,image_stim_p.png,6.75,Monday,0.7952337809838355,-1.2126784285084091,117.25812706700526,faceWord_exp,48,0.8017187639779877,3,21,agreement,right,1,114.16092058600043
male,122.70990181597881,-34,123.50605054499465,0,167,120.87325918200077,22,119.87298694200581,neg,0.43153627202264033,239.1487998010125,image_stim_n.png,3.45,Monday,0.7954049670079257,3.6017940902369654,123.14143808800145,faceWord_exp,48,0.7961487290158402,3,22,grievance,right,1,119.07758197499788
male,126.5525273399835,184,127.35597549498198,1,132,125.30643873100053,22,124.30601895498694,pos,0.43836992999422364,242.99142581701744,image_stim_p.png,8.21,Monday,0.7950358740054071,-3.230607919269787,126.99089726997772,faceWord_exp,48,0.8034481549984775,3,23,joy,right,1,123.51098308098153
male,131.42521246298566,148,132.22280098198098,1,9,125.30643873100053,22,131.22238393098814,pos,0.6661300550040323,247.86411104499712,image_stim_p.png,6.26,Monday,0.7892818879918195,-2.0727743906520253,132.0913425179897,faceWord_exp,48,0.797588518995326,3,24,fountain,right,1,130.43310204299632
male,137.55653114500456,94,138.35584805899998,1,121,136.48948342399672,22,135.48927152398392,neu,0.5340182129875757,253.99542934601777,image_stim_p.png,5.7,Monday,0.7962707399856299,0.07332602516344529,138.09054935799213,faceWord_exp,48,0.7993169139954261,3,25,jungle,right,1,134.6930007839983
male,141.48723923999933,161,142.28909255799954,1,43,136.48948342399672,22,140.72249053200358,pos,0.6706685929966625,257.9261372589972,image_stim_p.png,6.71,Monday,0.7952927440055646,-1.2474567486001964,142.157907832996,faceWord_exp,48,0.8018533180002123,3,26,advantage,right,1,139.927197787998
