condition,duration_measured_img,correct_resp,word_label,response,pause_trigger_t,word,key_t,rt,delay_frames_after,gender,ID,no,duration_frames,age,onset_word,session,offset_word,word_score_pc,img_trigger,onset_img,offset_img,pause_trigger,delay_frames_before,scan day,img,duration_measured_word,word_score_warriner,word_trigger
faceWord_exp,0.696640192065388,1,pos,b,2.719846260966733,cheese,1.9728953058365732,-5.498254106147215,180,female,ssk26,1,42,21,1.0168597169686109,6,1.7172771168407053,-1.5755240884938977,21,7.471149411983788,8.167789604049176,31,336,Monday,image_stim_p.png,0.7004173998720944,6.81,11
faceWord_exp,0.6938456217758358,1,neg,y,12.884093140950426,sin,12.198861578013748,-2.7283257390372455,336,female,ssk26,2,42,21,11.184953565942124,6,11.878129319055006,3.1738538072533196,22,14.927187317050993,15.62103293882683,32,180,Monday,image_stim_n.png,0.6931757531128824,3.08,12
faceWord_exp,0.6914749320130795,1,neg,y,22.941019804915413,judge,22.123897715937346,-5.455930897034705,180,female,ssk26,3,42,21,21.2448302579578,6,21.93794801691547,1.421533554407035,22,27.57982861297205,28.27130354498513,32,336,Monday,image_stim_n.png,0.6931177589576691,3.89,12
faceWord_exp,0.6990226891357452,1,pos,b,32.985318559920415,read,32.66939601697959,-4.962852662894875,180,female,ssk26,4,42,21,31.287494228919968,6,31.9808069630526,-1.87678309604286,21,37.632248679874465,38.33127136901021,31,336,Monday,image_stim_p.png,0.6933127341326326,6.73,11
faceWord_exp,0.7021752770524472,1,neg,y,43.04438381595537,politician,42.29455535183661,-5.394814223051071,180,female,ssk26,5,42,21,41.34628628985956,6,42.04200636292808,1.7380634654586231,22,47.68936957488768,48.391544851940125,32,336,Monday,image_stim_n.png,0.6957200730685145,3.25,12
faceWord_exp,0.7028595560695976,1,pos,b,53.10569843882695,chocolate,52.189287308836356,-2.9534146850928664,336,female,ssk26,6,42,21,51.408422940876335,6,52.1019511630293,-2.539279812815429,21,55.14270199392922,55.84556154999882,31,180,Monday,image_stim_p.png,0.6935282221529633,7.63,11
faceWord_exp,0.7032943950034678,1,pos,b,63.16587687795982,chipmunk,62.134916675975546,-3.0676838459912688,336,female,ssk26,7,42,21,61.469893123954535,6,62.16240246105008,-1.071197614358652,21,65.20260052196681,65.90589491697028,31,180,Monday,image_stim_p.png,0.6925093370955437,7.33,11
faceWord_exp,0.7033614148385823,1,pos,b,73.22609191387892,dinner,72.46102429088205,-5.408555793110281,180,female,ssk26,8,42,21,71.52815768285654,6,72.2226777470205,-2.2453726125286497,21,77.86958008399233,78.57294149883091,31,336,Monday,image_stim_p.png,0.6945200641639531,6.4,11
faceWord_exp,0.7003675759769976,0,neu,y,83.30285409302451,medicine,82.46837778994814,-5.481119063915685,180,female,ssk26,9,42,21,81.592688892968,6,82.29944344982505,0.597486551423763,21,87.94949685386382,88.64986442984082,41,336,Monday,image_stim_p.png,0.7067545568570495,5.9,13
faceWord_exp,0.7034557689912617,0,neu,b,93.36312542087398,advice,92.81643959786743,-2.583346948027611,336,female,ssk26,10,42,21,91.66674268292263,6,92.3597320530098,-0.30581232848456497,22,95.39978654589504,96.1032423148863,42,180,Monday,image_stim_n.png,0.6929893700871617,5.78,13
faceWord_exp,0.7033124500885606,1,neu,b,103.42319181188941,scooter,102.35561440489255,-3.1045958979520947,336,female,ssk26,11,42,21,101.72525929496624,6,102.42018624697812,-0.9209473384247756,21,105.46021030284464,106.1635227529332,41,180,Monday,image_stim_p.png,0.6949269520118833,5.42,13
faceWord_exp,0.7032721359282732,0,neu,b,113.48342758184299,finger,112.38725922000594,-3.1330946169327945,336,female,ssk26,12,42,21,111.78661893005483,6,112.48015921795741,-0.3659926056186196,22,115.52035383693874,116.22362597286701,42,180,Monday,image_stim_n.png,0.6935402879025787,5.8,13
faceWord_exp,0.7032008180394769,0,neu,b,123.54360724403523,role,122.47688998887315,-3.103585401084274,336,female,ssk26,13,42,21,121.8450126638636,6,122.54003763501532,0.07641955756997082,22,125.58047538995743,126.2836762079969,42,180,Monday,image_stim_n.png,0.6950249711517245,5.1,13
