img,scan day,onset_word,delay_frames_before,correct_resp,word_score_pc,condition,duration_frames,duration_measured_word,gender,no,offset_word,word_score_warriner,key_t,ID,word,delay_frames_after,duration_measured_img,response,session,age,onset_img,word_label,rt,offset_img
image_stim_n.png,Tuesday,1.0116361749824136,134,,2.6978270877422883,faceWord_exp,42,0.7020346559584141,female,1,1.7136708309408277,3.02,4.467381364898756,JV,scream,135,0.7264349610777572,j,4,22,4.070521561894566,neg,0.3968598030041903,4.796956522972323
image_stim_n.png,Tuesday,7.05469383590389,186,,3.803034067475641,faceWord_exp,42,0.6932761470088735,female,2,7.747969982912764,2.76,11.200357682886533,JV,flood,98,0.7031479680445045,j,4,22,10.8770678358851,neg,0.3232898470014334,11.580215803929605
image_stim_p.png,Tuesday,13.22282380296383,148,1,-1.5082836116280287,faceWord_exp,42,0.6906811079243198,female,3,13.91350491088815,6.17,16.88358913792763,JV,kitchen,110,0.7021389500005171,b,4,22,16.411386692896485,pos,0.4722024450311437,17.113525642897002
image_stim_p.png,Tuesday,18.95361358090304,246,1,-1.5215329943370883,faceWord_exp,42,0.6931627109879628,female,4,19.646776291891,6.52,24.266871810890734,JV,bread,91,0.7039425499970093,b,4,22,23.776168644893914,pos,0.49070316599681973,24.480111194890924
image_stim_p.png,Tuesday,26.004264160990715,88,1,-1.2094761189992442,faceWord_exp,42,0.6924252089811489,female,5,26.696689369971864,6.73,28.867200141889043,JV,parent,112,0.7042873880127445,b,4,22,28.192133271950297,pos,0.6750668699387461,28.89642065996304
image_stim_p.png,Tuesday,30.772260110941716,91,1,-1.17416436554964,faceWord_exp,42,0.6917379810474813,female,6,31.463998091989197,7.23,33.516214122995734,JV,bay,52,0.7032402850454673,b,4,22,33.01008459494915,pos,0.5061295280465856,33.713324879994616
image_stim_n.png,Tuesday,34.58621785696596,128,,3.9974740190684885,faceWord_exp,42,0.6936271479353309,female,7,35.27984500490129,2.55,37.99999634490814,JV,accident,70,0.7031169109977782,j,4,22,37.44340998097323,neg,0.5565863639349118,38.14652689197101
image_stim_p.png,Tuesday,39.31991764996201,130,1,-0.4066038871991289,faceWord_exp,42,0.6933033700333908,female,8,40.0132210199954,5.79,42.6664787059417,JV,baseball,262,0.6894979189382866,b,4,22,42.20696334796958,neu,0.45951535797212273,42.89646126690786
image_stim_n.png,Tuesday,47.26998697791714,131,,0.3545861367636661,faceWord_exp,42,0.6940507789840922,female,9,47.964037756901234,5.09,50.683074507978745,JV,put,193,0.7049947769846767,j,4,22,50.17470417590812,neu,0.5083703320706263,50.879698952892795
image_stim_p.png,Tuesday,54.102046573883854,67,1,-1.6859102219357711,faceWord_exp,42,0.6942541220923886,female,10,54.79630069597624,6.42,56.44923167990055,JV,truce,88,0.6888034619623795,b,4,22,55.94097352493554,pos,0.5082581549650058,56.62977698689792
image_stim_p.png,Tuesday,58.10313835099805,151,1,-2.303583541830637,faceWord_exp,42,0.6931879769545048,female,11,58.796326327952556,6.68,61.78290416393429,JV,wonder,164,0.6895379290217534,b,4,22,61.340002336888574,pos,0.44290182704571635,62.02954026591033
