ID,offset_img,condition,response,key_t,onset_img,img_trigger,duration_frames,word,word_trigger,delay_frames_after,delay_frames_before,rt,correct_resp,word_score_pc,no,gender,img,duration_measured_word,onset_word,pause_trigger_t,word_label,word_score_warriner,session,duration_measured_img,pause_trigger,age,scan day,offset_word
orm,5.478256301023066,faceWord_exp,y,5.214216522988863,4.779216853086837,22,42,battle,12,336,180,0.43499966990202665,1,3.668156535681199,1,male,image_stim_n.png,0.7035567690618336,1.0069762240163982,2.7117415070533752,neg,3.52,4,0.6990394479362294,32,22,Wednesday,1.7105329930782318
orm,15.494988269987516,faceWord_exp,b,15.33116093906574,14.80597300908994,21,42,worker,13,336,180,0.5251879299758002,1,0.0196438746392397,2,male,image_stim_p.png,0.6933259329525754,11.084948927047662,12.778643917990848,neu,5.95,4,0.6890152608975768,41,22,Wednesday,11.778274860000238
orm,25.511414976092055,faceWord_exp,y,25.279752836097032,24.821205437066965,22,42,accident,12,336,180,0.458547399030067,1,3.9974740190684885,3,male,image_stim_n.png,0.6927953460253775,21.102151138009503,22.795256568002515,neg,2.55,4,0.6902095390250906,32,22,Wednesday,21.79494648403488
orm,35.52774642803706,faceWord_exp,b,35.34686519403476,34.83804048306774,21,42,scientist,13,336,180,0.5088247109670192,1,-0.5273916336755435,4,male,image_stim_p.png,0.6924730980535969,31.1189709600294,32.81166061409749,neu,5.83,4,0.6897059449693188,41,22,Wednesday,31.811444058082998
orm,45.54439841909334,faceWord_exp,y,45.397743187029846,44.85359115805477,22,42,stampede,12,336,180,0.544152028975077,1,2.7437052692255306,5,male,image_stim_n.png,0.6933073500404134,41.134541559033096,42.82822391507216,neg,4.48,4,0.6908072610385716,32,22,Wednesday,41.82784890907351
orm,55.56098730699159,faceWord_exp,y,55.446308969985694,54.86977042502258,22,42,snake,12,336,180,0.576538544963114,1,1.95458394600482,6,male,image_stim_n.png,0.6957697219913825,51.148587675066665,52.8449556150008,neg,4.03,4,0.6912168819690123,32,22,Wednesday,51.84435739705805
orm,68.17748418706469,faceWord_exp,b,67.76283150003292,67.48613851005211,21,42,kitchen,11,180,336,0.27669298998080194,1,-1.5082836116280287,7,male,image_stim_p.png,0.6939486310584471,61.1668657209957,62.86104029905982,pos,6.17,4,0.6913456770125777,31,22,Wednesday,61.86081435205415
orm,76.17753672099207,faceWord_exp,b,76.06326044502202,75.48636972508393,21,42,heroism,11,336,180,0.5768907199380919,1,-2.30162279277581,8,male,image_stim_p.png,0.6956397340400144,71.76489958702587,73.46099150704686,pos,7.05,4,0.6911669959081337,31,22,Wednesday,72.46053932106588
orm,88.79380522109568,faceWord_exp,y,88.6799071560381,88.10354900709353,22,42,zone,12,180,336,0.5763581489445642,1,0.42679466080263373,9,male,image_stim_n.png,0.6939311410533264,81.7832816389855,83.47767898300663,neg,4.75,4,0.6902562140021473,32,22,Wednesday,82.47721278003883
orm,98.82705187005922,faceWord_exp,y,98.6129214890534,98.1222753750626,22,42,businessman,13,180,336,0.49064611399080604,1,0.6669259665908855,10,male,image_stim_n.png,0.6904564939904958,91.80346834508236,93.49423762399238,neu,5.38,4,0.7047764949966222,42,22,Wednesday,92.49392483907286
orm,106.24354519008193,faceWord_exp,b,105.92987323808484,105.55311918503139,21,42,peace,11,336,180,0.3767540530534461,1,-3.0311112754680245,11,male,image_stim_p.png,0.6957439860561863,101.83132395299617,103.52735596708953,pos,7.75,4,0.69042600505054,31,22,Wednesday,102.52706793905236
orm,118.85999344708398,faceWord_exp,b,118.71250090107787,118.16922721208539,21,42,wonder,11,180,336,0.5432736889924854,1,-2.303583541830637,12,male,image_stim_p.png,0.6956347870873287,111.84782521100715,113.54396711103618,pos,6.68,4,0.6907662349985912,31,22,Wednesday,112.54345999809448
orm,128.87638764409348,faceWord_exp,b,128.51197956700344,128.18574938899837,21,42,dog,11,180,336,0.32623017800506204,1,-1.7294291477603156,13,male,image_stim_p.png,0.6946176029741764,121.86538991308771,123.55994721199386,pos,7.0,4,0.6906382550951093,31,22,Wednesday,122.56000751606189
