gender,offset_word,no,img,pause_trigger,delay_frames_after,onset_img,duration_measured_word,condition,rt,response,word,delay_frames_before,pause_trigger_t,scan day,ID,session,key_t,word_score_warriner,onset_word,word_trigger,duration_frames,offset_img,word_score_pc,age,word_label,duration_measured_img,img_trigger,correct_resp
female,1.7160641689551994,1,image_stim_p.png,31,180,7.407278271974064,0.6987153919762932,faceWord_exp,,,home,336,2.714561283995863,Monday,1,6,,7.48,1.0173487769789062,11,42,8.101588185993023,-2.2232275900644445,23,pos,0.6943099140189588,21,
female,11.794380172970705,2,image_stim_p.png,31,336,14.814960443007294,0.6956568509922363,faceWord_exp,0.6718587349751033,b,camera,180,12.792274817998987,Monday,1,6,15.486819177982397,6.61,11.098723321978468,11,42,15.517165930999909,-1.0219663684796234,23,pos,0.7022054879926145,21,1
female,21.80399831198156,3,image_stim_p.png,41,180,27.41848263295833,0.6945492930244654,faceWord_exp,0.5265750110265799,b,prairie,336,22.802501102967653,Monday,1,6,27.94505764398491,5.33,21.109449018957093,13,42,28.12107189896051,-1.1818642926883074,23,neu,0.7025892660021782,21,1
female,31.814358332951088,4,image_stim_p.png,41,180,37.431855666975025,0.6938508889870718,faceWord_exp,0.7352538109989837,b,escalator,336,32.812119529990014,Monday,1,6,38.16710947797401,5.95,31.120507443964016,13,42,38.13064845500048,-0.1293625696653618,23,neu,0.6987927880254574,21,1
female,41.82347884995397,5,image_stim_n.png,32,180,47.44383076898521,0.6926619669538923,faceWord_exp,0.685068724968005,y,guilt,336,42.8220301559777,Monday,1,6,48.12889949395321,2.29,41.13081688300008,12,42,48.14031891996274,4.2219398121868315,23,neg,0.6964881509775296,22,1
female,51.83373716700589,6,image_stim_p.png,41,336,54.858940742968116,0.6934155860217288,faceWord_exp,0.569410243013408,b,scooter,180,52.83129415899748,Monday,1,6,55.428350985981524,5.42,51.140321580984164,13,42,55.55604227096774,-0.9209473384247756,23,neu,0.6971015279996209,21,1
female,61.84320800600108,7,image_stim_p.png,31,180,67.45835719397292,0.6945310550509021,faceWord_exp,0.6230650569777936,b,cheese,336,62.84115149197169,Monday,1,6,68.08142225095071,6.81,61.148676950950176,11,42,68.1597455139854,-1.5755240884938977,23,pos,0.7013883200124837,21,1
female,71.85336753795855,8,image_stim_n.png,32,180,77.46972909395117,0.6960096389520913,faceWord_exp,0.7861731550074182,y,lost,336,72.85079577896977,Monday,1,6,78.25590224895859,2.53,71.15735789900646,12,42,78.16956519096857,3.7741942061665816,23,neg,0.6998360970173962,22,1
female,81.8629763739882,9,image_stim_n.png,32,336,84.88393795595039,0.6929224120103754,faceWord_exp,0.6088764540036209,y,funeral,180,82.86107387696393,Monday,1,6,85.49281440995401,2.07,81.17005396197783,12,42,85.58522223599721,4.494524106175375,23,neg,0.7012842800468206,22,1
female,91.87301479798043,10,image_stim_n.png,32,180,97.48755800299114,0.6959787529776804,faceWord_exp,0.6704286320018582,y,old,336,92.87094733398408,Monday,1,6,98.157986634993,3.19,91.17703604500275,12,42,98.18942090100609,1.5556418242275696,23,neg,0.7018628980149515,22,1
female,101.88229584199144,11,image_stim_n.png,42,180,107.49727503600297,0.6954101960291155,faceWord_exp,0.7555842889705673,y,finger,336,102.88051831297344,Monday,1,6,108.25285932497354,5.8,101.18688564596232,13,42,108.19895194395212,-0.3659926056186196,23,neu,0.7016769079491496,22,1
female,111.89211922197137,12,image_stim_p.png,41,180,117.50841668300563,0.6939845929737203,faceWord_exp,0.6881413569790311,b,advice,336,112.89029394998215,Monday,1,6,118.19655803998467,5.78,111.19813462899765,13,42,118.2087998429779,-0.30581232848456497,23,neu,0.7003831599722616,21,1
female,121.9162596759852,13,image_stim_n.png,32,180,127.53643027698854,0.6920620710006915,faceWord_exp,0.7528311249916442,y,crow,336,122.91479582095053,Monday,1,6,128.28926140198018,4.32,121.22419760498451,12,42,128.23453719797544,0.8985553834191027,23,neg,0.698106920986902,22,1
female,131.9263784379582,14,image_stim_p.png,41,336,134.9496557280072,0.6960692270076834,faceWord_exp,0.536932025977876,b,role,180,132.92674083198654,Monday,1,6,135.48658775398508,5.1,131.2303092109505,13,42,135.65075503697153,0.07641955756997082,23,neu,0.7010993089643307,21,1
female,141.93592876399634,15,image_stim_p.png,31,336,144.96336118195904,0.6953999440302141,faceWord_exp,0.5355655809980817,b,river,180,142.93557339999825,Monday,1,6,145.49892676295713,6.72,141.24052881996613,11,42,145.66056235297583,-1.8284590275958619,23,pos,0.6972011710167862,21,1
female,151.94543537095888,16,image_stim_n.png,32,180,157.56068780395435,0.6959820779738948,faceWord_exp,0.623051070026122,y,sin,336,152.9455200819648,Monday,1,6,158.18373887398047,3.08,151.24945329298498,12,42,158.2479977089679,3.1738538072533196,23,neg,0.6873099050135352,22,1
female,161.94079326395877,17,image_stim_p.png,31,180,167.55752767197555,0.6938687280053273,faceWord_exp,0.6866425499902107,b,blueberry,336,162.93687917798525,Monday,1,6,168.24417022196576,7.11,161.24692453595344,11,42,168.25733125099214,-1.4048581699918157,23,pos,0.6998035790165886,21,1
female,171.95040572900325,18,image_stim_p.png,31,336,174.97027185896877,0.6953936520149,faceWord_exp,0.6910025720135309,b,read,180,172.9467012299574,Monday,1,6,175.6612744309823,6.73,171.25501207698835,11,42,175.67531585897086,-1.87678309604286,23,pos,0.7050440000020899,21,1
female,181.96020773996133,19,image_stim_p.png,31,336,184.9802322469768,0.6957066109753214,faceWord_exp,0.7215209149871953,b,chocolate,180,182.95603003998986,Monday,1,6,185.701753161964,7.63,181.264501128986,11,42,185.68488328700187,-2.539279812815429,23,pos,0.7046510400250554,21,1
