X1,img,scan.day,onset_word,delay_frames_before,correct_resp,word_score_pc,condition,duration_frames,duration_measured_word,gender,no,offset_word,word_score_warriner,key_t,ID,word,delay_frames_after,duration_measured_img,response,session,age,onset_img,word_label,rt,offset_img
29,image_stim_n.png,Tuesday,1714175e20,109,NA,2.07658579,faceWord_exp,42,0.6939089,male,29,1721114e19,352,1745313e20,EK,court,106,0.7052841,j,4,20,1739561e20,neg,0.5752626,1746613e19
30,image_stim_n.png,Tuesday,1764344e20,125,NA,-0.48803784,faceWord_exp,42,0.6935711,male,30,177128e21,568,1797481e20,EK,chestnut,143,0.7046919,j,4,20,1792399e20,neu,0.5081961,1799446e20
31,image_stim_p.png,Tuesday,1823358e20,126,1,0.4395767,faceWord_exp,42,0.692029,male,31,1830279e20,567,185748e21,EK,red,83,0.7022866,b,4,20,185159e21,neu,0.5890865,1858612e20
32,image_stim_n.png,Tuesday,1872505e20,138,NA,2.8496223,faceWord_exp,42,0.6939947,male,32,1879445e18,378,1907472e20,EK,empty,237,0.6892071,j,4,20,190272e21,neg,0.4752568,1909612e20
33,image_stim_n.png,Tuesday,1949172e20,184,NA,2.74227426,faceWord_exp,42,0.6939147,male,33,1956111e20,4,1992311e20,EK,fallacy,111,0.7060304,j,4,20,1987061e20,neg,0.5250083,1994121e20
34,image_stim_p.png,Tuesday,201267e21,217,1,-0.7774272,faceWord_exp,42,0.6940098,male,34,201961e21,543,2061643e20,EK,theme,151,0.7053601,b,4,20,2056055e20,neu,0.5587947,2063108e20
35,image_stim_p.png,Tuesday,2088329e20,227,1,-1.72942915,faceWord_exp,42,0.6946411,male,35,2095275e20,7,2138143e20,EK,dog,158,0.7051629,b,4,20,213339e21,pos,0.4753415,2140441e20
36,image_stim_n.png,Tuesday,2166831e20,108,NA,-0.94533955,faceWord_exp,42,0.6943324,male,36,2173775e20,591,2197142e20,EK,team,140,0.704284,j,4,20,2192064e20,neu,0.5077474,2199107e19
37,image_stim_p.png,Tuesday,2222498e20,188,1,-3.03111128,faceWord_exp,42,0.6941885,male,37,222944e21,775,2265642e20,EK,peace,144,0.7045016,b,4,20,2261063e20,pos,0.4578957,2268108e20
38,image_stim_p.png,Tuesday,2292193e20,171,1,-0.05436508,faceWord_exp,42,0.6912436,male,38,2299105e20,559,2335636e20,EK,mouth,151,0.7019298,b,4,20,2327919e20,neu,0.7716407,2334939e20
39,image_stim_n.png,Tuesday,2360168e20,107,NA,4.21761745,faceWord_exp,42,0.6941672,male,39,2367109e20,262,2388973e20,EK,insult,181,0.6894196,j,4,20,2385211e20,neg,0.3762406,2392105e20
40,image_stim_n.png,Tuesday,2422362e20,130,NA,0.42679466,faceWord_exp,42,0.6908489,male,40,2429271e20,475,2455307e20,EK,zone,163,0.6891493,j,4,20,2451213e20,neg,0.4094083,2458104e20
41,image_stim_p.png,Tuesday,2485331e20,141,1,-2.54704388,faceWord_exp,42,0.6938656,male,41,249227e21,585,2520136e20,EK,circus,93,0.7045946,b,4,20,2516057e20,neu,0.4079354,2523103e20
42,image_stim_n.png,Tuesday,2538663e20,109,NA,1.95458395,faceWord_exp,42,0.6940252,male,42,2545603e20,403,2569315e20,EK,snake,176,0.6930046,j,4,20,2564172e20,neg,0.5142668,2571102e20
43,image_stim_n.png,Tuesday,2600501e20,199,NA,0.18094025,faceWord_exp,42,0.69341680000000006,male,43,2607436e18,53,2645801e20,EK,journalist,128,0.7048596,j,4,20,2640886e20,neu,0.491517,2647935e20
44,image_stim_p.png,Tuesday,2669333e20,83,1,-2.83058698,faceWord_exp,42,0.6934079,male,44,2676267e20,667,2695469e20,EK,gratitude,120,0.6888738,b,4,20,2690379e20,pos,0.5090112,2697267e20
45,image_stim_p.png,Tuesday,2717358e20,175,1,-0.52739163,faceWord_exp,42,0.6908513,male,45,2724267e20,583,2758135e20,EK,scientist,120,0.702477,b,4,20,2753741e20,neu,0.4394047,2760766e20
46,image_stim_p.png,Tuesday,2780826e20,222,1,-2.30162279,faceWord_exp,42,0.6940244,male,46,2787766e20,705,2830798e20,EK,heroism,190,0.7055942,b,4,20,2825043e20,pos,0.5754998,2832098e20
47,image_stim_p.png,Tuesday,2863823e19,194,1,-1.88309326,faceWord_exp,42,0.6948443,male,47,2870772e20,615,2908632e20,EK,choir,130,0.7050011,b,4,20,2903381e20,pos,0.525118,2910431e20
48,image_stim_p.png,Tuesday,2932159e20,98,1,-2.41171655,faceWord_exp,42,0.6937673,male,48,2939097e20,73,2960965e20,EK,flower,137,0.6895539,b,4,20,2955702e20,pos,0.5262534,2962598e20
49,image_stim_n.png,Tuesday,2985495e20,102,NA,0.18722932,faceWord_exp,42,0.693552,male,49,299243e21,595,3015467e20,EK,elevator,77,0.6893712,j,4,20,3009704e20,neu,0.5763099,3016597e19
50,image_stim_p.png,Tuesday,3029492e20,154,1,0.01964387,faceWord_exp,42,0.6937647,male,50,3036429e20,595,3067636e20,EK,worker,145,0.6892726,b,4,20,3062369e20,neu,0.5266178,3069262e20
51,image_stim_n.png,Tuesday,309349e21,131,0,3.66815654,faceWord_exp,42,0.6947028,male,51,3100437e20,352,3127625e20,EK,battle,141,0.7049759,b,4,20,3122545e20,neg,0.5079575,3129595e20
52,image_stim_p.png,Tuesday,3153178e20,67,1,0.29188517,faceWord_exp,42,0.6916314,male,52,3160094e20,589,3176626e20,EK,guard,36,0.7026936,b,4,20,3171567e20,neu,0.5059219,3178594e19
53,image_stim_p.png,Tuesday,3185316e20,142,1,-0.69962612,faceWord_exp,42,0.6945087,male,53,3192261e20,567,3220795e20,EK,bell,168,0.6890611,b,4,20,3216202e20,neu,0.4593044,3223093e20
54,image_stim_p.png,Tuesday,325115e21,177,1,-1.23165841,faceWord_exp,42,0.6942168,male,54,3258092e19,635,3292793e20,EK,banjo,147,0.6910845,b,4,20,3287848e20,pos,0.4944415,3294759e20
55,image_stim_p.png,Tuesday,331931e21,164,1,-0.90310692,faceWord_exp,42,0.6949387,male,55,3326259e20,584,3358637e20,EK,boy,87,0.7048777,b,4,20,3353876e19,neu,0.4760406,3360925e20
56,image_stim_p.png,Tuesday,3375487e20,68,NA,-1.42614597,faceWord_exp,42,0.6937197,male,56,3382424e19,626,3398132e20,EK,lust,188,0.6890595,j,4,20,3394043e20,pos,0.4089145,3400933e20
57,image_stim_n.png,Tuesday,3432322e20,178,NA,-0.36639925,faceWord_exp,42,0.6935754,male,57,3439257e20,336,3472792e20,EK,expensive,143,0.7049603,j,4,20,3469206e20,neg,0.3585275,3476256e20
58,image_stim_n.png,Tuesday,3500152e20,256,NA,4.53558403,faceWord_exp,42,0.6937049,male,58,3507089e20,253,3553458e20,EK,torment,123,0.705077,j,4,20,3550038e20,neg,0.3419863,3557089e20
59,image_stim_p.png,Tuesday,3577678e19,147,1,-1.79742886,faceWord_exp,42,0.6910228,male,59,3584588e20,653,3613622e19,EK,bonfire,168,0.6998762,b,4,20,3609423e19,pos,0.4199495,3616421e20
60,image_stim_n.png,Tuesday,3644487e20,162,NA,3.4698174,faceWord_exp,42,0.6933663,male,60,3651421e20,34,3683454e20,EK,animosity,120,0.7051965,j,4,20,3678701e20,neg,0.475334,3685753e20
