no,delay_frames_before,word_score_pc,condition,delay_frames_after,response,offset_word,word_label,onset_word,key_t,pause_trigger_t,duration_frames,gender,scan day,img,correct_resp,ID,onset_img,offset_img,word,rt,word_score_warriner,duration_measured_img,random_timepoint,duration_measured_word,age,session
11,103,-0.31568469709749714,faceWord_exp,115,left,59.233237966982415,neu,58.43775055598235,61.435565125982976,60.234045741002774,48,male,Monday,image_stim_n.png,1,1,60.997827330982545,61.799762834998546,tourist,0.4377377950004302,5.71,0.8019355040160008,75.01604542697896,0.7954874110000674,22,1
12,103,-2.8031613090757777,faceWord_exp,43,right,64.51656190300127,pos,63.721332929999335,66.53475674899528,65.51704365300247,48,male,Monday,image_stim_p.png,1,1,66.28740055399248,67.083263160981,beach,0.24735619500279427,7.21,0.7958626069885213,80.30561841098825,0.7952289730019402,22,1
13,104,1.3014161644429498,faceWord_exp,159,left,68.599908203003,neg,67.80431075199158,70.86766722900211,69.60033228900284,48,male,Monday,image_stim_n.png,1,1,70.38138280599378,71.18292881597881,gasp,0.4862844230083283,4.5,0.8015460099850316,84.399600610981,0.7955974510114174,22,1
14,105,-1.1648995537800455,faceWord_exp,57,right,74.6331424700038,pos,73.83698646599078,76.86882969198632,75.63354598899605,48,male,Monday,image_stim_p.png,1,1,76.43480322498363,77.23313725998742,plum,0.4340264670026954,6.15,0.7983340350037906,90.45302124498994,0.796156004013028,22,1
15,128,1.7036686386059527,faceWord_exp,152,left,78.98309457598953,neg,78.18807401700178,81.66809159799595,79.9828992219991,48,male,Monday,image_stim_n.png,1,1,81.16399614699185,81.96612070000265,jury,0.5040954510041047,4.23,0.802124553010799,95.18221272199298,0.7950205589877442,22,1
16,117,-2.40140153221556,faceWord_exp,106,right,85.29985538299661,pos,84.50423902997863,87.81914318498457,86.30013221898116,48,male,Monday,image_stim_p.png,1,1,87.30114428399247,88.0998292559816,love,0.5179989009920973,8.0,0.7986849719891325,101.31936228598352,0.7956163530179765,22,1
17,118,4.010420717126172,faceWord_exp,184,left,90.66623168298975,neg,89.87675809598295,93.53551272198092,91.6667858529836,48,male,Monday,image_stim_n.png,1,1,92.68340412000543,93.4829657439841,lonely,0.8521086019754875,2.67,0.7995616239786614,106.70162215799792,0.7894735870067962,22,1
18,137,-0.8050043475134195,faceWord_exp,124,right,97.34908015700057,neu,96.55385609698715,100.16935351700522,98.35013842000626,48,male,Monday,image_stim_p.png,1,1,99.68566473500687,100.48290046400507,famous,0.4836887819983531,5.89,0.7972357289982028,113.70388244799688,0.7952240600134246,22,1
19,114,0.7573178762670367,faceWord_exp,93,left,103.34939767199103,neg,102.5542112379917,105.78466767500504,104.3500785070064,48,male,Monday,image_stim_n.png,1,1,105.30139431799762,106.09906280800351,meeting,0.4832733570074197,4.55,0.7976684900058899,119.31961221300298,0.7951864339993335,22,1
20,168,2.166851165767892,faceWord_exp,104,left,108.44954204399255,neg,107.65507192898076,111.78476453898475,109.44963766197907,48,male,Monday,image_stim_n.png,1,1,111.30200511799194,112.09920981398318,aggressive,0.48275942099280655,3.08,0.7972046959912404,125.32022324198624,0.7944701150117908,22,1
21,-32,-1.0543324261381863,faceWord_exp,170,right,114.63257626898121,pos,113.83755075800582,115.31729615200311,109.44963766197907,48,male,Monday,image_stim_p.png,1,1,114.68390527300653,115.48278913999093,oak,0.633390878996579,6.47,0.7988838669843972,128.7021231300023,0.7950255109753925,22,1
22,117,-1.5151286486205269,faceWord_exp,179,right,119.11607580599957,pos,118.31993241800228,122.05163573299069,120.11574390198803,48,male,Monday,image_stim_p.png,1,1,121.11716602099477,121.91586732698488,lake,0.9344697119959164,7.13,0.7987013059901074,135.1353837380011,0.7961433879972901,22,1
23,152,-1.1856791528275217,faceWord_exp,42,right,125.69903869897826,neu,124.9036766999925,129.48511285398854,126.69960085698403,48,male,Monday,image_stim_p.png,1,1,128.2844656399975,129.0822867679817,hamster,1.200647213991033,5.88,0.7978211279842071,142.3026835799974,0.7953619989857543,22,1
24,119,-1.1443669013398097,faceWord_exp,39,right,130.58241247199476,pos,129.79179126699455,133.217363379983,131.58303546099341,48,male,Monday,image_stim_p.png,1,1,132.61465730998316,133.41495874599786,moral,0.6027060699998401,6.85,0.8003014360147063,146.63287533799303,0.7906212050002068,22,1
