scan day,duration_frames,word_score_pc,duration_measured_word,word_score_warriner,img,duration_measured_img,img_trigger,gender,offset_word,onset_img,ID,pause_trigger,correct_resp,rt,delay_frames_before,word,age,onset_word,offset_img,session,key_t,condition,pause_trigger_t,word_label,word_trigger,response,no,delay_frames_after
Monday,42,3.222893544100452,0.6830559999798425,2.95,image_stim_n.png,0.681203700019978,22,female,132.0921697000158,135.14326630003052,2,32,1,-2.2833408000296913,180,perjury,22,131.40911370003596,135.8244700000505,2,132.85992550000083,faceWord_exp,133.09045990003506,neg,12,y,14,336
Monday,42,-1.7608811602119443,0.6875883999746293,7.5,image_stim_p.png,0.6768274999922141,21,female,142.1217768000206,145.17927000002237,2,31,1,-2.906493499991484,180,summer,22,141.43418840004597,145.85609750001458,2,142.2727765000309,faceWord_exp,143.12559420004254,pos,11,b,15,336
Monday,42,-1.6425048482978826,0.6953010999714024,7.28,image_stim_p.png,0.6883013999904506,21,female,152.15531050000573,157.81509330001427,2,31,1,-5.20907049998641,336,knowledge,22,151.46000940003432,158.50339470000472,2,152.60602280002786,faceWord_exp,153.15814300003694,pos,11,b,16,180
Monday,42,-0.06058349899147484,0.6980045999516733,5.48,image_stim_n.png,0.6781562999822199,22,female,162.20321720000356,165.22540510003455,2,42,0,-1.7532579000107944,180,business,22,161.5052126000519,165.90356140001677,2,163.47214720002376,faceWord_exp,163.20671930001117,neu,13,b,17,336
Monday,42,-2.2291915044129413,0.6906294000218622,6.73,image_stim_p.png,0.6866182999801822,21,female,172.20252030005213,175.23120090004522,2,31,1,-1.3275570000405423,180,luck,22,171.51189090003027,175.9178192000254,2,173.90364390000468,faceWord_exp,173.20361050002975,pos,11,b,18,336
Monday,42,-1.926056195769395,0.6818722000462003,6.8,image_stim_p.png,0.6822756000328809,21,female,182.21697520004818,187.86818270001095,2,31,1,-4.7507959000067785,336,fireworks,22,181.53510300000198,188.55045830004383,2,183.11738680000417,faceWord_exp,183.21749330003513,pos,11,b,19,180
Monday,42,1.0482300490198866,0.6878253999748267,4.75,image_stim_n.png,0.6816268000402488,22,female,192.24935070000356,195.26796450000256,2,32,1,-1.0166002999758348,180,ricochet,22,191.56152530002873,195.9495913000428,2,194.25136420002673,faceWord_exp,193.24949040001957,neg,12,y,20,336
Monday,42,3.4738609063027237,0.6900503000360914,2.29,image_stim_n.png,0.6870026999968104,22,female,202.24795690004248,207.8943256000057,2,32,1,-5.276200599968433,336,sick,22,201.5579066000064,208.5813283000025,2,202.61812500003725,faceWord_exp,203.2479074000148,neg,12,y,21,180
Monday,42,-0.18776275500974607,0.6915024999761954,5.62,image_stim_p.png,0.6825754000456072,21,female,212.28032890002942,217.91396360000363,2,41,1,-4.7650381999555975,336,speech,22,211.58882640005322,218.59653900004923,2,213.14892540004803,faceWord_exp,213.27988430002006,neu,13,b,22,180
Monday,42,2.373388118792564,0.6915284999995492,4.52,image_stim_n.png,0.6814893999835476,22,female,222.31247200001962,227.94587260001572,2,32,1,-3.781462599989027,336,excuse,22,221.62094350002008,228.62736199999927,2,224.1644100000267,faceWord_exp,223.31455900002038,neg,12,y,23,180
