key_t,age,gender,img,rt,correct_resp,duration_frames,condition,ID,word,onset_word,onset_img,response,no,word_score_warriner,scan day,word_label,duration_measured_img,delay_frames_after,session,delay_frames_before,word_score_pc,offset_word,offset_img,duration_measured_word
1.155040600002394,34,female,image_stim_p.png,-1.6441061000077752,1,42,faceWord_exp,holymolly,family,1.0801633000082802,2.7991467000101693,b,1,7.25,Monday,pos,0.6840082999988226,46,3,53,-1.6019047514101912,1.7694604999996955,3.483155000008992,0.6892971999914153
4.334771800000453,34,female,image_stim_p.png,-1.7419938999955775,,42,faceWord_exp,holymolly,reality,4.262167299995781,6.076765699996031,j,2,5.73,Monday,neu,0.6885920000058832,58,3,61,0.30770997164376424,4.949531300007948,6.765357700001914,0.6873640000121668
7.781299499998568,34,female,image_stim_p.png,-1.4639935000013793,,42,faceWord_exp,holymolly,joy,7.744810400006827,9.245292999999947,j,3,8.21,Monday,pos,0.6828015000064624,61,3,43,-3.230607919269787,8.42966599999636,9.92809450000641,0.6848555999895325
11.046035499995924,34,female,image_stim_n.png,-1.7287956000072882,0,42,faceWord_exp,holymolly,tuba,10.962298900005408,12.774831100003212,b,4,5.58,Monday,neu,0.6832972999982303,47,3,64,-0.945340141786388,11.644355199998245,13.458128400001442,0.682056299992837
14.275617100007366,34,female,image_stim_n.png,-1.5673468000022694,,42,faceWord_exp,holymolly,voter,14.261617600001046,15.842963900009636,j,5,4.85,Monday,neg,0.6813235999870813,39,3,51,-0.3331872788781821,14.94173010000668,16.524287499996717,0.6801125000056345
17.242023800004972,34,female,image_stim_n.png,-1.621178899993538,,42,faceWord_exp,holymolly,malice,17.18424070000765,18.86320269999851,j,6,2.81,Monday,neg,0.6738238000107231,60,3,56,3.6887696102955196,17.872165799999493,19.537026500009233,0.687925099991844
20.60581649999949,34,female,image_stim_n.png,-1.5680108000087785,,42,faceWord_exp,holymolly,patent,20.555664900006377,22.17382730000827,j,7,5.34,Monday,neu,0.6770511999930022,53,3,53,-0.1793860699809707,21.23693739999726,22.850878500001272,0.6812724999908824
23.868622000009054,34,female,image_stim_n.png,-1.4378303999983473,,42,faceWord_exp,holymolly,glass,23.748780900001293,25.3064524000074,j,8,5.48,Monday,neu,0.6750423999910709,49,3,49,0.2046331385026182,24.433709000004455,25.981494799998472,0.6849281000031624
26.917600800006767,34,female,image_stim_n.png,-1.7216285000031348,,42,faceWord_exp,holymolly,trial,26.80883029999677,28.6392293000099,j,9,3.28,Monday,neg,0.6730552999943029,46,3,65,2.3068979902815,27.497464600004605,29.312284600004205,0.6886343000078341
30.197486999997636,34,female,image_stim_p.png,-1.2922074000089196,,42,faceWord_exp,holymolly,gum,30.087623600004008,31.489694400006556,j,10,5.89,Monday,neu,0.6872402000008151,56,3,41,-1.0048841857254538,30.77772179999738,32.17693460000737,0.690098199993372
33.177286999998614,34,female,image_stim_p.png,-1.3468494999979157,,42,faceWord_exp,holymolly,advantage,33.12382150000485,34.52413649999653,j,11,6.71,Monday,pos,0.6842366000055335,47,3,39,-1.2474567486001964,33.80894740000076,35.20837310000206,0.68512589999591
36.02670509999734,34,female,image_stim_p.png,-1.5250737000023946,,42,faceWord_exp,holymolly,car,36.00039939999988,37.55177879999974,j,12,6.63,Monday,pos,0.6880099999980303,46,3,48,-1.4106928476010352,36.6906011000101,38.23978879999777,0.6902017000102205
39.105365399998846,34,female,image_stim_n.png,-1.4348365000041667,,42,faceWord_exp,holymolly,belch,39.01900519999617,40.54020190000301,j,13,4.18,Monday,neg,0.6792813999927603,50,3,47,1.9197700017151131,39.70661560000735,41.21948329999577,0.6876104000111809
