word_score_warriner,onset_img,condition,correct_resp,response,pause_trigger_t,word_score_pc,gender,duration_measured_word,delay_frames_before,onset_word,offset_word,word_trigger,duration_frames,word_label,key_t,word,duration_measured_img,offset_img,scan day,delay_frames_after,img_trigger,rt,session,age,pause_trigger,no,img,ID
3.4,4.8632862390368246,faceWord_exp,1,y,2.7419954770011827,3.4172209593162717,male,0.7173332530073822,180,1.0238976160180755,1.7412308690254577,12,42,neg,5.662077533022966,delirium,0.6963981069857255,5.55968434602255,Monday,336,22,0.7987912939861417,3,21,32,1,image_stim_n.png,km
5.1,17.50783792103175,faceWord_exp,1,b,12.863458011997864,0.05858023181365075,male,0.6933252830058336,336,11.16922565898858,11.862550941994414,13,42,neu,18.05111530603608,cabinet,0.6910568089806475,18.198894730012398,Monday,180,21,0.5432773850043304,3,21,41,2,image_stim_p.png,km
2.81,27.53509755700361,faceWord_exp,1,y,22.901497595012188,3.6887696102955196,male,0.6957694820011966,336,21.204904185025953,21.90067366702715,12,42,neg,28.189048289030325,malice,0.7019223719835281,28.237019928987138,Monday,180,22,0.6539507320267148,3,21,32,3,image_stim_n.png,km
3.47,37.572062517981976,faceWord_exp,1,y,32.93971079401672,3.583082910341294,male,0.6950103560229763,336,31.24369542801287,31.938705784035847,12,42,neg,38.16488333698362,cyclone,0.7029436860466376,38.275006204028614,Monday,180,22,0.5928208190016448,3,21,32,4,image_stim_n.png,km
7.48,45.01366181700723,faceWord_exp,1,b,42.97765595698729,-2.2287379941341,male,0.6930263449903578,180,41.283954279031605,41.97698062402196,11,42,pos,45.614057680999395,hope,0.6980619269888848,45.71172374399612,Monday,336,21,0.600395863992162,3,21,31,5,image_stim_p.png,km
3.45,55.04813093302073,faceWord_exp,1,y,53.015804835013114,3.6017940902369654,male,0.6932410140288994,180,51.321503132989164,52.014744147018064,12,42,neg,55.63606940902537,grievance,0.7018423939589411,55.74997332697967,Monday,336,22,0.5879384760046378,3,21,32,6,image_stim_n.png,km
5.89,67.68718938401435,faceWord_exp,1,b,63.0538544789888,-1.0048841857254538,male,0.6966315520112403,336,61.35649751598248,62.05312906799372,13,42,neu,68.3253393410123,gum,0.7021444700076245,68.38933385402197,Monday,180,21,0.6381499569979496,3,21,41,7,image_stim_p.png,km
7.23,75.12423822999699,faceWord_exp,1,b,73.09191560198087,-2.484088237918995,male,0.6949748470215127,180,71.39642080297926,72.09139565000078,11,42,pos,75.66416412399849,butterfly,0.7020873930305243,75.82632562302751,Monday,336,21,0.5399258940014988,3,21,31,8,image_stim_p.png,km
6.29,87.76326223701471,faceWord_exp,1,b,83.1301373890019,-1.6804307003665144,male,0.695862591965124,336,81.43346415401902,82.12932674598414,11,42,pos,88.26793114101747,flute,0.7022972879931331,88.46555952500785,Monday,180,21,0.5046689040027559,3,21,31,9,image_stim_p.png,km
6.71,95.1996915640193,faceWord_exp,1,b,93.16820795502281,-1.2474567486001964,male,0.6952952890424058,180,91.47192823298974,92.16722352203215,11,42,pos,95.80642401298974,advantage,0.7025409569614567,95.90223252098076,Monday,336,21,0.6067324489704333,3,21,31,10,image_stim_p.png,km
