age,key_t,no,gender,word,word_score_warriner,word_label,word_trigger,rt,pause_trigger,response,img_trigger,onset_img,delay_frames_after,delay_frames_before,duration_measured_word,scan day,correct_resp,duration_frames,duration_measured_img,offset_img,word_score_pc,onset_word,pause_trigger_t,img,ID,condition,offset_word,session
22,5.368936349987052,1,female,van,4.43,neg,12,0.5632358199800365,32,y,22,4.805700530007016,336,180,0.6982233219896443,Monday,1,42,0.6937238439568318,5.499424373963848,-0.14866519221167074,1.0183089529746212,2.717853717971593,image_stim_n.png,ELAS,faceWord_exp,1.7165322749642655,2
22,15.321549372980371,2,female,toaster,5.8,neu,13,0.4855416869977489,42,y,22,14.836007685982622,336,180,0.6899329950101674,Monday,1,42,0.6983486840035766,15.534356369986199,-0.5451009915059291,11.110609452996869,12.801785470976029,image_stim_n.png,ELAS,faceWord_exp,11.800542448007036,2
22,28.00632904097438,3,female,attribute,5.67,neu,13,0.5382382569951005,42,y,22,27.468090783979278,180,336,0.6889758159522898,Monday,1,42,0.7007591960136779,28.168849979992956,-0.32263149533554664,21.145733467012178,22.83548826898914,image_stim_n.png,ELAS,faceWord_exp,21.834709282964468,2
22,37.95663002098445,4,female,office,4.54,neg,12,0.4366450150264427,32,b,22,37.519985005958006,180,336,0.7048853330197744,Monday,0,42,0.6992700070259161,38.21925501298392,0.6502198887451732,31.180605764966458,32.88652009796351,image_stim_n.png,ELAS,faceWord_exp,31.885491097986232,2
22,48.140116071968805,5,female,barbecue,7.1,pos,11,0.5874731589574367,31,b,21,47.55264291301137,180,336,0.6921101000043564,Monday,1,42,0.700602437951602,48.25324535096297,-2.5746228757417584,41.22743638098473,42.92022730701137,image_stim_p.png,ELAS,faceWord_exp,41.919546480989084,2
22,55.574403181963135,6,female,heavy,4.78,neg,12,0.5881305859657004,32,y,22,54.986272595997434,336,180,0.6913167239981703,Monday,1,42,0.7009176209685393,55.68719021696597,1.3393636650983416,51.26229333598167,52.95419450500049,image_stim_n.png,ELAS,faceWord_exp,51.95361005997984,2
22,68.25871080800425,7,female,business,5.48,neu,13,0.6395054199965671,42,y,22,67.61920538800769,180,336,0.6922461499925703,Monday,1,42,0.70229806099087,68.32150344899856,-0.06058349899147484,61.29536862799432,62.988532091956586,image_stim_n.png,ELAS,faceWord_exp,61.98761477798689,2
22,75.5923096149927,8,female,artist,6.76,pos,11,0.5380176500184461,31,b,21,75.05429196497425,336,180,0.692944363981951,Monday,1,42,0.700925646990072,75.75521761196433,-1.2978987804410356,71.32860575400991,73.02225807297509,image_stim_p.png,ELAS,faceWord_exp,72.02155011799186,2
22,88.26013260497712,9,female,summer,7.5,pos,11,0.5727365399943665,31,b,21,87.68739606498275,180,336,0.6920830980525352,Monday,1,42,0.7022289970191196,88.38962506200187,-1.7608811602119443,81.36356847395655,83.05657559697283,image_stim_p.png,ELAS,faceWord_exp,82.05565157200908,2
22,95.86066985398065,10,female,vacation,8.53,pos,11,0.7359372720238753,31,b,21,95.12473258195678,336,180,0.6887154759606346,Monday,1,42,0.6984497450175695,95.82318232697435,-3.1565376907491283,91.40092997800093,93.09060936199967,image_stim_p.png,ELAS,faceWord_exp,92.08964545396157,2
