X1,condition,word_label,word_score_pc,img,delay_frames_before,gender,duration_measured_img,key_t,ID,delay_frames_after,word_score_warriner,offset_img,duration_measured_word,rt,word,session,correct_resp,duration_frames,offset_word,response,no,scan.day,age,onset_word,onset_img
29,faceWord_exp,neu,-0.3369766,image_stim_p.png,145,male,0.6889759,1920107e17,EK,179,526,1922073e19,0.6943955,0.4923599,corkscrew,1,1,42,1890748e20,b,29,Tuesday,20,1883804e20,1915184e20
30,faceWord_exp,neu,-0.80500435,image_stim_n.png,124,male,0.705287,198494e21,EK,173,589,1986906e20,0.694095,0.5087266,famous,1,NA,42,1958906e20,j,30,Tuesday,20,1951965e20,1979853e20
31,faceWord_exp,neu,-0.59072856,image_stim_p.png,157,male,0.7016405,2054605e20,EK,188,516,205624e21,0.6915252,0.5381667,truck,1,1,42,2022739e20,b,31,Tuesday,20,2015823e20,2049223e19
32,faceWord_exp,pos,-1.1443669,image_stim_p.png,111,male,0.7050955,211744e20,EK,140,685,2120404e20,0.6936129,0.4087121,moral,1,1,42,2094571e20,b,32,Tuesday,20,2087635e20,2113353e20
33,faceWord_exp,pos,-1.231328,image_stim_p.png,62,male,0.6898376,2167269e20,EK,144,768,2168239e20,0.6945007,0.5927524,new,1,1,42,2150737e20,b,33,Tuesday,20,2143792e20,2161341e20
34,faceWord_exp,pos,-1.67087714,image_stim_p.png,111,male,0.6896798,2226272e20,EK,169,69,2224903e20,0.6934408,0.8266049,pineapple,1,1,42,2199236e20,b,34,Tuesday,20,2192302e20,2.2180060000000002e+026
35,faceWord_exp,neg,3.64858685,image_stim_n.png,174,male,0.7051988,2295598e20,EK,176,316,2296405e20,0.6934323,0.6244672,hurricane,1,NA,42,2260069e20,j,35,Tuesday,20,2253135e20,2289353e20
36,faceWord_exp,neg,4.01042072,image_stim_n.png,175,male,0.7045479,2365103e20,EK,15,267,2369234e20,0.6940414,0.2914791,lonely,1,NA,42,2332734e20,j,36,Tuesday,20,2325794e20,2362188e20
37,faceWord_exp,neg,2.56163034,image_stim_n.png,198,male,0.6895227,2415269e20,EK,135,352,24189e22,0.6931427,0.3264112,hospital,1,0,42,2378734e20,b,37,Tuesday,20,2371802e20,2412005e19
38,faceWord_exp,neg,0.75731788,image_stim_n.png,119,male,0.7045221,2473435e20,EK,119,455,2475579e20,0.6913397,0.490161,meeting,1,NA,42,2448399e20,j,38,Tuesday,20,2441486e20,2468534e20
39,faceWord_exp,neg,2.38152461,image_stim_n.png,143,male,0.6886093,2531101e20,EK,133,332,2533398e20,0.694239,0.4588837,bribe,1,NA,42,2502399e20,j,39,Tuesday,20,2495457e20,2526512e20
40,faceWord_exp,neu,0.37593565,image_stim_p.png,128,male,0.6888604,2589433e20,EK,173,505,2591066e19,0.6944465,0.5255983,fence,1,1,42,2562566e19,b,40,Tuesday,20,2555621e20,2584177e20
41,faceWord_exp,neg,0.1345113,image_stim_n.png,189,male,0.7049754,2663264e20,EK,206,465,266573e21,0.6936287,0.4583972,diplomat,1,NA,42,2626897e20,j,41,Tuesday,20,2619961e20,265868e21
42,faceWord_exp,pos,-1.06135492,image_stim_p.png,124,male,0.7048914,2732431e20,EK,146,636,2735062e20,0.6943635,0.4418039,boat,1,1,42,2707063e20,b,42,Tuesday,20,270012e21,2728013e19
