ID,word_label,pause_trigger,img_trigger,key_t,duration_measured_img,word,delay_frames_before,word_score_warriner,offset_word,delay_frames_after,no,correct_resp,session,img,offset_img,word_score_pc,duration_frames,rt,age,pause_trigger_t,onset_img,word_trigger,onset_word,scan day,response,gender,duration_measured_word,condition
km,neg,32,22,8.44149473903235,0.6971772379474714,lonely,336,2.67,1.718500568997115,180,1,1,1,image_stim_n.png,8.138296463992447,4.010420717126172,42,1.0003755129873753,21,2.7196196590084583,7.441119226044975,12,1.0172935550217517,Monday,y,male,0.7012070139753632,faceWord_exp
km,neu,42,22,15.446519408025779,0.6997426829766482,truck,180,5.16,11.840068495017476,336,2,1,1,image_stim_n.png,15.57517181901494,-0.5907285556577869,42,0.5710902719874866,21,12.84113850799622,14.875429136038292,13,11.1467064510216,Monday,y,male,0.6933620439958759,faceWord_exp
km,pos,31,21,25.615463223017287,0.6925823790370487,new,180,7.68,21.878214484022465,336,3,1,1,image_stim_p.png,25.61303226504242,-1.2313279950095668,42,0.6950133370119147,21,22.879288569034543,24.920449886005372,11,21.18347112002084,Monday,b,male,0.6947433640016243,faceWord_exp
km,neu,42,22,35.60323726799106,0.7012898169923574,man,180,5.42,31.916343852994032,336,4,1,1,image_stim_n.png,35.650844703020994,-0.277657621999038,42,0.653682381962426,21,32.91733603499597,34.949554886028636,13,31.222061684995424,Monday,y,male,0.6942821679986082,faceWord_exp
km,neg,32,22,48.195821752015036,0.6993453910108656,hospital,336,3.52,41.954346187005285,180,5,1,1,image_stim_n.png,48.290586112008896,2.561630339716405,42,0.6045810310170054,21,42.955785594007466,47.59124072099803,12,41.26317995303543,Monday,y,male,0.6911662339698523,faceWord_exp
km,neg,32,22,58.26381602999754,0.7022211240255274,commander,336,4.73,51.992446908028796,180,6,1,1,image_stim_n.png,58.32889767602319,0.98843671158419,42,0.6371394779998809,21,52.993440915015526,57.62667655199766,12,51.29792947199894,Monday,y,male,0.6945174360298552,faceWord_exp
km,pos,31,21,65.61872438201681,0.7017362949554808,pineapple,180,6.9,62.03056771901902,336,7,1,1,image_stim_p.png,65.76565498299897,-1.6708771386143015,42,0.5548056939733215,21,63.03161641902989,65.06391868804349,11,61.3356883150409,Monday,b,male,0.6948794039781205,faceWord_exp
km,neu,41,21,78.27676223404706,0.7020446800161153,hamster,336,5.88,72.06867769302335,180,8,1,1,image_stim_p.png,78.40502206102246,-1.1856791528275217,42,0.5737848530407064,21,73.06968875299208,77.70297738100635,13,71.37360868201358,Monday,b,male,0.6950690110097639,faceWord_exp
km,neg,32,22,85.77750049100723,0.7018441620166413,sandpaper,180,4.95,82.10665633704048,336,9,1,1,image_stim_n.png,85.84180893504526,0.5814463879932942,42,0.6375357179786079,21,83.10768188600196,85.13996477302862,12,81.41085967799881,Monday,y,male,0.6957966590416618,faceWord_exp
km,neu,42,22,95.76778022403596,0.7019906179630198,spatula,180,5.14,92.14480809099041,336,10,1,1,image_stim_n.png,95.87991685699672,-0.18281188470513854,42,0.5898539850022644,21,93.14586456003599,95.1779262390337,13,91.44979136099573,Monday,y,male,0.695016729994677,faceWord_exp
km,neu,41,21,108.48897526302608,0.7015417230431922,tomato,336,5.8,102.21608530404046,180,11,1,1,image_stim_p.png,108.55225302104373,-1.3575770021145472,42,0.6382639650255442,21,103.21721759601496,107.85071129800053,13,101.52088967501186,Monday,b,male,0.6951956290286034,faceWord_exp
km,pos,31,21,118.3624887969927,0.6955923500354402,love,336,8.0,112.25425856100628,180,12,1,1,image_stim_p.png,118.59053986804793,-2.40140153221556,42,0.4675412789802067,21,113.25541172304656,117.89494751801249,11,111.56245378300082,Monday,b,male,0.6918047780054621,faceWord_exp
km,neg,32,22,125.84914015803952,0.7021642700419761,meeting,180,4.55,122.2924184690346,336,13,1,1,image_stim_n.png,126.02772014803486,0.7573178762670367,42,0.5235842800466344,21,123.29350437602261,125.32555587799288,12,121.59829623799305,Monday,y,male,0.6941222310415469,faceWord_exp
km,neu,41,21,138.5528217109968,0.7016452330281027,whale,336,5.81,132.3305188830127,180,14,1,1,image_stim_p.png,138.66691674804315,-0.8455595735963974,42,0.5875501959817484,21,133.3316170150065,137.96527151501505,13,131.635258971015,Monday,b,male,0.6952599119977094,faceWord_exp
km,pos,31,21,145.99178189400118,0.7018047710298561,woman,180,7.09,142.36862179404125,336,15,1,1,image_stim_p.png,146.10373399802484,-1.7483058493195842,42,0.5898526670061983,21,143.3695976010058,145.40192922699498,11,141.6734141469933,Monday,b,male,0.6952076470479369,faceWord_exp
km,pos,31,21,155.9437499800115,0.7019535549916327,fun,180,8.37,152.40673261100892,336,16,1,1,image_stim_p.png,156.1418106390047,-3.2613064969771037,42,0.5038928959984332,21,153.4078002049937,155.43985708401306,11,151.7117581780185,Monday,b,male,0.6949744329904206,faceWord_exp
km,neg,32,22,168.55068309104536,0.7015877960366197,mouse,336,4.8,162.44478521199198,180,17,1,1,image_stim_n.png,168.78107480704784,1.5906822936049958,42,0.47119608003413305,21,163.44584671704797,168.07948701101122,12,161.74696614500135,Monday,y,male,0.6978190669906326,faceWord_exp
km,pos,31,21,176.08678297902225,0.7002385639934801,limousine,180,6.14,172.482924483018,336,18,1,1,image_stim_p.png,176.21800835203612,-1.4783411251765788,42,0.5690131909796037,21,173.48406962800073,175.51776978804264,11,171.79040630400414,Monday,b,male,0.6925181790138595,faceWord_exp
