word_score_warriner,no,delay_frames_before,word,duration_measured_img,session,onset_img,word_label,condition,delay_frames_after,pause_trigger,duration_frames,offset_img,scan day,onset_word,rt,ID,key_t,word_trigger,word_score_pc,duration_measured_word,pause_trigger_t,age,img_trigger,img,response,offset_word,correct_resp,gender
5.79,28,336,baseball,0.704459964,4,279.4810896,neu,faceWord_exp,180,41,42,280.1855495,Wednesday,273.1246178,0.758220392,x,280.23931,13,-0.406603887,0.693386664,274.8208368,21,21,image_stim_p.png,y,273.8180045,0,male
3.52,29,180,court,0.69951558,4,286.9553179,neg,faceWord_exp,336,32,42,287.6548335,Wednesday,283.1996591,1.003633867,x,287.9589518,12,2.076585787,0.695682976,284.8986981,21,22,image_stim_n.png,y,283.8953421,1,male
7.27,30,336,honey,0.703431954,4,299.6357162,pos,faceWord_exp,180,31,42,300.3391481,Wednesday,293.2772378,-5.793659724,x,293.8420565,11,-2.066768844,0.694956178,294.9754343,21,21,image_stim_p.png,y,293.972194,0,male
7.3,31,336,flower,0.687824672,4,309.710652,pos,faceWord_exp,180,31,42,310.3984767,Wednesday,303.35743,-4.722716086,x,304.9879359,11,-2.411716547,0.691693216,305.0533442,21,21,image_stim_p.png,y,304.0491232,0,male
5.95,32,336,elevator,0.699150902,4,319.760499,neu,faceWord_exp,180,41,42,320.4596499,Wednesday,313.4119803,0.670639073,x,320.4311381,13,0.187229321,0.697621782,315.112769,21,21,image_stim_p.png,y,314.1096021,0,male
5.68,33,180,chestnut,0.703307282,4,327.2262584,neu,faceWord_exp,336,42,42,327.9295657,Wednesday,323.4775308,-2.585447331,x,324.6408111,13,-0.48803784,0.69145435,325.1728985,21,22,image_stim_n.png,y,324.1689851,1,male
6.68,34,336,wonder,0.700944445,4,339.9127615,pos,faceWord_exp,180,31,42,340.6137059,Wednesday,333.5520262,-5.91246662,x,334.0002949,11,-2.303583542,0.694550606,335.2499458,21,21,image_stim_p.png,y,334.2465768,0,male
6.84,35,180,festival,0.702811967,4,347.3800092,pos,faceWord_exp,336,31,42,348.0828212,Wednesday,343.6286248,-2.884460205,x,344.495549,11,-2.934659861,0.694995335,345.326966,21,21,image_stim_p.png,y,344.3236202,0,male
2.62,36,336,insult,0.700441789,4,360.0668306,neg,faceWord_exp,180,32,42,360.7672724,Wednesday,353.7060703,-5.813199949,x,354.2536306,12,4.21761745,0.694356125,355.4037325,21,22,image_stim_n.png,y,354.4004264,1,male
3.02,37,336,scream,0.703351285,4,370.1409059,neg,faceWord_exp,180,32,42,370.8442572,Wednesday,363.781847,0.473515123,x,370.6144211,12,2.697827088,0.694664618,365.4792706,21,22,image_stim_n.png,y,364.4765116,1,male
4.75,38,336,zone,0.703860683,4,380.2175386,neg,faceWord_exp,180,32,42,380.9213993,Wednesday,373.8608621,0.773025864,x,380.9905645,12,0.426794661,0.693077069,375.5575761,21,22,image_stim_n.png,y,374.5539392,1,male
5.1,39,336,shoulder,0.706149086,4,390.2916745,neu,faceWord_exp,180,41,42,390.9978236,Wednesday,383.9367392,1.977798552,x,392.2694731,13,0.126024889,0.694220893,385.6345389,21,21,image_stim_p.png,y,384.6309601,0,male
4.48,40,180,stampede,0.702963606,4,397.7648413,neg,faceWord_exp,336,32,42,398.4678049,Wednesday,394.0139326,0.456203212,x,398.2210445,12,2.743705269,0.693658064,395.7105208,21,22,image_stim_n.png,y,394.7075907,1,male
5.89,41,180,hall,0.706360507,4,407.838564,neu,faceWord_exp,336,41,42,408.5449245,Wednesday,404.089778,0.408028593,x,408.2465926,13,0.439874083,0.694969952,405.7883107,21,21,image_stim_p.png,y,404.784748,0,male
5.95,42,336,worker,0.701840682,4,420.5270578,neu,faceWord_exp,180,41,42,421.2288984,Wednesday,414.1676573,0.388075847,x,420.9151336,13,0.019643875,0.693448532,415.8644212,21,21,image_stim_p.png,y,414.8611058,0,male
3.17,43,336,explosion,0.702576962,4,430.6032109,neg,faceWord_exp,180,32,42,431.3057879,Wednesday,424.2453013,0.522967149,x,431.1261781,12,3.183549402,0.693303788,425.9411457,21,22,image_stim_n.png,y,424.938605,1,male
6.73,44,180,parent,0.704141932,4,438.0714565,pos,faceWord_exp,336,31,42,438.7755984,Wednesday,434.3195006,-1.397316677,x,436.6741398,11,-1.209476119,0.6959336,436.018557,21,21,image_stim_p.png,y,435.0154342,0,male
5.43,45,180,door,0.694199001,4,448.1576115,neu,faceWord_exp,336,42,42,448.8518105,Wednesday,444.3974481,0.363034572,x,448.520646,13,0.377530193,0.694235307,446.0950731,21,22,image_stim_n.png,y,445.0916834,1,male
4.16,46,180,saw,0.704672945,4,458.2246414,neg,faceWord_exp,336,32,42,458.9293143,Wednesday,454.4739433,0.557946544,x,458.7825879,12,-0.101981348,0.695627405,456.1742086,21,22,image_stim_n.png,y,455.1695707,1,male
6.32,47,180,harmonica,0.70199584,4,468.3212341,pos,faceWord_exp,336,31,42,469.0232299,Wednesday,464.5568411,0.508147258,x,468.8293813,11,-1.320692049,0.704906231,466.2655759,21,21,image_stim_p.png,b,465.2617473,1,male
6.15,48,336,choir,0.696037605,4,480.9943619,pos,faceWord_exp,180,31,42,481.6903995,Wednesday,474.6455569,0.432284288,x,481.4266462,11,-1.883093263,0.694307133,476.3434295,21,21,image_stim_p.png,b,475.339864,1,male
5.9,49,336,hand,0.696177921,4,491.0543547,neu,faceWord_exp,180,41,42,491.7505326,Wednesday,484.705129,0.515572629,x,491.5699273,13,-0.291440859,0.695135001,486.4038555,21,21,image_stim_p.png,b,485.400264,1,male
3.52,50,180,battle,0.704807636,4,498.5150026,neg,faceWord_exp,336,32,42,499.2198103,Wednesday,494.7663416,0.607680628,x,499.1226832,12,3.668156536,0.693950319,496.4638112,21,22,image_stim_n.png,y,495.4602919,1,male
7,51,336,dog,0.700798403,4,511.2029199,pos,faceWord_exp,180,31,42,511.9037183,Wednesday,504.8420152,0.58710242,x,511.7900223,11,-1.729429148,0.695420007,506.5406688,21,21,image_stim_p.png,b,505.5374352,1,male
6.35,52,180,banjo,0.696472362,4,518.661253,pos,faceWord_exp,336,31,42,519.3577254,Wednesday,514.9197037,0.44952989,x,519.1107829,11,-1.231658412,0.693426324,516.6175275,21,21,image_stim_p.png,b,515.6131301,1,male
6.26,53,336,lust,0.698204355,4,531.3424661,pos,faceWord_exp,180,31,42,532.0406704,Wednesday,524.9944393,0.689373859,x,532.0318399,11,-1.42614597,0.696262309,526.6944441,21,21,image_stim_p.png,y,525.6907016,0,male
6.67,54,336,gratitude,0.703973857,4,541.431776,pos,faceWord_exp,180,31,42,542.1357498,Wednesday,535.0620252,0.372799149,x,541.8045751,11,-2.830586976,0.705964691,536.7715587,21,21,image_stim_p.png,b,535.7679898,1,male
5.83,55,180,scientist,0.701890731,4,548.9022644,neu,faceWord_exp,336,42,42,549.6041551,Wednesday,545.1509527,0.521150829,x,549.4234152,13,-0.527391634,0.693937537,546.8481788,21,22,image_stim_n.png,b,545.8448902,0,male
3.4,56,180,animosity,0.701269989,4,558.9805977,neg,faceWord_exp,336,32,42,559.6818677,Wednesday,555.2276936,0.62174579,x,559.6023435,12,3.469817396,0.693753956,556.9257036,21,22,image_stim_n.png,y,555.9214475,1,male
5.67,57,180,red,0.697990861,4,569.0602936,neu,faceWord_exp,336,42,42,569.7582845,Wednesday,565.3001535,0.45074718,x,569.5110408,13,0.439576698,0.698256761,567.001232,21,22,image_stim_n.png,y,565.9984102,1,male
7.24,58,336,trust,0.700414911,4,581.7423072,pos,faceWord_exp,180,31,42,582.4427221,Wednesday,575.3814118,0.704731732,x,582.4470389,11,-2.120566405,0.694243297,577.0790572,21,21,image_stim_p.png,b,576.0756551,1,male
6.53,59,180,bonfire,0.696049592,4,589.2165434,pos,faceWord_exp,336,31,42,589.912593,Wednesday,585.4588156,0.46653866,x,589.683082,11,-1.79742886,0.693721277,587.1551589,21,21,image_stim_p.png,b,586.1525369,1,male
7.75,60,180,peace,0.69544648,4,599.2766828,pos,faceWord_exp,336,31,42,599.9721293,Wednesday,595.5320096,0.61660704,x,599.8932899,11,-3.031111275,0.696882489,597.231782,21,21,image_stim_p.png,b,596.228892,1,male
