word_score_warriner,no,delay_frames_before,word,duration_measured_img,session,onset_img,word_label,condition,delay_frames_after,pause_trigger,duration_frames,offset_img,scan day,onset_word,rt,ID,key_t,word_trigger,word_score_pc,duration_measured_word,pause_trigger_t,age,img_trigger,img,response,offset_word,correct_resp,gender
3.78,1,180,empty,0.707062289,4,4.944961622,neg,faceWord_exp,336,32,42,5.652023911,Wednesday,1.059867148,0.613845049,x,5.558806671,12,2.849622297,0.698643272,2.762111787,21,22,image_stim_n.png,b,1.75851042,0,male
5.84,2,336,boy,0.697366909,4,17.63900134,neu,faceWord_exp,180,41,42,18.33636825,Wednesday,11.27313822,0.531433029,x,18.17043437,13,-0.90310692,0.695721273,12.97244704,21,21,image_stim_p.png,y,11.9688595,0,male
4.19,3,336,loan,0.692834055,4,27.70327498,neg,faceWord_exp,180,32,42,28.39610904,Wednesday,21.35233966,0.446900435,x,28.15017542,12,0.753220095,0.693817754,23.04921085,21,22,image_stim_n.png,y,22.04615741,1,male
6.71,4,180,bicycle,0.69164538,4,35.15784139,pos,faceWord_exp,336,31,42,35.84948677,Wednesday,31.41428455,0.461724287,x,35.61956568,11,-1.301667819,0.691242072,33.10976436,21,21,image_stim_p.png,y,32.10552662,0,male
4,5,336,fallacy,0.705113453,4,47.84449878,neg,faceWord_exp,180,32,42,48.54961224,Wednesday,41.4722634,0.492246496,x,48.33674528,12,2.742274261,0.694164239,43.16990723,21,22,image_stim_n.png,y,42.16642763,1,male
5.91,6,180,team,0.695893217,4,55.30726718,neu,faceWord_exp,336,42,42,56.0031604,Wednesday,51.56861178,0.484312887,x,55.79158007,13,-0.945339547,0.691706772,53.26347407,21,22,image_stim_n.png,y,52.26031855,1,male
4.95,7,180,majority,0.704133061,4,65.37600095,neg,faceWord_exp,336,32,42,66.08013401,Wednesday,61.62742694,-3.218939386,x,62.15706156,12,0.195557167,0.692692229,63.32367605,21,22,image_stim_n.png,y,62.32011917,1,male
5.59,8,180,mouth,0.706230115,4,75.45100923,neu,faceWord_exp,336,42,42,76.15723934,Wednesday,71.70364426,0.492986188,x,75.94399542,13,-0.054365077,0.693581846,73.3997306,21,22,image_stim_n.png,y,72.39722611,1,male
7.23,9,336,bay,0.69236464,4,88.14776198,pos,faceWord_exp,180,31,42,88.84012662,Wednesday,81.77831579,-5.919701668,x,82.22806032,11,-1.174164366,0.695459502,83.47726622,21,21,image_stim_p.png,y,82.47377529,0,male
5.3,10,336,journalist,0.699505582,4,98.21778471,neu,faceWord_exp,180,42,42,98.91729029,Wednesday,91.85814808,0.468852307,x,98.68663702,13,0.180940251,0.693045951,93.55427187,21,22,image_stim_n.png,y,92.55119403,1,male
3.57,11,180,denial,0.691110107,4,105.6795716,neg,faceWord_exp,336,32,42,106.3706817,Wednesday,101.9296001,0.493687038,x,106.1732586,12,2.831441072,0.698334639,103.6306179,21,22,image_stim_n.png,y,102.6279347,1,male
2.55,12,180,accident,0.694908108,4,115.7356107,neg,faceWord_exp,336,32,42,116.4305188,Wednesday,111.9906665,0.597814493,x,116.3334252,12,3.997474019,0.696985156,113.6916722,21,22,image_stim_n.png,y,112.6876517,1,male
6.52,13,180,bread,0.705469347,4,125.8024722,pos,faceWord_exp,336,31,42,126.5079415,Wednesday,122.0571199,0.610245128,x,126.4127173,11,-1.521532994,0.691300517,123.7516128,21,21,image_stim_p.png,y,122.7484204,0,male
2.53,14,336,torment,0.705243454,4,138.486875,neg,faceWord_exp,180,32,42,139.1921185,Wednesday,132.1269901,0.676990564,x,139.1638656,12,4.535584027,0.697795309,133.8284116,21,22,image_stim_n.png,y,132.8247854,1,male
5.43,15,336,theme,0.698982959,4,148.5533283,neu,faceWord_exp,180,42,42,149.2523113,Wednesday,142.207681,0.502229217,x,149.0555575,13,-0.777427201,0.694329336,143.9054663,21,22,image_stim_n.png,y,142.9020104,1,male
2.76,16,180,flood,0.6991129,4,156.0065333,neg,faceWord_exp,336,32,42,156.7056462,Wednesday,152.2677939,0.45267895,x,156.4592122,12,3.803034067,0.694564672,153.9657245,21,22,image_stim_n.png,y,152.9623585,1,male
5.89,17,180,guard,0.703710701,4,166.0785955,neu,faceWord_exp,336,41,42,166.7823062,Wednesday,162.3282798,0.490838751,x,166.5694342,13,0.291885173,0.694671157,164.0263917,21,21,image_stim_p.png,y,163.0229509,0,male
5.67,18,336,bell,0.6989649,4,178.7507873,neu,faceWord_exp,180,41,42,179.4497522,Wednesday,172.4030159,0.468863877,x,179.2196512,13,-0.699626124,0.696368351,174.1028143,21,21,image_stim_p.png,y,173.0993842,0,male
4.03,19,336,snake,0.689170718,4,188.8196338,neg,faceWord_exp,180,32,42,189.5088045,Wednesday,182.462411,0.376795222,x,189.196429,12,1.954583946,0.696555842,184.1622121,21,22,image_stim_n.png,y,183.1589669,1,male
5.09,20,336,put,0.692067718,4,198.8782893,neu,faceWord_exp,180,42,42,199.570357,Wednesday,192.5278649,0.779577728,x,199.657867,13,0.354586137,0.691648987,194.2231488,21,22,image_stim_n.png,y,193.2195139,1,male
5.38,21,180,businessman,0.702113366,4,206.3381126,neu,faceWord_exp,336,41,42,207.040226,Wednesday,202.586585,-1.200097802,x,205.1380148,13,0.666925967,0.692547593,204.2834319,21,21,image_stim_p.png,b,203.2791325,1,male
6.42,22,180,truce,0.69611559,4,216.4041753,pos,faceWord_exp,336,31,42,217.1002909,Wednesday,212.6622124,,x,,11,-1.685910222,0.694993945,214.3605511,21,21,image_stim_p.png,,213.3572063,,male
6.17,23,180,kitchen,0.696266998,4,226.497944,pos,faceWord_exp,336,31,42,227.194211,Wednesday,222.7563508,0.583142133,x,227.0810862,11,-1.508283612,0.694511375,224.4541443,21,21,image_stim_p.png,y,223.4508621,0,male
3.36,24,180,expensive,0.697325778,4,236.5734133,neg,faceWord_exp,336,32,42,237.270739,Wednesday,232.8149701,0.503920898,x,237.0773342,12,-0.366399249,0.695745375,234.5140774,21,22,image_stim_n.png,y,233.5107155,1,male
7.05,25,336,heroism,0.697013153,4,249.2567744,pos,faceWord_exp,180,31,42,249.9537876,Wednesday,242.8935527,-1.516585948,x,247.7401885,11,-2.301622793,0.694171475,244.5910379,21,21,image_stim_p.png,y,243.5877242,0,male
4.83,26,180,pig,0.704115962,4,256.720443,neg,faceWord_exp,336,32,42,257.4245589,Wednesday,252.971787,0.708795458,x,257.4292384,12,0.060511319,0.691760341,254.6679746,21,22,image_stim_n.png,y,253.6635473,1,male
5.85,27,336,circus,0.698890046,4,269.4099374,neu,faceWord_exp,180,42,42,270.1088274,Wednesday,263.0472255,0.534278334,x,269.9442157,13,-2.547043885,0.694433427,264.7449188,21,22,image_stim_n.png,y,263.7416589,1,male
