response,word_label,scan day,pause_trigger_t,offset_word,onset_img,age,delay_frames_before,word_score_warriner,word_score_pc,delay_frames_after,rt,word_trigger,word,img_trigger,key_t,gender,ID,duration_measured_word,img,onset_word,duration_frames,condition,correct_resp,no,session,offset_img,pause_trigger,duration_measured_img
b,pos,Monday,103.1692378000007,102.16813449999609,107.8259218000021,23,336,6.36,-1.0613549170130714,180,0.5591761999967275,11,boat,21,108.38509799999883,male,74,0.6888669000036316,image_stim_p.png,101.47926759999245,42,faceWord_exp,1,11,1,108.5170025999978,31,0.6910807999956887
b,pos,Monday,113.2179318999988,112.2168132999941,117.87228949999553,23,336,7.68,-1.2313279950095668,180,0.5948996999941301,11,new,21,118.46718919998966,male,74,0.6809812999999849,image_stim_p.png,111.53583199999412,42,faceWord_exp,1,12,1,118.56576119999227,31,0.693471699996735
b,pos,Monday,123.28291159999208,122.28158159999293,127.9373523999966,23,336,7.21,-2.8031613090757777,180,0.49550839999574237,11,beach,21,128.43286079999234,male,74,0.7058097999979509,image_stim_p.png,121.57577179999498,42,faceWord_exp,1,13,1,128.61446169999545,31,0.6771092999988468
b,pos,Monday,133.31532599999628,132.31440719999955,135.36951239999325,23,180,7.78,-2.8785481086132907,336,0.5959626999974716,11,kiss,21,135.96547509999073,male,74,0.6933385000011185,image_stim_p.png,131.62106869999843,42,faceWord_exp,1,14,1,136.04684789999737,31,0.6773355000041192
b,neu,Monday,143.34746019999147,142.34635079999862,145.39975799999957,23,180,5.22,0.11872473318936595,336,0.5459702999942238,13,noun,21,145.9457282999938,male,74,0.6934901000058744,image_stim_p.png,141.65286069999274,42,faceWord_exp,1,15,1,146.0777076999948,41,0.6779496999952244
y,neg,Monday,153.3961433999939,152.39518799999496,158.0546917999891,23,336,4.95,0.5814463879932942,180,0.45787320000818,12,sandpaper,22,158.51256499999727,male,74,0.6921902000030968,image_stim_n.png,151.70299779999186,42,faceWord_exp,1,16,1,158.7441789000004,32,0.6894871000113199
b,pos,Monday,163.44481489999453,162.44361209998897,168.09788989998924,23,336,7.25,-2.3673221107876317,180,0.5138816000107909,11,garden,21,168.61177150000003,male,74,0.6920079999981681,image_stim_p.png,161.7516040999908,42,faceWord_exp,1,17,1,168.77619089999644,31,0.6783010000071954
b,neu,Monday,173.4767836999963,172.47564779999084,178.1300629999896,23,336,5.44,0.1935892361901769,180,0.5802877000096487,13,bridge,21,178.71035069999925,male,74,0.6922556999925291,image_stim_p.png,171.7833920999983,42,faceWord_exp,1,18,1,178.80789460000233,41,0.6778316000127234
b,neg,Monday,183.50893669998914,182.50795719999587,188.1607309999963,23,336,4.65,0.13451130194660302,180,0.49899870000081137,12,diplomat,22,188.65972969999711,male,74,0.6919079000072088,image_stim_n.png,181.81604929998866,42,faceWord_exp,0,19,1,188.83979679999175,32,0.6790657999954419
b,neu,Monday,193.54112759999407,192.53994149999926,195.59438019999652,23,180,5.73,-0.9990759838186469,336,0.7135386000009021,13,field,21,196.30791879999742,male,74,0.692192000002251,image_stim_p.png,191.847749499997,42,faceWord_exp,1,20,1,196.2729290999996,41,0.6785489000030793
