response,onset_img,condition,word_label,correct_resp,no,duration_measured_img,duration_frames,word_score_pc,scan day,rt,pause_trigger_t,gender,delay_frames_before,word,word_score_warriner,duration_measured_word,offset_img,word_trigger,key_t,ID,delay_frames_after,onset_word,age,session,img_trigger,offset_word,img,pause_trigger
b,4.846153835998848,faceWord_exp,neu,1,1,0.7113570610090392,42,-1.5026706526379858,Monday,0.8635537670052145,2.708061876008287,female,180,spiritual,5.82,0.7010682169930078,5.557510897007887,13,5.7097076030040625,K,336,1.0064942380122375,23,3,21,1.7075624550052453,image_stim_p.png,41
b,17.48441509201075,faceWord_exp,pos,1,2,0.723141691996716,42,-1.4443598905895143,Monday,0.5030503140005749,12.857892043000902,female,336,raspberry,7.3,0.6939394759974675,18.207556784007465,11,17.987465406011324,K,180,11.163487784011522,23,3,21,11.85742726000899,image_stim_p.png,31
y,27.53319518500939,faceWord_exp,neg,1,3,0.69062550200033,42,0.7962654471128737,Monday,0.3261389830004191,22.90777054600767,female,336,reporter,4.57,0.6953537609952036,28.22382068700972,12,27.85933416800981,K,180,21.211952320009004,23,3,22,21.907306081004208,image_stim_n.png,32
b,37.54974611999933,faceWord_exp,pos,1,4,0.6909296640078537,42,-2.098490136277324,Monday,0.3095375670091016,32.92535416201281,female,336,rose,7.11,0.6958355300012045,38.24067578400718,11,37.85928368700843,K,180,31.22800405000453,23,3,21,31.923839580005733,image_stim_p.png,31
b,44.967486847002874,faceWord_exp,pos,1,5,0.6894832289981423,42,-1.9498998207384868,Monday,0.3915371589973802,42.940833303000545,female,180,symphony,7.15,0.6922062280063983,45.656970076001016,11,45.359024006000254,K,336,41.248163643002044,23,3,21,41.94036987100844,image_stim_p.png,31
b,54.981614169999375,faceWord_exp,pos,1,6,0.6919340860040393,42,-2.0727743906520253,Monday,0.47725256100238767,52.957366607006406,female,180,fountain,6.26,0.6947392120055156,55.673548256003414,11,55.45886673100176,K,336,51.26219035600661,23,3,21,51.95692956801213,image_stim_p.png,31
b,64.99880635501177,faceWord_exp,neu,1,7,0.691393008994055,42,0.2046331385026182,Monday,0.4602223900001263,62.97393165199901,female,180,glass,5.48,0.695110846994794,65.69019936400582,13,65.45902874501189,K,336,61.2783366710064,23,3,21,61.973447518001194,image_stim_p.png,41
y,75.01502315700054,faceWord_exp,neg,1,8,0.6913909520080779,42,3.4172209593162717,Monday,1.143443216002197,72.99027784500504,female,180,delirium,3.4,0.6954827779991319,75.70641410900862,12,76.15846637300274,K,336,71.29434256600507,23,3,22,71.9898253440042,image_stim_n.png,32
b,85.03236451400153,faceWord_exp,pos,1,9,0.6907499780063517,42,-1.6019047514101912,Monday,0.409559931998956,83.00695029500639,female,180,family,7.25,0.6957356860075379,85.72311449200788,11,85.44192444600048,K,336,81.31082365100156,23,3,21,82.0065593370091,image_stim_p.png,31
y,95.04842576800729,faceWord_exp,neg,1,10,0.691256367994356,42,1.239138220826116,Monday,0.49338492899551056,93.02350954001304,female,180,debate,4.95,0.6957094520039391,95.73968213600165,12,95.5418106970028,K,336,91.32733830199868,23,3,22,92.02304775400262,image_stim_n.png,32
b,107.66720846500539,faceWord_exp,neu,1,11,0.7055891939962748,42,0.20373950943912453,Monday,0.7409978979994776,103.04006195100374,female,336,plane,5.72,0.6938468320004176,108.37279765900166,13,108.40820636300487,K,180,101.3456873469986,23,3,21,102.03953417899902,image_stim_p.png,41
y,117.69789571700676,faceWord_exp,neg,1,12,0.6914523879968328,42,-0.3331872788781821,Monday,0.6267941179976333,113.07321792500443,female,336,voter,4.85,0.6943760330032092,118.38934810500359,12,118.32468983500439,K,180,111.37836816300114,23,3,22,112.07274419600435,image_stim_n.png,32
y,125.1319689630036,faceWord_exp,pos,0,13,0.6905077670089668,42,-1.100912149643323,Monday,0.5759299759956775,123.0897858110111,female,180,saxophone,6.32,0.6947647109918762,125.82247673001257,11,125.70789893899928,K,336,121.39465901700896,23,3,21,122.08942372800084,image_stim_p.png,31
b,135.14768986900162,faceWord_exp,pos,1,14,0.6914317470073001,42,-1.9950971558262764,Monday,0.7769771470047999,133.12292916400474,female,180,park,7.0,0.6952911030093674,135.83912161600892,11,135.92466701600642,K,336,131.42717819700192,23,3,21,132.1224693000113,image_stim_p.png,31
y,145.1644040310057,faceWord_exp,neu,1,15,0.6912119920016266,42,0.6016604903777263,Monday,0.7601575540029444,143.13946982299967,female,180,toe,5.24,0.6959030699945288,145.85561602300731,13,145.92456158500863,K,336,141.44310892700742,23,3,22,142.13901199700194,image_stim_n.png,42
b,155.1806338630122,faceWord_exp,pos,1,16,0.6914863290003268,42,-1.728066945394655,Monday,0.4103557169873966,153.15606972100795,female,180,computer,6.84,0.6946058670000639,155.87212019201252,11,155.5909895799996,K,336,151.4608995460003,23,3,21,152.15550541300036,image_stim_p.png,31
y,167.79976240701217,faceWord_exp,neg,1,17,0.7055838739906903,42,3.583082910341294,Monday,0.2909151159983594,163.1725423530006,female,336,cyclone,3.47,0.6934767619968625,168.50534628100286,12,168.09067752301053,K,180,161.47866131100454,23,3,22,162.1721380730014,image_stim_n.png,32
b,177.830418603,faceWord_exp,neg,0,18,0.6914279240008909,42,0.41231466195915456,Monday,0.5937077500129817,173.2058277150063,female,336,foot,4.68,0.6960428450111067,178.5218465270009,12,178.42412635301298,K,180,171.50928455599933,23,3,22,172.20532740101044,image_stim_n.png,32
y,185.24734618001094,faceWord_exp,neg,1,19,0.6910426929971436,42,1.9197700017151131,Monday,0.4599293409992242,183.22225156200875,female,180,belch,4.18,0.6958033020055154,185.93838887300808,12,185.70727552101016,K,336,181.52603756300232,23,3,22,182.22184086500783,image_stim_n.png,32
b,195.26362862699898,faceWord_exp,pos,1,20,0.6913277290004771,42,-1.0841943171680315,Monday,0.5268993700010469,193.23877002700465,female,180,bird,6.75,0.6960729549900861,195.95495635599946,11,195.79052799700003,K,336,191.54229015701276,23,3,21,192.23836311200284,image_stim_p.png,31
