response,onset_img,condition,word_label,correct_resp,no,duration_measured_img,duration_frames,word_score_pc,scan day,rt,pause_trigger_t,gender,delay_frames_before,word,word_score_warriner,duration_measured_word,offset_img,word_trigger,key_t,ID,delay_frames_after,onset_word,age,session,img_trigger,offset_word,img,pause_trigger
y,207.88040795600682,faceWord_exp,neu,1,21,0.6910084359988105,42,-0.945340141786388,Monday,0.49319210200337693,203.25531999400118,female,336,tuba,5.58,0.6959834529989166,208.57141639200563,13,208.3736000580102,K,180,201.5588485210028,23,3,22,202.25483197400172,image_stim_n.png,42
y,215.29699896401144,faceWord_exp,neg,1,22,0.6909607919951668,42,0.33736940436804663,Monday,0.5763826729962602,213.27185925400408,female,180,radish,4.7,0.6956785390066216,215.9879597560066,12,215.8733816370077,K,336,211.57568935900053,23,3,22,212.27136789800716,image_stim_n.png,32
b,227.9132819420047,faceWord_exp,pos,1,23,0.6912150389980525,42,-3.230607919269787,Monday,0.2600700759940082,223.28838886300218,female,336,joy,8.21,0.6948944860050688,228.60449698100274,11,228.1733520179987,K,180,221.59300717200676,23,3,21,222.28790165801183,image_stim_p.png,31
y,237.93215093700564,faceWord_exp,neg,1,24,0.7055924599990249,42,2.1987551193617842,Monday,0.5578351540025324,233.304891169013,female,336,volcano,4.59,0.6932387839915464,238.63774339700467,12,238.48998609100818,K,180,231.6112138560129,23,3,22,232.30445264000446,image_stim_n.png,32
b,245.3631038040039,faceWord_exp,neu,1,25,0.6911521029978758,42,-1.343270424679961,Monday,0.6765054270072142,243.33809357500286,female,180,jam,5.81,0.6961327449971577,246.0542559070018,13,246.03960923101113,K,336,241.6415209130064,23,3,21,242.33765365800355,image_stim_p.png,41
y,255.37334563900367,faceWord_exp,neu,0,26,0.6974693299998762,42,0.5062695562835388,Monday,-0.9009061160031706,253.35468705500534,female,180,year,5.75,0.6959930730081396,256.07081496900355,13,254.4724395230005,K,336,251.65816623299906,23,3,21,252.3541593060072,image_stim_p.png,41
b,267.9963200140046,faceWord_exp,pos,1,27,0.69099385800655,42,-1.7760144816699572,Monday,0.5265634759998647,263.3712003140099,female,336,island,7.18,0.6956158520042663,268.68731387201115,11,268.52288349000446,K,180,261.6750862379995,23,3,21,262.37070209000376,image_stim_p.png,31
b,278.0123469780083,faceWord_exp,neg,0,28,0.6915220480004791,42,3.9847946241932393,Monday,0.47704773700388614,273.3877327280061,female,336,snub,3.23,0.6960531399963656,278.70386902600876,12,278.48939471501217,K,180,271.6912280240067,23,3,22,272.38728116400307,image_stim_n.png,32
y,285.42932724500133,faceWord_exp,neu,1,29,0.691126941004768,42,0.1511721542964875,Monday,0.9100115490000462,283.4042588020093,female,180,sum,5.71,0.6932082740095211,286.1204541860061,13,286.3393387940014,K,336,281.71055607000017,23,3,22,282.4037643440097,image_stim_n.png,42
b,295.44562608000706,faceWord_exp,neu,1,30,0.6913009629934095,42,-1.0048841857254538,Monday,0.5434948030015221,293.42077644700476,female,180,gum,5.89,0.6962207990000024,296.13692704300047,13,295.9891208830086,K,336,291.7240814960096,23,3,21,292.4203022950096,image_stim_p.png,41
y,308.0619399790012,faceWord_exp,neg,1,31,0.6915195580077125,42,1.8802224749820768,Monday,0.5434523870062549,303.437308913999,female,336,dusty,3.95,0.695986177001032,308.7534595370089,12,308.60539236600744,K,180,301.7411068280053,23,3,22,302.4370930050063,image_stim_n.png,32
b,315.48149181999906,faceWord_exp,neu,1,32,0.7051675860129762,42,-0.23071750329615884,Monday,0.6736428970034467,313.45382502400025,female,180,pen,5.63,0.6938098590035224,316.18665940601204,13,316.1551347170025,K,336,311.7595962560008,23,3,21,312.4534061150043,image_stim_p.png,41
b,328.1121769500023,faceWord_exp,pos,1,33,0.6909874300035881,42,-1.2126784285084091,Monday,0.5763411130028544,323.48701287500444,female,336,agreement,6.75,0.6953275039995788,328.8031643800059,11,328.6885180630052,K,180,321.7912729689997,23,3,21,322.48660047299927,image_stim_p.png,31
y,338.12822828401113,faceWord_exp,neu,1,34,0.6914917179965414,42,0.30770997164376424,Monday,0.5770276119874325,333.5033914730011,female,336,reality,5.73,0.6955827390047489,338.81972000200767,13,338.70525589599856,K,180,331.8075522690051,23,3,22,332.50313500800985,image_stim_n.png,42
y,348.14513995499874,faceWord_exp,neg,1,35,0.691062588011846,42,2.411295736651624,Monday,0.5599636560073122,343.52010355000675,female,336,tobacco,3.37,0.6955575439933455,348.8362025430106,12,348.70510361100605,K,180,341.82408105900686,23,3,22,342.5196386030002,image_stim_n.png,32
y,358.1617458660039,faceWord_exp,neg,1,36,0.6909869219962275,42,3.6129749181587063,Monday,0.6098483399982797,353.53664934700646,female,336,criminal,2.11,0.695393692003563,358.85273278800014,12,358.7715942060022,K,180,351.8408218490076,23,3,22,352.5362155410112,image_stim_n.png,32
b,368.1779423560074,faceWord_exp,pos,1,37,0.6913445370009867,42,-2.484088237918995,Monday,0.6936127819935791,363.553151842003,female,336,butterfly,7.23,0.6953220129944384,368.8692868930084,11,368.871555138001,K,180,361.85739106000983,23,3,21,362.55271307300427,image_stim_p.png,31
b,375.59522432000085,faceWord_exp,neu,0,38,0.6906450840033358,42,0.07332602516344529,Monday,0.49267525201139506,373.5696836300049,female,180,jungle,5.7,0.6957369890005793,376.2858694040042,13,376.08789957201225,K,336,371.87351067800773,23,3,22,372.5692476670083,image_stim_n.png,42
b,385.61336501000915,faceWord_exp,pos,1,39,0.689029817993287,42,-1.6804307003665144,Monday,0.6411110659973929,383.58628486700763,female,180,flute,6.29,0.6935368539998308,386.30239482800243,11,386.25447607600654,K,336,381.8922173930041,23,3,21,382.58575424700393,image_stim_p.png,31
y,395.6278224730049,faceWord_exp,neu,1,40,0.6911138080031378,42,-0.123291752025302,Monday,0.5432547439995687,393.60278834801284,female,180,faucet,5.55,0.695602150997729,396.31893628100806,13,396.1710772170045,K,336,391.9066398270079,23,3,22,392.6022419780056,image_stim_n.png,42
y,405.6444742120075,faceWord_exp,neg,1,41,0.6907903440005612,42,4.2618443246155895,Monday,0.5431657919980353,403.61928154100315,female,180,shame,2.62,0.6956875400064746,406.33526455600804,12,406.1876400040055,K,336,401.9231820720015,23,3,22,402.618869612008,image_stim_n.png,32
b,418.2584269180079,faceWord_exp,pos,1,42,0.6935146659961902,42,-2.2287379941341,Monday,0.31219894999230746,413.6358177860093,female,336,hope,7.48,0.6960019160032971,418.9519415840041,11,418.5706258680002,K,180,411.9393224390078,23,3,21,412.6353243550111,image_stim_p.png,31
y,426.4275470050052,faceWord_exp,neu,0,43,0.8076182679942576,42,-0.1793860699809707,Monday,-0.6401667699974496,424.2688650110067,female,180,patent,5.34,1.0785363519971725,427.23516527299944,13,425.78738023500773,K,336,421.99047222601075,23,3,21,423.0690085780079,image_stim_p.png,41
b,439.41030180901,faceWord_exp,neu,1,44,0.6912443629989866,42,-0.4971407339658378,Monday,0.4772237739962293,434.78537587600295,female,336,cafeteria,5.68,0.695374968010583,440.10154617200897,13,439.8875255830062,K,180,433.08975993499917,23,3,21,433.78513490300975,image_stim_p.png,41
y,446.8266181880026,faceWord_exp,neu,1,45,0.6916424399969401,42,-1.7878104403788575,Monday,0.6101792150002439,444.8021253199986,female,180,harp,5.4,0.6960944329912309,447.51826062799955,13,447.43679740300286,K,336,443.1055341510073,23,3,22,443.80162858399854,image_stim_n.png,42
y,459.4460571480013,faceWord_exp,neg,1,46,0.7053583660017466,42,3.6017940902369654,Monday,0.5074480730108917,454.8186300689995,female,336,grievance,3.45,0.6930898019927554,460.151415514003,12,459.95350522101216,K,180,453.1250540440087,23,3,22,453.8181438460015,image_stim_n.png,32
y,469.4931817050092,faceWord_exp,neg,1,47,0.6913769599923398,42,3.4211910580769755,Monday,0.6433557580021443,464.85179994101054,female,336,tax,3.0,0.696219410005142,470.18455866500153,12,470.13653746301134,K,180,463.1550950840028,23,3,22,463.85131449400797,image_stim_n.png,32
b,476.9097698930127,faceWord_exp,neg,0,48,0.6911947929911548,42,3.6887696102955196,Monday,0.4604410019965144,474.8850020640093,female,180,malice,2.81,0.6955937500024447,477.60096468600386,12,477.3702108950092,K,336,473.188906898009,23,3,22,473.88450064801145,image_stim_n.png,32
b,487.05992547200003,faceWord_exp,pos,1,49,0.6909065720101353,42,-1.2474567486001964,Monday,0.7431658590066945,485.0346630640124,female,180,advantage,6.71,0.7283154790056869,487.75083204401017,11,487.8030913310067,K,336,483.30605630599894,23,3,21,484.0343717850046,image_stim_p.png,31
y,499.6759850640083,faceWord_exp,neu,1,50,0.691255429002922,42,0.13339963708933658,Monday,0.5769129800028168,495.0515035990102,female,336,pencil,5.65,0.695542770990869,500.3672404930112,13,500.2528980440111,K,180,493.3553567370109,23,3,22,494.05089950800175,image_stim_n.png,42
b,509.6925699280109,faceWord_exp,pos,1,51,0.6917962689913111,42,-1.9002611819546853,Monday,0.5938991639995947,505.06770331600273,female,336,couple,7.11,0.6955310029879911,510.38436619700224,11,510.2864690920105,K,180,503.3718712430127,23,3,21,504.0674022460007,image_stim_p.png,31
b,519.7091642570012,faceWord_exp,pos,1,52,0.6914293169975281,42,-1.0930411682114536,Monday,0.560146807009005,515.0844267070061,female,336,goldfish,6.62,0.6953090710012475,520.4005935739988,11,520.2693110640103,K,180,513.3887411580072,23,3,21,514.0840502290084,image_stim_p.png,31
y,529.728278761002,faceWord_exp,neg,1,53,0.7052664390066639,42,0.041184453360586966,Monday,0.6245189839974046,525.1010030300095,female,336,cabbage,4.6,0.6936181189958006,530.4335452000087,12,530.3527977449994,K,180,523.4069532270078,23,3,22,524.1005713460036,image_stim_n.png,32
y,539.7598160750058,faceWord_exp,neu,1,54,0.6904779299948132,42,0.05858023181365075,Monday,0.6093512530060252,535.1342383350129,female,336,cabinet,5.1,0.6954420580004808,540.4502940050006,13,540.3691673280118,K,180,533.4382549330039,23,3,22,534.1336969910044,image_stim_n.png,42
y,547.1756934139994,faceWord_exp,neg,1,55,0.6910391590063227,42,1.7592404876513306,Monday,0.6433943790034391,545.1506594160019,female,180,cold,4.32,0.6958753789949697,547.8667325730057,12,547.8190877930028,K,336,543.4541608670115,23,3,22,544.1500362460065,image_stim_n.png,32
b,557.1917308640113,faceWord_exp,neu,1,56,0.6919773679983336,42,0.5990623206044929,Monday,0.6101083879912039,555.1672034000076,female,180,witness,5.61,0.6949653019983089,557.8837082320097,13,557.8018392520025,K,336,553.4718737470102,23,3,21,554.1668390490086,image_stim_p.png,41
b,567.2088491559989,faceWord_exp,pos,1,57,0.6910599600087153,42,-1.8894778219780863,Monday,0.7436282080016099,565.1837167839985,female,180,coffee,7.0,0.6956033839960583,567.8999091160076,11,567.9524773640005,K,336,563.4877505320037,23,3,21,564.1833539159998,image_stim_p.png,31
b,577.2250343790074,faceWord_exp,pos,1,58,0.6913567269948544,42,-1.4106928476010352,Monday,0.6102731190039776,575.2000668640103,female,180,car,6.63,0.6962107790022856,577.9163911060023,11,577.8353074980114,K,336,573.5034848860087,23,3,21,574.199695665011,image_stim_p.png,31
b,587.2423437730031,faceWord_exp,neu,1,59,0.6906733640062157,42,-0.6884171372613734,Monday,0.7591942060098518,585.2168415810011,female,180,egg,5.95,0.6960156570130493,587.9330171370093,13,588.0015379790129,K,336,583.5202966409997,23,3,21,584.2163122980128,image_stim_p.png,41
y,599.8607008420076,faceWord_exp,neg,1,60,0.7052277339971624,42,2.3068979902815,Monday,0.30742476000159513,595.2331584730127,female,336,trial,3.28,0.6933637769980123,600.5659285760048,12,600.1681256020092,K,180,593.5393227240129,23,3,22,594.2326865010109,image_stim_n.png,32
