word_label,session,key_t,word_score_pc,word_score_warriner,rt,condition,img,word_trigger,duration_frames,delay_frames_before,no,offset_word,duration_measured_word,scan day,duration_measured_img,offset_img,ID,pause_trigger,correct_resp,onset_word,gender,onset_img,img_trigger,word,age,response,pause_trigger_t,delay_frames_after
neg,2,8.036545923998347,2.166481281776448,4.35,0.6038411699992139,faceWord_exp,image_stim_n.png,12,42,336,1,1.717954166000709,0.7029525020043366,Monday,0.7017723570024827,8.134477111001615,K,32,1,1.0150016639963724,female,7.432704753999133,22,plea,23,y,2.7181610700063175,180
neu,2,17.986624195997138,-0.18776275500974607,5.62,0.5254213239968522,faceWord_exp,image_stim_p.png,13,42,336,2,11.834403916000156,0.6935772610013373,Monday,0.7064636540017091,18.167666526001994,K,41,1,11.140826654998818,female,17.461202872000285,21,speech,23,b,12.83490004799387,180
neg,2,28.08608934399672,1.472290472628449,4.1,0.5912411489989609,faceWord_exp,image_stim_n.png,12,42,336,3,21.867600626996136,0.6947821279900381,Monday,0.706000848003896,28.200849043001654,K,32,1,21.172818499006098,female,27.494848194997758,22,clang,23,y,22.86792892900121,180
neg,2,35.49800990099902,0.2032181950076048,4.57,0.5717677560023731,faceWord_exp,image_stim_n.png,12,42,180,4,31.900841252005193,0.6953942609980004,Monday,0.7078451120032696,35.63408725699992,K,32,1,31.205446991007193,female,34.92624214499665,22,lab,23,y,32.901347937993705,336
neu,2,48.10267773400119,0.1106807997481866,5.65,0.5417627249989891,faceWord_exp,image_stim_n.png,13,42,336,5,41.93400740700599,0.6929123900044942,Monday,0.6896960400044918,48.25061104900669,K,42,1,41.2410950170015,female,47.5609150090022,22,theory,23,y,42.934441913996125,180
neu,2,58.1024294480012,0.17918122123944408,5.27,0.5247670929966262,faceWord_exp,image_stim_n.png,13,42,336,6,51.95052665400726,0.6948953910032287,Monday,0.7061006309959339,58.28376298600051,K,42,0,51.255631263004034,female,57.57766235500458,22,verb,23,b,52.95101838000119,180
neg,2,68.35617188700417,2.351878020671037,4.29,0.5467625070014037,faceWord_exp,image_stim_n.png,12,42,336,7,62.18374031200074,0.6950952280021738,Monday,0.6909347339969827,68.50034411399974,K,32,1,61.48864508399856,female,67.80940938000276,22,tired,23,y,63.184235478998744,180
neg,2,75.60214621499472,3.222893544100452,2.95,0.37578162499994505,faceWord_exp,image_stim_n.png,12,42,180,8,72.20031490499969,0.6939700369985076,Monday,0.6905361579993041,75.91690074799408,K,32,1,71.50634486800118,female,75.22636458999477,22,perjury,23,y,73.20073222300562,336
pos,2,88.20231315400451,-1.2978987804410356,6.76,0.3600392020016443,faceWord_exp,image_stim_p.png,11,42,336,9,82.2168183150061,0.6957319590001134,Monday,0.6910670659999596,88.53334101800283,K,31,1,81.52108635600598,female,87.84227395200287,21,artist,23,b,83.21726577100344,180
pos,2,96.0190263389959,-1.926056195769395,6.8,0.7581994049978675,faceWord_exp,image_stim_p.png,11,42,180,10,92.23335921499529,0.6917228469974361,Monday,0.6891078890039353,95.94993482300197,K,31,1,91.54163636799785,female,95.26082693399803,21,fireworks,23,b,93.23385852000501,336
neg,2,105.68547311000293,2.373388118792564,4.52,0.41027699000551365,faceWord_exp,image_stim_n.png,12,42,180,11,102.24987286199757,0.6949596999911591,Monday,0.6912845159968128,105.96648063599423,K,32,0,101.55491316200641,female,105.27519611999742,22,excuse,23,b,103.25029395900492,336
pos,2,118.15179439600615,-2.5746228757417584,7.1,0.2601554120046785,faceWord_exp,image_stim_p.png,11,42,336,12,112.26633473699621,0.6953667769994354,Monday,0.691328953995253,118.58296793799673,K,31,1,111.57096795999678,female,117.89163898400147,21,barbecue,23,b,113.26686686099856,180
pos,2,125.88506828800018,-1.2502658664257256,6.36,0.5768518969998695,faceWord_exp,image_stim_p.png,11,42,180,13,122.28307428500557,0.6963022580021061,Monday,0.6913261720037553,125.99954256300407,K,31,1,121.58677202700346,female,125.30821639100031,21,day,23,b,123.28339154200512,336
neg,2,138.5848749470024,0.6502198887451732,4.54,0.6102166970085818,faceWord_exp,image_stim_n.png,12,42,336,14,132.34947205299977,0.6956858729972737,Monday,0.6913472090091091,138.66600545900292,K,32,0,131.6537861800025,female,137.9746582499938,22,office,23,b,133.34990281199862,180
neg,2,148.58474061300512,0.2623575316864496,4.8,0.5931010350032011,faceWord_exp,image_stim_n.png,12,42,336,15,142.36597496600007,0.6961580179922748,Monday,0.6909168489946751,148.6825564269966,K,32,0,141.6698169480078,female,147.99163957800192,22,hoe,23,b,143.36645360999682,180
neu,2,158.55133476099581,0.3228926581020319,5.07,0.5429878579889191,faceWord_exp,image_stim_n.png,13,42,336,16,152.38251204500557,0.6956946430000244,Monday,0.6907444239914184,158.6990913269983,K,42,1,151.68681740200554,female,158.0083469030069,22,street,23,y,153.38296863800497,180
neg,2,168.8344344340003,0.5494484707734639,4.81,0.8075165320042288,faceWord_exp,image_stim_n.png,12,42,336,17,162.39891366900702,0.6936363370041363,Monday,0.7053500580077525,168.7322679600038,K,32,1,161.70527733200288,female,168.02691790199606,22,stone,23,y,163.3993189610046,180
pos,2,175.98403435999353,-1.6425048482978826,7.28,0.5264258729876019,faceWord_exp,image_stim_p.png,11,42,180,18,172.43223971899715,0.6953028369898675,Monday,0.6912421209999593,176.1488506080059,K,31,1,171.73693688200729,female,175.45760848700593,21,knowledge,23,b,173.43270137900254,336
