word_trigger,delay_frames_before,ID,offset_img,age,condition,word_score_pc,session,onset_word,scan day,response,no,word_label,pause_trigger_t,key_t,img_trigger,correct_resp,word_score_warriner,duration_measured_img,rt,duration_frames,gender,img,duration_measured_word,onset_img,delay_frames_after,offset_word,pause_trigger,word
11,336,2019102101,7.9793781955959275,25,faceWord_exp,-2.098490136277324,3,0.9882567161694169,Monday,b,1,pos,2.679429459851235,7.829741632333025,21,1,7.11,0.6815457915654406,0.5319092283025384,42,male,image_stim_p.png,0.6908217860618606,7.297832404030487,180,1.6790785022312775,31,rose
12,336,2019102101,17.97991489758715,25,faceWord_exp,3.583082910341294,3,10.984008654020727,Monday,y,2,neg,12.679944668081589,17.697009738883935,22,1,3.47,0.6857120492495596,0.4028068905463442,42,male,image_stim_n.png,0.6956113622291014,17.29420284833759,180,11.679620016249828,32,cyclone
13,336,2019102101,27.980356321437284,25,faceWord_exp,-1.343270424679961,3,20.985005065449513,Monday,b,3,neu,22.68039154552389,27.73067728395108,21,1,5.81,0.6840875071939081,0.4344084697077051,42,male,image_stim_p.png,0.6950024798279628,27.296268814243376,180,21.680007545277476,41,jam
12,180,2019102101,35.38069143134635,25,faceWord_exp,3.6129749181587063,3,30.983906959649175,Monday,y,4,neg,32.680953270057216,35.197663854574785,22,1,2.11,0.6857653023907915,0.5027377256192267,42,male,image_stim_n.png,0.6965631823986769,34.69492612895556,336,31.680470142047852,32,criminal
13,180,2019102101,45.38108473480679,25,faceWord_exp,0.07332602516344529,3,40.98503810807597,Monday,b,5,neu,42.681293320376426,45.248142715892754,21,1,5.7,0.6855702546890825,0.552628235775046,42,male,image_stim_p.png,0.6958891770336777,44.69551448011771,336,41.68092728510965,41,jungle
12,180,2019102101,55.381625927984715,25,faceWord_exp,3.4172209593162717,3,50.98424412275199,Monday,y,6,neg,52.68171164637897,55.248554946738295,22,1,3.4,0.6856661745114252,0.552595193265006,42,male,image_stim_n.png,0.697141588665545,54.69595975347329,336,51.68138571141753,32,delirium
11,336,2019102101,67.98218361043837,25,faceWord_exp,-1.100912149643323,3,60.98654170788359,Monday,b,7,pos,62.68220407771878,67.6992101209471,21,1,6.32,0.6855205303290859,0.4025470408378169,42,male,image_stim_p.png,0.6953296979190782,67.29666308010928,180,61.68187140580267,31,saxophone
13,180,2019102101,75.38254181819502,25,faceWord_exp,0.05858023181365075,3,70.98606499587186,Monday,y,8,neu,72.68265255913138,75.26618687494192,22,1,5.1,0.6853197081945837,0.5689647649414837,42,male,image_stim_n.png,0.696271252236329,74.69722211000044,336,71.68233624810819,42,cabinet
13,180,2019102101,85.38294763292652,25,faceWord_exp,-0.1793860699809707,3,80.98496945644729,Monday,y,9,neu,82.68324155185837,85.28328787570354,22,1,5.34,0.6852969313040376,0.5856371740810573,42,male,image_stim_n.png,0.6978223307523876,84.69765070162248,336,81.68279178719968,42,patent
12,336,2019102101,97.98352456348948,25,faceWord_exp,3.6017940902369654,3,90.98740338243078,Monday,y,10,neg,92.68356492044404,97.9339818028966,22,1,3.45,0.6862737737828866,0.6367310131900012,42,male,image_stim_n.png,0.695824374910444,97.2972507897066,180,91.68322775734123,32,grievance
13,180,2019102101,105.38385037018452,25,faceWord_exp,-0.6884171372613734,3,100.98598704091273,Monday,y,11,neu,102.68420684558805,105.40105723566376,22,1,5.95,0.6855365704977885,0.7027434359770268,42,male,image_stim_n.png,0.697715824469924,104.69831379968673,336,101.68370286538266,42,egg
11,180,2019102101,115.38430526771117,25,faceWord_exp,-1.2126784285084091,3,110.9870620489819,Monday,b,12,pos,112.68455972790252,115.36807075352408,21,1,6.75,0.6856039389967918,0.6693694248097017,42,male,image_stim_p.png,0.697081598569639,114.69870132871438,336,111.68414364755154,31,agreement
12,180,2019102101,125.38476722280029,25,faceWord_exp,2.1987551193617842,3,120.98738766310271,Monday,y,13,neg,122.68497067550197,125.28511997684836,22,1,4.59,0.6854521995410323,0.5858049535891041,42,male,image_stim_n.png,0.6971967666177079,124.69931502325926,336,121.68458442972042,32,volcano
13,180,2019102101,135.38524425553624,25,faceWord_exp,-0.4971407339658378,3,130.98872476653196,Monday,y,14,neu,132.68553304171655,135.31888889533002,22,1,5.68,0.6856584752677009,0.6193031150614843,42,male,image_stim_n.png,0.6963427911978215,134.69958578026854,336,131.68506755772978,42,cafeteria
