word_score_warriner,img_trigger,rt,age,duration_measured_img,condition,duration_measured_word,response,onset_img,key_t,gender,duration_frames,img,session,word_label,word_trigger,pause_trigger_t,offset_img,word,ID,word_score_pc,no,delay_frames_after,correct_resp,onset_word,scan day,offset_word,delay_frames_before,pause_trigger
5.1,22,0.40827690598962363,25,0.7055617309961235,faceWord_exp,0.6952821250015404,y,125.34637248200306,125.75464938799269,female,42,image_stim_n.png,4,neu,13,123.31790453399299,126.05193421299919,shoulder,77,0.12602488928311428,13,336,1,121.62181166099617,Monday,122.31709378599771,180,42
5.83,22,0.49350318701181095,25,0.6913322990003508,faceWord_exp,0.6951316810009303,y,137.9833184829913,138.47682167000312,female,42,image_stim_n.png,4,neu,13,133.35602197800472,138.67465078199166,scientist,77,-0.5273916336755435,14,180,1,131.6599634669983,Monday,132.35509514799924,336,42
5.67,22,0.5424213850055821,25,0.7072834660066292,faceWord_exp,0.6961643179965904,y,145.40437821399246,145.94679959899804,female,42,image_stim_n.png,4,neu,13,143.37748044000182,146.1116616799991,bell,77,-0.6996261236875504,15,336,1,141.68036989899701,Monday,142.3765342169936,180,42
6.84,21,0.39346604600723367,25,0.7067737350007519,faceWord_exp,0.6938304879877251,b,158.04412220799713,158.43758825400437,female,42,image_stim_p.png,4,pos,11,153.41545650899934,158.7508959429979,festival,77,-2.93465986085152,16,180,1,151.72083043800376,Monday,152.41466092599148,336,31
4.19,22,0.3249255809932947,25,0.705816692992812,faceWord_exp,0.6936593569989782,y,168.0832019119989,168.4081274929922,female,42,image_stim_n.png,4,neg,12,163.45385393500328,168.78901860499172,loan,77,0.7532200949518182,17,180,1,161.75910572899738,Monday,162.45276508599636,336,32
4.0,22,0.40930361399659887,25,0.7052570109954104,faceWord_exp,0.6954917160037439,y,175.52048605500022,175.92978966899682,female,42,image_stim_n.png,4,neg,12,173.49181444699934,176.22574306599563,fallacy,77,2.7422742606943906,18,336,1,171.79523885899107,Monday,172.4907305749948,180,32
2.76,22,0.2901338149968069,25,0.7060323619953124,faceWord_exp,0.6972666719957488,y,188.1757493979967,188.4658832129935,female,42,image_stim_n.png,4,neg,12,183.54646530999162,188.881781759992,flood,77,3.803034067475641,19,180,1,181.8489615569997,Monday,182.54622822899546,336,32
4.48,22,0.3410715029895073,25,0.7064588939974783,faceWord_exp,0.6953964959975565,y,198.2134632630041,198.5545347659936,female,42,image_stim_n.png,4,neg,12,193.58455188300286,198.91992215700157,stampede,77,2.7437052692255306,20,180,1,191.8881933590019,Monday,192.58358985499945,336,32
5.84,22,0.41003576600633096,25,0.7056638740032213,faceWord_exp,0.6957286270044278,y,208.25209556199843,208.66213132800476,female,42,image_stim_n.png,4,neu,13,203.62270789800095,208.95775943600165,boy,77,-0.9031069202434168,21,180,1,201.92586433699762,Monday,202.62159296400205,336,42
7.24,21,0.31034651400113944,25,0.691222323992406,faceWord_exp,0.695349472007365,b,218.28838513100345,218.5987316450046,female,42,image_stim_p.png,4,pos,11,213.66025690599054,218.97960745499586,trust,77,-2.1205664047688315,22,180,1,211.96411372999137,Monday,212.65946320199873,336,31
7.27,21,0.31042837699351367,25,0.7062685620039701,faceWord_exp,0.6961368779884651,b,228.31002051199903,228.62044888899254,female,42,image_stim_p.png,4,pos,11,223.6813243189972,229.016289074003,honey,77,-2.066768843681998,23,180,1,221.98468161700293,Monday,222.6808184949914,336,31
6.42,21,0.3925635979976505,25,0.7062702949915547,faceWord_exp,0.6929168640053831,b,235.7468736180017,236.13943721599935,female,42,image_stim_p.png,4,pos,11,233.71888895599113,236.45314391299326,truce,77,-1.6859102219357711,24,336,1,232.02551912199124,Monday,232.71843598599662,180,31
