session,key_t,pause_trigger_t,word,ID,age,correct_resp,condition,offset_img,word_label,img,word_trigger,onset_img,gender,rt,onset_word,offset_word,word_score_warriner,scan day,duration_frames,img_trigger,delay_frames_after,duration_measured_img,pause_trigger,delay_frames_before,duration_measured_word,response,no,word_score_pc
3,5.397611499531195,2.6805156958289444,pen,2019102206,25,1,faceWord_exp,5.380491892341524,neu,image_stim_n.png,13,4.698071593884379,male,0.6995399056468159,0.9894379095640033,1.6802866430953145,5.63,Tuesday,42,22,336,0.6824202984571457,42,180,0.6908487335313112,y,1,-0.23071750329615884
3,18.04808599804528,12.681125219911337,grievance,2019102206,25,1,faceWord_exp,17.981026156106964,neg,image_stim_n.png,12,17.2957827989012,male,0.7523031991440803,10.9867223193869,11.68070336501114,3.45,Tuesday,42,22,180,0.6852433572057635,32,336,0.6939810456242412,y,2,3.6017940902369654
3,25.33183422475122,22.68153424258344,bird,2019102206,25,1,faceWord_exp,25.381348754744977,pos,image_stim_p.png,11,24.69683554326184,male,0.6349986814893782,20.984344533644617,21.68120125005953,6.75,Tuesday,42,21,336,0.6845132114831358,31,180,0.6968567164149135,b,3,-1.0841943171680315
3,35.34884508000687,32.68205811269581,cyclone,2019102206,25,1,faceWord_exp,35.38186749187298,neg,image_stim_n.png,12,34.69603353785351,male,0.6528115421533585,30.985158087918535,31.681646844139323,3.47,Tuesday,42,22,336,0.685833954019472,32,180,0.6964887562207878,y,4,3.583082910341294
3,47.966228514909744,42.682542523834854,coffee,2019102206,25,1,faceWord_exp,47.98241522954777,pos,image_stim_p.png,11,47.29684657882899,male,0.6693819360807538,40.985974529525265,41.68209917517379,7.0,Tuesday,42,21,180,0.6855686507187784,31,336,0.6961246456485242,b,5,-1.8894778219780863
3,57.850080168340355,52.68300287495367,debate,2019102206,25,1,faceWord_exp,57.98292626743205,neg,image_stim_n.png,12,57.29784363205545,male,0.5522365362849087,50.98623437923379,51.682563696755096,4.95,Tuesday,42,22,180,0.6850826353766024,32,336,0.6963293175213039,y,6,1.239138220826116
3,65.35030088038184,62.683494343888015,cabinet,2019102206,25,1,faceWord_exp,65.38321036985144,neu,image_stim_n.png,13,64.69779185438529,male,0.6525090259965509,60.98578653950244,61.683021802222356,5.1,Tuesday,42,22,336,0.6854185154661536,42,180,0.6972352627199143,y,7,0.05858023181365075
3,77.93417524639517,72.68375740153715,reality,2019102206,25,1,faceWord_exp,77.98380719008856,neu,image_stim_p.png,13,77.29854586790316,male,0.6356293784920126,70.98625587299466,71.68352257437073,5.73,Tuesday,42,21,180,0.6852613221853971,41,336,0.6972667013760656,b,8,0.30770997164376424
3,87.93466094089672,82.68433805345558,raspberry,2019102206,25,1,faceWord_exp,87.98424027301371,pos,image_stim_p.png,11,87.2983925244771,male,0.6362684164196253,80.98763949261047,81.68396239425056,7.3,Tuesday,42,21,180,0.6858477485366166,31,336,0.6963229016400874,b,9,-1.4443598905895143
3,95.41852010111324,92.68481829436496,cafeteria,2019102206,25,1,faceWord_exp,95.38460393436253,neu,image_stim_n.png,13,94.69934485782869,male,0.7191752432845533,90.98731933208182,91.68440927169286,5.68,Tuesday,42,22,336,0.6852590765338391,42,180,0.6970899396110326,y,10,-0.4971407339658378
3,107.96905542351305,102.6853623748757,agreement,2019102206,25,1,faceWord_exp,107.98523475974798,pos,image_stim_p.png,11,107.29946721158922,male,0.6695882119238377,100.98900835542008,101.68488085083663,6.75,Tuesday,42,21,180,0.6857675481587648,31,336,0.6958724954165518,b,11,-1.2126784285084091
3,117.95272370660678,112.68580315704457,foot,2019102206,25,1,faceWord_exp,117.98569126124494,neg,image_stim_n.png,12,117.2997187206056,male,0.6530049860011786,110.98796157818288,111.68540472071618,4.68,Tuesday,42,22,180,0.6859725406393409,32,336,0.6974431425333023,y,12,0.41231466195915456
3,128.18667445564643,122.68625388410874,flute,2019102206,25,1,faceWord_exp,127.9861583490856,pos,image_stim_p.png,11,127.30078121740371,male,0.8858932382427156,120.9895283759106,121.68584037013352,6.29,Tuesday,42,21,180,0.6853771316818893,31,336,0.6963119942229241,b,13,-1.6804307003665144
3,135.53708601277322,132.686686004512,year,2019102206,25,1,faceWord_exp,135.38648736383766,neu,image_stim_p.png,13,134.7004368682392,male,0.8366491445340216,130.9886570770759,131.68627313221805,5.75,Tuesday,42,21,336,0.6860504955984652,41,180,0.6976160551421344,b,14,0.5062695562835388
3,145.43744903244078,142.68713095714338,belch,2019102206,25,1,faceWord_exp,145.3868761761114,neg,image_stim_n.png,12,144.70102521940134,male,0.7364238130394369,140.98998295259662,141.68672000966035,4.18,Tuesday,42,22,336,0.6858509567100555,32,180,0.6967370570637286,y,15,1.9197700017151131
3,155.6381640364416,152.6876307670027,reporter,2019102206,25,1,faceWord_exp,155.38738272269256,neg,image_stim_n.png,12,154.7025365184527,male,0.9356275179889053,150.99007309786975,151.6872454835102,4.57,Tuesday,42,22,336,0.6848462042398751,32,180,0.6971723856404424,y,16,0.7962654471128737
3,167.95504727656953,162.68820147402585,snub,2019102206,25,1,faceWord_exp,167.98799045034684,neg,image_stim_n.png,12,167.30340537894517,male,0.6516418976243585,160.9897189324256,161.6877366316039,3.23,Tuesday,42,22,180,0.6845850714016706,32,336,0.6980176991783082,y,17,3.9847946241932393
3,177.90558792441152,172.68857232131995,advantage,2019102206,25,1,faceWord_exp,177.98846042552032,pos,image_stim_p.png,11,177.3036649080459,male,0.6019230163656175,170.99129086290486,171.6881748472806,6.71,Tuesday,42,21,180,0.6847955174744129,31,336,0.6968839843757451,b,18,-1.2474567486001964
3,185.22259659832343,182.6890217650216,criminal,2019102206,25,1,faceWord_exp,185.38880580104887,neg,image_stim_n.png,12,184.70405936636962,male,0.5185372319538146,180.99159370013513,181.6885983061511,2.11,Tuesday,42,22,336,0.6847464346792549,32,180,0.6970046060159802,y,19,3.6129749181587063
3,198.5066839128267,192.6894904570654,patent,2019102206,25,1,faceWord_exp,197.98936220025644,neu,image_stim_n.png,13,197.30468698358163,male,1.2019969292450696,190.99183879303746,191.6890846423339,5.34,Tuesday,42,22,180,0.6846752166748047,42,336,0.6972458492964506,y,20,-0.1793860699809707
3,207.8902567892801,202.6899065375328,hope,2019102206,25,1,faceWord_exp,207.9898379498627,pos,image_stim_p.png,11,207.30531896394677,male,0.584937825333327,200.9917954846751,201.6895244619809,7.48,Tuesday,42,21,180,0.6845189859159291,31,336,0.6977289773058146,b,21,-2.2287379941341
3,215.32390976976603,212.69041597121395,rose,2019102206,25,1,faceWord_exp,215.39012237312272,pos,image_stim_p.png,11,214.7051289207302,male,0.6187808490358293,210.99251504405402,211.6900181765668,7.11,Tuesday,42,21,336,0.6849934523925185,31,180,0.697503132512793,b,22,-2.098490136277324
3,225.40785471256822,222.69087375584058,jungle,2019102206,25,1,faceWord_exp,225.3906584335491,neu,image_stim_n.png,13,224.70560338697396,male,0.7022513255942613,220.9939702025149,221.6904079511296,5.7,Tuesday,42,22,336,0.6850550465751439,42,180,0.6964377486146986,y,23,0.07332602516344529
3,235.34151314664632,232.6913649039343,shame,2019102206,25,1,faceWord_exp,235.39108542120084,neg,image_stim_n.png,12,234.70497750211507,male,0.63653564453125,230.99348322488368,231.6909661469981,2.62,Tuesday,42,22,336,0.6861079190857708,32,180,0.6974829221144319,y,24,4.2618443246155895
3,247.7587484351825,242.691800232511,volcano,2019102206,25,1,faceWord_exp,247.9916838456411,neg,image_stim_n.png,12,247.30575846275315,male,0.45298997242935,240.99400292430073,241.69138062326238,4.59,Tuesday,42,22,180,0.6859253828879446,32,336,0.6973776989616454,y,25,2.1987551193617842
3,257.9424137666356,252.69230677909218,computer,2019102206,25,1,faceWord_exp,257.9921974497847,pos,image_stim_p.png,11,257.30729959649034,male,0.6351141701452434,250.99488095985726,251.6919741074089,6.84,Tuesday,42,21,180,0.6848978532943875,31,336,0.6970931475516409,b,26,-1.728066945394655
3,265.4097050994169,262.69278830313124,pencil,2019102206,25,1,faceWord_exp,265.392503045965,neu,image_stim_p.png,13,264.70754616498016,male,0.7021589344367385,260.99490919033997,261.69234142592177,5.65,Tuesday,42,21,336,0.6849568809848279,41,180,0.6974322355818003,b,27,0.13339963708933658
3,275.1767096989788,272.693138940027,spiritual,2019102206,25,1,faceWord_exp,275.3929518482182,neu,image_stim_p.png,13,274.707341813948,male,0.46936788503080606,270.9954981831834,271.69288711017,5.82,Tuesday,42,21,336,0.685610034270212,41,180,0.6973889269866049,b,28,-1.5026706526379858
3,285.37725692335516,282.69367500045337,cold,2019102206,25,1,faceWord_exp,285.39344941219315,neg,image_stim_n.png,12,284.7084659046959,male,0.668791018659249,280.9959572511725,281.6932098371908,4.32,Tuesday,42,22,336,0.6849835074972361,32,180,0.6972525860182941,y,29,1.7592404876513306
3,295.5778965386562,292.6941183488816,car,2019102206,25,1,faceWord_exp,295.39385811425745,pos,image_stim_p.png,11,294.7092246017419,male,0.8686719369143248,290.9960746646393,291.6936871907674,6.63,Tuesday,42,21,336,0.6846335125155747,31,180,0.6976125261280686,b,30,-1.4106928476010352
3,305.41157890483737,302.69458062481135,butterfly,2019102206,25,1,faceWord_exp,305.3943348261528,pos,image_stim_p.png,11,304.70865517808124,male,0.7029237267561257,300.9967794669792,301.6941254066769,7.23,Tuesday,42,21,336,0.6856796480715275,31,180,0.6973459396976978,b,31,-2.484088237918995
3,315.3785353198182,312.69501434941776,couple,2019102206,25,1,faceWord_exp,315.3948291824199,pos,image_stim_p.png,11,314.7096714791842,male,0.6688638406340033,310.9973710263148,311.6945787000004,7.11,Tuesday,42,21,336,0.6851577032357454,31,180,0.6972076736856252,b,32,-1.9002611819546853
3,325.2290107165463,322.6954666804522,goldfish,2019102206,25,1,faceWord_exp,325.3952683606185,pos,image_stim_p.png,11,324.7099265169818,male,0.5190841995645314,320.9978766103741,321.6950631113723,6.62,Tuesday,42,21,336,0.6853418436367065,31,180,0.6971865009982139,b,33,-1.0930411682114536
3,337.8795099167619,332.69598028459586,plane,2019102206,25,1,faceWord_exp,337.9958225141745,neu,image_stim_p.png,13,337.3096658331342,male,0.5698440836276859,330.9981990165543,331.695528274402,5.72,Tuesday,42,21,180,0.6861566810403019,41,336,0.6973292578477412,b,34,0.20373950943912453
3,347.9467760345433,342.696337016765,voter,2019102206,25,1,faceWord_exp,347.99626554199494,neg,image_stim_n.png,12,347.3101406204514,male,0.6366354140918702,340.998587828828,341.6959632821381,4.85,Tuesday,42,22,180,0.6861249215435237,32,336,0.6973754533100873,y,35,-0.3331872788781821
3,355.3469125679694,352.69689007964917,gum,2019102206,25,1,faceWord_exp,355.3966166919563,neu,image_stim_p.png,13,354.7107942868024,male,0.6361182811670005,350.99885922740214,351.69646790390834,5.89,Tuesday,42,21,336,0.6858224051538855,41,180,0.6976086765062064,b,36,-1.0048841857254538
3,367.94761974411085,362.69732957868837,jam,2019102206,25,1,faceWord_exp,367.9972058131825,neu,image_stim_n.png,13,367.31109693157487,male,0.6365228125359863,360.99925926770084,361.6969167061616,5.81,Tuesday,42,22,180,0.6861088816076517,42,336,0.6976574384607375,y,37,-1.343270424679961
3,377.94812500756234,372.6976904810872,family,2019102206,25,1,faceWord_exp,377.99767193873413,pos,image_stim_p.png,11,377.31166667630896,male,0.6364583312533796,370.99993166909553,371.6973905309569,7.25,Tuesday,42,21,180,0.6860052624251693,31,336,0.697458861861378,b,38,-1.6019047514101912
3,385.09853406227194,382.6982374486979,joy,2019102206,25,1,faceWord_exp,385.3980031989049,pos,image_stim_p.png,11,384.7126081022434,male,0.38592596002854407,381.000264020171,381.6978916239459,8.21,Tuesday,42,21,336,0.685395096661523,31,180,0.6976276037748903,b,39,-3.230607919269787
3,397.9656343893148,392.6987164062448,fountain,2019102206,25,1,faceWord_exp,397.9986064352561,pos,image_stim_p.png,11,397.31275836587884,male,0.6528760234359652,391.0010374740232,391.6983308021445,6.26,Tuesday,42,21,180,0.6858480693772435,31,336,0.6972933281213045,b,40,-2.0727743906520253
3,405.54947186331265,402.69921268732287,trial,2019102206,25,1,faceWord_exp,405.39895469811745,neg,image_stim_n.png,12,404.7130848141387,male,0.8363870491739362,401.0014317398891,401.6987738299649,3.28,Tuesday,42,22,336,0.6858698839787394,32,180,0.6973420900758356,y,41,2.3068979902815
3,417.9166572028771,412.69967143423855,cabbage,2019102206,25,1,faceWord_exp,417.9995293831453,neg,image_stim_n.png,12,417.313282556599,male,0.6033746462780982,411.0020736651495,411.6992194240447,4.6,Tuesday,42,22,180,0.6862468265462667,32,336,0.6971457588952035,y,42,0.041184453360586966
3,425.16701249126345,422.70022963010706,tuba,2019102206,25,1,faceWord_exp,425.39985101949424,neu,image_stim_n.png,13,424.7140343885403,male,0.45297810272313654,421.00203901855275,421.6997198755853,5.58,Tuesday,42,22,336,0.6858166309539229,42,180,0.6976808570325375,y,43,-0.945340141786388
