gender,no,word,key_t,rt,response,delay_frames_before,img_trigger,delay_frames_after,onset_img,ID,onset_word,pause_trigger_t,age,duration_frames,word_label,word_score_warriner,word_trigger,scan day,offset_word,condition,duration_measured_word,img,pause_trigger,word_score_pc,duration_measured_img,session,offset_img,correct_resp
female,1,monkey,7.968281000000388,0.6189265000002706,y,336,22,180,7.349354500000118,gr1nr2,1.012984800000595,2.6882210000003397,25,42,neu,5.82,13,Monday,1.6889650000002803,faceWord_exp,0.6759801999996853,image_stim_n.png,42,-0.6680004122251881,0.6844424000000799,2,8.033796900000198,1
female,2,ricochet,15.561207600000671,0.7545705000002272,y,180,22,336,14.806637100000444,gr1nr2,11.049356000000444,12.730926900000668,25,42,neg,4.75,12,Monday,11.730904300000475,faceWord_exp,0.6815483000000313,image_stim_n.png,32,1.0482300490198866,0.6874139000001378,2,15.494051000000582,1
female,3,street,25.420269300000655,0.5785762000004979,b,180,21,336,24.841693100000157,gr1nr2,21.096609800000806,22.791244000000006,25,42,neu,5.07,13,Monday,21.79028550000021,faceWord_exp,0.6936756999994032,image_stim_p.png,41,0.3228926581020319,0.6774132999998983,2,25.519106400000055,1
female,4,plea,35.27929530000074,0.39628609999999753,y,180,22,336,34.88300920000074,gr1nr2,31.122852100000273,32.81365610000012,25,42,neg,4.35,12,Monday,31.814012700000603,faceWord_exp,0.6911606000003303,image_stim_n.png,32,2.166481281776448,0.678223999999318,2,35.56123320000006,1
female,5,office,47.8525965000008,0.3658115000007456,y,336,22,180,47.486785000000054,gr1nr2,41.166454400000475,42.85504410000067,25,42,neg,4.54,12,Monday,41.855367000000115,faceWord_exp,0.6889125999996395,image_stim_n.png,32,0.6502198887451732,0.6806831000003513,2,48.167468100000406,1
female,6,highway,55.56266400000004,0.6666929999992135,b,180,21,336,54.89597100000083,gr1nr2,51.179057600000306,52.863782000000356,25,42,neu,5.19,13,Monday,51.86389970000073,faceWord_exp,0.6848421000004237,image_stim_p.png,41,0.650019808676411,0.6821520999992572,2,55.578123100000084,1
female,7,excuse,65.41985420000037,0.5252450999996654,y,180,22,336,64.89460910000071,gr1nr2,61.18502520000038,62.87309210000058,25,42,neg,4.52,12,Monday,61.87250420000055,faceWord_exp,0.6874790000001667,image_stim_n.png,32,2.373388118792564,0.67444069999965,2,65.56904980000036,1
female,8,jaw,75.26274230000035,0.35852259999956004,y,180,22,336,74.9042197000008,gr1nr2,71.17369850000068,72.86424440000064,25,42,neg,4.41,12,Monday,71.86441600000035,faceWord_exp,0.6907174999996641,image_stim_n.png,32,0.16339675594021513,0.6737173999999868,2,75.57793710000078,1
female,9,sick,87.85117430000082,0.3348247000003539,y,336,22,180,87.51634960000047,gr1nr2,81.18011790000037,82.8727729000002,25,42,neg,2.29,12,Monday,81.87310610000077,faceWord_exp,0.6929882000004,image_stim_n.png,32,3.4738609063027237,0.6848995000000286,2,88.2012491000005,1
female,10,lab,98.22706570000082,0.6682413000007728,y,336,22,180,97.55882440000005,gr1nr2,91.2017093000004,92.89822920000006,25,42,neg,4.57,12,Monday,91.89821660000052,faceWord_exp,0.6965073000001212,image_stim_n.png,32,0.2032181950076048,0.6840824000000794,2,98.24290680000013,1
female,11,nose,108.11872500000027,0.5456666999998561,b,336,21,180,107.57305830000041,gr1nr2,101.25061820000064,102.93861040000047,25,42,neu,5.5,13,Monday,101.93991180000012,faceWord_exp,0.6892935999994734,image_stim_p.png,41,-0.049892793833906636,0.6778180999999677,2,108.25087640000038,1
female,12,winter,118.37624340000002,0.8048218999992969,b,336,21,180,117.57142150000072,gr1nr2,111.25569610000002,112.94914960000006,25,42,neu,5.5,13,Monday,111.94767930000035,faceWord_exp,0.6919832000003225,image_stim_p.png,41,0.3495373155897487,0.6875532999993084,2,118.25897480000003,1
female,13,cough,128.0531058000006,0.4553079000006619,y,336,22,180,127.59779789999993,gr1nr2,121.27371190000031,122.95644580000044,25,42,neg,3.57,12,Monday,121.95799870000064,faceWord_exp,0.6842868000003364,image_stim_n.png,32,2.483224745184551,0.6864595000006375,2,128.28425740000057,1
female,14,day,135.49539340000047,0.4770760999999766,b,180,21,336,135.0183173000005,gr1nr2,131.2851913000004,132.9814040000001,25,42,pos,6.36,11,Monday,131.98310110000057,faceWord_exp,0.6979098000001613,image_stim_p.png,31,-1.2502658664257256,0.6762037999997119,2,135.6945211000002,1
female,15,stone,148.13488620000044,0.5114051000000472,y,336,22,180,147.6234811000004,gr1nr2,141.29802010000003,142.98914890000015,25,42,neg,4.81,12,Monday,141.99036710000019,faceWord_exp,0.6923470000001544,image_stim_n.png,32,0.5494484707734639,0.677397800000108,2,148.3008789000005,1
female,16,store,156.46295820000068,1.429035300000578,y,180,22,336,155.0339229000001,gr1nr2,151.3012615000007,152.9987731000001,25,42,neu,5.94,13,Monday,151.9984800000002,faceWord_exp,0.6972184999995079,image_stim_n.png,42,-0.8400509032218062,0.6781670000000304,2,155.71208990000014,1
female,17,chicken,165.50519070000064,0.46739460000026156,b,180,21,336,165.03779610000038,gr1nr2,161.31047340000077,163.0068738,25,42,pos,6.17,11,Monday,162.0069622000001,faceWord_exp,0.6964887999993152,image_stim_p.png,31,-1.3205598447631597,0.6826698000004399,2,165.72046590000082,1
female,18,hoe,178.09451830000035,0.439829799999643,y,336,22,180,177.6546885000007,gr1nr2,171.31896400000005,173.01546210000015,25,42,neg,4.8,12,Monday,172.01471089999995,faceWord_exp,0.6957468999999037,image_stim_n.png,32,0.2623575316864496,0.6885165999992751,2,178.34320509999998,1
female,19,embrace,185.55574890000025,0.48373540000011417,b,180,21,336,185.07201350000014,gr1nr2,181.34617550000075,183.04056519999995,25,42,pos,7.0,11,Monday,182.04006160000063,faceWord_exp,0.6938860999998724,image_stim_p.png,31,-2.461915733068042,0.6822345999999015,2,185.75424810000004,1
female,20,speech,195.51362570000038,0.4247610000002169,b,180,21,336,195.08886470000016,gr1nr2,191.35840350000035,193.04889340000045,25,42,neu,5.62,13,Monday,192.04891790000056,faceWord_exp,0.690514400000211,image_stim_p.png,41,-0.18776275500974607,0.6899290000001201,2,195.77879370000028,1
female,21,sailboat,208.22002080000038,0.499263400000018,b,336,21,180,207.72075740000037,gr1nr2,201.38766530000066,203.0740239000006,25,42,pos,6.81,11,Monday,202.0741850000004,faceWord_exp,0.6865196999997352,image_stim_p.png,31,-1.5621536719325724,0.6813602000001993,2,208.40211760000057,1
female,22,camel,218.7282468000003,0.9961075000001074,y,336,22,180,217.7321393000002,gr1nr2,211.40184070000032,213.09937350000018,25,42,neu,5.29,13,Monday,212.0987969000007,faceWord_exp,0.6969562000003862,image_stim_n.png,42,0.0657349158769076,0.6784288999997443,2,218.41056819999994,1
female,23,luck,228.15308490000007,0.41467609999926935,b,336,21,180,227.7384088000008,gr1nr2,221.41393810000045,223.10699280000063,25,42,pos,6.73,11,Monday,222.1078606000001,faceWord_exp,0.6939224999996441,image_stim_p.png,31,-2.2291915044129413,0.6804294999992635,2,228.41883830000006,1
