condition,duration_measured_img,age,pause_trigger,img_trigger,offset_word,word_score_warriner,correct_resp,scan day,offset_img,no,duration_frames,word_score_pc,pause_trigger_t,onset_word,rt,duration_measured_word,onset_img,delay_frames_after,word_label,img,word,response,word_trigger,delay_frames_before,session,ID,gender,key_t
faceWord_exp,0.6820937218144536,25,41,21,1.672960163326934,5.62,1,Tuesday,5.3731820944231,1,42,-0.18776275500974607,2.673355070874095,0.9833170045167208,0.7325177260208875,0.6896431588102132,4.691088372608647,336,neu,image_stim_p.png,speech,b,13,180,2,2019102206,male,5.423606098629534
faceWord_exp,0.6854217231739312,25,42,22,11.673404795117676,5.5,1,Tuesday,17.97361338068731,2,42,0.3495373155897487,12.673806760227308,10.97783417487517,0.6192440874874592,0.6955706202425063,17.28819165751338,180,neu,image_stim_n.png,winter,y,13,336,2,2019102206,male,17.90743574500084
faceWord_exp,0.6844788857270032,25,32,22,21.673793928232044,3.48,1,Tuesday,27.974119927268475,3,42,0.7321109855355353,22.67429117159918,20.977114615496248,0.6682992288842797,0.696679312735796,27.289641041541472,180,neg,image_stim_n.png,axe,y,12,336,2,2019102206,male,27.957940270425752
faceWord_exp,0.6860517787281424,25,42,22,31.67431876063347,5.82,1,Tuesday,35.3745625060983,4,42,-0.6680004122251881,32.67469826946035,30.978652861900628,0.6030374830588698,0.695665898732841,34.68851072737016,336,neu,image_stim_n.png,monkey,y,13,180,2,2019102206,male,35.29154821042903
faceWord_exp,0.6859170419629663,25,42,22,41.67475665546954,5.86,1,Tuesday,45.37492180452682,5,42,0.10630403813009667,42.67516664066352,40.9775066357106,0.6864306461066008,0.6972500197589397,44.689004762563854,336,neu,image_stim_n.png,whole,y,13,180,2,2019102206,male,45.375435408670455
faceWord_exp,0.686293663457036,25,32,22,51.67520866566338,4.57,1,Tuesday,57.975487186107785,6,42,0.2032181950076048,52.67565843043849,50.97817518748343,0.4534798371605575,0.6970334781799465,57.28919352265075,180,neg,image_stim_n.png,lab,y,12,336,2,2019102206,male,57.742673359811306
faceWord_exp,0.6858724502380937,25,31,21,61.675670941593125,7.21,1,Tuesday,67.97594497073442,7,42,-2.7563434535584275,62.67612840561196,60.97847321256995,0.4863559633959085,0.6971977290231735,67.29007252049632,180,pos,image_stim_p.png,optimism,b,11,336,2,2019102206,male,67.77642848389223
faceWord_exp,0.6862060846760869,25,32,22,71.67613738798536,4.1,1,Tuesday,75.3762476798147,8,42,1.472290472628449,72.67652010498568,70.97929639089853,0.8034926373511553,0.6968409970868379,74.69004159513861,336,neg,image_stim_n.png,clang,y,12,180,2,2019102206,male,75.49353423248976
faceWord_exp,0.6856956884730607,25,31,21,81.67660608002916,6.95,1,Tuesday,85.37676385045052,9,42,-2.0702836690965865,82.67698655137792,80.98021581000648,0.73622299102135,0.6963902700226754,84.69106816197746,336,pos,image_stim_p.png,restaurant,b,11,180,2,2019102206,male,85.4272911529988
faceWord_exp,0.6857636985369027,25,31,21,91.67707894230261,6.4,1,Tuesday,95.37727328436449,10,42,-1.0752281295040744,92.67739910283126,90.97963387495838,0.6194721779320389,0.6974450673442334,94.69150958582759,336,pos,image_stim_p.png,mercy,b,11,180,2,2019102206,male,95.31098176375963
