delay_frames_before,gender,delay_frames_after,word_score_warriner,ID,no,onset_img,word_trigger,offset_img,pause_trigger,duration_frames,key_t,correct_resp,pause_trigger_t,word_label,session,img,offset_word,scan day,response,rt,duration_measured_img,duration_measured_word,age,word,word_score_pc,img_trigger,condition,onset_word
180,male,336,7.05,2019102101,1,4.696655252482742,11,5.379056302714162,31,42,2.479516461258754,1,2.679266171413474,pos,1,image_stim_p.png,1.6789232338778675,Monday,b,-2.217138791223988,0.6824010502314195,0.6898385273525491,25,lemonade,-2.146343780688921,21,faceWord_exp,0.9890847065253183
336,male,180,5.42,2019102101,2,17.294482587720267,13,17.979687127983198,42,42,17.946743312641047,1,12.679832708090544,neu,1,image_stim_n.png,11.679398983484134,Monday,y,0.6522607249207795,0.6852045402629301,0.6964521846966818,25,treaty,-0.7213913907893977,22,faceWord_exp,10.982946798787452
336,male,180,4.5,2019102101,3,27.295871340320446,12,27.98013593023643,32,42,27.763828337425366,1,22.68020836741198,neg,1,image_stim_n.png,21.679817630327307,Monday,y,0.46795699710492045,0.6842645899159834,0.6958901393227279,25,gasp,1.3014161644429498,22,faceWord_exp,20.98392749100458
180,male,336,6.9,2019102101,4,34.694643502123654,11,35.38042612792924,31,42,35.247449783142656,1,32.68069245782681,pos,1,image_stim_p.png,31.680250713252462,Monday,b,0.5528062810190022,0.6857826258055866,0.6964361446443945,25,pineapple,-1.6708771386143015,21,faceWord_exp,30.983814568608068
336,male,180,4.21,2019102101,5,47.294867550372146,12,47.9810014545219,32,42,47.881356133380905,1,42.681001711054705,neg,1,image_stim_n.png,41.68074378615711,Monday,y,0.5864885830087587,0.6861339041497558,0.696344074443914,25,policeman,0.397042668763988,22,faceWord_exp,40.984399711713195
336,male,180,8.0,2019102101,6,57.29551524994895,11,57.981450577499345,31,42,57.71517516113818,1,52.6815685685724,pos,1,image_stim_p.png,51.68115633772686,Monday,b,0.4196599111892283,0.6859353275503963,0.6963937986874953,25,love,-2.40140153221556,21,faceWord_exp,50.984762539039366
180,male,336,3.08,2019102101,7,64.69566910667345,12,65.38185305590741,32,42,65.215518419398,1,62.6820581125794,neg,1,image_stim_n.png,61.68166801717598,Monday,y,0.5198493127245456,0.6861839492339641,0.6970777489477769,25,aggressive,2.166851165767892,22,faceWord_exp,60.9845902682282
180,male,336,5.3,2019102101,8,74.696644345182,13,75.38223416882101,42,42,75.29922147723846,1,72.68251910537947,neu,1,image_stim_n.png,71.68206998228561,Monday,y,0.6025771320564672,0.6855898236390203,0.6966850870521739,25,embassy,-0.05916451699915906,22,faceWord_exp,70.98538489523344
336,male,180,6.45,2019102101,9,87.2966091852868,11,87.98283836757764,31,42,87.81649699434638,1,82.68295026337728,pos,1,image_stim_p.png,81.68251878453884,Monday,b,0.5198878090595827,0.6862291822908446,0.6975830123992637,25,pie,-2.2727319315779937,21,faceWord_exp,80.98493577213958
336,male,180,5.17,2019102101,10,97.29770440387074,13,97.98326631775126,41,42,97.90034730033949,1,92.68334035889711,neu,1,image_stim_p.png,91.68297945638187,Monday,b,0.6026428964687511,0.6855619138805196,0.696562540717423,25,keyboard,-0.08455950357770388,21,faceWord_exp,90.98641691566445
180,male,336,6.15,2019102101,11,104.69792306260206,11,105.38359982369002,31,42,105.15060731046833,1,102.68388764734846,pos,1,image_stim_p.png,101.6834327498218,Monday,b,0.4526842478662729,0.6856767610879615,0.6968801347538829,25,plum,-1.1648995537800455,21,faceWord_exp,100.98655261506792
180,male,336,5.8,2019102101,12,114.69793781952467,13,115.38405407953542,42,42,115.23504853411578,1,112.68423668004107,neu,1,image_stim_n.png,111.68389278021641,Monday,y,0.5371107145911083,0.6861162600107491,0.6970556136220694,25,tomato,-1.3575770021145472,22,faceWord_exp,110.98683716659434
