no,word,ID,condition,img_trigger,delay_frames_after,onset_img,onset_word,pause_trigger_t,gender,duration_frames,pause_trigger,scan day,response,offset_img,img,delay_frames_before,age,duration_measured_img,key_t,word_label,duration_measured_word,word_score_warriner,rt,session,word_trigger,correct_resp,word_score_pc,offset_word
13,tuba,2019102204,faceWord_exp,22,180,127.3432300798595,121.01765181799419,122.71546773286536,female,42,42,Tuesday,y,128.01545721036382,image_stim_n.png,336,23,0.672227130504325,128.0659078413155,neu,0.6975024910643697,5.58,0.7226777614559978,3,13,1,-0.945340141786388,121.71515430905856
14,cabinet,2019102204,faceWord_exp,21,180,137.36705926433206,131.01848462037742,132.7159845449496,female,42,41,Tuesday,b,138.0492453770712,image_stim_p.png,336,23,0.6821861127391458,137.99970742850564,neu,0.697120415745303,5.1,0.6326481641735882,3,13,1,0.05858023181365075,131.71560503612272
15,family,2019102204,faceWord_exp,21,180,147.36803899426013,141.05285985511728,142.74986991472542,female,42,31,Tuesday,b,148.04974262043834,image_stim_p.png,336,23,0.681703626178205,147.81671738554724,pos,0.6965577285736799,7.25,0.4486783912871033,3,11,1,-1.6019047514101912,141.74941758369096
16,rose,2019102204,faceWord_exp,21,180,157.36977742100134,151.05241714813747,152.7502404411789,female,42,31,Tuesday,b,158.0501522847917,image_stim_p.png,336,23,0.6803748637903482,157.90049775666557,pos,0.6974482752848417,7.11,0.5307203356642276,3,11,1,-2.098490136277324,151.7498654234223
17,pencil,2019102204,faceWord_exp,22,336,164.77609067922458,161.05289193522185,162.75074121332727,female,42,42,Tuesday,y,165.45048418664373,image_stim_n.png,180,23,0.674393507419154,165.36760398652405,neu,0.6974370474927127,5.65,0.5915133072994649,3,13,1,0.13339963708933658,161.75032898271456
18,car,2019102204,faceWord_exp,21,336,174.7771926347632,171.05311296787113,172.7510533540044,female,42,31,Tuesday,b,175.4509669940453,image_stim_p.png,180,23,0.6737743592821062,175.58479763474315,pos,0.6977126165293157,6.63,0.8076049999799579,3,11,1,-1.4106928476010352,171.75082558440045
19,jungle,2019102204,faceWord_exp,21,180,187.37859755568206,181.05405259737745,182.7516150784213,female,42,41,Tuesday,b,188.05154969892465,image_stim_p.png,336,23,0.6729521432425827,188.0189366308041,neu,0.697239754255861,5.7,0.6403390751220286,3,13,1,0.07332602516344529,181.7512923516333
20,reality,2019102204,faceWord_exp,21,336,194.7701138141565,191.05452417675406,192.7522053543944,female,42,41,Tuesday,b,195.45185337029397,image_stim_p.png,180,23,0.6817395561374724,195.5523520251736,neu,0.6971727062482387,5.73,0.782238211017102,3,13,1,0.30770997164376424,191.7516968830023
21,malice,2019102204,faceWord_exp,22,180,207.3780383975245,201.05460918927565,202.75253289355896,female,42,32,Tuesday,y,208.05248195002787,image_stim_n.png,336,23,0.6744435525033623,208.01971617992967,neg,0.6975624810438603,2.81,0.6416777824051678,3,12,1,3.6887696102955196,201.7521716703195
22,trial,2019102204,faceWord_exp,22,180,217.37558714812621,211.0552139012143,212.75300222705118,female,42,32,Tuesday,y,218.05288166948594,image_stim_n.png,336,23,0.6772945213597268,217.95331815304235,neg,0.6974274234380573,3.28,0.5777310049161315,3,12,1,2.3068979902815,211.75264132465236
23,criminal,2019102204,faceWord_exp,22,180,227.37356064096093,221.05583272874355,222.75346963573247,female,42,32,Tuesday,y,228.05336672253907,image_stim_n.png,336,23,0.6798060815781355,227.820368435001,neg,0.6972837038338184,2.11,0.446807794040069,3,12,1,3.6129749181587063,221.75311643257737
24,island,2019102204,faceWord_exp,21,180,237.3792356310878,231.0561955559533,232.7539611046668,female,42,31,Tuesday,b,238.0538713443093,image_stim_p.png,336,23,0.6746357132215053,237.93758344859816,pos,0.6973452980164438,7.18,0.5583478175103664,3,11,1,-1.7760144816699572,231.75354085396975
25,voter,2019102204,faceWord_exp,22,336,244.77856695116498,241.0565400973428,242.75434991694055,female,42,32,Tuesday,y,245.45418977248482,image_stim_n.png,180,23,0.6756228213198483,245.50477898982354,neg,0.6974716940894723,4.85,0.7262120386585593,3,12,1,-0.3331872788781821,241.75401179143228
26,saxophone,2019102204,faceWord_exp,21,180,257.3802721428219,251.0583292110823,252.75487891957164,female,42,31,Tuesday,b,258.0547420012299,image_stim_p.png,336,23,0.6744698584079742,257.9385060756467,pos,0.6961496681906283,6.32,0.5582339328248054,3,11,1,-1.100912149643323,251.75447887927294
27,cafeteria,2019102204,faceWord_exp,21,336,264.77271423651837,261.05809245910496,262.7553161729593,female,42,41,Tuesday,b,265.4550989258569,image_stim_p.png,180,23,0.6823846893385053,265.6556695685722,neu,0.6968560747336596,5.68,0.8829553320538253,3,13,1,-0.4971407339658378,261.7549485338386
28,raspberry,2019102204,faceWord_exp,21,336,274.77504839305766,271.0598799686413,272.7557322534267,female,42,31,Tuesday,b,275.45552110136487,image_stim_p.png,180,23,0.6804727083072066,275.4059302203823,pos,0.6954955528490245,7.3,0.6308818273246288,3,11,1,-1.4443598905895143,271.75537552149035
29,advantage,2019102204,faceWord_exp,21,336,284.7750929845497,281.05877544684336,282.7562102486845,female,42,31,Tuesday,b,285.45599107653834,image_stim_p.png,180,23,0.680898091988638,285.2398432432674,pos,0.69709218502976,6.71,0.46475025871768594,3,11,1,-1.2474567486001964,281.7558676318731
