offset_img,word_score_warriner,rt,onset_img,age,onset_word,duration_measured_img,correct_resp,scan day,pause_trigger_t,img,word_trigger,condition,word_label,duration_frames,key_t,ID,session,offset_word,delay_frames_before,img_trigger,duration_measured_word,gender,word_score_pc,word,no,delay_frames_after,response,pause_trigger
5.3708559579681605,3.52,0.49959386442787945,4.688460682169534,24,0.9805465571116656,0.6823952757986262,1,Monday,2.671126779052429,image_stim_n.png,12,faceWord_exp,neg,42,5.188054546597414,2019102102,4,1.6707248139427975,180,22,0.6901782568311319,female,2.0765857872261098,court,1,336,y,32
17.971606763312593,5.91,0.6360432133078575,17.285903375712223,24,10.97508971230127,0.6857033876003698,1,Monday,12.671529065002687,image_stim_n.png,13,faceWord_exp,neu,42,17.92194658902008,2019102102,4,11.671237455797382,336,22,0.6961477434961125,female,-0.9453395472380092,team,2,180,y,42
27.97199300909415,5.95,0.583886235835962,27.288545181509107,24,20.976404038723558,0.6834478275850415,1,Monday,22.672105225734413,image_stim_p.png,13,faceWord_exp,neu,42,27.87243141734507,2019102102,4,21.6716509697726,336,21,0.6952469310490415,female,0.1872293205875,elevator,3,180,b,41
35.372351537575014,5.3,0.6354978496674448,34.68732696736697,24,30.977642014273442,0.6850245702080429,1,Monday,32.67252804292366,image_stim_n.png,13,faceWord_exp,neu,42,35.322824817034416,2019102102,4,31.672188955009915,180,22,0.6945469407364726,female,0.18094025084207666,journalist,4,336,y,42
45.372770825983025,2.53,0.6361160355154425,44.686995257856324,24,40.97548333660234,0.6857755681267008,1,Monday,42.67304645921104,image_stim_n.png,12,faceWord_exp,neg,42,45.32311129337177,2019102102,4,41.67259990260936,180,22,0.6971165660070255,female,4.5355840269859025,torment,5,336,y,32
55.37319749291055,5.83,0.4527599571738392,54.687488972442225,24,50.97564983286429,0.6857085204683244,1,Monday,52.67367202346213,image_stim_p.png,13,faceWord_exp,neu,42,55.140248929616064,2019102102,4,51.67312024370767,180,21,0.6974704108433798,female,-0.5273916336755435,scientist,6,336,b,41
65.37371879641432,3.78,0.6195324886357412,64.68793039617594,24,60.97748193400912,0.6857884002383798,1,Monday,62.67391872033477,image_stim_n.png,12,faceWord_exp,neg,42,65.30746288481168,2019102102,4,61.673532795277424,180,22,0.6960508612683043,female,2.8496222967354625,empty,7,336,y,32
77.9742373409681,7.27,0.46883920312393457,77.28916593361646,24,70.97707836492918,0.6850714073516428,1,Monday,72.6745025801938,image_stim_p.png,11,faceWord_exp,pos,42,77.7580051367404,2019102102,4,71.67397229420021,336,21,0.6968939292710274,female,-2.066768843681998,honey,8,180,b,31
87.9747618525289,6.17,0.6692080614157021,87.28934943245258,24,80.97782904200722,0.6854124200763181,1,Monday,82.67492956784554,image_stim_p.png,11,faceWord_exp,pos,42,87.95855749386828,2019102102,4,81.6744820488384,336,21,0.696653006831184,female,-1.5082836116280287,kitchen,9,180,b,31
97.97517312085256,3.17,0.6190820824122056,97.28990474098828,24,90.97862398973666,0.6852683798642829,1,Monday,92.67517851036973,image_stim_n.png,12,faceWord_exp,neg,42,97.90898682340048,2019102102,4,91.67487278592307,336,22,0.6962487961864099,female,3.1835494020570807,explosion,10,180,y,32
107.97565336176194,5.79,0.5027204022044316,107.29004910204094,24,100.97929254139308,0.6856042597210035,1,Monday,102.67576044553425,image_stim_n.png,13,faceWord_exp,neu,42,107.79276950424537,2019102102,4,101.67537387891207,336,22,0.69608133751899,female,-0.4066038871991289,baseball,11,180,y,42
115.37601381505374,5.67,0.6689966527046636,114.69080157554708,24,110.9783622152172,0.6852122395066544,1,Monday,112.67626955849119,image_stim_n.png,13,faceWord_exp,neu,42,115.35979822825175,2019102102,4,111.6758566860808,180,22,0.697494470863603,female,-0.6996261236875504,bell,12,336,y,42
125.37653511855751,4.95,0.5860118709970266,124.69082339003216,24,120.97906316793524,0.685711728525348,1,Monday,122.67667954368517,image_stim_n.png,12,faceWord_exp,neg,42,125.27683526102919,2019102102,4,121.67622945818584,180,22,0.6971662902506068,female,0.19555716741692625,majority,13,336,y,32
137.9770007308107,6.15,0.58521339436993,137.29232358932495,24,130.97933328326326,0.6846771414857358,1,Monday,132.67716684215702,image_stim_p.png,11,faceWord_exp,pos,42,137.87753698369488,2019102102,4,131.67675012012478,336,21,0.697416836861521,female,-1.883093263099396,choir,14,180,b,31
147.97751433507074,5.1,0.6692484824452549,147.2919845014112,24,140.98003199044615,0.6855298336595297,1,Monday,142.6774623009842,image_stim_n.png,13,faceWord_exp,neu,42,147.96123298385646,2019102102,4,141.6771854487015,336,22,0.6971534582553431,female,0.12602488928311428,shoulder,15,180,y,42
155.37779875821434,5.67,0.6854284601286054,154.69293041864876,24,150.98020586522762,0.6848683395655826,1,Monday,152.6780618801713,image_stim_p.png,13,faceWord_exp,neu,42,155.37835887877736,2019102102,4,151.67765799025074,180,21,0.6974521250231192,female,0.4395766978022416,red,16,336,b,41
167.9783753680531,4.03,0.6362915141507983,167.29242432117462,24,160.98083912860602,0.685951046878472,1,Monday,162.67850330390502,image_stim_n.png,12,faceWord_exp,neg,42,167.92871583532542,2019102102,4,161.67809973482508,336,22,0.6972606062190607,female,1.95458394600482,snake,17,180,y,32
177.97888287703972,4.83,0.701973189949058,177.29408928437624,24,170.98164209641982,0.6847935926634818,1,Monday,172.67882474767976,image_stim_n.png,12,faceWord_exp,neg,42,177.9960624743253,2019102102,4,171.678599544568,336,22,0.6969574481481686,female,0.060511318752979076,pig,18,180,y,32
185.37925391679164,5.9,0.752721204305999,184.69370643910952,24,180.9816138658207,0.6855474776821211,1,Monday,182.67943747981917,image_stim_p.png,13,faceWord_exp,neu,42,185.44642764341552,2019102102,4,181.67906663252506,180,21,0.6974527667043731,female,-0.29144085929118746,hand,19,336,b,41
195.3796738468809,6.67,0.8521981042576954,194.69471343711484,24,190.98236229724716,0.6849604097660631,1,Monday,192.6799157958012,image_stim_p.png,11,faceWord_exp,pos,42,195.54691154137254,2019102102,4,191.6794849585276,180,21,0.6971226612804458,female,-2.8305869761860607,gratitude,20,336,b,31
205.3801149498904,5.89,0.5862906480906531,204.69424955709837,24,200.98190643743146,0.6858653927920386,1,Monday,202.68038865819108,image_stim_n.png,13,faceWord_exp,neu,42,205.28054020518903,2019102102,4,201.6799404976191,180,22,0.6980340601876378,female,0.4398740830446768,hall,21,336,y,42
215.38059198262636,5.89,0.7356943089980632,214.69547277572565,24,210.98299812711775,0.6851192069007084,1,Monday,212.68082334520295,image_stim_n.png,13,faceWord_exp,neu,42,215.4311670847237,2019102102,4,211.6803536907537,180,22,0.6973555636359379,female,0.29188517290671034,guard,22,336,y,42
225.38105233374517,2.62,0.5192811721935868,224.69550646003336,24,220.98349440807942,0.685545873711817,1,Monday,222.68124263361096,image_stim_n.png,12,faceWord_exp,neg,42,225.21478763222694,2019102102,4,221.68089103442617,180,22,0.6973966263467446,female,4.2176174504439885,insult,23,336,y,32
237.9815875600325,5.43,0.4521780221257359,237.29648952616844,24,230.98369875911158,0.6850980338640511,1,Monday,232.6816388242878,image_stim_p.png,13,faceWord_exp,neu,42,237.74866754829418,2019102102,4,231.6813311750302,336,21,0.6976324159186333,female,0.37753019343780747,door,24,180,b,41
245.38194159732666,7.75,0.6518257171846926,244.6972217891598,24,240.98432400252204,0.6847198081668466,1,Monday,242.6822117769625,image_stim_p.png,11,faceWord_exp,pos,42,245.3490475063445,2019102102,4,241.68183483439498,180,21,0.6975108318729326,female,-3.0311112754680245,peace,25,336,b,31
255.38241798849776,5.84,0.8195029105991125,254.69675181398634,24,250.9847086443333,0.6856661745114252,1,Monday,252.68263266934082,image_stim_p.png,13,faceWord_exp,neu,42,255.51625472458545,2019102102,4,251.68223487469368,180,21,0.6975262303603813,female,-0.9031069202434168,boy,26,336,b,41
