word_label,duration_measured_word,img,condition,pause_trigger,session,response,onset_word,word,correct_resp,word_score_pc,onset_img,pause_trigger_t,key_t,delay_frames_after,word_score_warriner,no,duration_measured_img,delay_frames_before,img_trigger,offset_img,word_trigger,ID,offset_word,age,gender,scan day,duration_frames,rt
neg,0.6925860999999713,image_stim_n.png,faceWord_exp,32,5,y,421.5265972000002,whine,1,3.0668244091236065,427.8536368,423.21976249999943,428.1975204999994,180,2.82,43,0.6762989999997444,336,22,428.52993579999975,12,gr1nr1,422.21918330000017,24,female,Monday,42,0.3438836999994237
neg,0.6945955999999569,image_stim_n.png,faceWord_exp,32,5,y,431.5328920999996,mob,1,2.490397821352158,437.8495406999996,433.22775200000024,438.19245679999995,180,3.7,44,0.6903091000003769,336,22,438.53984979999996,12,gr1nr1,432.22748769999953,24,female,Monday,42,0.342916100000366
neu,0.6937531000003219,image_stim_p.png,faceWord_exp,41,5,b,441.5422616999999,arm,1,-0.2527650722021685,447.8513121000001,443.23491520000016,448.3816075,180,5.44,45,0.6793297999993229,336,21,448.5306418999994,13,gr1nr1,442.23601480000025,24,female,Monday,42,0.5302953999998863
pos,0.6944573000000673,image_stim_p.png,faceWord_exp,31,5,b,451.5331420999996,wit,1,-1.2397352233188434,455.2689137000002,453.22977299999957,455.9097273000002,336,7.25,46,0.6895687999995062,180,21,455.9584824999997,11,gr1nr1,452.2275993999997,24,female,Monday,42,0.6408136000000013
neu,0.691620900000089,image_stim_p.png,faceWord_exp,41,5,b,461.56108019999965,apricot,1,-1.2450836009557775,465.2884035000002,463.2528748999998,467.0505398999999,336,5.95,47,0.6780819999994492,180,21,465.96648549999964,13,gr1nr1,462.25270109999974,24,female,Monday,42,1.7621363999996902
pos,0.6925382999997964,image_stim_p.png,faceWord_exp,31,5,b,471.56849639999973,theater,1,-1.8816288507581482,475.27891950000003,473.26099939999995,475.60977330000014,336,6.14,48,0.6792760999996972,180,21,475.9581955999997,11,gr1nr1,472.2610346999995,24,female,Monday,42,0.33085380000011355
pos,0.6811876000001575,image_stim_p.png,faceWord_exp,31,5,b,481.5720728000001,television,1,-1.295378487470534,485.2926324999994,483.2537830999995,485.70011079999995,336,7.18,49,0.6730987000000823,180,21,485.9657311999995,11,gr1nr1,482.2532604000003,24,female,Monday,42,0.4074783000005482
neg,0.6904628000002049,image_stim_n.png,faceWord_exp,32,5,y,491.57037699999955,dictation,1,0.7498341013103271,497.90325280000025,493.26144350000004,498.4572293999995,180,4.26,50,0.6861088999994536,336,22,498.5893616999997,12,gr1nr1,492.26083979999976,24,female,Monday,42,0.5539765999992596
neg,0.6923907999998846,image_stim_n.png,faceWord_exp,32,5,,501.5941292000002,grief,,4.735833249102137,507.90394830000014,503.28529169999956,,180,2.33,51,0.6772817999999461,336,22,508.5812301000001,12,gr1nr1,502.2865200000001,24,female,Monday,42,
pos,0.6918703000001187,image_stim_p.png,faceWord_exp,31,5,b,511.58683340000016,tea,1,-1.410303556989907,517.9088059000001,513.2777308,518.5397117999996,180,6.56,52,0.6801989999994476,336,21,518.5890048999995,11,gr1nr1,512.2787037000003,24,female,Monday,42,0.6309058999995614
neu,0.6943592999996326,image_stim_n.png,faceWord_exp,42,5,b,521.591817,rum,0,-1.1343736111597311,527.9218219999998,523.2861625999999,528.3324992000003,180,5.57,53,0.676271799999995,336,22,528.5980937999998,13,gr1nr1,522.2861762999996,24,female,Monday,42,0.4106772000004639
neu,0.6939709999996921,image_stim_n.png,faceWord_exp,42,5,y,531.6015733999998,dime,1,-0.8220066925000616,537.9233480999997,533.2949598,538.6069026999999,180,5.58,54,0.682588300000134,336,22,538.6059363999998,13,gr1nr1,532.2955443999995,24,female,Monday,42,0.6835546000002068
neu,0.6893210000007457,image_stim_n.png,faceWord_exp,42,5,y,541.6136495999995,umbrella,1,0.002541127499528235,545.3257656000001,543.3028263000001,546.0513986000001,336,5.84,55,0.6743596999995134,180,22,546.0001252999996,13,gr1nr1,542.3029706000002,24,female,Monday,42,0.7256330000000162
neu,0.6779968999999255,image_stim_n.png,faceWord_exp,42,5,y,551.6165864999998,stapler,1,0.19443075193465506,555.3242330999997,553.2954066999996,556.1588686999999,336,5.25,56,0.6839435000001686,180,22,556.0081765999998,13,gr1nr1,552.2945833999997,24,female,Monday,42,0.8346356000001833
pos,0.6954597999992984,image_stim_p.png,faceWord_exp,31,5,b,561.6075359000001,peaceful,1,-2.641671297166366,565.3368177999996,563.3025393000003,565.9347889999995,336,8.0,57,0.6805967999998757,180,21,566.0174145999995,11,gr1nr1,562.3029956999994,24,female,Monday,42,0.5979711999998472
neg,0.6954310000000987,image_stim_n.png,faceWord_exp,32,5,y,571.6163112999998,dead,1,4.0294120701769724,575.3943643999996,573.3119427999995,575.6759092999996,336,2.02,58,0.6816403000002538,180,22,576.0760046999999,12,gr1nr1,572.3117422999999,24,female,Monday,42,0.2815448999999717
pos,0.6926846999995178,image_stim_p.png,faceWord_exp,31,5,b,581.6779406999999,drum,1,-1.4373817092238501,585.3938377,583.3706173999994,585.8009073999997,336,6.05,59,0.6903019000001223,180,21,586.0841396000001,11,gr1nr1,582.3706253999994,24,female,Monday,42,0.4070696999997381
pos,0.6885253000000375,image_stim_p.png,faceWord_exp,31,5,b,591.6897775000002,intellect,1,-2.249771083793789,595.4081579999997,593.3796016000001,596.5922637999997,336,6.62,60,0.6837050000003728,180,21,596.0918630000001,11,gr1nr1,592.3783028000003,24,female,Monday,42,1.1841057999999975
