pause_trigger_t,word_trigger,no,delay_frames_after,word_label,age,duration_measured_img,onset_word,session,pause_trigger,delay_frames_before,offset_word,gender,condition,key_t,duration_measured_word,word_score_pc,response,word_score_warriner,scan day,duration_frames,rt,ID,offset_img,onset_img,img_trigger,img,word,correct_resp
2.6823834059759974,13,1,180,neu,23,0.6815159569960088,0.9937000870704651,3,42,336,1.682049771770835,female,faceWord_exp,7.799616705393419,0.6883496847003698,-0.1793860699809707,y,5.34,Wednesday,42,0.4988120694179088,2019102308,7.982320592971519,7.30080463597551,22,image_stim_n.png,patent,1
12.682881611632183,11,2,336,pos,23,0.6848410714883357,10.986871492350474,3,31,180,11.682521350914612,female,faceWord_exp,15.383308214368299,0.6956498585641384,-1.2126784285084091,b,6.75,Wednesday,42,0.6854461042676121,2019102308,15.382703181589022,14.697862110100687,21,image_stim_p.png,agreement,1
22.683358002919704,12,3,180,neg,23,0.6839646399021149,20.987349808448926,3,32,336,21.682997421361506,female,faceWord_exp,27.883755733491853,0.6956476129125804,1.8802224749820768,y,3.95,Wednesday,42,0.584426787449047,2019102308,27.98329358594492,27.299328946042806,22,image_stim_n.png,dusty,1
32.68381835403852,13,4,336,neu,23,0.6851150363218039,30.987306820927188,3,42,180,31.6834500732366,female,faceWord_exp,35.317316964734346,0.6961432523094118,0.13339963708933658,y,5.65,Wednesday,42,0.6187526185531169,2019102308,35.38367938250303,34.69856434618123,22,image_stim_n.png,pencil,1
42.68430918129161,11,5,180,pos,23,0.6858714879490435,40.98775369836949,3,31,336,41.68392646429129,female,faceWord_exp,47.81789505016059,0.6961727659218013,-2.0727743906520253,y,6.26,Wednesday,42,0.5195564203895628,2019102308,47.98421011772007,47.298338629771024,21,image_stim_p.png,fountain,0
52.68470858014189,12,6,336,neg,23,0.6852622844744474,50.987014890881255,3,32,180,51.684452259214595,female,faceWord_exp,55.3682263426017,0.6974373683333397,3.583082910341294,y,3.47,Wednesday,42,0.668951419647783,2019102308,55.384537207428366,54.69927492295392,22,image_stim_n.png,cyclone,1
62.68527864548378,11,7,180,pos,23,0.6848680186085403,60.988491863943636,3,31,336,61.68492191354744,female,faceWord_exp,67.9689444261603,0.696430049603805,-1.9950971558262764,b,7.0,Wednesday,42,0.6686873994767666,2019102308,67.98512504529208,67.30025702668354,21,image_stim_p.png,park,1
72.68574124225415,11,8,180,pos,23,0.6853408811148256,70.98841519234702,3,31,336,71.68538322695531,female,faceWord_exp,77.95263099460863,0.6969680346082896,-1.0841943171680315,b,6.75,Wednesday,42,0.6524288251530379,2019102308,77.98554305057041,77.30020216945559,21,image_stim_p.png,bird,1
82.68614641530439,11,9,336,pos,23,0.68535371334292,80.98856083652936,3,31,180,81.68573707179166,female,faceWord_exp,85.33632192621008,0.6971762352623045,-2.484088237918995,b,7.23,Wednesday,42,0.6357509626541287,2019102308,85.38592467689887,84.70057096355595,21,image_stim_p.png,butterfly,1
92.68657436547801,12,10,180,neg,23,0.6854400089941919,90.98858072631992,3,32,336,91.68620191398077,female,faceWord_exp,98.08714462327771,0.6976211876608431,0.41231466195915456,y,4.68,Wednesday,42,0.7861054809764028,2019102308,97.9864791512955,97.3010391423013,22,image_stim_n.png,foot,1
