img_trigger,key_t,word_score_warriner,delay_frames_before,onset_word,offset_word,no,img,session,ID,correct_resp,rt,word_label,word_score_pc,onset_img,offset_img,duration_measured_word,duration_measured_img,word_trigger,gender,delay_frames_after,age,scan day,duration_frames,condition,response,pause_trigger_t,word,pause_trigger
22,258.2537817340053,5.84,336,251.5697891710006,252.2594262929997,26,image_stim_n.png,5,60,0,0.3478755940013798,neu,0.002541127499528235,257.90590614000394,258.58626991200435,0.6896371219991124,0.680363772000419,13,male,180,25,Monday,42,faceWord_exp,b,253.2761365500046,umbrella,42
22,268.2277299100024,3.5,336,261.59277755900257,262.28285119499924,27,image_stim_n.png,5,60,1,0.29759350899985293,neg,2.424733943851676,267.9301364010025,268.60989703700034,0.6900736359966686,0.679760635997809,12,male,180,25,Monday,42,faceWord_exp,y,263.2992543510045,screech,32
21,275.7871185690019,7.25,180,271.6168485080052,272.306297879004,28,image_stim_p.png,5,60,1,0.44299178200162714,pos,-2.547338598571031,275.3441267870003,276.019179242001,0.6894493709987728,0.6750524550006958,11,male,336,25,Monday,42,faceWord_exp,b,273.32275073400524,tulip,31
21,288.44120643500355,7.0,336,281.6388698610026,282.3294896689986,29,image_stim_p.png,5,60,1,0.4662442970002303,pos,-1.2320142343270626,287.9749621380033,288.65667192100227,0.6906198079959722,0.6817097829989507,11,male,180,25,Monday,42,faceWord_exp,b,283.34649942000397,water,31
21,298.2808375270033,6.85,336,291.65644196400535,292.35291630199936,30,image_stim_p.png,5,60,1,0.28134116400178755,pos,-2.1428059827362134,297.9994963630015,298.67986717299937,0.6964743379940046,0.6803708099978394,11,male,180,25,Monday,42,faceWord_exp,b,293.3695805239986,awe,31
21,308.521107585002,5.61,336,301.68406537000556,302.376065647004,31,image_stim_p.png,5,60,1,0.49564767900301376,neu,0.08756588783899029,308.025459905999,308.7030283330023,0.6920002769984421,0.6775684270032798,13,male,180,25,Monday,42,faceWord_exp,b,303.39250940300553,mushroom,41
22,315.8462943160048,4.5,180,311.7093844980045,312.3993333860053,32,image_stim_n.png,5,60,0,0.4125812690035673,neg,0.5712560851538326,315.4337130470012,316.1120301300034,0.6899488880007993,0.6783170830021845,12,male,336,25,Monday,42,faceWord_exp,b,313.4157602320047,election,32
21,326.0534681220015,5.38,180,321.7298352180005,322.42254620099993,33,image_stim_p.png,5,60,1,0.595785049998085,neu,0.07992973296861662,325.4576830720034,326.1355447620008,0.6927109829994151,0.6778616899973713,13,male,336,25,Monday,42,faceWord_exp,b,323.43903631200374,clue,41
21,335.85983283600217,7.64,180,331.7558272000024,332.4458438520014,34,image_stim_p.png,5,60,1,0.38122594200103777,pos,-2.625984580876632,335.47860689400113,336.15837963300146,0.6900166519990307,0.6797727390003274,11,male,336,25,Monday,42,faceWord_exp,b,333.4626545350038,spring,31
22,345.80017268600204,4.65,180,341.77787883000565,342.46919731199887,35,image_stim_n.png,5,60,1,0.2945712009968702,neg,1.399169263323496,345.5056014850052,346.182047979004,0.6913184819932212,0.6764464939988102,12,male,336,25,Monday,42,faceWord_exp,y,343.48557997800526,army,32
22,358.60400861900416,5.64,336,351.8052225880019,352.4923767720029,36,image_stim_n.png,5,60,0,0.4590594740002416,neu,0.4587040848007746,358.1449491450039,358.8193350790025,0.687154184000974,0.6743859339985647,13,male,180,25,Monday,42,faceWord_exp,b,353.5088520499994,company,42
22,368.6271752380053,5.25,336,361.8257548600013,362.5157159549999,37,image_stim_n.png,5,60,1,0.4643045320044621,neu,0.19443075193465506,368.16287070600083,368.8427240040037,0.6899610949985799,0.679853298002854,13,male,180,25,Monday,42,faceWord_exp,y,363.53217080800096,stapler,42
22,376.03670195700397,4.89,180,371.8488788270042,372.53903156800516,38,image_stim_n.png,5,60,1,0.4624500909994822,neg,0.8708146708303101,375.5742518660045,376.2520410340003,0.6901527410009294,0.6777891679957975,12,male,336,25,Monday,42,faceWord_exp,y,373.55566977499984,banker,32
22,385.9268179100036,2.58,180,381.87310101299954,382.5623705170001,39,image_stim_n.png,5,60,1,0.3291839989979053,neg,3.693241029119933,385.5976339110057,386.2753896870054,0.6892695040005492,0.6777557759996853,12,male,336,25,Monday,42,faceWord_exp,y,383.5787161469998,jealousy,32
21,398.64740039200115,5.57,336,391.8938279990034,392.5853765990032,40,image_stim_p.png,5,60,1,0.426168592995964,neu,-1.1343736111597311,398.2212317990052,398.9126735919999,0.6915485999998054,0.6914417929947376,13,male,180,25,Monday,42,faceWord_exp,b,393.6013066470041,rum,41
22,406.0066429889994,3.0,180,401.91825453800266,402.6089413160007,41,image_stim_n.png,5,60,1,0.36132405999524053,neg,4.006417686109669,405.64531892900413,406.32198352600244,0.690686777998053,0.6766645969983074,12,male,336,25,Monday,42,faceWord_exp,y,403.62569280200114,dread,32
22,412.46713364300376,2.02,336,411.941226035,412.6322305030044,42,image_stim_n.png,5,60,1,-5.795476620995032,neg,4.0294120701769724,418.2626102639988,418.9592633120046,0.6910044680043939,0.6966530480058282,12,male,180,25,Monday,42,faceWord_exp,y,413.6486563600047,dead,32
21,428.73294923100184,6.65,336,421.9691443699994,422.6554317600021,43,image_stim_p.png,5,60,1,0.4432314299992868,pos,-1.2194148821621404,428.28971780100255,428.9824393540039,0.6862873900026898,0.69272155300132,11,male,180,25,Monday,42,faceWord_exp,b,423.67199752500164,penguin,31
22,438.5897862540005,2.9,336,431.9883043450027,432.67852508200303,44,image_stim_n.png,5,60,1,0.2799977839968051,neg,3.659937177091274,438.3097884700037,439.0052568040046,0.6902207370003453,0.6954683340009069,12,male,180,25,Monday,42,faceWord_exp,y,433.6953254540058,curse,32
21,446.1323044259989,7.16,180,442.0099982450047,442.7016872400054,45,image_stim_p.png,5,60,1,0.3949773249987629,pos,-1.962809513975644,445.7373271010001,446.4147588340056,0.6916889950007317,0.6774317330055055,11,male,336,25,Monday,42,faceWord_exp,b,443.718293058002,bed,31
22,458.91977003600186,5.43,336,452.03509986200515,452.72506529300153,46,image_stim_n.png,5,60,1,0.5643566739963717,neu,0.14106522732466809,458.3554133620055,459.0519407440006,0.6899654309963807,0.6965273819951108,13,male,180,25,Monday,42,faceWord_exp,y,453.741706230001,editor,42
22,466.26255256900185,3.71,180,462.0590162860026,462.74824673699914,47,image_stim_n.png,5,60,1,0.4809811480008648,neg,2.2468136409924253,465.781571421001,466.46123532600177,0.689230450996547,0.6796639050007798,12,male,336,25,Monday,42,faceWord_exp,y,463.7646303030051,ambulance,32
22,478.6839941260041,2.33,336,472.08098116399924,472.77155896300246,48,image_stim_n.png,5,60,1,0.282169737998629,neg,4.735833249102137,478.4018243880055,479.0983515449989,0.690577799003222,0.6965271569933975,12,male,180,25,Monday,42,faceWord_exp,y,473.7880230600058,grief,32
21,488.8731705770042,6.14,336,482.1047086450053,482.79480409800453,49,image_stim_p.png,5,60,1,0.4447075380012393,pos,-1.8816288507581482,488.42846303900296,489.1217297500043,0.6900954529992305,0.6932667110013426,11,male,180,25,Monday,42,faceWord_exp,b,483.8112346410053,theater,31
21,498.76318125200487,6.56,336,492.12628295800096,492.81803161100106,50,image_stim_p.png,5,60,1,0.31105612300598295,pos,-1.410303556989907,498.4521251289989,499.144968351,0.6917486530001042,0.6928432220011018,11,male,180,25,Monday,42,faceWord_exp,b,493.83468724300474,tea,31
21,506.172172892002,6.62,180,502.1544638080013,502.8413179269992,51,image_stim_p.png,5,60,1,0.29535008600214496,pos,-2.249771083793789,505.87682280599984,506.5541688279991,0.6868541189978714,0.6773460219992558,11,male,336,25,Monday,42,faceWord_exp,b,503.8569375290026,intellect,31
22,516.3621864910019,3.81,180,512.1729116909992,512.864565377,52,image_stim_n.png,5,60,1,0.4624043320000055,neg,2.1399531488678094,515.8997821590019,516.5774717820022,0.6916536860007909,0.6776896230003331,12,male,336,25,Monday,42,faceWord_exp,y,513.8803209550024,vice,32
22,528.9824921239997,5.79,336,522.1974573490006,522.8877744089987,53,image_stim_n.png,5,60,1,0.4642435409987229,neu,-0.32385553549685003,528.518248583001,529.2147586900028,0.6903170599980513,0.6965101070018136,13,male,180,25,Monday,42,faceWord_exp,y,523.8869142280018,carrot,42
21,538.9060039370015,7.51,336,532.2195186030003,532.910977006999,54,image_stim_p.png,5,60,1,0.3636244209992583,pos,-1.6872526925643307,538.5423795160023,539.2379551230042,0.6914584039986948,0.6955756070019561,11,male,180,25,Monday,42,faceWord_exp,b,533.9104968989996,cash,31
21,546.2815390520045,5.95,180,542.2425379220003,542.9343367879992,55,image_stim_p.png,5,60,1,0.3120395820005797,neu,-1.2450836009557775,545.9694994700039,546.6473597479999,0.6917988659988623,0.6778602779959328,13,male,336,25,Monday,42,faceWord_exp,b,543.9343827030025,apricot,41
22,556.3717904090008,5.79,180,552.2679818629986,552.9575176600047,56,image_stim_n.png,5,60,0,0.3807958109973697,neu,-0.41434578466507305,555.9909945980035,556.6706664619996,0.6895357970061013,0.679671863996191,13,male,336,25,Monday,42,faceWord_exp,b,553.9575353990003,engineer,42
22,569.0083487330048,4.81,336,562.289376875,562.9810199800049,57,image_stim_n.png,5,60,1,0.39808489700226346,neg,0.1828236131989572,568.6102638360026,569.3078286430027,0.6916431050049141,0.6975648070001625,12,male,180,25,Monday,42,faceWord_exp,y,563.9807642209998,cab,32
22,578.9492591650051,5.28,336,572.3175954559993,573.0042703430008,58,image_stim_n.png,5,60,1,0.31190675800462486,neu,-0.7502239645266248,578.6373524070004,579.331211485005,0.6866748870015726,0.693859078004607,13,male,180,25,Monday,42,faceWord_exp,y,574.0042206990038,ticket,42
22,589.1047139350048,5.59,336,582.337396158,583.027547042002,59,image_stim_n.png,5,60,1,0.44497917600529036,neu,0.2374341841762725,588.6597347589995,589.3544917250038,0.6901508840019233,0.6947569660042063,13,male,180,25,Monday,42,faceWord_exp,y,584.0273243340052,number,42
21,599.0626096420019,5.95,336,592.3565710949988,593.0506886500007,60,image_stim_p.png,5,60,1,0.3832531529988046,neu,-0.4963231956276321,598.6793564890031,599.377799545,0.694117555001867,0.6984430559969041,13,male,180,25,Monday,42,faceWord_exp,b,594.050560912001,hairbrush,41
