word,key_t,word_score_pc,onset_word,condition,onset_img,no,img,scan day,correct_resp,response,word_trigger,duration_frames,duration_measured_word,rt,age,delay_frames_before,offset_img,img_trigger,ID,gender,word_score_warriner,pause_trigger_t,session,offset_word,delay_frames_after,pause_trigger,duration_measured_img,word_label
tea,105.26215792063158,-1.410303556989907,100.98053597053513,faceWord_exp,104.6928037017351,11,image_stim_p.png,Monday,1,b,11,42,0.6975996941328049,0.5693542188964784,25,180,105.37832808180247,21,2019102101,male,6.56,102.67847282765433,5,101.67813566466793,336,31,0.6855243800673634,pos
engineer,117.91257114592008,-0.41434578466507305,110.9823042320786,faceWord_exp,117.29295717354398,12,image_stim_p.png,Monday,1,b,13,42,0.6963456784142181,0.6196139723761007,25,336,117.978892821935,21,2019102101,male,5.79,112.67897969507612,5,111.67864991049282,180,41,0.6859356483910233,neu
peaceful,125.34632806631271,-2.641671297166366,120.98178613651544,faceWord_exp,124.6936756420182,13,image_stim_p.png,Monday,1,b,11,42,0.6973212378798053,0.6526524242945015,25,180,125.37928503460716,21,2019102101,male,8.0,122.67950324423146,5,121.67910737439524,336,31,0.6856093925889581,pos
whine,137.76365831226576,3.0668244091236065,130.9819847131148,faceWord_exp,137.29432250745595,14,image_stim_n.png,Monday,1,y,12,42,0.6975788419367746,0.4693358048098162,25,336,137.97983758419286,22,2019102101,male,2.82,132.67995044239797,5,131.67956355505157,180,32,0.6855150767369196,neg
theater,147.9640647044871,-1.8816288507581482,140.9826237510424,faceWord_exp,147.29553385649342,15,image_stim_p.png,Monday,1,b,11,42,0.6973847566405311,0.6685308479936793,25,336,147.98029633134138,21,2019102101,male,6.14,142.68047078349628,5,141.68000850768294,180,31,0.6847624748479575,pos
bed,157.76444010715932,-1.962809513975644,150.98262727982365,faceWord_exp,157.29660309001338,16,image_stim_p.png,Monday,1,b,11,42,0.6978444660780951,0.46783701714593917,25,336,157.9807743265992,21,2019102101,male,7.16,152.68082077871077,5,151.68047174590174,180,31,0.6841712365858257,pos
awe,167.88159545173403,-2.1428059827362134,160.9831277312478,faceWord_exp,167.29598009225447,17,image_stim_p.png,Monday,1,b,11,42,0.697806290583685,0.5856153594795614,25,336,167.98119682294782,21,2019102101,male,6.85,162.68128305464052,5,161.6809340218315,180,31,0.6852167306933552,pos
ambulance,175.28203418082558,2.2468136409924253,170.98407923034392,faceWord_exp,174.69666166848037,18,image_stim_n.png,Monday,1,y,12,42,0.6972933281213045,0.5853725123452023,25,180,175.3815803740872,22,2019102101,male,3.71,172.68177420273423,5,171.68137255846523,336,32,0.6849187056068331,neg
television,185.56584592640866,-1.295378487470534,180.9862664595712,faceWord_exp,184.6968041047221,19,image_stim_p.png,Monday,1,b,11,42,0.6955972469877452,0.869041821686551,25,180,185.38201153220143,21,2019102101,male,7.18,182.68222332571167,5,181.68186370655894,336,31,0.6852074274793267,pos
curse,197.84962238371372,3.659937177091274,190.98482284985948,faceWord_exp,197.29773776733782,20,image_stim_n.png,Monday,1,y,12,42,0.6974749020300806,0.5518846163759008,25,336,197.98259680357296,22,2019102101,male,2.9,192.68280461931136,5,191.68229775188956,180,32,0.6848590362351388,neg
