delay_frames_after,onset_word,duration_frames,offset_img,key_t,rt,no,onset_img,ID,age,word_label,word,img,condition,session,pause_trigger_t,correct_resp,gender,pause_trigger,delay_frames_before,img_trigger,response,scan day,word_trigger,offset_word,duration_measured_word,word_score_pc,word_score_warriner,duration_measured_img
180,0.9907689178362489,42,7.980100000509992,8.347189099527895,1.037396549480036,1,7.3097925500478595,2019102204,23,pos,tangerine,image_stim_p.png,faceWord_exp,5,2.680140678305179,1,female,31,336,21,b,Tuesday,11,1.6797804173547775,0.6890114995185286,-1.178487968131687,6.81,0.6703074504621327
180,10.98548530624248,42,17.98055233154446,17.830985703272745,0.5264940881170332,2,17.30449161515571,2019102204,23,neg,jealousy,image_stim_n.png,faceWord_exp,5,12.680667114444077,1,female,32,336,22,y,Tuesday,12,11.680290813557804,0.6948055073153228,3.693241029119933,2.58,0.6760607163887471
336,20.98396438336931,42,25.380895782262087,25.44805571436882,0.7472964397165924,3,24.700759274652228,2019102204,23,neg,election,image_stim_n.png,faceWord_exp,5,22.68112810724415,1,female,32,180,22,y,Tuesday,12,21.68075533513911,0.696790951769799,0.5712560851538326,4.5,0.6801365076098591
336,30.983728914521635,42,35.38134747184813,35.06495666294359,0.3615822091232985,4,34.70337445382029,2019102204,23,neg,curse,image_stim_n.png,faceWord_exp,5,32.68160738563165,1,female,32,180,22,y,Tuesday,12,31.681154092308134,0.6974251777864993,3.659937177091274,2.9,0.677973018027842
180,40.985674258787185,42,47.981867941096425,48.08248433051631,0.7758340374566615,5,47.30665029305965,2019102204,23,neg,whine,image_stim_n.png,faceWord_exp,5,42.68203629809432,1,female,32,336,22,y,Tuesday,12,41.68161027296446,0.6959360141772777,3.0668244091236065,2.82,0.675217648036778
180,50.98580001317896,42,57.98248099419288,57.882975863525644,0.5752367679961026,6,57.30773909552954,2019102204,23,pos,friendly,image_stim_p.png,faceWord_exp,5,52.68250114051625,1,female,31,336,21,b,Tuesday,11,51.682107836939394,0.696307823760435,-2.9544920916265727,7.84,0.674741898663342
180,60.98589272517711,42,67.98286435264163,68.13337189378217,0.8332104661967605,7,67.30016142758541,2019102204,23,neu,ticket,image_stim_p.png,faceWord_exp,5,62.68293518573046,1,female,41,336,21,b,Tuesday,13,61.68255856400356,0.6966658388264477,-0.7502239645266248,5.28,0.6827029250562191
180,70.98698216909543,42,77.98333785659634,78.15053545101546,0.8431226112879813,8,77.30741283972748,2019102204,23,neu,number,image_stim_n.png,faceWord_exp,5,72.68340836907737,1,female,42,336,22,y,Tuesday,13,71.68303623842075,0.6960540693253279,0.2374341841762725,5.59,0.6759250168688595
180,80.98678487585858,42,87.98376708989963,87.88416315242648,0.5823319496121258,9,87.30183120281436,2019102204,23,neu,stapler,image_stim_n.png,faceWord_exp,5,82.68396977265365,1,female,42,336,22,y,Tuesday,13,81.68349241907708,0.6967075432185084,0.19443075193465506,5.25,0.6819358870852739
180,90.98644257988781,42,97.98425246356055,97.96800158871338,0.6640996078494936,10,97.30390198086388,2019102204,23,neg,mob,image_stim_n.png,faceWord_exp,5,92.68438874045387,1,female,32,336,22,y,Tuesday,12,91.68387545691803,0.6974328770302236,2.490397821352158,3.7,0.6803504826966673
