duration_measured_img,correct_resp,pause_trigger_t,word_score_pc,word,age,key_t,word_trigger,word_label,session,scan day,offset_word,img,no,offset_img,gender,img_trigger,duration_measured_word,delay_frames_after,pause_trigger,duration_frames,condition,rt,word_score_warriner,ID,onset_img,delay_frames_before,response,onset_word
0.8767382299993187,1,2.9507402759918477,-1.3206920491180312,harmonica,23,6.085727735000546,11,pos,4,Monday,1.733569529998931,image_stim_p.png,1,6.400220580995665,female,21,0.717748658003984,336,31,42,faceWord_exp,0.5622453840041999,6.32,K,5.523482350996346,180,b,1.015820871994947
0.7059870140074054,1,13.783953695994569,-2.547043884761341,circus,23,15.438113875992713,13,neu,4,Monday,12.78347520600073,image_stim_p.png,2,19.11671676900005,female,21,0.6937586679996457,180,41,42,faceWord_exp,-2.9726158789999317,5.85,K,18.410729754992644,336,b,12.089716538001085
0.6904162419959903,1,23.817084335998516,-2.30162279277581,heroism,23,26.301898482997785,11,pos,4,Monday,22.81661872800032,image_stim_p.png,3,26.53329696498986,female,21,0.6955153610033449,336,31,42,faceWord_exp,0.4590177600039169,7.05,K,25.84288072299387,180,b,22.121103366996977
0.7042460080119781,0,33.83368549999432,2.7422742606943906,fallacy,23,36.3186581619957,12,neg,4,Monday,32.83315386399045,image_stim_n.png,4,36.56646089100104,female,22,0.693587903995649,336,32,42,faceWord_exp,0.45644327900663484,4.0,K,35.862214882989065,180,b,32.1395659599948
0.6908624639909249,1,43.86683837599412,-0.05436507667908295,mouth,23,46.218517278990475,13,neu,4,Monday,42.866369686002145,image_stim_p.png,5,46.583019582991255,female,21,0.6945532970130444,336,41,42,faceWord_exp,0.3263601599901449,5.59,K,45.89215711900033,180,b,42.1718163889891
0.6889590420032619,1,53.883404405001784,-2.303583541830637,wonder,23,56.168433888989966,11,pos,4,Monday,52.8829079339921,image_stim_p.png,6,56.59957480800222,female,21,0.692753837996861,336,31,42,faceWord_exp,0.2578181229910115,6.68,K,55.910615765998955,180,b,52.19015409599524
0.6909784290037351,1,63.89989660399442,2.8314410724962364,denial,23,66.4346915849892,12,neg,4,Monday,62.89945934899151,image_stim_n.png,7,66.61604646299384,female,22,0.6956573630013736,336,32,42,faceWord_exp,0.5096235509990947,3.57,K,65.9250680339901,180,y,62.20380198599014
0.6908304940006929,0,73.9164163999958,-0.6996261236875504,bell,23,79.28490056999726,13,neu,4,Monday,72.91601194899704,image_stim_n.png,8,79.23257793199446,female,22,0.6946150099975057,180,42,42,faceWord_exp,0.7431531320034992,5.67,K,78.54174743799376,336,b,72.22139693899953
0.690932828001678,1,83.93297996399633,3.9974740190684885,accident,23,86.23467314399022,12,neg,4,Monday,82.93248554899765,image_stim_n.png,9,86.64909056399483,female,22,0.6954199460014934,336,32,42,faceWord_exp,0.2765154079970671,2.55,K,85.95815773599315,180,y,82.23706560299615
0.6908149439987028,1,93.94951979500183,1.95458394600482,snake,23,99.05138524599897,12,neg,4,Monday,92.94904843099357,image_stim_n.png,10,99.26565384099376,female,22,0.6945559180021519,180,32,42,faceWord_exp,0.476546349003911,4.03,K,98.57483889699506,336,y,92.25449251299142
0.6908983809989877,1,103.96604994099471,0.29188517290671034,guard,23,108.96748043799016,13,neu,4,Monday,102.96555360600178,image_stim_n.png,11,109.2821422489942,female,22,0.6944986150047043,180,42,42,faceWord_exp,0.37623656999494415,5.89,K,108.59124386799522,336,y,102.27105499099707
0.7054471890005516,1,113.9825776029902,0.18094025084207666,journalist,23,119.03432338598941,13,neu,4,Monday,112.98209552498884,image_stim_n.png,12,119.31535217798955,female,22,0.6915434529946651,180,42,42,faceWord_exp,0.42441839700040873,5.3,K,118.609904988989,336,y,112.29055207199417
0.691017582998029,1,124.01572580699576,2.0765857872261098,court,23,129.2840612969885,12,neg,4,Monday,123.01529106899397,image_stim_n.png,13,129.33188198599964,female,22,0.6957613269914873,180,32,42,faceWord_exp,0.6431968939868966,3.52,K,128.64086440300161,336,y,122.31952974200249
0.6910764079948422,1,134.03229780199763,3.1835494020570807,explosion,23,139.23367503700138,12,neg,4,Monday,133.03185916499933,image_stim_n.png,14,139.34840048699698,female,22,0.6934789990045829,180,32,42,faceWord_exp,0.5763509579992387,3.17,K,138.65732407900214,336,y,132.33838016599475
0.6910864200035576,1,144.0488258330006,0.12602488928311428,shoulder,23,146.60049349800101,13,neu,4,Monday,143.04833649699867,image_stim_n.png,15,146.7649673949927,female,22,0.6953821060014889,336,42,42,faceWord_exp,0.5266125230118632,5.1,K,146.07388097498915,180,y,142.35295439099718
0.690758555996581,1,154.34868840700074,-1.17416436554964,bay,23,156.93368207399908,11,pos,4,Monday,153.28158626100048,image_stim_p.png,16,157.11480467999354,female,21,0.7459719340113224,336,31,42,faceWord_exp,0.5096359500021208,7.23,K,156.42404612399696,180,b,152.53561432698916
0.6909635680058273,1,164.41518676599662,4.5355840269859025,torment,23,166.96666876599193,12,neg,4,Monday,163.4147474049969,image_stim_n.png,17,167.1314047939959,female,22,0.6955696280056145,336,32,42,faceWord_exp,0.5262275400018552,2.53,K,166.44044122599007,180,y,162.71917777699127
0.6889012120082043,1,174.43172661299468,0.37753019343780747,door,23,176.96649984898977,13,neu,4,Monday,173.43127601299784,image_stim_p.png,18,177.14795453799888,female,21,0.6941824240057031,336,41,42,faceWord_exp,0.5074465229990892,5.43,K,176.45905332599068,180,b,172.73709358899214
