duration_measured_img,duration_frames,age,condition,scan day,offset_img,key_t,ID,session,word_score_warriner,img,delay_frames_before,correct_resp,no,word,onset_word,word_score_pc,onset_img,pause_trigger_t,duration_measured_word,img_trigger,offset_word,delay_frames_after,response,pause_trigger,rt,gender,word_label,word_trigger
0.6823574211448431,42,25,faceWord_exp,Wednesday,5.37674203584902,5.2438410797622055,2019102307,4,6.15,image_stim_p.png,180,1,1,choir,0.9865991312544793,-1.883093263099396,4.694384614704177,2.6769830223638564,0.689989946084097,21,1.6765890773385763,336,b,31,0.5494564650580287,female,pos,11
0.685283136786893,42,25,faceWord_exp,Wednesday,17.9773587458767,17.911066583590582,2019102307,4,5.91,image_stim_n.png,336,1,2,team,10.981262266635895,-0.9453395472380092,17.292075609089807,12.67757201520726,0.6958301493432373,22,11.677092415979132,180,y,42,0.6189909745007753,female,neu,13
0.6843948354944587,42,25,faceWord_exp,Wednesday,27.977830645861104,27.72817246057093,2019102307,4,3.52,image_stim_n.png,336,1,3,battle,20.98084233654663,3.668156535681199,27.293435810366645,22.67792329355143,0.6967206962872297,22,21.67756303283386,180,y,32,0.434736650204286,female,neg,12
0.6848798885475844,42,25,faceWord_exp,Wednesday,35.37816928466782,35.34531753952615,2019102307,4,5.43,image_stim_p.png,180,1,4,theme,30.98056548438035,-0.7774272008663468,34.693289396120235,32.67850458715111,0.6974229321349412,21,31.67798841651529,336,b,41,0.6520281434059143,female,neu,13
0.6851012418046594,42,25,faceWord_exp,Wednesday,47.978723438223824,47.7957051647827,2019102307,4,7.27,image_stim_p.png,336,1,5,honey,40.982506337342784,-2.066768843681998,47.293622196419165,42.67883244692348,0.6959353724960238,21,41.67844170983881,180,b,31,0.5020829683635384,female,pos,11
0.6860033376142383,42,25,faceWord_exp,Wednesday,55.37908228766173,55.12944399192929,2019102307,4,2.62,image_stim_n.png,180,1,6,insult,50.98278992646374,4.2176174504439885,54.69307895004749,52.67922510881908,0.6961387610062957,22,51.678928687470034,336,y,32,0.4363650418817997,female,neg,12
0.6855038485955447,42,25,faceWord_exp,Wednesday,65.37953943060711,65.41349184792489,2019102307,4,4.03,image_stim_n.png,180,1,7,snake,60.982667059171945,1.95458394600482,64.69403558201157,62.67978555010632,0.6966966360341758,22,61.67936369520612,336,y,32,0.7194562659133226,female,neg,12
0.6859616332221776,42,25,faceWord_exp,Wednesday,75.38001518021338,75.23036770988256,2019102307,4,5.67,image_stim_p.png,180,1,8,bell,70.98215634212829,-0.6996261236875504,74.6940535469912,72.68010988109745,0.6976814987137914,21,71.67983784084208,336,b,41,0.5363141628913581,female,neu,13
0.6849719588644803,42,25,faceWord_exp,Wednesday,87.98056195559911,88.01471583661623,2019102307,4,5.68,image_stim_p.png,336,1,9,chestnut,80.98304817220196,-0.4880378396985329,87.29558999673463,82.68071234761737,0.6972715135198087,21,81.68031968572177,180,b,41,0.719125839881599,female,neu,13
0.6854403298348188,42,25,faceWord_exp,Wednesday,97.98103802581318,97.99822051031515,2019102307,4,4.75,image_stim_n.png,336,1,10,zone,90.9849652859848,0.42679466080263373,97.29559769597836,92.68114607199095,0.6957797834184021,22,91.6807450694032,180,y,32,0.7026228143367916,female,neg,12
