delay_frames_after,word,session,response,key_t,condition,word_label,age,word_score_warriner,scan day,offset_word,duration_measured_img,duration_frames,ID,pause_trigger_t,gender,correct_resp,word_score_pc,img_trigger,rt,pause_trigger,duration_measured_word,onset_img,delay_frames_before,onset_word,word_trigger,offset_img,img,no
336,gratitude,4,b,5.13336259056814,faceWord_exp,pos,25,6.67,Monday,1.6829011808149517,0.6819945939350873,42,2019102103,2.683182203443721,female,1,-2.8305869761860607,21,0.4323752257041633,31,0.6880356193287298,4.700987364863977,180,0.9948655614862218,11,5.382981958799064,image_stim_p.png,1
336,battle,4,y,15.350538594764657,faceWord_exp,neg,25,3.52,Monday,11.68330859951675,0.6852882696548477,42,2019102103,12.683684258838184,female,1,3.668156535681199,22,0.6524169555632398,32,0.696206129505299,14.698121639201418,180,10.98710247001145,12,15.383409908856265,image_stim_n.png,2
336,banjo,4,b,25.15109877951909,faceWord_exp,pos,25,6.35,Monday,21.6837708754465,0.6831334414891899,42,2019102103,22.684219356859103,female,1,-1.2316584124512135,21,0.450288497377187,31,0.6957948611816391,24.7008102821419,180,20.98797601426486,11,25.38394372363109,image_stim_p.png,3
180,hand,4,b,37.88494879682548,faceWord_exp,neu,25,5.9,Monday,31.684229301754385,0.6845475373556837,42,2019102103,32.6846177931875,female,1,-0.29144085929118746,21,0.5850356699666008,41,0.6967707413714379,37.29991312685888,336,30.987458560382947,13,37.984460664214566,image_stim_p.png,4
336,flood,4,y,45.20191448321566,faceWord_exp,neg,25,2.76,Monday,41.68471884576138,0.6856247910764068,42,2019102103,42.68503355269786,female,1,3.803034067475641,22,0.5027127030771226,32,0.6967046560021117,44.69920178013854,180,40.98801418975927,12,45.384826571214944,image_stim_n.png,5
336,parent,4,b,55.2357228603214,faceWord_exp,pos,25,6.73,Monday,51.68513556779362,0.6857386758783832,42,2019102103,52.68548780854326,female,1,-1.2094761189992442,21,0.5360562378773466,31,0.6966748214326799,54.699666622444056,180,50.98846074636094,11,55.38540529832244,image_stim_p.png,6
336,festival,4,b,65.16948106407654,faceWord_exp,pos,25,6.84,Monday,61.68558116198983,0.685730334953405,42,2019102103,62.686065894085914,female,1,-2.93465986085152,21,0.46939804044086486,31,0.6955760740675032,64.70008302363567,180,60.99000508792233,11,65.38581335858908,image_stim_p.png,7
180,shoulder,4,b,77.93668969382998,faceWord_exp,neu,25,5.1,Monday,71.68606011965312,0.6850601793266833,42,2019102103,72.68646176392213,female,1,0.12602488928311428,21,0.6354141202755272,41,0.697219864348881,77.30127557355445,336,70.98884025530424,13,77.98633575288113,image_stim_p.png,8
180,insult,4,y,87.67067027767189,faceWord_exp,neg,25,2.62,Monday,81.68649769376498,0.6850787857547402,42,2019102103,82.68692051107064,female,1,4.2176174504439885,22,0.36894975148607045,32,0.697369999717921,87.30172052618582,336,80.98912769404706,12,87.98679931194056,image_stim_n.png,9
336,fallacy,4,y,95.20406353683211,faceWord_exp,neg,25,4.0,Monday,91.68693494715262,0.6863635984482244,42,2019102103,92.68736514286138,female,1,2.7422742606943906,22,0.5032583875581622,32,0.6958368862979114,94.70080514927395,180,90.99109806085471,12,95.38716874772217,image_stim_n.png,10
