age,word_score_warriner,word,scan day,duration_measured_word,delay_frames_before,ID,condition,response,word_label,pause_trigger,rt,img_trigger,no,offset_img,key_t,onset_word,session,duration_frames,onset_img,duration_measured_img,img,correct_resp,word_trigger,offset_word,word_score_pc,gender,delay_frames_after,pause_trigger_t
,5.07,street,Monday,0.6904743572231382,336,2019102102,faceWord_exp,y,neu,42,0.816387280006893,22,1,7.971065570018254,8.105066235992126,0.9803774943575263,2,42,7.288678955985233,0.682386614033021,image_stim_n.png,1,13,1.6708518515806645,0.3228926581020319,female,180,2.6713096363237128
,4.8,hoe,Monday,0.6969491073396057,180,2019102102,faceWord_exp,y,neg,32,0.5682782483054325,22,2,15.371512639918365,15.25527414784301,10.974500398733653,2,42,14.686995899537578,0.6845167403807864,image_stim_n.png,1,12,11.671449506073259,0.2623575316864496,female,336,12.671695882105269
,2.95,perjury,Monday,0.6948209058027714,336,2019102102,faceWord_exp,y,neg,32,0.4971005901461467,22,3,27.97200808674097,27.78911460528616,20.976975387427956,2,42,27.292014015140012,0.6799940716009587,image_stim_n.png,1,12,21.671796293230727,3.222893544100452,female,180,22.67215944128111
,6.81,sailboat,Monday,0.6956286855274811,180,2019102102,faceWord_exp,b,pos,31,0.5190569314872846,21,4,35.37237463530619,35.206119237001985,30.97654166293796,2,42,34.6870623055147,0.6853123297914863,image_stim_p.png,1,11,31.672170348465443,-1.5621536719325724,female,336,32.67261369712651
,5.8,toaster,Monday,0.697510190308094,336,2019102102,faceWord_exp,b,neu,41,0.703022533794865,21,5,47.972878102213144,47.99016965937335,40.9751195468707,2,42,47.287147125578485,0.6857309766346589,image_stim_p.png,1,13,41.672629737178795,-0.5451009915059291,female,180,42.67304164718371
,6.4,mercy,Monday,0.6959366557421163,180,2019102102,faceWord_exp,b,pos,31,0.8689365985337645,21,6,55.3732966206735,55.557160528725944,50.97716209420469,2,42,54.68822393019218,0.68507269048132,image_stim_p.png,1,11,51.6730987499468,-1.0752281295040744,female,336,52.67346478521358
,4.75,ricochet,Monday,0.6972551525104791,180,2019102102,faceWord_exp,y,neg,32,0.6524554518982768,22,7,65.3737332324963,65.34082919661887,60.97630459011998,2,42,64.6883737447206,0.6853594877757132,image_stim_n.png,1,12,61.67355974263046,1.0482300490198866,female,336,62.6738240836421
,3.57,cough,Monday,0.6967425106558949,336,2019102102,faceWord_exp,y,neg,32,0.5694209457142279,22,8,77.97429957659915,77.85804408206604,70.97728303668555,2,42,77.28862313635182,0.6856764402473345,image_stim_n.png,1,12,71.67402554734144,2.483224745184551,female,180,72.67426326184068
,6.17,chicken,Monday,0.6958920642500743,336,2019102102,faceWord_exp,b,pos,31,0.5519150926265866,21,9,87.97475158679299,87.84185383864678,80.97861276159529,2,42,87.2899387460202,0.6848128407727927,image_stim_p.png,1,11,81.67450482584536,-1.3205598447631597,female,180,82.67481985350605
,5.55,eggplant,Monday,0.6973122553899884,180,2019102102,faceWord_exp,y,neu,42,0.6528208454838023,22,10,95.37510947370902,95.34218394407071,90.97759710194077,2,42,94.68936309858691,0.6857463751221076,image_stim_n.png,1,13,91.67490935733076,-0.09980687036967174,female,336,92.67535463068634
,4.41,jaw,Monday,0.6965830720728263,336,2019102102,faceWord_exp,y,neg,32,0.6187911147717386,22,11,107.9756514368346,107.90933938487433,100.97880524292123,2,42,107.29054827010259,0.6851031667320058,image_stim_n.png,1,12,101.67538831499405,0.16339675594021513,female,180,102.6757642950397
,6.48,carnival,Monday,0.6955706204753369,180,2019102102,faceWord_exp,b,pos,31,0.7697949368739501,21,12,115.37602985510603,115.45995811605826,110.98027195036411,2,42,114.69016317918431,0.6858666759217158,image_stim_p.png,1,11,111.67584257083945,-2.4114282062334524,female,336,112.6762361950241
,4.35,plea,Monday,0.6974322353489697,180,2019102102,faceWord_exp,,neg,32,,22,13,125.37648218614049,,120.97882801992819,2,42,124.69108067336492,0.6854015127755702,image_stim_n.png,,12,121.67626025527716,2.166481281776448,female,336,122.6766917341156
,6.8,fireworks,Monday,0.6962468713754788,180,2019102102,faceWord_exp,b,pos,31,0.6354869423666969,21,14,135.3770083016716,135.32751622772776,130.98053885775153,2,42,134.69202928536106,0.6849790163105354,image_stim_p.png,1,11,131.676785729127,-1.926056195769395,female,336,132.67714278202038
,5.86,whole,Monday,0.697196445777081,180,2019102102,faceWord_exp,y,neu,42,0.7523567730095237,22,15,145.37737241212744,145.4446484745713,140.9800165918423,2,42,144.69229170156177,0.6850807105656713,image_stim_n.png,1,13,141.67721303761937,0.10630403813009667,female,336,142.67759094259236
,7.0,embrace,Monday,0.6971794432029128,336,2019102102,faceWord_exp,b,pos,31,0.46935312810819596,21,16,157.97799425502308,157.76167543418705,150.9804945871001,2,42,157.29232230607886,0.6856719489442185,image_stim_p.png,1,11,151.67767403030302,-2.461915733068042,female,180,152.6781045468524
,2.53,angry,Monday,0.6973488267976791,336,2019102102,faceWord_exp,y,neg,32,0.4352069462183863,22,17,167.97842445073184,167.72886314766947,160.9807525119977,2,42,167.29365620145109,0.6847682492807508,image_stim_n.png,1,12,161.6781013387954,3.4296451702105397,female,180,162.67852094804402
,6.91,spaghetti,Monday,0.6969446160364896,336,2019102102,faceWord_exp,b,pos,31,0.6515934565104544,21,18,177.97890950366855,177.94593264569994,170.9816023169551,2,42,177.2943391891895,0.6845703144790605,image_stim_p.png,1,11,171.6785469329916,-1.7539828459428422,female,180,172.67883886303753
,4.78,heavy,Monday,0.6972798543283716,180,2019102102,faceWord_exp,y,neg,32,0.8028330680681393,22,19,185.37923531024717,185.49640958220698,180.9818101967685,2,42,184.69357651413884,0.6856587961083278,image_stim_n.png,1,12,181.67909005109686,1.3393636650983416,female,336,182.679464106448
,5.03,scissors,Monday,0.6971524958498776,336,2019102102,faceWord_exp,y,neu,41,0.46819920267444104,21,20,197.97977759421337,197.76350304402877,190.98234593635425,2,42,197.29530384135433,0.6844737528590485,image_stim_p.png,0,13,191.67949843220413,0.4272037094573085,female,180,192.67989045241848
,6.36,day,Monday,0.6976388319162652,180,2019102102,faceWord_exp,b,pos,31,0.7024450899334624,21,21,205.38015120045748,205.39730834157672,200.98229942005128,2,42,204.69486325164326,0.6852879488142207,image_stim_p.png,1,11,201.67993825196754,-1.2502658664257256,female,336,202.68040437751915
,4.81,stone,Monday,0.6974088167771697,336,2019102102,faceWord_exp,y,neg,32,0.6351125662913546,22,22,217.98071946937125,217.9311141523067,210.9830661371816,2,42,217.29600158601534,0.6847178833559155,image_stim_n.png,1,12,211.68047495395876,0.5494484707734639,female,180,212.68077618721873
,7.5,summer,Monday,0.6971804056083784,336,2019102102,faceWord_exp,b,pos,31,0.4182095646392554,21,23,227.98115736432374,227.7148809855571,220.98366347083356,2,42,227.29667142091785,0.684485943405889,image_stim_p.png,1,11,221.68084387644194,-1.7608811602119443,female,180,222.68126733531244
,5.62,speech,Monday,0.6973950222600251,336,2019102102,faceWord_exp,y,neu,42,0.6020532620605081,22,24,237.98159878817387,237.89876991615165,230.98394417273812,2,42,237.29671665409114,0.6848821340827271,image_stim_n.png,1,13,231.68133919499815,-0.18776275500974607,female,180,232.681788318092
,4.57,lab,Monday,0.6976279246155173,180,2019102102,faceWord_exp,y,neg,32,0.6864251923980191,22,25,245.38194159732666,245.38248856493738,240.984138578875,2,42,244.69606337253936,0.6858782247873023,image_stim_n.png,1,12,241.6817665034905,0.2032181950076048,female,336,242.68219220801257
,3.48,axe,Monday,0.6966161145828664,336,2019102102,faceWord_exp,y,neg,32,0.4194042319431901,22,26,257.9825166030787,257.7162569060456,250.98562293045688,2,42,257.2968526741024,0.6856639289762825,image_stim_n.png,1,12,251.68223904503975,0.7321109855355353,female,180,252.6825489399489
,2.29,sick,Monday,0.697403683909215,336,2019102102,faceWord_exp,y,neg,32,0.5693638428347185,22,27,267.9828989992384,267.8666919458192,260.98528416338377,2,42,267.29732810298447,0.6855708962539211,image_stim_n.png,1,12,261.682687847293,3.4738609063027237,female,180,262.6831481984118
,4.52,excuse,Monday,0.6972878744127229,336,2019102102,faceWord_exp,y,neg,32,0.7361209758091718,22,28,277.9835011449177,278.034119555261,270.98586000315845,2,42,277.2979985794518,0.6855025654658675,image_stim_n.png,1,12,271.6831478775712,2.373388118792564,female,180,272.68355337146204
,7.21,optimism,Monday,0.6972570773214102,336,2019102102,faceWord_exp,b,pos,31,0.5861703471746296,21,29,287.98387584183365,287.88432547810953,280.9863662290154,2,42,287.2981551309349,0.6857207108987495,image_stim_p.png,1,11,281.6836233063368,-2.7563434535584275,female,180,282.68406505091116
,4.1,clang,Monday,0.6975573481759056,336,2019102102,faceWord_exp,y,neg,32,0.5522978096269071,22,30,297.9843701979844,297.8514406904578,290.9865006451728,2,42,297.2991428808309,0.6852273171534762,image_stim_n.png,1,12,291.6840579933487,1.472290472628449,female,180,292.684469582513
,7.28,knowledge,Monday,0.6971249069320038,336,2019102102,faceWord_exp,b,pos,31,0.8018087467644364,21,31,307.98482252901886,308.10203465563245,300.98741621442605,2,42,307.300225908868,0.6845966201508418,image_stim_p.png,1,11,301.68454112135805,-1.6425048482978826,female,180,302.6849110062467
,4.29,tired,Monday,0.6973796237725765,180,2019102102,faceWord_exp,y,neg,32,0.4024867300176993,22,32,315.38515090208966,315.10225023468956,310.9876391720027,2,42,314.69976350467186,0.6853873974177986,image_stim_n.png,1,12,311.68501879577525,2.351878020671037,female,336,312.6853537132265
,7.68,musical,Monday,0.6973010272486135,180,2019102102,faceWord_exp,b,pos,31,0.4031462991843,21,33,325.3856083659921,325.10265733255073,320.98811780882534,2,42,324.69951103336643,0.6860973326256499,image_stim_p.png,1,11,321.68541883607395,-1.3503642789447028,female,336,322.6859131922247
,5.29,camel,Monday,0.6976029020734131,180,2019102102,faceWord_exp,y,neu,42,0.7035544237587601,22,34,335.38609726843424,335.40339203365147,330.9882782099303,2,42,334.6998376098927,0.6862596585415304,image_stim_n.png,1,13,331.6858811120037,0.0657349158769076,female,336,332.68618811969645
,5.67,attribute,Monday,0.6971640447154641,336,2019102102,faceWord_exp,y,neu,42,0.6860790469218045,22,35,347.986638589995,347.98716823442373,340.9891838344047,2,42,347.30108918750193,0.6855494024930522,image_stim_n.png,1,13,341.68634787912015,-0.32263149533554664,female,180,342.6868454433279
,5.5,winter,Monday,0.6974052879959345,180,2019102102,faceWord_exp,b,neu,41,0.6683511987794191,21,36,355.38697690796107,355.3705402885098,350.9894831427373,2,42,354.7021890897304,0.6847878182306886,image_stim_p.png,1,13,351.68688843073323,0.3495373155897487,female,336,352.68712004995905
,5.43,asparagus,Monday,0.6970479142619297,336,2019102102,faceWord_exp,b,neu,41,0.4361321397591382,21,37,367.9875608962029,367.73810738278553,360.990222912631,2,42,367.3019752430264,0.6855856531765312,image_stim_p.png,1,13,361.6872708268929,-0.34443889393116306,female,180,362.6876836993033
,4.54,office,Monday,0.6972801751689985,336,2019102102,faceWord_exp,b,neg,32,0.4192239410476759,22,38,377.9880526859779,377.72182635229547,370.99039101286326,2,42,377.3026024112478,0.6854502747301012,image_stim_n.png,0,12,371.68767118803225,0.6502198887451732,female,180,372.688112611766
,6.76,artist,Monday,0.6972962152212858,336,2019102102,faceWord_exp,b,pos,31,0.6527884444221854,21,39,387.98852811474353,387.95563979819417,380.99088184023276,2,42,387.302851353772,0.6856767609715462,image_stim_p.png,1,11,381.68817805545405,-1.2978987804410356,female,180,382.68861370475497
,5.5,nose,Monday,0.6975191727979109,336,2019102102,faceWord_exp,y,neu,42,0.5024114698171616,22,40,397.9889422704,397.80605424253736,390.9910938903922,2,42,397.3036427727202,0.6852994976798072,image_stim_n.png,1,13,391.68861306319013,-0.049892793833906636,female,180,392.6890432588989
,5.97,power,Monday,0.69729781919159,336,2019102102,faceWord_exp,b,neu,41,0.5194335530977696,21,41,407.9893801653525,407.82314914790913,400.99182564020157,2,42,407.30371559481137,0.6856645705411211,image_stim_p.png,1,13,401.68912345939316,-0.02119054453060663,female,180,402.68946318887174
,4.43,van,Monday,0.6976205462124199,180,2019102102,faceWord_exp,y,neg,32,0.6685257151257247,22,42,415.38976211240515,415.3733043199172,410.99190167023335,2,42,414.7047786047915,0.6849835076136515,image_stim_n.png,1,12,411.68952221644577,-0.14866519221167074,female,336,412.68993476813193
