pause_trigger_t,word_score_warriner,scan day,pause_trigger,age,delay_frames_before,response,word_label,key_t,onset_img,word_score_pc,gender,duration_frames,rt,img_trigger,onset_word,no,duration_measured_word,word,session,word_trigger,correct_resp,offset_img,img,condition,delay_frames_after,duration_measured_img,ID,offset_word
2.6702500267419964,3.52,Wednesday,32,23,336,y,neg,7.903997066663578,7.288603246677667,4.02985566434138,female,42,0.6153938199859113,22,0.9801882209721953,1,0.6896810135804117,problem,2,12,1,7.970204537035897,image_stim_n.png,faceWord_exp,180,0.6816012903582305,2019102308,1.669869234552607
12.670718397945166,5.43,Wednesday,41,23,180,b,neu,15.270888872211799,14.684789101593196,-0.34443889393116306,female,42,0.5860997706186026,21,10.97489723097533,2,0.6954451869241893,asparagus,2,13,1,15.370534193469211,image_stim_p.png,faceWord_exp,336,0.6857450918760151,2019102308,11.67034241789952
22.67118741082959,4.54,Wednesday,32,23,336,y,neg,28.00497307511978,27.28689080476761,0.6502198887451732,female,42,0.7180822703521699,22,20.97513334150426,3,0.6956649362109601,office,2,12,1,27.971105670323595,image_stim_n.png,faceWord_exp,180,0.6842148655559868,2019102308,21.67079827771522
32.67167470930144,6.36,Wednesday,31,23,180,b,pos,35.42195813800208,34.685969011858106,-1.2502658664257256,female,42,0.735989126143977,21,30.97433550655842,4,0.6969362751115113,day,2,11,1,35.3714176826179,image_stim_p.png,faceWord_exp,336,0.6854486707597971,2019102308,31.67127178166993
42.67230091500096,7.68,Wednesday,31,23,336,b,pos,48.02267654216848,47.28719684993848,-1.3503642789447028,female,42,0.7354796922300011,21,40.97456359677017,5,0.6973603756632656,musical,2,11,1,47.97203022218309,image_stim_p.png,faceWord_exp,180,0.6848333722446114,2019102308,41.67192397243343
52.67262877477333,5.15,Wednesday,42,23,336,y,neu,57.989709629211575,57.2867162884213,0.3296196251321362,female,42,0.7029933407902718,22,50.97535212850198,6,0.6968332978431135,pan,2,13,1,57.972478061914444,image_stim_n.png,faceWord_exp,180,0.6857617734931409,2019102308,51.672185426345095
62.673008925281465,4.8,Wednesday,32,23,336,y,neg,68.07346850656904,67.28707462432794,0.2623575316864496,female,42,0.7863938822411001,22,60.97569314111024,7,0.6969417289365083,hoe,2,12,1,67.97292493935674,image_stim_n.png,faceWord_exp,180,0.6858503150288016,2019102308,61.67263487004675
72.67342789308168,4.81,Wednesday,32,23,180,y,neg,75.3236479954794,74.68767632101662,0.5494484707734639,female,42,0.6359716744627804,22,70.97641141735949,8,0.6966828415170312,stone,2,12,1,75.37328282627277,image_stim_n.png,faceWord_exp,336,0.6856065052561462,2019102308,71.67309425887652
82.67393091088161,2.29,Wednesday,32,23,336,y,neg,87.75751687586308,87.28779642935842,3.4738609063027237,female,42,0.4697204465046525,22,80.97666324698366,9,0.6969093277584761,sick,2,12,1,87.973866493674,image_stim_n.png,faceWord_exp,180,0.6860700643155724,2019102308,81.67357257474214
92.67436206899583,6.76,Wednesday,31,23,336,b,pos,97.95811125799082,97.28899911651388,-1.2978987804410356,female,42,0.6691121414769441,21,90.97667190851644,10,0.6973244459368289,artist,2,11,1,97.97428899025545,image_stim_p.png,faceWord_exp,180,0.6852898737415671,2019102308,91.67399635445327
