onset_word,img,duration_measured_img,gender,duration_frames,rt,word_score_pc,img_trigger,age,word,word_label,word_trigger,scan day,pause_trigger,ID,pause_trigger_t,duration_measured_word,onset_img,delay_frames_after,delay_frames_before,correct_resp,condition,session,no,response,key_t,word_score_warriner,offset_img,offset_word
1.0173893590108491,image_stim_p.png,0.6992505699745379,male,42,,-1.1856791528275217,21,24,hamster,neu,13,Monday,41,24,2.719983468996361,0.7021047470043413,4.786852990015177,336,180,,faceWord_exp,1,1,,,5.88,5.486103559989715,1.7194941060151905
11.109147915005451,image_stim_p.png,0.7064208000083454,male,42,0.4606483750103507,-2.8031613090757777,21,24,beach,pos,11,Monday,31,24,12.803267492010491,0.6938223239849322,17.429331324005034,180,336,1,faceWord_exp,1,2,b,17.889979699015385,7.21,18.13575212401338,11.802970238990383
21.141047142009484,image_stim_p.png,0.7072320900042541,male,42,0.4613407400029246,-2.3673221107876317,21,24,garden,pos,11,Monday,31,24,22.836790058994666,0.6948907210025936,27.46173018499394,180,336,1,faceWord_exp,1,3,b,27.923070924996864,7.25,28.168962274998194,21.835937863012077
31.57723929200438,image_stim_n.png,0.6914779899816494,male,42,0.5288119839970022,3.648586845460279,22,24,hurricane,neg,12,Monday,32,24,33.653566132008564,0.7925937270047143,38.710281511012,180,336,1,faceWord_exp,1,4,y,39.239093495009,3.16,39.40175950099365,32.36983301900909
42.40754654700868,image_stim_p.png,0.7044436409778427,male,42,0.3391813919879496,-1.4783411251765788,21,24,limousine,pos,11,Monday,31,24,44.10247385999537,0.6941117849783041,46.129921609011944,336,180,1,faceWord_exp,1,5,b,46.469103000999894,6.14,46.83436524998979,43.10165833198698
52.44030533300247,image_stim_n.png,0.6913878440100234,male,42,0.3276843320054468,1.3014161644429498,22,24,gasp,neg,12,Monday,32,24,54.15118107601302,0.7103349870012607,56.17660263698781,336,180,1,faceWord_exp,1,6,y,56.504286968993256,4.5,56.86799048099783,53.15064032000373
62.47463531899848,image_stim_p.png,0.6916735179838724,male,42,0.37777818099129945,-0.08455950357770388,21,24,keyboard,neu,13,Monday,41,24,64.1687382220116,0.6934636860096361,66.1926819460059,336,180,1,faceWord_exp,1,7,b,66.5704601269972,5.17,66.88435546398978,63.168099005008116
72.50619597101468,image_stim_p.png,0.707801495998865,male,42,0.36116467099054717,-0.8455595735963974,21,24,whale,neu,13,Monday,41,24,74.21821228400222,0.6942863909935113,78.84336106700357,180,336,1,faceWord_exp,1,8,b,79.20452573799412,5.81,79.55116256300244,73.20048236200819
82.57161931699375,image_stim_p.png,0.6925962009991053,male,42,0.3795349130232353,-0.7213913907893977,21,24,treaty,neu,13,Monday,41,24,84.26702708200901,0.6954691490100231,88.89114066999173,180,336,1,faceWord_exp,1,9,b,89.27067558301496,5.42,89.58373687099083,83.26708846600377
92.60555920799379,image_stim_p.png,0.7910338780202437,male,42,0.41228055200190283,0.1935892361901769,21,24,bridge,neu,13,Monday,41,24,94.30016866800725,0.6939183920039795,99.30828559398651,180,336,1,faceWord_exp,1,10,b,99.72056614598841,5.44,100.09931947200675,93.29947759999777
103.29196276300354,image_stim_n.png,0.6928884919907432,male,42,0.628736854007002,0.3759356543037889,22,24,fence,neu,13,Monday,42,24,105.05171763399267,0.7084081619977951,109.69060323300073,180,336,1,faceWord_exp,1,11,y,110.31934008700773,5.05,110.38349172499147,104.00037092500133
113.3882620150107,image_stim_p.png,0.7078559500223491,male,42,0.5112315220176242,-0.277657621999038,21,24,man,neu,13,Monday,41,24,115.08408779400634,0.6947165399906226,117.12500628299313,336,180,1,faceWord_exp,1,12,b,117.63623780501075,5.42,117.83286223301548,114.08297855500132
123.43826553001418,image_stim_p.png,0.7075559409859125,male,42,0.3778650349995587,-1.1443669013398097,21,24,moral,pos,11,Monday,31,24,125.13389903900679,0.6949332669901196,129.75831913101138,180,336,1,faceWord_exp,1,13,b,130.13618416601093,6.85,130.4658750719973,124.1331987970043
133.47049710399006,image_stim_p.png,0.6914785380067769,male,42,0.4784720010065939,-2.8785481086132907,21,24,kiss,pos,11,Monday,31,24,135.16650648298673,0.6949354110111017,139.80737729999237,180,336,1,faceWord_exp,1,14,b,140.28584930099896,7.78,140.49885583799914,134.16543251500116
143.55281958999694,image_stim_p.png,0.6932879690139089,male,42,0.49770515601267107,-1.9273821271493088,21,24,sled,pos,11,Monday,31,24,145.24846776601044,0.6961491080000997,147.27136027399683,336,180,1,faceWord_exp,1,15,b,147.7690654300095,6.35,147.96464824301074,144.24896869799704
153.57079402700765,image_stim_n.png,0.6927820690034423,male,42,0.6295915829832666,0.7573178762670367,22,24,meeting,neg,12,Monday,32,24,155.26510015700478,0.6948525249899831,159.90551506800693,180,336,1,faceWord_exp,1,16,y,160.5351066509902,4.55,160.59829713701038,154.26564655199763
163.60385555500397,image_stim_n.png,0.7085332629794721,male,42,0.4118375739781186,4.010420717126172,22,24,lonely,neg,12,Monday,32,24,165.2988022819918,0.6948580699972808,167.32344533401192,336,180,1,faceWord_exp,1,17,y,167.73528290799004,2.67,168.0319785969914,164.29871362500126
173.63870735900127,image_stim_p.png,0.6923965140013024,male,42,0.396649742993759,-1.5151286486205269,21,24,lake,pos,11,Monday,31,24,175.33123441800126,0.691809292009566,177.35515084600775,336,180,1,faceWord_exp,1,18,b,177.7518005890015,7.13,178.04754736000905,174.33051665101084
