onset_img,ID,offset_word,word,duration_measured_img,age,word_score_warriner,pause_trigger,pause_trigger_t,word_score_pc,onset_word,correct_resp,word_trigger,delay_frames_after,response,session,duration_measured_word,img_trigger,no,scan day,gender,key_t,word_label,img,duration_frames,delay_frames_before,rt,condition,offset_img
7.287994364160113,2019102103,1.6690922518027946,hamster,0.6814200371736661,25,5.88,42,2.6694659863132983,-1.1856791528275217,0.9799078400246799,1,13,180,y,1,0.6891844117781147,22,1,Monday,female,8.036672498914413,neu,image_stim_n.png,42,336,0.7486781347543001,faceWord_exp,7.969414401333779
14.684075316647068,2019102103,11.6695686429739,whale,0.6856565504567698,25,5.81,41,12.669892332400195,-0.8455595735963974,10.972900558379479,1,13,336,b,1,0.6966680845944211,21,2,Monday,female,15.23670194845181,neu,image_stim_p.png,42,180,0.5526266318047419,faceWord_exp,15.369731867103837
24.685835237265565,2019102103,21.670035089366138,tomato,0.6843672466930002,25,5.8,41,22.670478758751415,-1.3575770021145472,20.972724117222242,1,13,336,b,1,0.6973109721438959,21,3,Monday,female,25.137209650012664,neu,image_stim_p.png,42,180,0.4513744127471,faceWord_exp,25.370202483958565
37.285498523386195,2019102103,31.670461114612408,fiddle,0.6852199387503788,25,5.05,41,32.670984022086486,-1.0601571884744718,30.974206864833832,1,13,180,b,1,0.6962542497785762,21,4,Monday,female,37.87107763218228,neu,image_stim_p.png,42,336,0.5855791087960824,faceWord_exp,37.970718462136574
47.28512607200537,2019102103,41.67102187674027,rocket,0.6860456835711375,25,5.8,42,42.671313485945575,-0.17528733847197087,40.97481799288653,1,13,180,y,1,0.696203883853741,22,5,Monday,female,47.73828542791307,neu,image_stim_n.png,42,336,0.45315935590770096,faceWord_exp,47.971171755576506
54.68625741300639,2019102103,51.671354227815755,garden,0.6853238785406575,25,7.25,31,52.671844413504004,-2.3673221107876317,50.975119546987116,1,11,336,b,1,0.6962346808286384,21,6,Monday,female,55.25523083959706,pos,image_stim_p.png,42,180,0.5689734265906736,faceWord_exp,55.371581291547045
67.28697806294076,2019102103,61.6718193909619,field,0.6851346053881571,25,5.73,42,62.67221526079811,-0.9990759838186469,60.97422675450798,0,13,180,b,1,0.6975926364539191,22,7,Monday,female,67.77256987558212,neu,image_stim_n.png,42,336,0.48559181264135987,faceWord_exp,67.97211266832892
74.6865361899836,2019102103,71.67227910051588,deceit,0.68592987395823,25,2.89,32,72.67270191770513,4.314775126713813,70.9749171207659,1,12,336,y,1,0.697361979749985,22,8,Monday,female,75.10621053737123,neg,image_stim_n.png,42,180,0.41967434738762677,faceWord_exp,75.37246606394183
87.2871516168816,2019102103,81.67273977235891,victim,0.6858605806482956,25,2.05,32,82.67309650441166,3.457530661450998,80.97670430957805,1,12,180,y,1,0.6960354627808556,22,9,Monday,female,87.69005827698857,neg,image_stim_n.png,42,336,0.4029066601069644,faceWord_exp,87.9730121975299
94.6878505165223,2019102103,91.67316130641848,diplomat,0.6855057734064758,25,4.65,32,92.6735469106352,0.13451130194660302,90.97681081597693,1,12,336,y,1,0.6963504904415458,22,10,Monday,female,95.27377448766492,neg,image_stim_n.png,42,180,0.5859239711426198,faceWord_exp,95.37335628992878
