no,condition,delay_frames_before,duration_measured_word,key_t,word_trigger,scan day,img_trigger,img,ID,word_score_pc,age,correct_resp,duration_frames,word_score_warriner,onset_word,offset_img,duration_measured_img,delay_frames_after,rt,word,response,pause_trigger,gender,session,pause_trigger_t,onset_img,word_label,offset_word
1,faceWord_exp,180,0.6731414660025621,5.216491897997912,12,Monday,22,image_stim_n.png,60,2.166481281776448,25,0,42,4.35,0.9958524059984484,5.382055724003294,0.6743308040022384,336,0.5087669779968564,plea,b,32,male,2,2.6854563710003276,4.707724920001056,neg,1.6689938720010105
2,faceWord_exp,336,0.6877569100033725,17.870496002004074,13,Monday,22,image_stim_n.png,60,0.3495373155897487,25,1,42,5.5,11.004495676999795,18.019193498003006,0.6972183100006077,180,0.5485208140016766,winter,y,42,male,2,12.708679367002333,17.321975188002398,neu,11.692252587003168
3,faceWord_exp,180,0.6915727570012677,25.22965288800333,12,Monday,22,image_stim_n.png,60,1.3393636650983416,25,1,42,4.78,21.024019092001254,25.428480581998883,0.6808118970002397,336,0.4819842030046857,heavy,y,32,male,2,22.73204754699691,24.747668684998644,neg,21.71559184900252
4,faceWord_exp,336,0.689809959003469,38.033451941999374,11,Monday,21,image_stim_p.png,60,-1.8879163634684628,25,1,42,7.88,31.049107651997474,38.065834016000736,0.694987212002161,180,0.6626051380007993,joke,b,31,male,2,32.755183121997106,37.370846803998575,pos,31.738917611000943
5,faceWord_exp,180,0.6896710360015277,45.30947894899873,11,Monday,21,image_stim_p.png,60,-1.2978987804410356,25,1,42,6.76,41.07248546399933,45.47508133300289,0.6786795670050196,336,0.5130771830008598,artist,b,31,male,2,42.777780265998445,44.79640176599787,pos,41.762156500000856
6,faceWord_exp,180,0.6906189340006677,55.282578067999566,12,Monday,22,image_stim_n.png,60,0.7321109855355353,25,1,42,3.48,51.094817021999916,55.4983626539979,0.6763297859943123,336,0.4605451999959769,axe,y,32,male,2,52.801956754003186,54.82203286800359,neg,51.78543595600058
7,faceWord_exp,336,0.6860815010004444,67.98686231399915,11,Monday,21,image_stim_p.png,60,-2.0702836690965865,25,1,42,6.95,61.122451313000056,68.13559111599898,0.6940223470010096,180,0.5452935450011864,restaurant,b,31,male,2,62.825383497001894,67.44156876899797,pos,61.8085328140005
8,faceWord_exp,180,0.6885872480052058,75.29644537399872,13,Monday,21,image_stim_p.png,60,-0.5485436049411244,25,1,42,5.72,71.14343643999746,75.54488344200217,0.6768483749983716,336,0.42841030699491967,apartment,b,41,male,2,72.83126290200016,74.8680350670038,neu,71.83202368800266
9,faceWord_exp,336,0.6888062779980828,87.86667645799753,11,Monday,21,image_stim_p.png,60,-2.4114282062334524,25,1,42,6.48,81.16638307500398,88.18226413599768,0.6990087359954487,180,0.38342105799529236,carnival,b,31,male,2,82.85498363999795,87.48325540000224,pos,81.85518935300206
10,faceWord_exp,180,0.6890416349997395,95.3425395680024,12,Monday,22,image_stim_n.png,60,3.561717315569441,25,1,42,4.76,91.18933255300362,95.59135806200356,0.6802191110036802,336,0.43140061700250953,landslide,y,32,male,2,92.87837499799934,94.91113895099988,neg,91.87837418800336
11,faceWord_exp,180,0.6903291639973759,105.4827212070013,12,Monday,22,image_stim_n.png,60,0.5494484707734639,25,1,42,4.81,101.21149847299966,105.61477119800111,0.6804400530018029,336,0.5483900620019995,stone,y,32,male,2,102.90144444900216,104.9343311449993,neg,101.90182763699704
12,faceWord_exp,336,0.6914809320005588,117.90332691300137,12,Monday,22,image_stim_n.png,60,3.222893544100452,25,1,42,2.95,111.23359727700154,118.25195698300377,0.6970120000041788,180,0.34838193000177853,perjury,y,32,male,2,112.92499361000228,117.55494498299959,neg,111.9250782090021
13,faceWord_exp,336,0.6894476569941617,128.0767146970029,13,Monday,21,image_stim_p.png,60,0.650019808676411,25,1,42,5.19,121.25883739800338,128.275297401,0.6937285379972309,180,0.4951458340001409,highway,b,41,male,2,122.94831906699983,127.58156886300276,neu,121.94828505499754
14,faceWord_exp,180,0.6901368879989604,135.5190080350003,12,Monday,22,image_stim_n.png,60,2.373388118792564,25,0,42,4.52,131.28145394400053,135.68459836299735,0.6769291919990792,336,0.5113388640020275,excuse,b,32,male,2,132.9714200439994,135.00766917099827,neg,131.9715908319995
15,faceWord_exp,180,0.6895271769972169,145.42609403499955,11,Monday,21,image_stim_p.png,60,-1.7539828459428422,25,1,42,6.91,141.3053152700013,145.70787504599866,0.6778699819988105,336,0.3960889709996991,spaghetti,b,31,male,2,142.99459344799834,145.03000506399985,pos,141.99484244699852
16,faceWord_exp,180,0.6903548330010381,155.49913368000125,13,Monday,21,image_stim_p.png,60,0.1106807997481866,25,1,42,5.65,151.32780212000216,155.73112898899853,0.6772302329991362,336,0.44523492400185205,theory,b,41,male,2,153.017968827,155.0538987559994,neu,152.0181569530032
17,faceWord_exp,336,0.6906710900002508,168.18635460099904,13,Monday,22,image_stim_n.png,60,-0.8400509032218062,25,1,42,5.94,161.35027045199968,168.35172234100173,0.6780244830006268,180,0.5126567429979332,store,y,42,male,2,163.0411194260014,167.6736978580011,neu,162.04094154199993
18,faceWord_exp,180,0.6907327939989045,175.56220780299918,11,Monday,21,image_stim_p.png,60,-1.3503642789447028,25,1,42,7.68,171.3740128310019,175.7771790620027,0.6789637610054342,336,0.4639925020019291,musical,b,31,male,2,173.06468148800195,175.09821530099725,pos,172.0647456250008
19,faceWord_exp,180,0.6927341010014061,185.65202032600064,13,Monday,22,image_stim_n.png,60,-0.049892793833906636,25,1,42,5.5,181.39519925700006,185.80062939799973,0.678217818000121,336,0.5296087460010312,nose,y,42,male,2,183.0878284740029,185.1224115799996,neu,182.08793335800146
20,faceWord_exp,336,0.687879699995392,198.18963886299753,13,Monday,22,image_stim_n.png,60,-0.18776275500974607,25,1,42,5.62,191.4229160870018,198.4215808709996,0.6764884730000631,180,0.444546464997984,speech,y,42,male,2,193.11058039300406,197.74509239799954,neu,192.1107957869972
21,faceWord_exp,180,0.6912567250037682,205.71519471100328,11,Monday,21,image_stim_p.png,60,-2.2291915044129413,25,1,42,6.73,201.44321973899787,205.84726130199851,0.6765134960005525,336,0.5444469050053158,luck,b,31,male,2,203.1344257210003,205.17074780599796,pos,202.13447646400164
22,faceWord_exp,180,0.6869838519996847,215.73859672300023,13,Monday,21,image_stim_p.png,60,-0.02119054453060663,25,1,42,5.97,211.4707775019997,215.8705969549992,0.6783839839990833,336,0.5463837520001107,power,b,41,male,2,213.15752387700195,215.19221297100012,neu,212.15776135399938
23,faceWord_exp,336,0.6908923689989024,228.3093118600009,13,Monday,21,image_stim_p.png,60,-0.5451009915059291,25,1,42,5.8,221.49017090300185,228.49127747100283,0.677548867999576,180,0.4955832569976337,toaster,b,41,male,2,223.18083827100054,227.81372860300326,neu,222.18106327200076
24,faceWord_exp,336,0.6886699270035024,238.31607137399988,13,Monday,22,image_stim_n.png,60,-0.06058349899147484,25,1,42,5.48,231.51522958499845,238.51445455700014,0.6752282279994688,180,0.47684504499920877,business,y,42,male,2,233.20374954999716,237.83922632900067,neu,232.20389951200195
25,faceWord_exp,336,0.6917190269959974,248.35578325499955,12,Monday,22,image_stim_n.png,60,-0.14866519221167074,25,1,42,4.43,241.53580478500226,248.53788710400113,0.6834001850002096,180,0.5012963359986315,van,y,32,male,2,243.22750938100216,247.85448691900092,neg,242.22752381199825
26,faceWord_exp,336,0.6879517100023804,258.3623260509994,13,Monday,21,image_stim_p.png,60,-0.34443889393116306,25,1,42,5.43,251.5628059399969,258.5610521130002,0.6785602930031018,180,0.4798342310023145,asparagus,b,41,male,2,253.2505547460023,257.8824918199971,neu,252.2507576499993
27,faceWord_exp,180,0.6857598819988198,265.77152763699996,11,Monday,21,image_stim_p.png,60,-1.3205598447631597,25,1,42,6.17,261.58827276500233,265.98697927500325,0.6775444410013733,336,0.46209280299808597,chicken,b,31,male,2,263.2738800360021,265.3094348340019,pos,262.27403264700115
